DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,10.20,PJS,12.60,12.60,10.20,300.00
10/01/2020,11.00,PJS,11.00,11.00,11.00,0.00
09/01/2020,10.10,PJS,12.70,12.70,10.10,300.00
08/01/2020,11.60,PJS,11.60,11.60,11.60,100.00
07/01/2020,10.10,PJS,10.10,10.10,10.10,100.00
06/01/2020,11.20,PJS,11.20,11.20,11.20,300.00
03/01/2020,10.90,PJS,8.60,10.90,8.60,200.00
02/01/2020,9.50,PJS,9.50,9.50,9.50,0.00
31/12/2019,9.50,PJS,9.50,9.50,9.50,100.00
30/12/2019,11.00,PJS,11.00,11.00,11.00,300.00
27/12/2019,9.60,PJS,9.60,9.60,9.60,100.00
26/12/2019,8.40,PJS,8.40,8.40,8.40,0.00
25/12/2019,8.40,PJS,8.40,8.40,8.40,0.00
24/12/2019,8.40,PJS,8.40,8.40,8.40,0.00
23/12/2019,8.40,PJS,8.40,8.40,8.40,0.00
20/12/2019,8.40,PJS,8.40,8.40,8.40,0.00
19/12/2019,8.40,PJS,8.40,8.40,8.40,0.00
18/12/2019,8.40,PJS,8.40,8.40,8.40,0.00
17/12/2019,8.40,PJS,8.40,8.40,8.40,0.00
16/12/2019,8.40,PJS,8.40,8.40,8.40,0.00
13/12/2019,8.40,PJS,8.40,8.40,8.40,500.00
12/12/2019,9.60,PJS,9.60,9.60,9.60,0.00
11/12/2019,9.60,PJS,9.60,9.60,9.60,100.00
10/12/2019,8.40,PJS,8.40,8.40,8.40,0.00
09/12/2019,8.40,PJS,8.40,8.40,8.40,0.00
06/12/2019,8.40,PJS,8.40,8.40,8.40,100.00
05/12/2019,9.40,PJS,9.60,9.60,9.40,2500.00
04/12/2019,9.50,PJS,9.50,9.50,9.50,100.00
03/12/2019,10.90,PJS,10.90,10.90,10.90,0.00
02/12/2019,10.90,PJS,10.90,10.90,10.90,100.00
29/11/2019,9.50,PJS,9.50,9.50,9.50,100.00
28/11/2019,10.90,PJS,10.90,10.90,10.90,100.00
27/11/2019,9.50,PJS,9.50,9.50,9.50,0.00
26/11/2019,9.50,PJS,9.50,9.50,9.50,0.00
25/11/2019,9.50,PJS,9.50,9.50,9.50,100.00
22/11/2019,10.90,PJS,10.90,10.90,10.90,100.00
21/11/2019,9.50,PJS,9.50,9.50,9.50,100.00
20/11/2019,10.80,PJS,10.80,10.80,10.80,0.00
19/11/2019,10.80,PJS,10.80,10.80,10.80,0.00
18/11/2019,10.80,PJS,10.80,10.80,10.80,100.00
15/11/2019,9.40,PJS,9.40,9.40,9.40,100.00
14/11/2019,8.20,PJS,8.20,8.20,8.20,0.00
13/11/2019,8.20,PJS,8.20,8.20,8.20,0.00
12/11/2019,8.20,PJS,8.20,8.20,8.20,0.00
11/11/2019,8.20,PJS,8.20,8.20,8.20,0.00
