DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,11.75,PJT,11.75,11.75,11.75,10.00
10/01/2020,11.00,PJT,11.00,11.00,11.00,110.00
09/01/2020,10.55,PJT,11.00,11.00,10.55,70.00
08/01/2020,11.20,PJT,11.20,11.90,11.20,3620.00
07/01/2020,12.00,PJT,11.40,12.00,11.40,30.00
06/01/2020,11.40,PJT,11.40,11.40,10.60,300.00
03/01/2020,11.00,PJT,11.35,11.35,11.00,220.00
02/01/2020,10.65,PJT,10.65,10.65,10.65,11040.00
31/12/2019,11.40,PJT,11.00,11.40,11.00,470.00
30/12/2019,11.00,PJT,11.00,11.00,11.00,180.00
27/12/2019,11.40,PJT,11.40,11.40,11.40,0.00
26/12/2019,11.40,PJT,10.55,11.40,10.55,20.00
25/12/2019,11.30,PJT,11.30,11.30,11.30,20.00
24/12/2019,11.40,PJT,11.40,11.40,11.40,0.00
23/12/2019,11.40,PJT,11.40,11.40,11.40,0.00
20/12/2019,11.40,PJT,11.40,11.40,11.40,0.00
19/12/2019,11.40,PJT,11.20,11.40,11.40,10.00
18/12/2019,11.20,PJT,11.20,11.20,11.20,0.00
17/12/2019,11.20,PJT,11.30,11.30,10.80,30.00
16/12/2019,11.20,PJT,10.55,11.30,10.55,130.00
13/12/2019,11.30,PJT,10.60,11.30,10.60,530.00
12/12/2019,11.30,PJT,11.30,11.30,11.30,0.00
11/12/2019,11.30,PJT,11.30,11.30,11.30,30.00
10/12/2019,11.40,PJT,11.40,11.40,11.40,0.00
09/12/2019,11.40,PJT,11.40,11.40,11.40,0.00
06/12/2019,11.40,PJT,11.40,11.40,11.40,0.00
05/12/2019,11.40,PJT,11.40,11.40,11.40,10.00
04/12/2019,11.20,PJT,10.40,11.20,10.35,350.00
03/12/2019,11.10,PJT,11.25,11.25,11.10,20.00
02/12/2019,11.20,PJT,11.20,11.20,11.20,190.00
29/11/2019,11.20,PJT,11.00,11.20,10.60,2040.00
28/11/2019,11.00,PJT,10.65,11.00,10.65,960.00
27/11/2019,11.45,PJT,11.20,11.45,11.20,50.00
26/11/2019,11.20,PJT,11.20,11.20,11.20,0.00
25/11/2019,11.20,PJT,11.20,11.20,11.20,10.00
22/11/2019,11.20,PJT,10.45,11.20,10.45,13100.00
21/11/2019,11.20,PJT,11.20,11.20,11.20,0.00
20/11/2019,11.20,PJT,10.25,11.30,10.25,1200.00
19/11/2019,11.00,PJT,11.00,11.00,11.00,10.00
18/11/2019,11.10,PJT,11.10,11.10,11.10,0.00
15/11/2019,11.10,PJT,10.30,11.10,10.30,1020.00
14/11/2019,11.00,PJT,10.50,11.00,10.50,910.00
13/11/2019,10.60,PJT,11.00,11.00,10.60,70.00
12/11/2019,11.30,PJT,11.30,11.30,11.30,40.00
11/11/2019,11.50,PJT,11.50,11.50,11.50,10.00
08/11/2019,11.20,PJT,10.75,11.20,10.75,160.00
07/11/2019,10.70,PJT,10.70,11.50,10.70,1080.00
06/11/2019,11.50,PJT,11.50,11.50,11.50,0.00
05/11/2019,11.50,PJT,11.50,11.50,11.50,0.00
04/11/2019,11.50,PJT,11.50,11.50,11.50,0.00
01/11/2019,11.50,PJT,11.50,11.50,11.50,10.00
31/10/2019,11.50,PJT,12.00,12.00,11.50,160.00
30/10/2019,11.50,PJT,11.50,11.50,11.50,0.00
29/10/2019,11.50,PJT,11.45,11.50,11.45,30.00
28/10/2019,11.20,PJT,11.20,11.20,11.20,8000.00
25/10/2019,12.00,PJT,12.00,12.00,12.00,0.00
24/10/2019,12.00,PJT,12.00,12.00,12.00,10.00
23/10/2019,11.40,PJT,12.00,12.00,11.40,30.00
22/10/2019,11.40,PJT,11.40,11.40,11.40,340.00
21/10/2019,12.00,PJT,12.00,12.00,12.00,0.00
18/10/2019,12.00,PJT,12.00,12.00,12.00,30.00
17/10/2019,12.00,PJT,12.10,12.10,10.90,140.00
16/10/2019,11.40,PJT,12.15,12.15,11.40,110.00
15/10/2019,11.40,PJT,11.40,11.40,11.40,0.00
14/10/2019,11.40,PJT,11.50,11.50,11.30,140.00
11/10/2019,11.30,PJT,11.40,11.40,11.30,650.00
10/10/2019,11.50,PJT,12.50,12.50,11.50,940.00
09/10/2019,11.80,PJT,11.80,11.80,11.80,0.00
08/10/2019,11.80,PJT,11.80,11.80,11.80,0.00
07/10/2019,11.80,PJT,12.05,12.05,11.00,570.00
04/10/2019,11.30,PJT,11.00,11.30,11.00,110.00
03/10/2019,11.30,PJT,11.50,11.50,11.30,710.00
02/10/2019,11.20,PJT,11.20,11.20,11.20,15000.00
01/10/2019,11.90,PJT,11.90,11.90,11.90,650.00
30/09/2019,11.90,PJT,11.90,11.90,11.90,20.00
27/09/2019,11.90,PJT,12.55,12.55,11.90,380.00
26/09/2019,12.55,PJT,12.55,12.55,12.55,0.00
25/09/2019,12.55,PJT,11.80,12.60,11.80,150.00
24/09/2019,11.80,PJT,11.20,11.80,11.20,1700.00
23/09/2019,11.40,PJT,11.40,11.40,11.40,20.00
20/09/2019,11.40,PJT,11.40,11.40,11.40,0.00
19/09/2019,11.40,PJT,10.70,11.40,10.70,390.00
18/09/2019,11.50,PJT,11.00,11.50,11.00,20.00
17/09/2019,11.00,PJT,11.70,11.70,11.00,1110.00
16/09/2019,11.00,PJT,11.00,11.40,10.80,1750.00
13/09/2019,11.50,PJT,12.10,12.70,11.50,310.00
12/09/2019,11.90,PJT,11.90,11.90,11.90,10.00
11/09/2019,11.50,PJT,11.50,11.50,11.50,0.00
10/09/2019,11.50,PJT,11.35,11.50,11.35,1040.00
09/09/2019,12.20,PJT,12.20,12.20,12.20,20.00
06/09/2019,11.90,PJT,11.25,11.90,11.25,110.00
05/09/2019,12.00,PJT,12.20,12.20,10.70,2610.00
04/09/2019,11.50,PJT,11.30,11.50,11.30,60.00
03/09/2019,11.90,PJT,12.50,12.50,11.90,230.00
30/08/2019,11.90,PJT,11.85,11.90,11.85,80.00
29/08/2019,11.85,PJT,12.30,12.30,11.50,1130.00
28/08/2019,11.50,PJT,11.50,11.50,11.50,0.00
27/08/2019,11.50,PJT,11.00,11.50,11.00,1330.00
26/08/2019,11.00,PJT,10.50,11.20,10.50,1420.00
23/08/2019,10.65,PJT,12.00,12.00,10.65,2880.00
22/08/2019,11.30,PJT,12.80,12.80,11.30,3110.00
21/08/2019,12.10,PJT,12.10,12.10,12.10,10.00
20/08/2019,13.00,PJT,12.50,13.00,12.50,30.00
19/08/2019,13.05,PJT,13.05,13.05,13.05,0.00
16/08/2019,13.05,PJT,13.05,13.05,13.05,10.00
15/08/2019,12.40,PJT,12.50,13.05,12.40,200.00
14/08/2019,12.50,PJT,12.50,12.50,12.50,10.00
13/08/2019,11.95,PJT,11.25,11.95,11.25,830.00
12/08/2019,11.95,PJT,11.25,11.95,11.25,1040.00
