DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,9.60,PLP,9.50,9.84,9.49,115400.00
10/01/2020,9.30,PLP,9.30,9.30,9.30,260.00
09/01/2020,9.39,PLP,9.45,9.46,9.10,87230.00
08/01/2020,9.20,PLP,9.30,9.39,9.20,210.00
07/01/2020,9.34,PLP,9.40,9.45,9.09,104330.00
06/01/2020,9.40,PLP,9.49,9.50,9.10,54500.00
03/01/2020,9.40,PLP,9.55,9.60,9.10,132470.00
02/01/2020,9.60,PLP,9.90,9.90,9.00,64560.00
31/12/2019,9.40,PLP,9.05,9.40,9.01,1690.00
30/12/2019,9.50,PLP,9.90,9.90,9.25,620.00
27/12/2019,9.65,PLP,9.80,9.80,9.40,13480.00
26/12/2019,9.89,PLP,9.89,9.89,9.89,10.00
25/12/2019,9.53,PLP,9.77,9.77,9.53,180.00
24/12/2019,9.65,PLP,9.94,9.94,9.65,30.00
23/12/2019,9.70,PLP,9.90,9.90,9.50,1040.00
20/12/2019,9.79,PLP,9.98,9.98,9.40,2520.00
19/12/2019,9.80,PLP,9.90,9.80,9.40,1000.00
18/12/2019,9.90,PLP,9.90,9.90,9.90,10.00
17/12/2019,9.56,PLP,9.95,9.95,9.56,1200.00
16/12/2019,9.95,PLP,10.00,10.00,9.51,1620.00
13/12/2019,9.95,PLP,9.50,9.95,9.50,1150.00
12/12/2019,9.97,PLP,10.00,10.00,9.40,170.00
11/12/2019,9.99,PLP,10.05,10.05,9.50,2020.00
10/12/2019,9.94,PLP,9.94,9.94,9.94,100.00
09/12/2019,9.50,PLP,9.78,9.95,9.50,8690.00
06/12/2019,9.40,PLP,9.90,9.90,9.40,510.00
05/12/2019,9.60,PLP,9.40,9.60,9.40,3210.00
04/12/2019,10.00,PLP,9.85,10.00,9.85,1000.00
03/12/2019,9.97,PLP,9.97,9.97,9.28,11160.00
02/12/2019,9.97,PLP,9.99,9.99,9.10,11180.00
29/11/2019,9.68,PLP,9.51,9.79,9.50,620.00
28/11/2019,9.51,PLP,9.51,9.99,9.51,13980.00
27/11/2019,9.95,PLP,10.00,10.00,9.60,3000.00
26/11/2019,10.00,PLP,9.80,10.00,9.50,6910.00
25/11/2019,9.98,PLP,9.99,9.99,9.90,500.00
22/11/2019,9.95,PLP,9.95,9.95,9.95,2000.00
21/11/2019,9.95,PLP,9.95,9.95,9.95,0.00
20/11/2019,9.95,PLP,9.99,9.99,9.70,3490.00
19/11/2019,9.99,PLP,10.10,10.10,9.96,14400.00
18/11/2019,10.10,PLP,10.10,10.10,9.50,10520.00
15/11/2019,10.10,PLP,10.10,10.10,10.10,10.00
14/11/2019,9.95,PLP,9.54,10.00,9.54,5380.00
13/11/2019,10.00,PLP,9.60,10.10,9.60,13940.00
12/11/2019,10.15,PLP,10.20,10.20,10.15,10900.00
11/11/2019,10.20,PLP,9.50,10.20,9.50,23890.00
08/11/2019,10.15,PLP,10.35,10.40,10.15,23710.00
07/11/2019,10.15,PLP,10.20,10.30,9.90,28560.00
06/11/2019,10.20,PLP,10.20,10.40,10.20,36980.00
05/11/2019,10.20,PLP,10.20,10.35,10.10,56960.00
04/11/2019,10.20,PLP,10.20,10.35,10.20,11820.00
01/11/2019,10.35,PLP,10.20,10.35,10.20,142460.00
31/10/2019,10.20,PLP,10.20,10.50,10.20,5510.00
30/10/2019,10.05,PLP,9.90,10.35,9.90,47830.00
29/10/2019,10.10,PLP,10.10,10.10,10.00,65310.00
28/10/2019,10.70,PLP,10.70,11.50,10.70,63790.00
25/10/2019,11.40,PLP,11.70,11.70,11.40,36680.00
24/10/2019,11.55,PLP,11.55,11.55,11.50,22680.00
23/10/2019,11.55,PLP,11.50,11.75,11.50,44500.00
22/10/2019,11.55,PLP,12.40,12.45,11.55,81970.00
21/10/2019,12.40,PLP,12.50,12.50,12.10,53360.00
18/10/2019,12.50,PLP,12.50,12.50,12.45,32000.00
17/10/2019,12.50,PLP,12.50,12.55,12.25,20140.00
16/10/2019,12.50,PLP,12.55,12.60,12.50,55320.00
15/10/2019,12.55,PLP,12.70,12.70,12.50,35160.00
14/10/2019,12.70,PLP,12.75,12.95,12.55,77100.00
11/10/2019,12.55,PLP,12.40,12.55,12.10,126470.00
10/10/2019,12.50,PLP,12.55,12.70,12.20,60860.00
09/10/2019,12.60,PLP,12.50,12.60,12.10,103260.00
08/10/2019,12.60,PLP,12.80,12.90,12.40,64600.00
07/10/2019,12.90,PLP,12.95,13.00,12.40,103100.00
04/10/2019,12.95,PLP,12.80,12.95,12.80,76860.00
03/10/2019,12.80,PLP,12.35,12.90,12.35,267990.00
02/10/2019,12.35,PLP,11.90,12.50,11.90,212900.00
01/10/2019,11.90,PLP,11.90,11.90,11.70,29390.00
30/09/2019,11.90,PLP,11.95,11.95,11.70,43630.00
27/09/2019,11.90,PLP,12.00,12.00,11.65,38770.00
26/09/2019,11.90,PLP,11.90,12.00,11.80,45350.00
25/09/2019,11.90,PLP,11.90,11.90,11.70,42670.00
24/09/2019,11.90,PLP,12.20,12.20,11.45,101340.00
23/09/2019,12.20,PLP,12.10,12.25,12.00,145280.00
20/09/2019,12.00,PLP,12.00,12.40,11.65,205430.00
19/09/2019,12.30,PLP,12.20,12.55,12.00,167380.00
18/09/2019,12.50,PLP,12.60,12.70,12.50,151210.00
17/09/2019,12.60,PLP,12.85,12.85,12.25,123990.00
16/09/2019,13.00,PLP,12.50,13.00,12.30,213440.00
13/09/2019,12.50,PLP,12.10,12.50,12.00,190770.00
12/09/2019,12.10,PLP,11.95,12.20,11.95,159720.00
11/09/2019,11.95,PLP,11.35,11.95,11.35,244940.00
10/09/2019,11.35,PLP,11.25,11.45,11.20,111710.00
09/09/2019,11.25,PLP,10.90,11.30,10.50,160750.00
06/09/2019,10.90,PLP,10.45,10.90,10.40,119170.00
05/09/2019,10.50,PLP,10.80,10.85,10.50,125270.00
04/09/2019,10.80,PLP,10.80,10.85,10.40,99970.00
03/09/2019,10.80,PLP,10.90,11.00,10.80,100280.00
30/08/2019,10.95,PLP,10.50,11.00,10.00,125670.00
29/08/2019,10.55,PLP,10.60,11.00,10.30,75780.00
28/08/2019,10.60,PLP,10.00,10.60,9.70,170760.00
27/08/2019,9.95,PLP,9.00,9.95,9.00,135850.00
26/08/2019,9.30,PLP,9.79,10.00,9.30,8560.00
23/08/2019,9.50,PLP,9.80,9.80,9.40,15690.00
22/08/2019,9.55,PLP,9.25,9.55,9.25,1630.00
21/08/2019,9.23,PLP,9.50,9.50,9.21,3180.00
20/08/2019,9.40,PLP,9.70,9.79,9.11,17420.00
19/08/2019,9.60,PLP,9.11,9.90,9.11,16980.00
16/08/2019,9.65,PLP,9.40,9.65,8.88,30890.00
15/08/2019,9.30,PLP,9.50,9.50,8.71,71410.00
14/08/2019,9.23,PLP,9.65,9.75,8.95,23540.00
13/08/2019,9.62,PLP,9.89,9.89,9.62,24100.00
12/08/2019,9.70,PLP,9.61,9.99,9.61,5930.00
09/08/2019,10.00,PLP,9.90,10.20,9.63,35530.00
08/08/2019,9.63,PLP,9.10,9.63,9.00,74150.00
07/08/2019,9.00,PLP,8.60,9.00,8.20,67880.00
06/08/2019,8.60,PLP,9.00,9.00,8.60,26260.00
05/08/2019,9.18,PLP,9.00,9.20,9.00,19250.00
02/08/2019,9.35,PLP,9.35,9.35,9.35,0.00
01/08/2019,9.35,PLP,9.00,9.35,8.90,6060.00
31/07/2019,9.48,PLP,9.39,9.48,8.84,67820.00
30/07/2019,9.50,PLP,9.50,9.50,9.50,4000.00
29/07/2019,9.50,PLP,9.70,9.75,9.25,14070.00
26/07/2019,9.90,PLP,9.90,9.90,9.40,13660.00
25/07/2019,9.90,PLP,9.40,9.90,9.40,9110.00
24/07/2019,9.90,PLP,9.50,9.90,8.84,110640.00
23/07/2019,9.50,PLP,10.40,10.40,9.50,14570.00
22/07/2019,10.20,PLP,10.50,10.50,10.20,14180.00
19/07/2019,10.70,PLP,10.80,10.80,10.70,11810.00
18/07/2019,10.80,PLP,10.80,10.80,10.80,1310.00
17/07/2019,11.10,PLP,11.20,11.20,11.00,330.00
16/07/2019,11.20,PLP,11.10,11.20,10.70,41380.00
15/07/2019,11.10,PLP,11.10,11.10,11.10,1000.00
12/07/2019,11.15,PLP,11.00,11.15,10.90,940.00
11/07/2019,11.15,PLP,11.15,11.20,11.00,46300.00
10/07/2019,11.20,PLP,11.10,11.20,11.00,9230.00
09/07/2019,11.10,PLP,11.10,11.10,11.10,600.00
08/07/2019,11.10,PLP,11.10,11.10,11.00,6330.00
05/07/2019,11.10,PLP,10.90,11.10,10.90,1120.00
04/07/2019,11.20,PLP,10.60,11.20,10.60,40440.00
03/07/2019,11.20,PLP,11.00,11.20,11.00,8830.00
02/07/2019,11.20,PLP,11.10,11.20,11.00,8790.00
01/07/2019,11.20,PLP,11.20,11.20,11.20,13510.00
28/06/2019,11.20,PLP,11.10,11.35,11.10,9620.00
27/06/2019,11.15,PLP,11.20,11.40,11.15,920.00
26/06/2019,11.40,PLP,11.20,11.40,11.20,5580.00
25/06/2019,11.30,PLP,11.20,11.30,11.10,6770.00
24/06/2019,11.20,PLP,11.20,11.20,11.20,10100.00
21/06/2019,11.50,PLP,11.30,11.50,11.20,11330.00
20/06/2019,11.50,PLP,11.20,11.50,11.20,27010.00
19/06/2019,11.50,PLP,11.50,11.50,11.20,9750.00
18/06/2019,11.50,PLP,11.20,11.50,11.20,14310.00
17/06/2019,11.50,PLP,11.50,11.50,11.15,33100.00
14/06/2019,11.50,PLP,11.40,11.50,11.40,9000.00
13/06/2019,11.30,PLP,11.40,11.50,11.30,24190.00
12/06/2019,11.50,PLP,11.30,11.50,11.30,21830.00
11/06/2019,11.50,PLP,11.15,11.50,11.15,6870.00
10/06/2019,11.50,PLP,11.50,11.50,11.10,76220.00
07/06/2019,11.50,PLP,11.10,11.50,11.10,68910.00
06/06/2019,11.40,PLP,11.20,11.50,11.20,19860.00
05/06/2019,11.60,PLP,11.00,11.60,11.00,101110.00
04/06/2019,11.30,PLP,11.40,11.40,11.10,12140.00
03/06/2019,11.50,PLP,11.10,11.50,11.10,18540.00
31/05/2019,11.50,PLP,11.35,11.50,11.15,12610.00
30/05/2019,11.50,PLP,11.50,11.50,11.40,27360.00
29/05/2019,11.50,PLP,11.00,11.50,11.00,89520.00
28/05/2019,11.30,PLP,11.30,11.30,11.30,3200.00
27/05/2019,11.50,PLP,11.50,11.50,11.30,36250.00
24/05/2019,11.50,PLP,11.50,11.50,11.30,13410.00
23/05/2019,11.50,PLP,11.50,11.50,11.40,5510.00
22/05/2019,11.70,PLP,11.40,11.70,11.40,5630.00
21/05/2019,11.60,PLP,11.70,11.70,11.40,40100.00
20/05/2019,11.70,PLP,11.70,11.70,11.40,37490.00
17/05/2019,11.70,PLP,11.60,11.70,11.40,43940.00
16/05/2019,11.60,PLP,11.30,11.65,11.30,18210.00
15/05/2019,11.60,PLP,11.50,11.70,11.40,18990.00
14/05/2019,11.70,PLP,11.30,11.70,11.30,30400.00
13/05/2019,11.50,PLP,11.50,11.50,11.45,23640.00
10/05/2019,11.50,PLP,11.40,11.60,11.40,31830.00
09/05/2019,11.50,PLP,11.30,11.60,11.30,2190.00
08/05/2019,11.75,PLP,11.40,11.75,11.40,60090.00
07/05/2019,11.55,PLP,11.40,11.55,11.30,30010.00
06/05/2019,11.20,PLP,11.45,11.50,11.00,11630.00
03/05/2019,11.50,PLP,11.60,11.60,11.25,11640.00
02/05/2019,11.60,PLP,12.00,12.00,11.60,22210.00
26/04/2019,11.60,PLP,11.45,11.70,11.45,26220.00
25/04/2019,11.60,PLP,10.90,11.85,10.90,126580.00
24/04/2019,11.10,PLP,11.30,11.30,11.10,12420.00
23/04/2019,11.30,PLP,11.35,11.35,11.20,18380.00
22/04/2019,11.25,PLP,11.25,11.35,11.20,4820.00
19/04/2019,11.25,PLP,11.40,11.50,11.25,4030.00
18/04/2019,11.20,PLP,11.35,11.50,11.20,11520.00
17/04/2019,11.35,PLP,11.50,11.50,11.35,64100.00
16/04/2019,11.45,PLP,11.50,11.50,11.45,9420.00
12/04/2019,11.50,PLP,11.65,11.65,11.45,28590.00
11/04/2019,11.75,PLP,11.60,11.80,11.60,27680.00
10/04/2019,11.60,PLP,11.80,11.80,11.60,4520.00
09/04/2019,11.75,PLP,11.70,11.90,11.70,8450.00
08/04/2019,11.85,PLP,11.85,11.85,11.70,115440.00
05/04/2019,11.85,PLP,11.45,11.90,11.30,18460.00
04/04/2019,11.40,PLP,11.40,11.50,11.40,18370.00
03/04/2019,11.40,PLP,11.70,11.70,11.40,35160.00
02/04/2019,11.70,PLP,11.85,11.85,11.60,21340.00
01/04/2019,11.75,PLP,11.80,11.80,11.50,55680.00
29/03/2019,11.80,PLP,11.60,11.90,11.60,2040.00
28/03/2019,11.90,PLP,11.60,11.90,11.50,4270.00
27/03/2019,11.95,PLP,11.90,12.00,11.60,2530.00
26/03/2019,11.90,PLP,11.50,12.00,11.45,58490.00
25/03/2019,11.55,PLP,12.20,12.20,11.55,31290.00
22/03/2019,12.20,PLP,12.20,12.35,11.65,64340.00
21/03/2019,12.50,PLP,12.00,12.50,11.50,142800.00
