DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,55.90,PLX,55.70,56.20,55.60,166780.00
10/01/2020,55.70,PLX,56.20,56.50,55.70,135340.00
09/01/2020,56.20,PLX,55.70,56.30,55.70,128140.00
08/01/2020,55.70,PLX,57.00,57.00,55.60,237220.00
07/01/2020,56.50,PLX,57.50,57.50,56.40,290780.00
06/01/2020,57.30,PLX,58.00,58.00,57.10,497990.00
03/01/2020,57.10,PLX,56.60,58.10,56.60,586600.00
02/01/2020,56.50,PLX,56.10,57.10,55.40,380760.00
31/12/2019,56.00,PLX,56.40,56.40,55.50,75980.00
30/12/2019,56.00,PLX,56.70,56.70,55.90,102990.00
27/12/2019,56.40,PLX,55.80,56.60,55.60,68050.00
26/12/2019,55.90,PLX,55.90,56.10,55.80,73400.00
25/12/2019,56.10,PLX,56.90,56.90,55.90,113790.00
24/12/2019,56.10,PLX,56.10,56.70,56.10,88060.00
23/12/2019,56.10,PLX,56.90,57.30,56.00,155940.00
20/12/2019,56.90,PLX,55.40,56.90,55.40,205110.00
19/12/2019,55.40,PLX,55.60,56.10,55.10,60710.00
18/12/2019,55.60,PLX,55.30,55.60,55.30,121920.00
17/12/2019,55.60,PLX,56.20,56.30,55.50,67180.00
16/12/2019,56.20,PLX,55.90,56.20,55.50,120880.00
13/12/2019,55.40,PLX,55.30,55.70,55.20,127970.00
12/12/2019,55.20,PLX,54.80,55.40,54.80,125260.00
11/12/2019,54.70,PLX,55.80,55.80,54.30,208350.00
10/12/2019,55.60,PLX,56.30,56.30,54.30,222890.00
09/12/2019,56.30,PLX,56.40,56.90,56.30,81150.00
06/12/2019,56.40,PLX,56.90,56.90,56.30,19860.00
05/12/2019,56.30,PLX,57.00,57.00,56.30,88040.00
04/12/2019,57.00,PLX,55.90,57.00,55.80,113620.00
03/12/2019,55.90,PLX,56.70,56.70,55.90,225720.00
02/12/2019,56.70,PLX,57.80,58.10,56.70,136100.00
29/11/2019,57.60,PLX,58.00,58.50,57.40,96980.00
28/11/2019,58.00,PLX,58.80,59.10,57.80,133830.00
27/11/2019,58.60,PLX,59.30,59.40,58.60,147990.00
26/11/2019,59.20,PLX,59.30,59.70,59.10,198130.00
25/11/2019,59.00,PLX,58.40,59.10,58.40,271420.00
22/11/2019,58.40,PLX,59.50,59.70,58.20,321550.00
21/11/2019,59.70,PLX,59.70,59.90,59.40,130770.00
20/11/2019,59.70,PLX,59.70,60.00,59.50,306300.00
19/11/2019,60.00,PLX,59.60,60.00,59.20,219050.00
18/11/2019,59.20,PLX,60.70,60.70,59.20,205630.00
15/11/2019,59.90,PLX,60.10,60.20,59.90,253570.00
14/11/2019,60.10,PLX,59.60,60.50,59.60,467570.00
13/11/2019,59.60,PLX,59.80,60.10,59.50,470780.00
12/11/2019,59.60,PLX,59.10,60.10,59.00,695520.00
11/11/2019,59.10,PLX,59.00,59.40,58.80,152130.00
08/11/2019,59.00,PLX,58.80,59.20,58.80,207400.00
07/11/2019,58.90,PLX,59.40,59.40,58.80,265630.00
06/11/2019,59.20,PLX,59.70,59.70,59.20,103730.00
05/11/2019,59.70,PLX,59.70,59.90,59.50,185570.00
04/11/2019,59.60,PLX,59.50,60.20,59.50,415000.00
01/11/2019,59.40,PLX,59.00,59.50,58.50,217150.00
31/10/2019,59.30,PLX,59.30,59.50,58.90,173690.00
30/10/2019,59.30,PLX,58.20,59.80,58.10,440360.00
29/10/2019,58.30,PLX,57.80,58.60,57.80,221780.00
28/10/2019,58.00,PLX,57.60,58.30,57.60,176010.00
25/10/2019,57.80,PLX,57.80,57.80,57.50,79760.00
24/10/2019,57.50,PLX,57.20,57.50,57.20,91820.00
23/10/2019,57.20,PLX,57.60,58.00,57.10,158830.00
22/10/2019,57.50,PLX,57.30,57.80,57.30,113800.00
21/10/2019,57.50,PLX,57.30,57.90,57.30,127700.00
18/10/2019,57.90,PLX,58.00,58.20,57.70,132570.00
17/10/2019,57.60,PLX,58.10,58.50,57.40,251210.00
16/10/2019,58.10,PLX,58.60,58.70,58.00,267570.00
15/10/2019,58.60,PLX,58.60,58.80,58.50,184230.00
14/10/2019,58.60,PLX,59.00,59.20,58.60,242490.00
11/10/2019,58.50,PLX,57.00,58.50,57.00,485200.00
10/10/2019,56.90,PLX,57.70,58.20,56.90,559760.00
09/10/2019,57.80,PLX,58.20,58.20,57.70,391020.00
08/10/2019,58.30,PLX,58.20,58.40,57.90,350280.00
07/10/2019,58.20,PLX,58.00,58.80,58.00,514690.00
04/10/2019,58.00,PLX,59.50,59.50,58.00,1596720.00
03/10/2019,60.00,PLX,60.00,60.10,59.10,286780.00
02/10/2019,60.10,PLX,60.60,60.80,60.10,318030.00
01/10/2019,60.60,PLX,60.50,60.90,60.20,259680.00
30/09/2019,60.50,PLX,60.80,60.90,60.30,328980.00
27/09/2019,60.50,PLX,60.40,61.20,60.30,338900.00
26/09/2019,60.60,PLX,60.20,60.60,60.00,353370.00
25/09/2019,60.20,PLX,60.90,60.90,60.20,426000.00
24/09/2019,60.90,PLX,61.60,61.60,60.90,356990.00
23/09/2019,61.60,PLX,61.20,61.80,61.20,283030.00
20/09/2019,61.20,PLX,61.10,61.50,61.10,312880.00
