DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,3.10,PSB,3.10,3.10,3.10,200.00
10/01/2020,3.30,PSB,3.30,3.30,3.30,100.00
09/01/2020,3.10,PSB,3.10,3.10,3.10,1003.00
08/01/2020,3.10,PSB,3.10,3.10,3.10,990.00
07/01/2020,3.00,PSB,3.00,3.00,3.00,0.00
06/01/2020,3.00,PSB,3.00,3.00,3.00,0.00
03/01/2020,3.00,PSB,3.00,3.00,3.00,800.00
02/01/2020,3.30,PSB,3.30,3.30,3.30,0.00
31/12/2019,3.30,PSB,3.30,3.30,3.30,0.00
30/12/2019,3.30,PSB,3.30,3.30,3.30,1030.00
27/12/2019,3.30,PSB,3.30,3.30,3.30,0.00
26/12/2019,3.30,PSB,3.30,3.30,3.30,300.00
25/12/2019,3.30,PSB,3.30,3.30,3.30,0.00
24/12/2019,3.30,PSB,3.30,3.30,3.30,600.00
23/12/2019,3.00,PSB,3.10,3.10,3.00,1230.00
20/12/2019,3.00,PSB,3.00,3.00,3.00,0.00
19/12/2019,3.00,PSB,3.00,3.00,3.00,0.00
18/12/2019,3.00,PSB,3.00,3.00,3.00,0.00
17/12/2019,3.00,PSB,3.10,3.10,3.00,2219.00
16/12/2019,3.10,PSB,3.10,3.10,3.10,0.00
13/12/2019,3.10,PSB,3.00,3.10,3.00,500.00
12/12/2019,3.00,PSB,3.00,3.00,3.00,975.00
11/12/2019,3.00,PSB,3.00,3.00,3.00,930.00
10/12/2019,3.00,PSB,3.00,3.00,3.00,1905.00
09/12/2019,3.00,PSB,3.00,3.00,3.00,3030.00
06/12/2019,3.00,PSB,3.00,3.00,3.00,3000.00
05/12/2019,3.00,PSB,3.00,3.00,3.00,0.00
04/12/2019,3.00,PSB,3.00,3.00,3.00,1230.00
03/12/2019,2.70,PSB,2.80,2.80,2.70,2219.00
02/12/2019,3.00,PSB,3.00,3.00,3.00,0.00
29/11/2019,3.00,PSB,3.00,3.00,3.00,3000.00
28/11/2019,2.90,PSB,2.90,2.90,2.90,0.00
27/11/2019,2.90,PSB,2.90,2.90,2.90,960.00
26/11/2019,2.90,PSB,2.90,2.90,2.90,6130.00
25/11/2019,3.00,PSB,3.00,3.00,3.00,930.00
22/11/2019,3.00,PSB,3.00,3.00,3.00,900.00
21/11/2019,3.00,PSB,3.00,3.00,3.00,900.00
20/11/2019,3.00,PSB,3.00,3.00,3.00,109.00
19/11/2019,3.00,PSB,3.00,3.00,3.00,11300.00
18/11/2019,2.90,PSB,2.90,2.90,2.90,430.00
15/11/2019,2.90,PSB,2.90,2.90,2.90,0.00
14/11/2019,2.90,PSB,2.90,2.90,2.90,1965.00
13/11/2019,2.90,PSB,3.00,3.00,2.90,4230.00
12/11/2019,3.00,PSB,3.00,3.00,3.00,200.00
11/11/2019,3.00,PSB,3.00,3.00,3.00,0.00
08/11/2019,3.00,PSB,3.00,3.00,3.00,100.00
07/11/2019,3.00,PSB,3.00,3.00,3.00,4280.00
06/11/2019,2.90,PSB,2.90,2.90,2.90,1860.00
05/11/2019,2.90,PSB,2.90,2.90,2.90,0.00
04/11/2019,2.80,PSB,3.00,3.00,2.80,2915.00
01/11/2019,3.00,PSB,3.10,3.10,3.00,1210.00
31/10/2019,3.00,PSB,3.00,3.00,3.00,0.00
30/10/2019,3.00,PSB,3.00,3.00,3.00,0.00
29/10/2019,3.00,PSB,3.00,3.00,3.00,1000.00
28/10/2019,3.00,PSB,3.00,3.00,3.00,970.00
25/10/2019,3.10,PSB,3.10,3.10,3.10,430.00
24/10/2019,3.00,PSB,3.00,3.00,3.00,970.00
23/10/2019,3.00,PSB,3.00,3.00,3.00,0.00
22/10/2019,3.00,PSB,3.00,3.00,3.00,0.00
21/10/2019,3.00,PSB,3.00,3.00,3.00,1830.00
18/10/2019,3.00,PSB,3.00,3.00,3.00,0.00
17/10/2019,3.00,PSB,3.00,3.00,3.00,0.00
16/10/2019,3.00,PSB,3.00,3.00,3.00,900.00
15/10/2019,3.00,PSB,3.00,3.00,3.00,100.00
14/10/2019,3.00,PSB,3.00,3.00,3.00,900.00
11/10/2019,3.00,PSB,3.00,3.00,3.00,900.00
10/10/2019,3.00,PSB,3.00,3.00,3.00,30.00
