DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,2.10,PSI,2.10,2.10,2.10,3000.00
10/01/2020,2.00,PSI,2.00,2.00,2.00,0.00
09/01/2020,2.00,PSI,2.10,2.10,2.00,200.00
08/01/2020,2.10,PSI,2.10,2.10,2.10,400.00
07/01/2020,2.00,PSI,2.00,2.00,2.00,100.00
06/01/2020,2.00,PSI,2.00,2.00,2.00,0.00
03/01/2020,2.00,PSI,2.00,2.00,2.00,90.00
02/01/2020,2.00,PSI,2.00,2.00,2.00,0.00
31/12/2019,2.00,PSI,2.10,2.10,2.00,1500.00
30/12/2019,2.00,PSI,2.00,2.00,2.00,225.00
27/12/2019,2.10,PSI,2.10,2.10,2.10,0.00
26/12/2019,2.10,PSI,2.10,2.10,2.10,175.00
25/12/2019,2.20,PSI,2.20,2.40,2.20,1290.00
24/12/2019,2.30,PSI,2.30,2.30,2.30,0.00
23/12/2019,2.30,PSI,2.30,2.30,2.30,300.00
20/12/2019,2.30,PSI,2.30,2.30,2.30,0.00
19/12/2019,2.30,PSI,2.30,2.30,2.30,700.00
18/12/2019,2.30,PSI,2.30,2.30,2.30,36.00
17/12/2019,2.30,PSI,2.30,2.30,2.30,900.00
16/12/2019,2.20,PSI,2.20,2.20,2.20,1000.00
13/12/2019,2.20,PSI,2.20,2.20,2.20,0.00
12/12/2019,2.20,PSI,2.20,2.20,2.20,0.00
11/12/2019,2.20,PSI,2.20,2.20,2.20,200.00
10/12/2019,2.30,PSI,2.30,2.30,2.30,0.00
09/12/2019,2.30,PSI,2.30,2.30,2.30,0.00
06/12/2019,2.30,PSI,2.30,2.30,2.30,0.00
05/12/2019,2.30,PSI,2.30,2.30,2.30,100.00
04/12/2019,2.30,PSI,2.30,2.30,2.30,90.00
03/12/2019,2.30,PSI,2.30,2.30,2.30,0.00
02/12/2019,2.30,PSI,2.30,2.30,2.30,0.00
29/11/2019,2.30,PSI,2.30,2.30,2.30,600.00
28/11/2019,2.30,PSI,2.30,2.30,2.30,90.00
27/11/2019,2.30,PSI,2.30,2.30,2.30,0.00
26/11/2019,2.30,PSI,2.30,2.30,2.20,3310.00
25/11/2019,2.40,PSI,2.40,2.40,2.40,0.00
22/11/2019,2.40,PSI,2.40,2.40,2.40,2200.00
21/11/2019,2.30,PSI,2.30,2.30,2.30,0.00
20/11/2019,2.30,PSI,2.30,2.30,2.30,0.00
19/11/2019,2.30,PSI,2.30,2.30,2.30,200.00
18/11/2019,2.40,PSI,2.40,2.40,2.40,3500.00
15/11/2019,2.40,PSI,2.40,2.40,2.40,100.00
14/11/2019,2.30,PSI,2.30,2.30,2.30,0.00
13/11/2019,2.30,PSI,2.30,2.30,2.30,50.00
12/11/2019,2.30,PSI,2.40,2.50,2.30,6425.00
11/11/2019,2.40,PSI,2.40,2.40,2.40,1200.00
08/11/2019,2.40,PSI,2.40,2.40,2.40,10.00
07/11/2019,2.40,PSI,2.40,2.40,2.40,0.00
06/11/2019,2.40,PSI,2.40,2.40,2.40,3000.00
05/11/2019,2.40,PSI,2.40,2.40,2.40,0.00
04/11/2019,2.40,PSI,2.40,2.40,2.40,0.00
01/11/2019,2.40,PSI,2.30,2.40,2.30,224.00
31/10/2019,2.30,PSI,2.30,2.30,2.30,100.00
30/10/2019,2.40,PSI,2.40,2.40,2.40,215.00
29/10/2019,2.30,PSI,2.30,2.30,2.30,125.00
28/10/2019,2.30,PSI,2.30,2.30,2.30,690.00
25/10/2019,2.40,PSI,2.40,2.40,2.40,0.00
24/10/2019,2.40,PSI,2.40,2.40,2.40,90.00
23/10/2019,2.40,PSI,2.40,2.40,2.40,0.00
22/10/2019,2.40,PSI,2.40,2.40,2.40,0.00
21/10/2019,2.40,PSI,2.40,2.40,2.40,100.00
18/10/2019,2.30,PSI,2.40,2.40,2.30,1500.00
