DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,6.40,PSP,6.40,6.40,6.40,3902.00
10/01/2020,6.40,PSP,6.40,6.40,6.40,13800.00
09/01/2020,6.40,PSP,6.50,6.50,6.40,3500.00
08/01/2020,6.40,PSP,6.30,6.40,6.30,17700.00
07/01/2020,6.30,PSP,6.40,6.50,6.30,10400.00
06/01/2020,6.30,PSP,6.30,6.30,6.30,3000.00
03/01/2020,6.20,PSP,6.30,6.30,5.90,5900.00
02/01/2020,6.20,PSP,6.20,6.20,6.10,4300.00
31/12/2019,6.10,PSP,6.10,6.10,6.10,2000.00
30/12/2019,6.10,PSP,6.10,6.10,6.10,2500.00
27/12/2019,6.10,PSP,6.20,6.20,6.10,10800.00
26/12/2019,6.00,PSP,6.00,6.00,6.00,0.00
25/12/2019,6.00,PSP,6.00,6.00,6.00,50.00
24/12/2019,6.10,PSP,6.00,6.10,6.00,5010.00
23/12/2019,6.00,PSP,6.00,6.00,6.00,6500.00
20/12/2019,6.00,PSP,5.90,6.00,5.90,7300.00
19/12/2019,5.90,PSP,5.90,5.90,5.90,2200.00
18/12/2019,5.90,PSP,5.90,5.90,5.90,0.00
17/12/2019,5.90,PSP,5.90,5.90,5.90,0.00
16/12/2019,5.90,PSP,5.90,5.90,5.90,1300.00
13/12/2019,5.80,PSP,5.90,5.90,5.80,2900.00
12/12/2019,5.80,PSP,5.80,5.90,5.80,17400.00
11/12/2019,5.80,PSP,5.80,5.80,5.80,1800.00
10/12/2019,5.80,PSP,5.90,5.90,5.50,5700.00
09/12/2019,5.80,PSP,5.80,5.80,5.80,0.00
06/12/2019,5.80,PSP,5.80,5.80,5.80,0.00
05/12/2019,5.80,PSP,5.80,5.80,5.80,5500.00
04/12/2019,5.90,PSP,5.90,5.90,5.90,100.00
03/12/2019,5.80,PSP,5.80,5.80,5.80,300.00
02/12/2019,5.60,PSP,5.70,5.70,5.60,2400.00
29/11/2019,5.90,PSP,5.90,5.90,5.90,1500.00
28/11/2019,6.10,PSP,6.10,6.10,6.10,100.00
27/11/2019,5.90,PSP,5.90,5.90,5.80,4900.00
26/11/2019,5.90,PSP,5.90,5.90,5.90,3600.00
25/11/2019,6.00,PSP,6.00,6.00,6.00,0.00
22/11/2019,6.00,PSP,6.00,6.00,6.00,600.00
21/11/2019,6.20,PSP,6.10,6.20,6.10,7000.00
20/11/2019,6.00,PSP,6.00,6.00,6.00,4000.00
19/11/2019,6.00,PSP,6.00,6.00,6.00,1000.00
18/11/2019,5.80,PSP,5.90,5.90,5.80,8400.00
15/11/2019,6.10,PSP,6.10,6.10,6.00,6100.00
14/11/2019,5.70,PSP,5.90,6.00,5.70,10300.00
13/11/2019,5.80,PSP,5.80,5.80,5.80,2500.00
12/11/2019,5.80,PSP,5.80,5.90,5.60,20300.00
11/11/2019,5.80,PSP,5.80,5.80,5.80,1100.00
08/11/2019,5.70,PSP,5.60,5.90,5.60,11127.00
07/11/2019,5.70,PSP,5.70,5.80,5.60,8700.00
06/11/2019,5.70,PSP,5.70,5.70,5.70,300.00
05/11/2019,6.00,PSP,6.00,6.00,6.00,10700.00
04/11/2019,6.00,PSP,5.70,6.00,5.70,35000.00
01/11/2019,5.80,PSP,5.70,5.80,5.70,8300.00
31/10/2019,5.80,PSP,6.00,6.10,5.80,1100.00
30/10/2019,6.00,PSP,6.00,6.00,6.00,500.00
29/10/2019,5.80,PSP,5.70,5.80,5.70,1800.00
28/10/2019,5.70,PSP,5.70,5.70,5.70,100.00
25/10/2019,5.90,PSP,5.90,5.90,5.90,0.00
24/10/2019,5.90,PSP,5.90,5.90,5.90,208.00
23/10/2019,5.80,PSP,5.80,5.80,5.80,5000.00
22/10/2019,5.80,PSP,6.00,6.00,5.70,9100.00
21/10/2019,5.90,PSP,6.00,6.00,5.90,6500.00
18/10/2019,5.80,PSP,5.80,5.90,5.80,9400.00
17/10/2019,6.00,PSP,6.00,6.00,6.00,400.00
16/10/2019,5.90,PSP,6.00,6.00,5.90,11200.00
15/10/2019,6.10,PSP,6.10,6.10,6.10,100.00
14/10/2019,5.90,PSP,6.00,6.00,5.90,8500.00
11/10/2019,6.00,PSP,6.20,6.20,6.00,10202.00
10/10/2019,6.20,PSP,6.20,6.20,6.20,0.00
09/10/2019,6.00,PSP,6.20,6.20,6.00,2500.00
08/10/2019,6.30,PSP,6.20,6.30,6.20,6100.00
07/10/2019,6.20,PSP,6.20,6.20,6.20,0.00
04/10/2019,6.00,PSP,6.20,6.30,6.00,10600.00
03/10/2019,6.00,PSP,6.00,6.00,6.00,2400.00
02/10/2019,6.10,PSP,6.00,6.10,6.00,3500.00
01/10/2019,6.20,PSP,6.40,6.40,6.00,14900.00
30/09/2019,6.10,PSP,6.00,6.30,6.00,12500.00
27/09/2019,6.00,PSP,6.80,6.80,6.00,44400.00
26/09/2019,6.80,PSP,6.80,6.80,6.80,5010.00
25/09/2019,6.80,PSP,7.00,7.00,6.70,3500.00
24/09/2019,7.10,PSP,7.10,7.10,7.10,2100.00
23/09/2019,7.10,PSP,7.10,7.10,7.00,8300.00
20/09/2019,7.30,PSP,7.20,7.30,7.00,5300.00
19/09/2019,7.20,PSP,7.00,7.20,7.00,14500.00
18/09/2019,7.10,PSP,7.20,7.30,7.10,4700.00
17/09/2019,7.00,PSP,7.20,7.20,7.00,2100.00
16/09/2019,7.30,PSP,7.00,7.40,7.00,8600.00
13/09/2019,7.00,PSP,7.40,7.40,6.90,14100.00
12/09/2019,7.20,PSP,7.00,7.30,6.90,7600.00
11/09/2019,7.20,PSP,7.00,7.20,6.90,5500.00
10/09/2019,7.20,PSP,7.40,7.40,7.20,1400.00
09/09/2019,7.20,PSP,7.70,7.80,7.20,5300.00
06/09/2019,7.00,PSP,7.20,7.40,7.00,10400.00
05/09/2019,7.10,PSP,7.60,7.60,7.10,10200.00
04/09/2019,7.30,PSP,7.50,7.50,7.00,14500.00
03/09/2019,7.70,PSP,8.00,8.00,7.50,10800.00
30/08/2019,7.90,PSP,8.00,8.10,7.80,20100.00
29/08/2019,8.30,PSP,8.60,8.70,8.00,12500.00
28/08/2019,8.60,PSP,7.90,8.70,7.90,96450.00
27/08/2019,7.80,PSP,7.50,8.00,7.20,50000.00
26/08/2019,7.50,PSP,7.20,7.50,7.00,12800.00
23/08/2019,7.40,PSP,7.10,7.40,7.10,19800.00
22/08/2019,7.30,PSP,7.40,7.50,7.20,23500.00
21/08/2019,7.30,PSP,6.70,7.70,6.70,40100.00
20/08/2019,7.00,PSP,6.70,7.00,6.60,93628.00
19/08/2019,6.60,PSP,7.00,7.00,6.60,3750.00
16/08/2019,7.00,PSP,6.80,7.00,6.80,6600.00
15/08/2019,7.20,PSP,7.20,7.30,6.50,19300.00
14/08/2019,6.80,PSP,8.00,8.00,6.80,57400.00
13/08/2019,8.00,PSP,7.70,8.30,7.40,34800.00
12/08/2019,7.70,PSP,8.00,8.80,7.50,98300.00
09/08/2019,7.70,PSP,7.30,7.70,7.20,165788.00
08/08/2019,6.40,PSP,6.00,6.90,6.00,59310.00
07/08/2019,6.00,PSP,6.00,6.00,6.00,0.00
06/08/2019,6.00,PSP,6.00,6.00,6.00,0.00
