DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,11.90,PTV,11.90,11.90,11.90,0.00
10/01/2020,11.90,PTV,11.90,11.90,11.90,3100.00
09/01/2020,12.00,PTV,12.00,12.00,12.00,3400.00
08/01/2020,10.30,PTV,11.80,11.80,10.30,3400.00
07/01/2020,11.90,PTV,11.90,11.90,11.90,200.00
06/01/2020,11.40,PTV,14.00,14.00,11.40,2100.00
03/01/2020,13.30,PTV,13.30,13.30,13.30,1300.00
02/01/2020,12.00,PTV,12.00,12.00,12.00,1300.00
31/12/2019,11.50,PTV,11.30,11.50,11.30,37060.00
30/12/2019,10.00,PTV,10.00,10.00,10.00,6700.00
27/12/2019,10.00,PTV,9.80,10.00,9.70,7900.00
26/12/2019,9.80,PTV,9.80,9.80,9.80,12000.00
25/12/2019,9.80,PTV,9.50,9.80,9.50,11040.00
24/12/2019,9.50,PTV,9.50,9.50,9.30,28300.00
23/12/2019,9.40,PTV,9.40,9.40,9.40,1500.00
20/12/2019,9.20,PTV,9.20,9.40,9.20,4700.00
19/12/2019,9.20,PTV,9.20,9.20,9.20,4300.00
18/12/2019,9.20,PTV,10.40,10.40,9.20,7810.00
17/12/2019,9.10,PTV,9.40,9.40,9.10,24850.00
16/12/2019,9.40,PTV,9.40,9.40,9.40,3100.00
13/12/2019,9.40,PTV,9.40,9.40,9.40,63200.00
12/12/2019,9.40,PTV,9.50,9.50,9.40,16640.00
11/12/2019,9.70,PTV,9.80,9.80,9.70,1300.00
10/12/2019,9.80,PTV,9.70,9.80,9.60,22600.00
09/12/2019,9.60,PTV,9.80,9.80,9.60,23400.00
06/12/2019,9.80,PTV,9.90,9.90,9.70,17010.00
05/12/2019,9.90,PTV,9.90,10.00,9.90,8460.00
04/12/2019,9.50,PTV,8.70,10.20,8.70,36700.00
03/12/2019,9.10,PTV,8.10,9.40,8.10,23011.00
02/12/2019,8.40,PTV,8.30,8.40,6.80,23100.00
29/11/2019,7.70,PTV,6.50,7.70,6.50,5900.00
28/11/2019,6.70,PTV,8.00,8.00,6.20,11600.00
27/11/2019,7.40,PTV,6.90,7.70,6.80,11300.00
26/11/2019,8.00,PTV,8.00,8.00,8.00,4000.00
25/11/2019,7.80,PTV,10.30,10.30,7.80,13900.00
22/11/2019,9.10,PTV,9.10,9.10,9.10,800.00
21/11/2019,8.60,PTV,11.40,11.40,8.60,9500.00
20/11/2019,10.10,PTV,10.20,10.20,10.10,1100.00
19/11/2019,10.80,PTV,11.90,11.90,10.10,12900.00
18/11/2019,11.80,PTV,11.80,11.80,11.80,1200.00
15/11/2019,10.70,PTV,10.00,10.70,10.00,11500.00
14/11/2019,9.00,PTV,9.50,10.80,9.00,43200.00
13/11/2019,10.20,PTV,10.50,10.50,10.20,1300.00
12/11/2019,11.90,PTV,11.90,11.90,11.90,0.00
11/11/2019,11.90,PTV,11.90,11.90,11.90,0.00
08/11/2019,11.90,PTV,11.90,11.90,11.90,400.00
07/11/2019,13.90,PTV,13.90,13.90,13.90,0.00
06/11/2019,12.80,PTV,15.00,15.00,12.80,10000.00
05/11/2019,15.00,PTV,15.30,15.30,15.00,21400.00
