DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,32.00,PVI,32.40,32.50,32.00,71700.00
10/01/2020,32.00,PVI,31.80,32.50,31.70,136610.00
09/01/2020,32.00,PVI,32.10,32.30,31.70,78469.00
08/01/2020,32.10,PVI,32.30,32.40,31.70,58681.00
07/01/2020,32.30,PVI,31.10,32.30,30.90,166609.00
06/01/2020,31.10,PVI,30.90,31.20,30.80,51660.00
03/01/2020,31.00,PVI,30.90,31.00,30.70,34410.00
02/01/2020,31.00,PVI,30.90,31.00,30.70,31901.00
31/12/2019,30.80,PVI,30.10,30.80,30.10,33700.00
30/12/2019,30.10,PVI,30.80,30.80,30.10,49679.00
27/12/2019,30.90,PVI,30.90,30.90,30.60,50046.00
26/12/2019,30.90,PVI,30.60,30.90,30.30,80460.00
25/12/2019,30.70,PVI,30.90,30.90,30.50,49800.00
24/12/2019,31.00,PVI,31.20,31.20,30.70,57850.00
23/12/2019,31.20,PVI,31.10,31.30,30.80,23315.00
20/12/2019,31.20,PVI,30.90,31.20,30.40,26736.00
19/12/2019,31.00,PVI,30.90,31.00,30.70,21425.00
18/12/2019,31.00,PVI,31.20,31.20,30.40,49220.00
17/12/2019,31.20,PVI,31.10,31.20,30.70,18870.00
16/12/2019,31.10,PVI,31.30,31.30,30.50,49720.00
13/12/2019,31.40,PVI,31.50,31.50,31.00,14310.00
12/12/2019,31.50,PVI,31.00,31.90,30.60,128080.00
11/12/2019,30.90,PVI,31.20,31.30,30.90,95496.00
10/12/2019,31.20,PVI,31.80,31.80,31.20,42701.00
09/12/2019,31.60,PVI,31.60,32.00,31.50,26353.00
06/12/2019,31.50,PVI,31.50,31.50,31.20,32420.00
05/12/2019,31.50,PVI,31.30,31.50,31.30,34610.00
04/12/2019,31.40,PVI,31.50,31.50,31.10,44500.00
03/12/2019,31.40,PVI,31.10,31.40,31.00,77200.00
02/12/2019,31.40,PVI,31.70,31.70,31.00,109400.00
29/11/2019,31.70,PVI,31.80,31.80,31.50,43870.00
28/11/2019,31.60,PVI,31.90,31.90,31.60,38030.00
27/11/2019,31.90,PVI,31.80,31.90,31.80,63000.00
26/11/2019,31.90,PVI,31.70,31.90,31.60,48000.00
25/11/2019,31.80,PVI,31.10,31.90,31.00,46774.00
22/11/2019,31.40,PVI,31.80,31.90,31.40,49790.00
21/11/2019,31.80,PVI,31.50,31.80,31.50,32700.00
20/11/2019,31.90,PVI,31.60,31.90,31.50,41170.00
19/11/2019,31.70,PVI,31.60,31.80,31.50,65210.00
18/11/2019,32.00,PVI,31.80,32.00,31.70,68550.00
15/11/2019,32.00,PVI,31.90,32.00,31.70,48122.00
14/11/2019,31.90,PVI,31.70,32.00,31.70,59700.00
13/11/2019,32.00,PVI,32.30,32.40,31.70,73490.00
12/11/2019,32.10,PVI,32.00,32.50,31.90,42910.00
11/11/2019,32.00,PVI,32.00,32.00,31.60,48722.00
08/11/2019,32.00,PVI,31.90,32.40,31.80,52778.00
07/11/2019,31.90,PVI,31.60,32.00,31.60,55040.00
06/11/2019,32.00,PVI,31.80,32.00,31.50,68885.00
05/11/2019,32.00,PVI,32.00,32.00,31.70,39963.00
04/11/2019,32.10,PVI,32.00,32.10,31.90,81786.00
01/11/2019,32.20,PVI,32.20,32.30,32.00,118520.00
31/10/2019,32.20,PVI,32.00,32.20,32.00,77620.00
30/10/2019,32.20,PVI,32.30,32.40,32.10,55130.00
29/10/2019,32.40,PVI,32.30,32.60,32.30,44456.00
