DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,1.50,PVL,1.50,1.60,1.50,4700.00
10/01/2020,1.50,PVL,1.40,1.50,1.40,11000.00
09/01/2020,1.50,PVL,1.50,1.50,1.50,100.00
08/01/2020,1.50,PVL,1.40,1.50,1.40,10200.00
07/01/2020,1.50,PVL,1.50,1.50,1.50,24500.00
06/01/2020,1.60,PVL,1.50,1.60,1.50,21101.00
03/01/2020,1.60,PVL,1.50,1.60,1.50,18040.00
02/01/2020,1.60,PVL,1.60,1.60,1.60,100.00
31/12/2019,1.60,PVL,1.60,1.60,1.60,100.00
30/12/2019,1.50,PVL,1.50,1.50,1.50,30300.00
27/12/2019,1.60,PVL,1.50,1.60,1.50,3400.00
26/12/2019,1.60,PVL,1.60,1.60,1.60,0.00
25/12/2019,1.60,PVL,1.60,1.60,1.60,100.00
24/12/2019,1.60,PVL,1.60,1.60,1.60,2100.00
23/12/2019,1.60,PVL,1.60,1.60,1.60,100.00
20/12/2019,1.60,PVL,1.60,1.60,1.60,0.00
19/12/2019,1.60,PVL,1.60,1.60,1.60,1100.00
18/12/2019,1.60,PVL,1.50,1.60,1.50,3300.00
17/12/2019,1.50,PVL,1.60,1.60,1.50,3200.00
16/12/2019,1.60,PVL,1.50,1.60,1.50,2700.00
13/12/2019,1.60,PVL,1.50,1.60,1.50,600.00
12/12/2019,1.60,PVL,1.60,1.60,1.60,22000.00
11/12/2019,1.50,PVL,1.60,1.60,1.50,10300.00
10/12/2019,1.60,PVL,1.50,1.60,1.50,200.00
09/12/2019,1.60,PVL,1.60,1.60,1.50,6500.00
06/12/2019,1.60,PVL,1.50,1.60,1.50,5100.00
05/12/2019,1.60,PVL,1.50,1.60,1.50,200.00
04/12/2019,1.60,PVL,1.60,1.60,1.50,2200.00
03/12/2019,1.60,PVL,1.60,1.60,1.60,12220.00
02/12/2019,1.70,PVL,1.60,1.70,1.50,12300.00
29/11/2019,1.60,PVL,1.50,1.60,1.50,36200.00
28/11/2019,1.50,PVL,1.50,1.50,1.50,5000.00
27/11/2019,1.40,PVL,1.50,1.60,1.40,21600.00
26/11/2019,1.50,PVL,1.50,1.60,1.50,1400.00
25/11/2019,1.60,PVL,1.50,1.60,1.50,5600.00
22/11/2019,1.60,PVL,1.60,1.60,1.60,300.00
21/11/2019,1.60,PVL,1.60,1.60,1.60,1000.00
20/11/2019,1.70,PVL,1.50,1.70,1.50,1100.00
19/11/2019,1.60,PVL,1.60,1.70,1.60,5600.00
18/11/2019,1.70,PVL,1.50,1.70,1.50,15000.00
15/11/2019,1.60,PVL,1.60,1.60,1.60,19000.00
14/11/2019,1.70,PVL,1.60,1.70,1.60,41000.00
13/11/2019,1.70,PVL,1.70,1.70,1.60,76000.00
12/11/2019,1.70,PVL,1.60,1.70,1.60,51700.00
11/11/2019,1.70,PVL,1.60,1.70,1.60,50000.00
08/11/2019,1.70,PVL,1.50,1.70,1.50,26300.00
07/11/2019,1.60,PVL,1.50,1.60,1.40,101127.00
06/11/2019,1.50,PVL,1.50,1.60,1.50,17800.00
05/11/2019,1.60,PVL,1.50,1.60,1.50,2400.00
04/11/2019,1.60,PVL,1.50,1.60,1.50,2700.00
01/11/2019,1.60,PVL,1.60,1.60,1.50,35500.00
31/10/2019,1.60,PVL,1.60,1.60,1.50,4300.00
30/10/2019,1.60,PVL,1.40,1.60,1.40,2100.00
29/10/2019,1.50,PVL,1.50,1.50,1.50,1405.00
28/10/2019,1.60,PVL,1.50,1.60,1.50,1400.00
25/10/2019,1.60,PVL,1.50,1.60,1.50,500.00
24/10/2019,1.50,PVL,1.50,1.50,1.50,300.00
23/10/2019,1.60,PVL,1.50,1.60,1.50,200.00
22/10/2019,1.60,PVL,1.50,1.60,1.40,10400.00
21/10/2019,1.50,PVL,1.50,1.50,1.50,600.00
18/10/2019,1.40,PVL,1.50,1.60,1.40,24300.00
17/10/2019,1.50,PVL,1.50,1.50,1.40,5600.00
16/10/2019,1.50,PVL,1.60,1.60,1.50,3200.00
15/10/2019,1.60,PVL,1.60,1.60,1.50,1000.00
14/10/2019,1.60,PVL,1.60,1.60,1.50,15800.00
11/10/2019,1.60,PVL,1.60,1.60,1.50,15100.00
10/10/2019,1.60,PVL,1.60,1.60,1.50,500.00
09/10/2019,1.60,PVL,1.50,1.60,1.50,10500.00
08/10/2019,1.60,PVL,1.50,1.60,1.50,400.00
07/10/2019,1.60,PVL,1.50,1.60,1.50,400.00
04/10/2019,1.50,PVL,1.50,1.60,1.50,22500.00
03/10/2019,1.50,PVL,1.60,1.60,1.50,5200.00
02/10/2019,1.60,PVL,1.60,1.60,1.50,300.00
01/10/2019,1.60,PVL,1.50,1.60,1.50,28200.00
30/09/2019,1.60,PVL,1.60,1.60,1.60,13000.00
27/09/2019,1.60,PVL,1.50,1.60,1.50,12600.00
26/09/2019,1.60,PVL,1.60,1.60,1.60,4600.00
25/09/2019,1.70,PVL,1.60,1.70,1.60,1100.00
24/09/2019,1.70,PVL,1.60,1.70,1.50,11900.00
23/09/2019,1.60,PVL,1.70,1.70,1.60,4200.00
20/09/2019,1.70,PVL,1.60,1.70,1.60,7832.00
19/09/2019,1.60,PVL,1.70,1.70,1.60,21300.00
18/09/2019,1.70,PVL,1.70,1.70,1.60,2200.00
17/09/2019,1.70,PVL,1.60,1.70,1.60,4800.00
16/09/2019,1.60,PVL,1.60,1.80,1.60,1500.00
13/09/2019,1.70,PVL,1.70,1.80,1.60,4600.00
12/09/2019,1.70,PVL,1.70,1.70,1.70,21300.00
11/09/2019,1.80,PVL,1.70,1.80,1.70,4200.00
10/09/2019,1.80,PVL,1.70,1.80,1.70,600.00
09/09/2019,1.80,PVL,1.80,1.80,1.70,5500.00
06/09/2019,1.80,PVL,1.70,1.80,1.70,10600.00
05/09/2019,1.80,PVL,1.80,1.80,1.80,100.00
04/09/2019,1.80,PVL,1.80,1.80,1.80,100.00
03/09/2019,1.80,PVL,1.70,1.80,1.70,700.00
30/08/2019,1.80,PVL,1.80,1.80,1.60,29200.00
29/08/2019,1.70,PVL,1.70,1.70,1.70,11900.00
28/08/2019,1.80,PVL,1.70,1.80,1.70,12510.00
27/08/2019,1.80,PVL,1.70,1.80,1.70,15400.00
26/08/2019,1.70,PVL,1.70,1.70,1.70,17400.00
23/08/2019,1.80,PVL,1.90,1.90,1.80,15000.00
22/08/2019,1.90,PVL,1.80,1.90,1.80,2600.00
21/08/2019,1.90,PVL,1.80,1.90,1.80,1800.00
20/08/2019,1.90,PVL,1.80,1.90,1.80,8100.00
19/08/2019,1.90,PVL,1.90,1.90,1.80,25700.00
16/08/2019,1.90,PVL,1.80,1.90,1.80,67700.00
15/08/2019,1.90,PVL,1.80,1.90,1.80,2700.00
14/08/2019,1.80,PVL,1.80,2.00,1.80,143800.00
13/08/2019,2.00,PVL,2.00,2.00,1.80,800.00
12/08/2019,1.90,PVL,2.00,2.10,1.80,37500.00
09/08/2019,2.00,PVL,2.00,2.00,1.80,21800.00
08/08/2019,1.90,PVL,2.10,2.10,1.90,4000.00
07/08/2019,2.00,PVL,2.00,2.00,2.00,5400.00
06/08/2019,2.20,PVL,2.20,2.20,2.10,45200.00
05/08/2019,2.30,PVL,2.20,2.30,2.00,97000.00
02/08/2019,2.20,PVL,2.10,2.20,1.80,128400.00
01/08/2019,2.00,PVL,1.80,2.00,1.80,6600.00
31/07/2019,1.90,PVL,1.90,2.00,1.80,7300.00
30/07/2019,2.00,PVL,1.90,2.10,1.90,2000.00
29/07/2019,2.10,PVL,2.10,2.10,1.90,91900.00
26/07/2019,2.10,PVL,2.00,2.20,1.90,374610.00
25/07/2019,2.00,PVL,2.00,2.00,1.90,5600.00
24/07/2019,2.00,PVL,1.90,2.00,1.80,105000.00
23/07/2019,1.90,PVL,1.80,1.90,1.70,44100.00
22/07/2019,1.80,PVL,1.80,1.90,1.80,41400.00
19/07/2019,1.90,PVL,1.90,1.90,1.90,1100.00
18/07/2019,1.90,PVL,1.90,1.90,1.80,22100.00
17/07/2019,1.90,PVL,1.80,1.90,1.80,45300.00
16/07/2019,1.90,PVL,1.90,1.90,1.90,100.00
