DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,5.80,PVP,5.30,5.80,5.30,14800.00
10/01/2020,5.40,PVP,5.60,5.60,5.40,15000.00
09/01/2020,5.50,PVP,5.30,5.50,5.30,1800.00
08/01/2020,5.20,PVP,5.60,5.60,5.20,7400.00
07/01/2020,5.60,PVP,5.50,5.60,5.30,6200.00
06/01/2020,5.60,PVP,5.70,5.70,5.50,3000.00
03/01/2020,5.70,PVP,5.60,5.70,5.60,2300.00
02/01/2020,5.70,PVP,5.50,5.70,5.50,2100.00
31/12/2019,5.80,PVP,5.80,5.80,5.80,1100.00
30/12/2019,5.80,PVP,5.80,5.80,5.80,200.00
27/12/2019,5.70,PVP,5.90,5.90,5.50,3700.00
26/12/2019,5.90,PVP,5.80,5.90,5.60,24000.00
25/12/2019,5.60,PVP,5.60,5.70,5.60,9700.00
24/12/2019,5.70,PVP,5.70,5.70,5.60,6710.00
23/12/2019,5.80,PVP,5.60,5.80,5.60,4400.00
20/12/2019,5.80,PVP,5.80,5.80,5.80,100.00
19/12/2019,5.60,PVP,5.80,5.80,5.60,10900.00
18/12/2019,5.70,PVP,5.60,5.70,5.60,2600.00
17/12/2019,5.70,PVP,6.00,6.00,5.60,7500.00
16/12/2019,5.80,PVP,6.00,6.00,5.70,14100.00
13/12/2019,5.80,PVP,5.70,5.80,5.70,13900.00
12/12/2019,5.70,PVP,5.60,5.80,5.60,20700.00
11/12/2019,5.60,PVP,5.70,5.70,5.50,38400.00
10/12/2019,5.70,PVP,5.70,5.70,5.60,29100.00
09/12/2019,5.60,PVP,5.70,5.90,5.50,22800.00
06/12/2019,5.70,PVP,5.80,5.80,5.50,44649.00
05/12/2019,5.80,PVP,6.00,6.00,5.60,40100.00
04/12/2019,5.90,PVP,6.00,6.60,5.50,63200.00
03/12/2019,5.60,PVP,5.70,6.10,5.40,62800.00
02/12/2019,6.00,PVP,6.20,6.20,5.70,37100.00
29/11/2019,6.10,PVP,6.10,6.30,6.00,161100.00
28/11/2019,6.10,PVP,5.40,6.20,5.40,307549.00
27/11/2019,5.40,PVP,5.00,5.60,5.00,56700.00
26/11/2019,5.20,PVP,5.10,5.20,5.00,53720.00
25/11/2019,5.20,PVP,5.10,5.70,4.80,40220.00
22/11/2019,5.00,PVP,5.00,5.00,5.00,7200.00
21/11/2019,4.70,PVP,4.70,5.60,4.30,1161080.00
20/11/2019,5.00,PVP,5.10,5.20,4.80,37800.00
19/11/2019,5.20,PVP,5.20,5.20,5.20,11840.00
18/11/2019,5.10,PVP,5.80,5.80,5.10,181920.00
15/11/2019,5.70,PVP,6.60,6.60,5.70,102100.00
14/11/2019,6.50,PVP,6.60,6.60,6.50,2700.00
13/11/2019,6.60,PVP,6.60,6.60,6.60,10740.00
12/11/2019,6.60,PVP,6.60,6.60,6.60,500.00
11/11/2019,6.90,PVP,6.90,6.90,6.90,0.00
08/11/2019,6.90,PVP,6.90,6.90,6.90,100.00
07/11/2019,6.80,PVP,6.90,6.90,6.50,300.00
06/11/2019,6.70,PVP,6.80,6.80,6.60,3600.00
05/11/2019,6.60,PVP,6.70,6.70,6.60,750.00
04/11/2019,6.70,PVP,6.70,6.70,6.70,10.00
01/11/2019,6.70,PVP,6.80,6.80,6.70,700.00
31/10/2019,6.50,PVP,6.80,6.80,6.50,400.00
30/10/2019,6.80,PVP,6.80,6.80,6.80,0.00
29/10/2019,6.80,PVP,6.90,6.90,6.80,1100.00
28/10/2019,6.80,PVP,6.70,6.80,6.70,4210.00
25/10/2019,6.90,PVP,6.90,6.90,6.90,0.00
24/10/2019,6.90,PVP,6.90,6.90,6.90,130.00
23/10/2019,6.80,PVP,6.60,6.80,6.60,9209.00
22/10/2019,6.80,PVP,6.60,6.80,6.50,2560.00
21/10/2019,6.90,PVP,6.90,6.90,6.90,100.00
18/10/2019,6.50,PVP,6.50,6.50,6.50,801.00
17/10/2019,6.70,PVP,7.00,7.00,6.70,1000.00
16/10/2019,6.90,PVP,6.90,6.90,6.70,11820.00
15/10/2019,7.10,PVP,6.80,7.10,6.80,830.00
14/10/2019,7.10,PVP,7.10,7.10,7.10,200.00
11/10/2019,6.80,PVP,7.00,7.00,6.80,1000.00
10/10/2019,7.30,PVP,7.30,7.30,7.30,0.00
09/10/2019,7.30,PVP,7.30,7.30,7.30,0.00
08/10/2019,7.30,PVP,7.30,7.30,7.30,100.00
07/10/2019,7.00,PVP,7.00,7.00,7.00,3000.00
04/10/2019,7.00,PVP,7.00,7.10,7.00,2000.00
03/10/2019,7.00,PVP,7.00,7.10,7.00,35500.00
02/10/2019,6.90,PVP,6.90,6.90,6.90,9100.00
01/10/2019,6.90,PVP,6.90,6.90,6.90,800.00
30/09/2019,7.00,PVP,7.00,7.00,7.00,500.00
27/09/2019,7.00,PVP,6.80,7.00,6.70,2200.00
26/09/2019,7.10,PVP,7.10,7.10,7.10,2000.00
25/09/2019,7.10,PVP,7.10,7.10,7.00,11800.00
24/09/2019,7.10,PVP,7.10,7.10,7.10,19600.00
23/09/2019,7.10,PVP,7.30,7.30,7.10,21300.00
20/09/2019,7.00,PVP,7.30,7.30,7.00,38700.00
19/09/2019,7.50,PVP,7.30,7.50,7.30,22700.00
18/09/2019,7.30,PVP,7.30,7.50,7.30,17300.00
17/09/2019,7.20,PVP,7.20,7.20,7.20,100.00
16/09/2019,7.20,PVP,7.10,7.20,7.10,500.00
13/09/2019,7.10,PVP,6.90,7.10,6.90,819.00
12/09/2019,7.00,PVP,7.00,7.00,6.90,4900.00
11/09/2019,7.20,PVP,7.10,7.20,7.10,600.00
10/09/2019,7.30,PVP,7.30,7.30,7.30,11600.00
09/09/2019,7.70,PVP,7.10,7.80,7.10,74910.00
06/09/2019,7.40,PVP,7.00,8.00,7.00,23600.00
05/09/2019,7.10,PVP,7.00,7.10,7.00,2600.00
04/09/2019,6.50,PVP,6.50,6.50,6.50,0.00
03/09/2019,6.50,PVP,6.50,6.50,6.50,20.00
30/08/2019,6.50,PVP,6.50,6.50,6.50,100.00
29/08/2019,7.20,PVP,7.10,7.20,7.10,310.00
28/08/2019,6.80,PVP,6.80,6.80,6.80,0.00
27/08/2019,6.90,PVP,6.60,6.90,6.60,400.00
26/08/2019,6.40,PVP,6.40,6.40,6.40,3100.00
23/08/2019,6.40,PVP,6.40,6.40,6.40,0.00
22/08/2019,6.40,PVP,6.40,6.40,6.40,0.00
21/08/2019,6.40,PVP,6.40,6.40,6.40,1000.00
20/08/2019,6.10,PVP,6.10,6.10,6.10,0.00
19/08/2019,6.10,PVP,6.10,6.10,6.10,0.00
16/08/2019,6.10,PVP,6.10,6.10,6.10,3710.00
15/08/2019,6.20,PVP,6.00,6.20,6.00,1900.00
14/08/2019,6.00,PVP,6.00,6.00,6.00,6000.00
13/08/2019,5.60,PVP,5.60,5.60,5.60,0.00
12/08/2019,6.20,PVP,6.00,6.20,5.20,3400.00
09/08/2019,6.10,PVP,6.10,6.10,6.10,200.00
08/08/2019,6.40,PVP,6.40,6.40,6.40,2800.00
07/08/2019,5.70,PVP,5.70,5.70,5.70,0.00
06/08/2019,5.70,PVP,5.70,5.70,5.70,0.00
05/08/2019,5.70,PVP,5.70,5.70,5.70,300.00
02/08/2019,5.80,PVP,5.80,5.80,5.80,400.00
01/08/2019,6.10,PVP,6.10,6.10,6.10,500.00
31/07/2019,7.10,PVP,7.10,7.10,7.10,100.00
30/07/2019,6.30,PVP,6.30,6.30,6.30,0.00
29/07/2019,6.30,PVP,6.30,6.30,6.30,0.00
26/07/2019,6.30,PVP,6.30,6.30,6.30,0.00
25/07/2019,6.30,PVP,6.30,6.30,6.30,1600.00
24/07/2019,6.60,PVP,6.60,6.60,6.60,65.00
23/07/2019,6.40,PVP,7.00,7.00,6.40,300.00
22/07/2019,6.70,PVP,6.70,6.70,6.70,0.00
19/07/2019,6.70,PVP,6.70,6.70,6.70,0.00
18/07/2019,6.70,PVP,6.60,6.70,6.60,600.00
17/07/2019,6.90,PVP,6.90,6.90,6.90,0.00
16/07/2019,6.90,PVP,6.90,6.90,6.90,2124.00
15/07/2019,6.90,PVP,6.90,6.90,6.90,0.00
12/07/2019,6.90,PVP,6.90,6.90,6.90,300.00
11/07/2019,6.90,PVP,6.90,6.90,6.90,200.00
10/07/2019,6.90,PVP,6.90,6.90,6.90,1000.00
09/07/2019,7.00,PVP,7.00,7.00,7.00,1400.00
08/07/2019,6.90,PVP,6.90,6.90,6.90,0.00
05/07/2019,6.90,PVP,6.90,6.90,6.90,0.00
04/07/2019,6.90,PVP,6.90,6.90,6.90,0.00
03/07/2019,6.90,PVP,6.90,6.90,6.90,0.00
02/07/2019,6.90,PVP,6.90,6.90,6.90,0.00
01/07/2019,6.80,PVP,6.80,7.70,6.80,4500.00
28/06/2019,7.60,PVP,8.10,8.10,7.60,200.00
27/06/2019,7.20,PVP,7.20,7.20,7.20,0.00
26/06/2019,7.10,PVP,7.20,7.20,7.10,700.00
25/06/2019,7.30,PVP,7.30,7.30,7.30,47.00
24/06/2019,7.30,PVP,7.30,7.30,7.30,200.00
21/06/2019,7.10,PVP,7.10,7.10,7.10,563.00
20/06/2019,7.20,PVP,7.40,7.40,7.20,500.00
19/06/2019,7.00,PVP,7.00,7.00,7.00,0.00
18/06/2019,7.00,PVP,7.00,7.00,7.00,0.00
17/06/2019,7.00,PVP,7.00,7.00,7.00,500.00
14/06/2019,7.00,PVP,7.00,7.00,7.00,0.00
13/06/2019,7.00,PVP,7.00,7.00,7.00,0.00
12/06/2019,7.00,PVP,7.00,7.00,7.00,100.00
11/06/2019,7.60,PVP,7.60,7.60,7.60,0.00
10/06/2019,7.60,PVP,7.60,7.60,7.60,0.00
07/06/2019,7.60,PVP,7.60,7.60,7.60,37.00
06/06/2019,7.60,PVP,7.60,7.60,7.60,0.00
05/06/2019,7.60,PVP,7.60,7.60,7.60,0.00
04/06/2019,7.00,PVP,7.00,7.60,7.00,15600.00
03/06/2019,7.00,PVP,7.00,7.00,7.00,63.00
31/05/2019,7.00,PVP,7.00,7.00,7.00,1000.00
30/05/2019,7.10,PVP,7.10,7.10,7.10,0.00
29/05/2019,7.00,PVP,7.10,7.10,7.00,1400.00
28/05/2019,7.30,PVP,7.30,7.30,7.30,0.00
27/05/2019,7.30,PVP,7.30,7.30,7.30,100.00
24/05/2019,7.10,PVP,7.00,7.10,7.00,600.00
23/05/2019,7.00,PVP,7.00,7.00,7.00,4700.00
22/05/2019,7.00,PVP,7.00,7.00,7.00,47.00
21/05/2019,7.00,PVP,7.00,7.00,7.00,0.00
20/05/2019,7.00,PVP,7.00,7.00,7.00,1700.00
17/05/2019,7.40,PVP,7.50,7.50,7.40,12900.00
16/05/2019,8.60,PVP,8.60,8.60,8.60,0.00
15/05/2019,8.60,PVP,8.60,8.60,8.60,0.00
14/05/2019,8.60,PVP,8.60,8.60,8.60,0.00
13/05/2019,8.60,PVP,8.60,8.60,8.60,200.00
10/05/2019,9.90,PVP,9.90,9.90,9.90,0.00
09/05/2019,9.90,PVP,9.90,9.90,9.90,0.00
08/05/2019,9.90,PVP,9.90,9.90,9.90,0.00
07/05/2019,9.90,PVP,9.90,9.90,9.90,0.00
06/05/2019,9.90,PVP,9.90,9.90,9.90,0.00
03/05/2019,9.90,PVP,9.90,9.90,9.90,100.00
02/05/2019,8.90,PVP,8.90,8.90,8.90,0.00
26/04/2019,8.90,PVP,8.90,8.90,8.90,0.00
25/04/2019,8.90,PVP,8.90,8.90,8.90,100.00
24/04/2019,8.00,PVP,8.00,8.00,8.00,100.00
23/04/2019,8.50,PVP,8.50,8.50,8.50,100.00
22/04/2019,7.60,PVP,7.60,7.60,7.60,0.00
19/04/2019,7.60,PVP,7.60,7.60,7.60,0.00
18/04/2019,7.50,PVP,7.80,7.80,7.50,800.00
17/04/2019,7.70,PVP,7.70,7.70,7.70,40.00
16/04/2019,7.70,PVP,7.70,7.70,7.70,0.00
12/04/2019,7.80,PVP,7.20,7.80,7.20,600.00
11/04/2019,8.40,PVP,8.40,8.40,8.40,0.00
10/04/2019,8.40,PVP,8.40,8.40,8.40,0.00
09/04/2019,8.40,PVP,8.40,8.40,8.40,100.00
08/04/2019,7.40,PVP,7.40,7.40,7.40,200.00
05/04/2019,8.60,PVP,8.60,8.60,8.60,0.00
04/04/2019,8.60,PVP,8.60,8.60,8.60,140.00
03/04/2019,7.70,PVP,7.70,7.70,7.70,0.00
02/04/2019,7.70,PVP,7.70,7.70,7.70,100.00
01/04/2019,6.80,PVP,6.80,6.80,6.80,0.00
29/03/2019,6.80,PVP,6.80,6.80,6.80,100.00
28/03/2019,6.50,PVP,6.50,6.50,6.50,0.00
