DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,10.00,PWA,10.00,10.20,10.00,17200.00
10/01/2020,10.30,PWA,10.30,10.30,10.10,8300.00
09/01/2020,10.20,PWA,10.30,10.30,10.00,11410.00
08/01/2020,10.00,PWA,10.00,10.10,9.90,20710.00
07/01/2020,10.20,PWA,10.20,10.30,9.90,52600.00
06/01/2020,10.10,PWA,10.30,10.30,10.10,33400.00
03/01/2020,10.30,PWA,10.20,10.50,10.20,23200.00
02/01/2020,10.40,PWA,10.50,10.50,10.20,20800.00
31/12/2019,10.40,PWA,10.50,10.60,10.30,15700.00
30/12/2019,10.40,PWA,10.80,10.90,10.40,12800.00
27/12/2019,10.50,PWA,10.80,10.90,10.40,8412.00
26/12/2019,10.70,PWA,10.80,10.80,10.40,8700.00
25/12/2019,10.30,PWA,10.60,10.60,9.50,59500.00
24/12/2019,10.60,PWA,10.70,10.80,10.60,26108.00
23/12/2019,10.60,PWA,10.50,10.80,10.50,24112.00
20/12/2019,10.50,PWA,10.60,10.70,10.50,16300.00
19/12/2019,10.60,PWA,10.50,11.00,10.50,16100.00
18/12/2019,10.70,PWA,10.70,10.70,10.50,18100.00
17/12/2019,10.60,PWA,10.60,11.20,10.60,17700.00
16/12/2019,10.60,PWA,10.80,10.80,10.50,41200.00
13/12/2019,10.90,PWA,10.80,11.20,10.80,28300.00
12/12/2019,10.90,PWA,10.90,11.00,10.70,17700.00
11/12/2019,11.00,PWA,11.20,11.60,10.90,69400.00
10/12/2019,11.90,PWA,12.10,12.10,11.30,60400.00
09/12/2019,12.00,PWA,11.40,12.50,11.40,51940.00
06/12/2019,11.70,PWA,10.70,11.90,10.40,117730.00
05/12/2019,10.40,PWA,10.20,10.60,10.20,25500.00
04/12/2019,10.40,PWA,10.30,10.40,10.00,13320.00
03/12/2019,10.40,PWA,10.10,10.80,10.10,25320.00
02/12/2019,10.50,PWA,11.30,11.30,10.50,16900.00
29/11/2019,10.80,PWA,11.20,11.20,10.70,22820.00
28/11/2019,11.10,PWA,11.10,11.40,10.70,32600.00
27/11/2019,11.50,PWA,11.20,11.70,11.20,13410.00
26/11/2019,11.70,PWA,11.50,11.70,11.50,2400.00
25/11/2019,11.80,PWA,11.60,11.80,11.20,11420.00
22/11/2019,12.00,PWA,12.00,12.80,11.60,46432.00
21/11/2019,12.00,PWA,11.70,12.00,11.30,50330.00
20/11/2019,11.40,PWA,10.90,11.50,10.90,41482.00
19/11/2019,10.90,PWA,10.90,11.00,10.80,42810.00
18/11/2019,10.90,PWA,11.00,11.10,10.90,16610.00
15/11/2019,11.30,PWA,10.60,12.00,10.50,36908.00
14/11/2019,10.80,PWA,10.90,10.90,10.40,42750.00
13/11/2019,10.90,PWA,11.10,11.20,10.50,90080.00
12/11/2019,11.20,PWA,10.80,11.60,10.80,56184.00
11/11/2019,11.30,PWA,12.00,12.00,10.40,75840.00
08/11/2019,12.10,PWA,12.40,12.40,12.00,28200.00
07/11/2019,12.20,PWA,12.40,12.50,12.00,76500.00
06/11/2019,12.50,PWA,12.70,12.80,12.30,39210.00
05/11/2019,12.60,PWA,12.80,13.10,12.60,28220.00
04/11/2019,12.90,PWA,12.90,13.30,12.00,40010.00
01/11/2019,13.10,PWA,12.90,13.30,12.80,43810.00
