DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,27.10,QNS,26.80,27.30,26.80,64447.00
10/01/2020,26.90,QNS,26.60,27.00,26.60,115362.00
09/01/2020,26.70,QNS,26.50,26.80,26.50,72650.00
08/01/2020,26.60,QNS,26.80,26.80,26.50,120052.00
07/01/2020,26.90,QNS,27.00,27.00,26.70,66448.00
06/01/2020,27.00,QNS,27.50,27.50,26.80,54894.00
03/01/2020,27.50,QNS,26.80,27.90,26.80,43337.00
02/01/2020,27.00,QNS,27.00,27.10,26.50,411669.00
31/12/2019,27.00,QNS,28.30,28.30,27.00,188308.00
30/12/2019,28.10,QNS,28.60,28.60,28.10,75356.00
27/12/2019,28.70,QNS,28.70,28.70,28.60,40839.00
26/12/2019,28.70,QNS,28.70,28.80,28.70,112145.00
25/12/2019,28.60,QNS,28.80,28.80,28.60,79800.00
24/12/2019,28.80,QNS,28.80,28.90,28.70,85107.00
23/12/2019,28.90,QNS,28.80,29.00,28.70,102017.00
20/12/2019,28.90,QNS,29.00,29.00,28.80,50645.00
19/12/2019,29.00,QNS,29.10,29.10,28.90,188281.00
18/12/2019,29.10,QNS,29.40,29.40,29.10,83360.00
17/12/2019,29.40,QNS,29.40,29.40,29.20,145805.00
16/12/2019,29.30,QNS,29.50,29.50,29.30,122820.00
13/12/2019,29.50,QNS,29.50,29.60,29.50,95131.00
12/12/2019,29.50,QNS,29.50,29.60,29.40,229027.00
11/12/2019,29.50,QNS,29.50,29.60,29.50,142257.00
10/12/2019,29.50,QNS,29.70,29.70,29.50,188095.00
09/12/2019,29.70,QNS,29.30,29.80,29.30,196170.00
06/12/2019,29.40,QNS,29.40,29.50,29.20,210790.00
05/12/2019,29.50,QNS,29.50,29.80,29.40,135697.00
04/12/2019,29.50,QNS,29.50,29.60,29.40,75467.00
03/12/2019,29.60,QNS,29.50,29.70,29.40,109985.00
02/12/2019,29.30,QNS,29.50,29.60,29.30,40450.00
29/11/2019,29.70,QNS,29.60,29.70,29.40,82453.00
28/11/2019,29.90,QNS,29.90,29.90,29.60,107668.00
27/11/2019,29.80,QNS,30.00,30.00,29.70,36168.00
26/11/2019,29.80,QNS,30.00,30.00,29.80,61615.00
25/11/2019,29.80,QNS,30.10,30.10,29.70,98048.00
22/11/2019,30.20,QNS,30.40,30.50,30.00,204190.00
21/11/2019,30.50,QNS,30.20,30.50,30.20,104102.00
20/11/2019,30.50,QNS,30.60,30.60,30.20,175140.00
19/11/2019,30.50,QNS,30.50,30.50,30.10,292017.00
18/11/2019,30.50,QNS,30.50,30.60,30.20,243580.00
15/11/2019,30.50,QNS,30.10,30.70,30.00,328624.00
14/11/2019,30.10,QNS,29.50,30.10,29.50,996793.00
13/11/2019,29.50,QNS,29.30,29.80,29.20,328098.00
12/11/2019,29.30,QNS,29.10,29.30,29.10,104037.00
11/11/2019,29.10,QNS,29.10,29.20,29.00,100256.00
08/11/2019,29.10,QNS,29.00,29.30,29.00,204621.00
07/11/2019,29.00,QNS,29.00,29.20,28.90,50248.00
06/11/2019,29.00,QNS,29.00,29.30,28.80,32626.00
05/11/2019,29.00,QNS,29.10,29.20,28.90,68730.00
04/11/2019,29.10,QNS,29.20,29.50,29.00,126313.00
01/11/2019,29.20,QNS,29.30,29.60,29.00,35400.00
31/10/2019,29.20,QNS,29.50,29.80,29.10,105858.00
30/10/2019,29.40,QNS,28.70,29.50,28.70,526015.00
29/10/2019,29.00,QNS,28.80,29.00,28.70,303680.00
28/10/2019,28.80,QNS,28.90,28.90,28.70,191152.00
25/10/2019,29.00,QNS,29.10,29.10,28.90,71068.00
24/10/2019,29.10,QNS,29.30,29.30,29.00,98399.00
