DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,12.90,QTP,12.90,12.90,12.90,500.00
10/01/2020,12.80,QTP,12.80,12.80,12.80,0.00
09/01/2020,12.80,QTP,12.80,12.80,12.80,540.00
08/01/2020,11.80,QTP,12.30,12.30,11.80,210.00
07/01/2020,12.00,QTP,11.00,12.00,11.00,17800.00
06/01/2020,11.00,QTP,11.10,11.40,10.90,17800.00
03/01/2020,11.20,QTP,11.30,11.40,11.20,600.00
02/01/2020,11.20,QTP,11.40,11.40,11.20,11700.00
31/12/2019,11.40,QTP,11.40,11.40,11.40,3200.00
30/12/2019,11.00,QTP,11.20,11.20,11.00,1547.00
27/12/2019,11.30,QTP,11.30,11.30,11.30,300.00
26/12/2019,11.40,QTP,11.40,11.40,11.40,100.00
25/12/2019,11.60,QTP,10.80,11.60,10.70,1100.00
24/12/2019,11.00,QTP,11.00,11.00,11.00,11830.00
23/12/2019,11.30,QTP,11.30,11.30,11.30,500.00
20/12/2019,11.50,QTP,11.10,11.50,11.10,2100.00
19/12/2019,11.70,QTP,10.60,11.70,10.60,1430.00
18/12/2019,11.00,QTP,11.30,11.30,11.00,12690.00
17/12/2019,11.70,QTP,12.10,12.10,11.70,334.00
16/12/2019,12.20,QTP,11.10,12.20,11.10,1700.00
13/12/2019,11.80,QTP,11.70,11.80,11.70,7700.00
12/12/2019,11.90,QTP,11.50,11.90,11.50,200.00
11/12/2019,11.20,QTP,11.20,11.20,11.20,200.00
10/12/2019,11.20,QTP,11.30,11.30,11.20,1800.00
09/12/2019,11.30,QTP,11.30,11.30,11.30,1000.00
06/12/2019,11.30,QTP,11.10,11.30,11.10,1200.00
05/12/2019,11.30,QTP,10.40,11.50,10.40,2700.00
04/12/2019,12.40,QTP,10.40,12.40,10.40,220.00
03/12/2019,11.50,QTP,10.10,11.50,10.10,7900.00
02/12/2019,11.50,QTP,11.20,11.60,11.20,5200.00
29/11/2019,11.60,QTP,11.20,11.70,11.20,800.00
28/11/2019,11.70,QTP,11.80,11.80,11.70,2700.00
27/11/2019,11.90,QTP,11.80,11.90,11.60,2300.00
26/11/2019,11.60,QTP,11.60,11.90,11.60,4500.00
25/11/2019,12.00,QTP,13.00,13.00,12.00,200.00
22/11/2019,11.50,QTP,11.70,12.00,11.50,5800.00
21/11/2019,12.00,QTP,12.20,12.20,11.60,3300.00
20/11/2019,13.00,QTP,11.40,13.00,11.40,300.00
19/11/2019,12.90,QTP,13.80,13.80,12.50,33470.00
18/11/2019,12.80,QTP,11.50,12.80,11.50,41114.00
15/11/2019,11.20,QTP,11.20,11.20,11.20,100.00
14/11/2019,11.20,QTP,11.30,11.30,10.90,12700.00
13/11/2019,11.30,QTP,11.30,11.30,11.30,0.00
12/11/2019,11.30,QTP,11.30,11.30,11.30,700.00
11/11/2019,11.30,QTP,11.30,11.30,11.30,100.00
08/11/2019,11.20,QTP,11.20,11.20,10.80,1600.00
07/11/2019,11.30,QTP,10.90,11.30,10.90,300.00
06/11/2019,11.40,QTP,11.30,11.40,11.30,200.00
05/11/2019,11.20,QTP,11.20,11.20,11.20,0.00
04/11/2019,11.20,QTP,11.10,11.20,10.80,11200.00
01/11/2019,11.40,QTP,11.20,11.40,11.00,12600.00
31/10/2019,11.40,QTP,11.40,11.40,11.40,100.00
30/10/2019,11.20,QTP,11.20,11.20,11.20,5400.00
29/10/2019,11.20,QTP,11.30,11.30,11.20,3300.00
28/10/2019,11.20,QTP,11.30,11.30,11.20,6400.00
25/10/2019,11.40,QTP,11.40,11.40,11.40,2200.00
24/10/2019,11.10,QTP,11.40,11.40,11.10,15100.00
23/10/2019,11.50,QTP,11.40,11.70,11.30,121600.00
22/10/2019,11.40,QTP,11.40,11.40,11.40,4200.00
21/10/2019,11.40,QTP,11.30,11.90,11.20,14700.00
18/10/2019,11.40,QTP,11.40,11.50,11.00,16000.00
17/10/2019,11.40,QTP,11.50,11.50,11.40,2800.00
16/10/2019,11.50,QTP,11.30,11.60,11.30,6500.00
15/10/2019,11.30,QTP,11.40,11.50,11.30,14900.00
14/10/2019,11.20,QTP,11.20,11.20,11.20,800.00
11/10/2019,11.20,QTP,10.90,11.20,10.80,19200.00
10/10/2019,11.40,QTP,11.10,11.40,10.30,11200.00
09/10/2019,11.20,QTP,11.10,11.20,11.00,6900.00
08/10/2019,11.70,QTP,11.40,11.70,11.40,500.00
07/10/2019,11.10,QTP,11.20,11.20,11.10,3100.00
04/10/2019,11.20,QTP,11.20,11.20,11.20,3400.00
03/10/2019,11.70,QTP,11.70,11.70,11.70,100.00
02/10/2019,11.30,QTP,11.30,11.30,11.10,600.00
01/10/2019,11.30,QTP,11.30,11.30,11.30,1400.00
30/09/2019,11.30,QTP,11.10,11.30,11.10,200.00
27/09/2019,11.40,QTP,11.10,11.40,11.00,2700.00
26/09/2019,11.00,QTP,11.20,11.20,11.00,22500.00
25/09/2019,11.40,QTP,11.40,11.40,11.40,1000.00
24/09/2019,11.20,QTP,11.40,11.40,11.20,3800.00
23/09/2019,11.30,QTP,11.30,11.30,11.30,800.00
20/09/2019,11.30,QTP,11.20,11.30,11.20,1400.00
19/09/2019,11.20,QTP,11.40,11.40,11.20,3100.00
18/09/2019,11.20,QTP,11.20,11.20,11.20,500.00
17/09/2019,11.20,QTP,11.30,11.30,11.00,400.00
16/09/2019,10.90,QTP,10.90,10.90,10.90,200.00
13/09/2019,11.30,QTP,11.30,11.30,11.30,100.00
