DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,14.80,SBA,14.90,15.00,14.80,4240.00
10/01/2020,14.90,SBA,14.80,14.95,14.80,2010.00
09/01/2020,14.80,SBA,15.40,15.40,14.80,160.00
08/01/2020,14.80,SBA,15.00,15.00,14.80,8940.00
07/01/2020,14.80,SBA,15.10,15.10,14.80,11040.00
06/01/2020,14.90,SBA,14.90,14.90,14.90,1000.00
03/01/2020,15.00,SBA,15.00,15.00,15.00,10850.00
02/01/2020,15.00,SBA,15.00,15.10,14.90,32350.00
31/12/2019,15.00,SBA,14.95,15.00,14.95,3000.00
30/12/2019,15.00,SBA,15.00,15.00,15.00,19000.00
27/12/2019,15.00,SBA,15.50,15.50,14.50,26200.00
26/12/2019,15.05,SBA,15.20,15.55,15.00,1150.00
25/12/2019,15.70,SBA,16.00,16.00,15.15,2570.00
24/12/2019,15.10,SBA,15.00,15.10,15.00,28050.00
23/12/2019,15.00,SBA,15.00,15.05,15.00,34050.00
20/12/2019,15.00,SBA,15.00,15.00,15.00,1000.00
19/12/2019,15.00,SBA,15.00,15.00,15.00,6300.00
18/12/2019,15.00,SBA,15.40,15.40,15.00,16740.00
17/12/2019,14.90,SBA,15.00,15.00,14.85,20790.00
16/12/2019,15.15,SBA,15.20,15.20,14.85,50930.00
13/12/2019,15.80,SBA,15.05,15.80,15.05,6790.00
12/12/2019,15.05,SBA,15.05,15.10,15.05,27230.00
11/12/2019,15.20,SBA,15.00,15.20,15.00,5620.00
10/12/2019,15.00,SBA,15.20,15.20,15.00,12800.00
09/12/2019,14.90,SBA,15.00,15.25,14.90,22030.00
06/12/2019,15.30,SBA,15.20,15.30,15.20,11200.00
05/12/2019,15.20,SBA,15.20,15.20,15.20,2200.00
04/12/2019,15.10,SBA,15.10,15.10,15.10,26660.00
03/12/2019,15.10,SBA,15.00,15.10,15.00,19880.00
02/12/2019,15.10,SBA,15.10,15.30,15.00,18440.00
29/11/2019,15.10,SBA,15.00,15.10,14.20,5100.00
28/11/2019,15.00,SBA,15.10,15.20,15.00,19610.00
27/11/2019,15.30,SBA,15.05,15.30,15.05,37590.00
26/11/2019,15.10,SBA,15.05,15.20,15.05,6770.00
25/11/2019,15.00,SBA,15.00,15.05,15.00,37310.00
22/11/2019,15.00,SBA,15.00,15.05,15.00,13410.00
21/11/2019,15.00,SBA,15.00,15.05,15.00,39130.00
20/11/2019,15.00,SBA,15.10,15.10,15.00,31830.00
19/11/2019,15.00,SBA,15.00,15.00,14.80,3990.00
18/11/2019,14.80,SBA,14.80,14.80,14.70,3220.00
15/11/2019,14.80,SBA,14.85,14.85,14.80,23280.00
14/11/2019,14.95,SBA,14.95,14.95,14.70,30040.00
13/11/2019,14.95,SBA,14.70,14.95,14.70,11420.00
12/11/2019,14.90,SBA,14.85,14.90,14.85,2000.00
11/11/2019,14.90,SBA,14.75,14.90,14.70,23650.00
08/11/2019,14.65,SBA,14.60,14.65,14.60,3840.00
07/11/2019,14.60,SBA,14.50,14.70,14.50,29360.00
06/11/2019,14.80,SBA,14.80,14.80,14.70,30690.00
05/11/2019,14.70,SBA,14.65,14.70,14.65,5210.00
04/11/2019,14.65,SBA,14.50,14.65,14.50,2270.00
01/11/2019,14.60,SBA,14.60,14.60,14.50,36480.00
31/10/2019,14.50,SBA,14.65,14.65,14.50,13340.00
30/10/2019,14.85,SBA,14.70,14.85,14.70,110.00
29/10/2019,14.40,SBA,14.90,14.90,14.35,14260.00
28/10/2019,14.35,SBA,14.50,14.50,14.00,47450.00
25/10/2019,14.50,SBA,14.50,14.55,14.50,28200.00
24/10/2019,14.50,SBA,14.50,14.50,14.50,4640.00
23/10/2019,14.50,SBA,14.55,14.55,14.30,25390.00
22/10/2019,14.70,SBA,14.60,14.70,14.40,66340.00
21/10/2019,14.60,SBA,14.60,14.60,14.50,24600.00
18/10/2019,14.60,SBA,14.70,14.70,14.55,20820.00
17/10/2019,14.60,SBA,14.60,14.60,14.60,11600.00
16/10/2019,14.60,SBA,14.70,14.70,14.55,7760.00
15/10/2019,14.70,SBA,14.80,14.80,14.70,7920.00
14/10/2019,14.80,SBA,14.65,14.80,14.60,38680.00
11/10/2019,14.80,SBA,14.65,14.80,14.65,210.00
10/10/2019,14.80,SBA,14.70,14.80,14.70,16510.00
09/10/2019,14.80,SBA,14.60,14.80,14.60,470.00
