DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,1.10,SBS,1.10,1.20,1.00,153200.00
10/01/2020,1.10,SBS,1.10,1.10,1.10,90200.00
09/01/2020,1.10,SBS,1.10,1.10,1.00,87200.00
08/01/2020,1.10,SBS,1.10,1.10,1.10,37300.00
07/01/2020,1.10,SBS,1.10,1.20,1.10,155200.00
06/01/2020,1.10,SBS,1.10,1.20,1.00,121514.00
03/01/2020,1.10,SBS,1.20,1.20,1.10,4500.00
02/01/2020,1.20,SBS,1.10,1.20,1.10,64400.00
31/12/2019,1.00,SBS,1.10,1.10,1.00,154300.00
30/12/2019,1.10,SBS,1.10,1.10,1.10,53420.00
27/12/2019,1.10,SBS,1.10,1.20,1.00,99606.00
26/12/2019,1.10,SBS,1.20,1.20,1.10,69206.00
25/12/2019,1.20,SBS,1.10,1.20,1.10,65100.00
24/12/2019,1.10,SBS,1.10,1.20,1.10,57446.00
23/12/2019,1.10,SBS,1.20,1.20,1.10,142410.00
20/12/2019,1.20,SBS,1.10,1.20,1.10,61900.00
19/12/2019,1.10,SBS,1.10,1.10,1.00,130200.00
18/12/2019,1.10,SBS,1.10,1.20,1.10,134900.00
17/12/2019,1.10,SBS,1.10,1.20,1.00,257070.00
16/12/2019,1.10,SBS,1.00,1.20,1.00,341039.00
13/12/2019,1.00,SBS,1.10,1.10,1.00,186100.00
12/12/2019,1.00,SBS,1.10,1.10,1.00,51260.00
11/12/2019,1.00,SBS,1.10,1.10,1.00,41900.00
10/12/2019,1.00,SBS,1.00,1.10,1.00,37209.00
09/12/2019,1.10,SBS,1.10,1.10,1.00,39900.00
06/12/2019,1.00,SBS,1.10,1.10,1.00,41100.00
05/12/2019,1.10,SBS,1.10,1.10,0.90,49800.00
04/12/2019,1.10,SBS,1.00,1.10,1.00,88400.00
03/12/2019,1.10,SBS,1.10,1.10,1.00,89700.00
02/12/2019,1.00,SBS,1.00,1.10,1.00,156120.00
29/11/2019,1.00,SBS,1.00,1.10,1.00,94400.00
28/11/2019,1.00,SBS,1.10,1.10,1.00,20400.00
27/11/2019,1.00,SBS,1.10,1.10,1.00,45700.00
26/11/2019,1.10,SBS,1.10,1.10,1.00,40900.00
25/11/2019,1.00,SBS,1.00,1.10,1.00,75510.00
22/11/2019,1.00,SBS,1.00,1.10,1.00,27800.00
21/11/2019,1.00,SBS,1.10,1.10,1.00,530990.00
20/11/2019,1.10,SBS,1.10,1.10,1.00,802820.00
19/11/2019,1.10,SBS,1.00,1.10,1.00,54230.00
18/11/2019,1.00,SBS,1.10,1.10,1.00,159410.00
15/11/2019,1.10,SBS,1.10,1.20,1.00,254400.00
14/11/2019,1.20,SBS,1.10,1.20,1.00,321400.00
13/11/2019,1.10,SBS,1.10,1.10,1.00,420200.00
12/11/2019,1.10,SBS,1.10,1.10,1.10,812360.00
11/11/2019,1.20,SBS,1.20,1.20,1.10,16900.00
08/11/2019,1.10,SBS,1.20,1.20,1.10,14850.00
07/11/2019,1.20,SBS,1.20,1.20,1.20,73660.00
06/11/2019,1.20,SBS,1.10,1.20,1.10,174100.00
05/11/2019,1.10,SBS,1.10,1.20,1.10,43200.00
04/11/2019,1.10,SBS,1.20,1.20,1.10,29000.00
01/11/2019,1.20,SBS,1.20,1.20,1.10,191950.00
31/10/2019,1.20,SBS,1.20,1.20,1.20,96100.00
30/10/2019,1.20,SBS,1.20,1.30,1.10,332416.00
