DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,29.40,SC5,29.40,29.40,29.40,0.00
10/01/2020,29.40,SC5,29.40,29.40,29.40,10.00
09/01/2020,27.75,SC5,27.75,27.75,27.75,0.00
08/01/2020,27.75,SC5,27.75,27.75,27.75,10.00
07/01/2020,26.30,SC5,26.30,26.30,26.30,0.00
06/01/2020,26.30,SC5,26.30,26.30,26.30,0.00
03/01/2020,26.30,SC5,26.30,26.30,26.30,10.00
02/01/2020,24.90,SC5,24.90,24.90,24.90,0.00
31/12/2019,24.90,SC5,24.90,24.90,24.90,0.00
30/12/2019,24.90,SC5,24.90,24.90,24.90,0.00
27/12/2019,24.90,SC5,24.90,24.90,24.90,0.00
26/12/2019,24.90,SC5,24.90,24.90,24.90,0.00
25/12/2019,24.90,SC5,24.90,24.90,24.90,0.00
24/12/2019,24.90,SC5,24.90,24.90,24.90,0.00
23/12/2019,24.90,SC5,24.90,24.90,24.90,0.00
20/12/2019,24.90,SC5,24.90,24.90,24.90,0.00
19/12/2019,24.90,SC5,24.90,24.90,24.90,0.00
18/12/2019,24.90,SC5,24.90,24.90,24.90,0.00
17/12/2019,24.90,SC5,24.90,24.90,24.90,0.00
16/12/2019,24.90,SC5,24.90,24.90,24.90,0.00
13/12/2019,24.90,SC5,24.90,24.90,24.90,0.00
12/12/2019,24.90,SC5,24.90,24.90,24.90,0.00
11/12/2019,24.90,SC5,24.90,24.90,24.90,0.00
10/12/2019,24.90,SC5,24.90,24.90,24.90,0.00
09/12/2019,24.90,SC5,24.90,24.90,24.90,0.00
06/12/2019,24.90,SC5,24.90,24.90,24.90,10.00
05/12/2019,24.95,SC5,23.75,25.30,23.75,50.00
04/12/2019,23.75,SC5,23.75,23.75,23.75,0.00
03/12/2019,23.75,SC5,23.70,23.75,23.70,20.00
02/12/2019,23.75,SC5,21.25,23.75,21.25,1030.00
29/11/2019,22.75,SC5,22.75,22.75,22.75,0.00
28/11/2019,22.75,SC5,22.70,22.75,22.70,190.00
27/11/2019,22.75,SC5,21.35,22.75,20.50,880.00
