DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,2.90,SCC,2.90,2.90,2.90,100.00
10/01/2020,3.30,SCC,3.30,3.30,3.30,0.00
09/01/2020,3.30,SCC,3.30,3.30,3.30,0.00
08/01/2020,3.30,SCC,3.30,3.30,3.30,0.00
07/01/2020,3.30,SCC,3.30,3.30,3.30,0.00
06/01/2020,3.30,SCC,3.30,3.30,3.30,0.00
03/01/2020,3.30,SCC,3.30,3.30,3.30,200.00
02/01/2020,3.80,SCC,3.80,3.80,3.80,100.00
31/12/2019,4.40,SCC,4.40,4.40,4.40,100.00
30/12/2019,4.30,SCC,5.10,5.10,4.30,4600.00
27/12/2019,5.00,SCC,5.00,5.00,5.00,2500.00
26/12/2019,4.80,SCC,4.80,4.80,4.80,100.00
25/12/2019,4.20,SCC,4.20,4.20,4.20,0.00
24/12/2019,4.20,SCC,4.20,4.20,4.20,100.00
23/12/2019,3.70,SCC,3.70,3.70,3.70,100.00
20/12/2019,3.30,SCC,3.30,3.30,3.30,0.00
19/12/2019,3.30,SCC,3.30,3.30,3.30,100.00
18/12/2019,2.90,SCC,2.90,2.90,2.90,230.00
17/12/2019,2.60,SCC,2.70,2.70,2.60,5000.00
16/12/2019,2.40,SCC,2.40,2.40,2.40,0.00
13/12/2019,2.40,SCC,2.40,2.40,2.40,0.00
12/12/2019,2.30,SCC,2.60,2.60,2.30,4300.00
11/12/2019,2.60,SCC,2.60,2.60,2.60,200.00
10/12/2019,3.00,SCC,3.00,3.00,3.00,0.00
09/12/2019,3.00,SCC,3.00,3.00,3.00,100.00
06/12/2019,3.50,SCC,3.50,3.50,3.50,0.00
05/12/2019,3.50,SCC,3.50,3.50,3.50,100.00
04/12/2019,3.10,SCC,3.10,3.10,3.10,0.00
03/12/2019,3.10,SCC,3.10,3.10,3.10,0.00
02/12/2019,3.10,SCC,3.10,3.10,3.10,0.00
29/11/2019,3.10,SCC,3.10,3.10,3.10,0.00
28/11/2019,3.10,SCC,3.10,3.10,3.10,0.00
