DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,2.40,SCJ,2.40,2.40,2.40,100.00
10/01/2020,2.20,SCJ,2.20,2.20,2.20,200.00
09/01/2020,2.00,SCJ,2.00,2.00,2.00,100.00
08/01/2020,2.00,SCJ,2.00,2.00,2.00,100.00
07/01/2020,2.10,SCJ,1.90,2.10,1.90,3200.00
06/01/2020,1.90,SCJ,1.90,1.90,1.90,100.00
03/01/2020,2.00,SCJ,2.00,2.00,2.00,100.00
02/01/2020,2.30,SCJ,2.30,2.30,2.30,2600.00
31/12/2019,2.10,SCJ,2.20,2.20,2.10,300.00
30/12/2019,2.00,SCJ,1.90,2.00,1.90,700.00
27/12/2019,2.00,SCJ,1.90,2.00,1.90,4500.00
26/12/2019,1.90,SCJ,1.90,1.90,1.90,0.00
25/12/2019,1.90,SCJ,1.90,1.90,1.90,100.00
24/12/2019,2.00,SCJ,2.00,2.00,2.00,100.00
23/12/2019,2.00,SCJ,2.10,2.40,2.00,300.00
20/12/2019,1.90,SCJ,2.30,2.30,1.80,2300.00
19/12/2019,2.00,SCJ,2.00,2.00,2.00,20.00
18/12/2019,1.90,SCJ,2.00,2.00,1.90,200.00
17/12/2019,2.10,SCJ,2.10,2.10,2.10,300.00
16/12/2019,2.30,SCJ,2.00,2.30,2.00,1400.00
13/12/2019,1.90,SCJ,2.00,2.00,1.90,400.00
12/12/2019,2.20,SCJ,2.00,2.20,2.00,670.00
11/12/2019,2.10,SCJ,2.10,2.30,2.10,800.00
10/12/2019,2.30,SCJ,2.00,2.30,1.90,1500.00
09/12/2019,2.30,SCJ,2.20,2.30,2.20,3200.00
06/12/2019,2.20,SCJ,2.20,2.20,2.20,400.00
05/12/2019,2.30,SCJ,2.30,2.30,2.30,100.00
04/12/2019,2.40,SCJ,2.50,2.50,2.30,3600.00
03/12/2019,2.60,SCJ,2.60,2.60,2.60,100.00
02/12/2019,2.90,SCJ,2.90,2.90,2.90,0.00
29/11/2019,2.90,SCJ,2.90,2.90,2.90,300.00
28/11/2019,3.30,SCJ,3.30,3.30,3.30,3500.00
27/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
26/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
25/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
22/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
21/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
20/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
19/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
18/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
15/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
14/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
13/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
12/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
11/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
08/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
07/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
06/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
05/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
04/11/2019,3.80,SCJ,3.80,3.80,3.80,0.00
01/11/2019,3.80,SCJ,3.60,3.80,3.60,3000.00
31/10/2019,3.60,SCJ,3.60,3.60,3.60,0.00
30/10/2019,3.60,SCJ,3.60,3.60,3.60,0.00
29/10/2019,3.60,SCJ,3.60,3.60,3.60,0.00
28/10/2019,3.60,SCJ,3.60,3.60,3.60,0.00
25/10/2019,3.60,SCJ,3.60,3.60,3.60,0.00
24/10/2019,3.60,SCJ,3.60,3.60,3.60,0.00
23/10/2019,4.10,SCJ,3.40,4.10,3.40,1500.00
22/10/2019,3.90,SCJ,3.90,3.90,3.90,30400.00
21/10/2019,4.50,SCJ,4.50,4.50,4.50,0.00
18/10/2019,4.50,SCJ,4.50,4.50,4.50,0.00
17/10/2019,4.50,SCJ,4.50,4.50,4.50,0.00
16/10/2019,4.50,SCJ,4.50,4.50,4.50,0.00
15/10/2019,4.50,SCJ,4.50,4.50,4.50,0.00
14/10/2019,4.50,SCJ,4.50,4.50,4.50,0.00
11/10/2019,4.50,SCJ,4.50,4.50,4.50,0.00
10/10/2019,4.50,SCJ,4.50,4.50,4.50,0.00
09/10/2019,4.50,SCJ,4.50,4.50,4.50,0.00
08/10/2019,4.50,SCJ,4.50,4.50,4.50,0.00
07/10/2019,4.50,SCJ,4.50,4.50,4.50,100.00
04/10/2019,4.00,SCJ,4.00,4.00,4.00,0.00
03/10/2019,4.00,SCJ,4.00,4.00,4.00,100.00
02/10/2019,3.50,SCJ,3.50,3.50,3.50,0.00
01/10/2019,3.60,SCJ,2.40,3.60,2.40,8900.00
30/09/2019,3.70,SCJ,3.70,3.70,3.70,0.00
27/09/2019,3.70,SCJ,3.70,3.70,3.70,0.00
26/09/2019,3.70,SCJ,3.70,3.70,3.70,0.00
25/09/2019,3.70,SCJ,3.70,3.70,3.70,0.00
24/09/2019,3.70,SCJ,3.70,3.70,3.70,0.00
23/09/2019,3.70,SCJ,3.70,3.70,3.70,0.00
20/09/2019,3.70,SCJ,3.70,3.70,3.70,0.00
19/09/2019,3.70,SCJ,3.70,3.70,3.70,0.00
18/09/2019,3.70,SCJ,3.70,3.70,3.70,0.00
17/09/2019,3.70,SCJ,3.70,3.70,3.70,0.00
16/09/2019,3.70,SCJ,3.70,3.70,3.70,0.00
13/09/2019,3.70,SCJ,3.70,3.70,3.70,0.00
12/09/2019,3.70,SCJ,3.70,3.70,3.70,0.00
11/09/2019,3.70,SCJ,3.70,3.70,3.70,0.00
10/09/2019,3.70,SCJ,3.70,3.70,3.70,0.00
