DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,4.50,SCL,4.50,4.50,4.50,0.00
10/01/2020,4.50,SCL,4.50,4.50,4.50,15.00
09/01/2020,4.50,SCL,4.50,4.50,4.50,0.00
08/01/2020,4.50,SCL,4.50,4.50,4.50,0.00
07/01/2020,4.50,SCL,4.50,4.50,4.50,0.00
06/01/2020,4.50,SCL,4.50,4.50,4.50,0.00
03/01/2020,4.50,SCL,4.50,4.50,4.50,0.00
02/01/2020,4.50,SCL,4.50,4.50,4.50,100.00
31/12/2019,4.10,SCL,4.10,4.10,4.10,5300.00
30/12/2019,4.50,SCL,4.50,4.50,4.50,0.00
27/12/2019,4.50,SCL,4.50,4.50,4.50,100.00
26/12/2019,4.10,SCL,4.10,4.10,4.10,8800.00
25/12/2019,4.50,SCL,4.50,4.50,4.50,0.00
24/12/2019,4.50,SCL,4.50,4.50,4.50,0.00
23/12/2019,4.50,SCL,4.50,4.50,4.50,0.00
20/12/2019,4.50,SCL,4.50,4.50,4.50,0.00
19/12/2019,4.50,SCL,4.50,4.50,4.50,100.00
18/12/2019,4.30,SCL,4.30,4.30,4.30,200.00
17/12/2019,4.20,SCL,4.20,4.20,4.20,0.00
16/12/2019,4.20,SCL,4.20,4.20,4.20,100.00
13/12/2019,3.90,SCL,3.90,3.90,3.90,0.00
12/12/2019,3.90,SCL,3.90,3.90,3.90,0.00
11/12/2019,3.90,SCL,3.90,3.90,3.90,0.00
10/12/2019,3.90,SCL,3.90,3.90,3.90,100.00
09/12/2019,3.60,SCL,3.60,3.60,3.60,0.00
06/12/2019,3.60,SCL,3.60,3.60,3.60,0.00
05/12/2019,3.60,SCL,3.60,3.60,3.60,0.00
04/12/2019,3.60,SCL,3.60,3.60,3.60,0.00
03/12/2019,3.60,SCL,3.60,3.60,3.60,0.00
02/12/2019,3.60,SCL,3.60,3.60,3.60,0.00
29/11/2019,3.60,SCL,3.60,3.60,3.60,0.00
28/11/2019,3.60,SCL,3.60,3.60,3.60,100.00
27/11/2019,4.00,SCL,4.00,4.00,4.00,0.00
26/11/2019,4.00,SCL,4.00,4.00,4.00,0.00
25/11/2019,4.00,SCL,4.00,4.00,4.00,0.00
22/11/2019,4.00,SCL,4.00,4.00,4.00,100.00
21/11/2019,3.70,SCL,3.70,3.70,3.70,1000.00
20/11/2019,4.10,SCL,4.10,4.10,4.10,0.00
19/11/2019,4.10,SCL,4.10,4.10,4.10,2000.00
18/11/2019,4.50,SCL,4.50,4.50,4.50,2.00
15/11/2019,4.50,SCL,4.50,4.50,4.50,5300.00
14/11/2019,4.90,SCL,4.90,4.90,4.90,0.00
13/11/2019,4.90,SCL,4.90,4.90,4.90,0.00
12/11/2019,4.90,SCL,4.90,4.90,4.90,0.00
11/11/2019,4.90,SCL,4.90,4.90,4.90,0.00
08/11/2019,4.90,SCL,4.90,4.90,4.90,0.00
07/11/2019,4.90,SCL,4.90,4.90,4.90,0.00
06/11/2019,4.90,SCL,4.90,4.90,4.90,0.00
05/11/2019,4.90,SCL,4.90,4.90,4.90,100.00
04/11/2019,5.40,SCL,5.40,5.40,5.40,0.00
01/11/2019,5.40,SCL,4.90,5.40,4.90,6800.00
31/10/2019,5.00,SCL,4.60,5.00,4.60,500.00
30/10/2019,4.60,SCL,4.60,4.60,4.60,0.00
29/10/2019,4.60,SCL,4.60,4.60,4.60,0.00
28/10/2019,4.60,SCL,4.60,4.60,4.60,100.00
25/10/2019,4.50,SCL,4.50,4.50,4.50,0.00
24/10/2019,4.50,SCL,4.50,4.50,4.50,0.00
23/10/2019,4.50,SCL,4.50,4.50,4.50,0.00
22/10/2019,4.50,SCL,4.50,4.50,4.50,0.00
21/10/2019,4.50,SCL,4.50,4.50,4.50,200.00
18/10/2019,4.90,SCL,4.90,4.90,4.90,0.00
17/10/2019,4.90,SCL,4.90,4.90,4.90,0.00
16/10/2019,4.90,SCL,4.90,4.90,4.90,0.00
15/10/2019,4.90,SCL,4.90,4.90,4.90,0.00
14/10/2019,4.90,SCL,4.90,4.90,4.90,0.00
11/10/2019,4.90,SCL,4.90,4.90,4.90,0.00
10/10/2019,4.90,SCL,4.90,4.90,4.90,0.00
09/10/2019,4.90,SCL,4.90,4.90,4.90,0.00
08/10/2019,4.90,SCL,4.90,4.90,4.90,100.00
07/10/2019,4.50,SCL,4.50,4.50,4.50,100.00
04/10/2019,4.90,SCL,4.50,4.90,4.50,1300.00
03/10/2019,5.00,SCL,5.00,5.00,5.00,0.00
02/10/2019,5.00,SCL,5.00,5.00,5.00,100.00
01/10/2019,4.70,SCL,4.70,4.70,4.70,0.00
30/09/2019,4.70,SCL,4.70,4.70,4.70,0.00
27/09/2019,4.70,SCL,4.70,4.70,4.70,0.00
26/09/2019,4.70,SCL,4.70,4.70,4.70,1100.00
25/09/2019,5.20,SCL,5.20,5.20,5.20,0.00
24/09/2019,5.20,SCL,5.20,5.20,5.20,100.00
23/09/2019,4.80,SCL,4.80,4.80,4.80,2.00
20/09/2019,4.80,SCL,4.80,4.80,4.80,0.00
19/09/2019,4.80,SCL,4.80,4.80,4.80,0.00
18/09/2019,4.80,SCL,4.80,4.80,4.80,0.00
17/09/2019,4.80,SCL,4.80,4.80,4.80,0.00
16/09/2019,4.80,SCL,4.80,4.80,4.80,0.00
13/09/2019,4.80,SCL,4.80,4.80,4.80,0.00
12/09/2019,4.80,SCL,4.80,4.80,4.80,0.00
11/09/2019,4.80,SCL,4.80,4.80,4.80,0.00
10/09/2019,4.80,SCL,4.80,4.80,4.80,0.00
09/09/2019,4.80,SCL,4.80,4.80,4.80,0.00
06/09/2019,4.80,SCL,4.80,4.80,4.80,0.00
05/09/2019,4.80,SCL,4.80,4.80,4.80,0.00
04/09/2019,4.80,SCL,4.80,4.80,4.80,0.00
03/09/2019,4.80,SCL,4.80,4.80,4.80,100.00
30/08/2019,4.40,SCL,4.40,4.40,4.40,100.00
29/08/2019,4.00,SCL,4.00,4.00,4.00,0.00
28/08/2019,4.00,SCL,4.00,4.00,4.00,100.00
27/08/2019,3.70,SCL,3.70,3.70,3.70,0.00
26/08/2019,3.70,SCL,3.70,3.70,3.70,0.00
23/08/2019,3.70,SCL,3.70,3.70,3.70,300.00
22/08/2019,4.10,SCL,4.10,4.10,4.10,0.00
21/08/2019,4.10,SCL,4.10,4.10,4.10,0.00
20/08/2019,4.10,SCL,4.10,4.10,4.10,100.00
19/08/2019,3.80,SCL,3.80,3.80,3.80,0.00
16/08/2019,3.80,SCL,3.80,3.80,3.80,100.00
15/08/2019,4.20,SCL,4.20,4.20,4.20,0.00
14/08/2019,4.20,SCL,4.20,4.20,4.20,10.00
13/08/2019,4.20,SCL,4.20,4.20,4.20,0.00
12/08/2019,4.20,SCL,4.20,4.20,4.20,0.00
09/08/2019,4.20,SCL,4.20,4.20,4.20,0.00
08/08/2019,4.20,SCL,4.20,4.20,4.20,100.00
07/08/2019,3.90,SCL,3.90,3.90,3.90,0.00
06/08/2019,3.90,SCL,3.90,3.90,3.90,100.00
05/08/2019,3.60,SCL,3.60,4.20,3.60,2500.00
02/08/2019,4.00,SCL,4.10,4.10,3.50,30200.00
01/08/2019,3.80,SCL,3.70,3.80,3.70,200.00
31/07/2019,3.70,SCL,3.80,3.80,3.70,22700.00
30/07/2019,4.10,SCL,4.10,4.10,4.10,100.00
29/07/2019,4.30,SCL,4.30,4.30,4.30,100.00
26/07/2019,4.50,SCL,4.50,4.50,4.50,100.00
25/07/2019,4.10,SCL,4.10,4.10,4.10,514.00
24/07/2019,4.40,SCL,4.10,4.40,4.10,10400.00
23/07/2019,4.50,SCL,4.50,4.50,4.50,600.00
22/07/2019,4.10,SCL,4.70,4.70,4.10,600.00
19/07/2019,4.30,SCL,4.30,4.30,4.30,0.00
18/07/2019,4.30,SCL,4.30,4.30,4.30,10100.00
17/07/2019,4.40,SCL,4.40,4.40,4.40,0.00
16/07/2019,4.40,SCL,4.40,4.40,4.40,0.00
15/07/2019,4.40,SCL,4.20,4.40,4.20,1116.00
12/07/2019,4.60,SCL,4.60,4.60,4.60,0.00
11/07/2019,4.60,SCL,4.60,4.60,4.60,0.00
10/07/2019,4.60,SCL,4.60,4.60,4.60,0.00
09/07/2019,4.60,SCL,4.60,4.60,4.60,100.00
08/07/2019,4.40,SCL,4.30,4.40,4.30,11100.00
05/07/2019,4.30,SCL,4.30,4.30,4.30,11000.00
04/07/2019,4.50,SCL,4.50,4.50,4.50,14900.00
03/07/2019,4.50,SCL,4.50,4.80,4.50,34100.00
02/07/2019,4.50,SCL,4.50,4.50,4.50,19700.00
01/07/2019,4.80,SCL,4.80,4.80,4.80,164.00
28/06/2019,4.40,SCL,4.40,4.40,4.40,0.00
27/06/2019,4.40,SCL,4.40,4.40,4.40,100.00
26/06/2019,4.50,SCL,4.50,4.50,4.40,11800.00
25/06/2019,4.80,SCL,4.90,4.90,4.80,2900.00
24/06/2019,4.90,SCL,4.60,4.90,4.60,11320.00
21/06/2019,4.80,SCL,4.60,4.80,4.50,35000.00
20/06/2019,4.60,SCL,4.60,4.80,4.50,31460.00
19/06/2019,4.60,SCL,4.60,4.60,4.60,100.00
18/06/2019,4.20,SCL,4.20,4.20,4.20,0.00
17/06/2019,4.20,SCL,4.20,4.20,4.20,0.00
14/06/2019,4.20,SCL,4.20,4.20,4.20,0.00
13/06/2019,4.20,SCL,4.20,4.20,4.20,100.00
12/06/2019,4.20,SCL,4.20,4.20,4.20,0.00
11/06/2019,4.20,SCL,4.20,4.20,4.20,0.00
10/06/2019,4.20,SCL,3.80,4.20,3.80,1210.00
07/06/2019,3.90,SCL,3.90,3.90,3.90,0.00
06/06/2019,3.90,SCL,3.90,3.90,3.90,0.00
05/06/2019,3.90,SCL,3.90,3.90,3.90,0.00
04/06/2019,3.90,SCL,3.90,3.90,3.90,0.00
03/06/2019,3.90,SCL,3.90,3.90,3.90,0.00
31/05/2019,3.90,SCL,3.90,3.90,3.90,0.00
30/05/2019,3.90,SCL,3.80,3.90,3.70,5000.00
29/05/2019,3.70,SCL,3.90,3.90,3.70,1713.00
28/05/2019,3.80,SCL,3.80,3.80,3.80,0.00
27/05/2019,3.80,SCL,4.10,4.10,3.80,35600.00
24/05/2019,3.80,SCL,3.80,3.80,3.80,0.00
23/05/2019,3.80,SCL,3.80,3.80,3.80,0.00
22/05/2019,3.80,SCL,3.80,3.80,3.80,0.00
21/05/2019,3.80,SCL,3.80,3.80,3.80,100.00
20/05/2019,3.50,SCL,3.50,3.50,3.50,1500.00
17/05/2019,3.50,SCL,3.80,3.80,3.50,1900.00
16/05/2019,3.50,SCL,3.50,3.50,3.50,1700.00
15/05/2019,3.50,SCL,3.20,3.50,3.20,8900.00
14/05/2019,3.50,SCL,3.50,3.50,3.50,3900.00
13/05/2019,3.50,SCL,3.50,3.50,3.50,7400.00
10/05/2019,3.50,SCL,3.50,3.50,3.50,4000.00
09/05/2019,3.50,SCL,3.50,3.50,3.50,0.00
08/05/2019,3.50,SCL,3.50,3.50,3.50,2200.00
07/05/2019,3.50,SCL,3.50,3.50,3.50,0.00
06/05/2019,3.50,SCL,3.60,3.60,3.50,900.00
03/05/2019,3.70,SCL,3.60,3.70,3.60,800.00
02/05/2019,3.70,SCL,3.60,3.70,3.30,3100.00
26/04/2019,3.50,SCL,3.50,3.50,3.50,3820.00
25/04/2019,3.50,SCL,3.50,3.70,3.50,7500.00
24/04/2019,3.60,SCL,3.40,3.60,3.40,2600.00
23/04/2019,3.40,SCL,3.40,3.40,3.40,122.00
22/04/2019,3.10,SCL,3.10,3.10,3.10,0.00
19/04/2019,3.10,SCL,3.10,3.10,3.10,6200.00
18/04/2019,2.90,SCL,2.90,2.90,2.90,36400.00
17/04/2019,2.90,SCL,2.90,2.90,2.90,0.00
16/04/2019,2.90,SCL,2.90,2.90,2.90,5000.00
12/04/2019,2.90,SCL,2.90,2.90,2.90,110.00
11/04/2019,2.70,SCL,2.70,2.70,2.70,0.00
10/04/2019,2.70,SCL,2.70,2.70,2.70,0.00
09/04/2019,2.70,SCL,2.70,2.70,2.70,0.00
08/04/2019,2.70,SCL,2.70,2.70,2.70,84.00
05/04/2019,2.70,SCL,3.00,3.00,2.70,29900.00
04/04/2019,2.80,SCL,2.80,2.80,2.80,161400.00
03/04/2019,3.10,SCL,3.10,3.10,3.10,0.00
02/04/2019,3.10,SCL,3.10,3.10,3.10,0.00
01/04/2019,3.10,SCL,3.10,3.10,3.10,0.00
29/03/2019,3.10,SCL,3.10,3.10,3.10,0.00
28/03/2019,3.10,SCL,3.10,3.10,3.10,0.00
27/03/2019,3.10,SCL,3.10,3.10,3.10,0.00
26/03/2019,3.10,SCL,3.10,3.10,3.10,0.00
25/03/2019,3.10,SCL,3.10,3.10,3.10,0.00
22/03/2019,3.10,SCL,3.10,3.10,3.10,0.00
21/03/2019,3.10,SCL,3.10,3.10,3.10,100.00
20/03/2019,2.90,SCL,3.20,3.20,2.90,16200.00
19/03/2019,3.20,SCL,3.20,3.20,3.20,0.00
18/03/2019,3.20,SCL,3.20,3.20,3.20,0.00
15/03/2019,3.20,SCL,3.20,3.20,3.20,12000.00
14/03/2019,3.20,SCL,3.20,3.20,3.20,10200.00
13/03/2019,3.20,SCL,3.20,3.20,3.20,900.00
12/03/2019,3.20,SCL,3.20,3.20,3.20,0.00
11/03/2019,3.20,SCL,3.20,3.20,3.20,16800.00
08/03/2019,3.20,SCL,3.50,3.50,3.20,17250.00
07/03/2019,3.20,SCL,3.20,3.20,3.20,1500.00
06/03/2019,3.20,SCL,3.50,3.50,3.20,1500.00
05/03/2019,3.20,SCL,3.20,3.20,3.20,0.00
04/03/2019,3.20,SCL,3.30,3.30,2.70,700.00
01/03/2019,3.00,SCL,3.00,3.00,3.00,0.00
28/02/2019,3.00,SCL,3.00,3.00,3.00,4300.00
27/02/2019,3.30,SCL,3.30,3.30,3.30,14900.00
26/02/2019,3.60,SCL,3.60,3.60,3.60,0.00
25/02/2019,3.60,SCL,3.60,3.60,3.60,1.00
22/02/2019,3.60,SCL,3.60,3.60,3.60,0.00
21/02/2019,3.60,SCL,3.60,3.60,3.60,0.00
20/02/2019,3.60,SCL,3.60,3.60,3.60,0.00
19/02/2019,3.60,SCL,3.60,3.60,3.60,0.00
18/02/2019,3.60,SCL,3.60,3.60,3.60,0.00
15/02/2019,3.60,SCL,3.60,3.60,3.60,0.00
14/02/2019,3.60,SCL,3.60,3.60,3.60,0.00
13/02/2019,3.60,SCL,3.60,3.60,3.60,0.00
12/02/2019,3.60,SCL,3.60,3.60,3.60,0.00
11/02/2019,3.60,SCL,3.60,3.60,3.60,0.00
01/02/2019,3.60,SCL,3.60,3.60,3.60,0.00
31/01/2019,3.60,SCL,3.60,3.60,3.60,0.00
30/01/2019,3.60,SCL,3.60,3.60,3.60,0.00
29/01/2019,3.60,SCL,3.60,3.60,3.60,0.00
28/01/2019,3.60,SCL,3.60,3.60,3.60,0.00
25/01/2019,3.60,SCL,3.60,3.60,3.60,0.00
24/01/2019,3.60,SCL,3.60,3.60,3.60,0.00
23/01/2019,3.60,SCL,3.60,3.60,3.60,0.00
22/01/2019,3.60,SCL,3.60,3.60,3.60,0.00
21/01/2019,3.60,SCL,3.60,3.60,3.60,0.00
18/01/2019,3.60,SCL,3.60,3.60,3.60,0.00
17/01/2019,3.60,SCL,3.60,3.60,3.60,0.00
16/01/2019,3.60,SCL,3.60,3.60,3.60,0.00
15/01/2019,3.60,SCL,3.60,3.60,3.60,0.00
14/01/2019,3.60,SCL,3.60,3.60,3.60,0.00
11/01/2019,3.60,SCL,3.60,3.60,3.60,0.00
10/01/2019,3.60,SCL,3.60,3.60,3.60,0.00
09/01/2019,3.60,SCL,3.60,3.60,3.60,100.00
08/01/2019,3.50,SCL,3.50,3.50,3.50,0.00
07/01/2019,3.50,SCL,3.50,3.50,3.50,0.00
04/01/2019,3.50,SCL,3.50,3.50,3.50,0.00
03/01/2019,3.50,SCL,3.60,3.60,3.50,300.00
02/01/2019,3.30,SCL,3.30,3.30,3.30,100.00
28/12/2018,3.00,SCL,3.00,3.00,3.00,0.00
27/12/2018,3.00,SCL,3.00,3.00,3.00,100.00
26/12/2018,2.80,SCL,2.80,2.80,2.80,0.00
25/12/2018,2.80,SCL,2.80,2.80,2.80,300.00
24/12/2018,2.70,SCL,2.70,2.70,2.70,0.00
21/12/2018,2.70,SCL,2.40,2.70,2.40,200.00
20/12/2018,2.60,SCL,2.50,2.60,2.50,10100.00
19/12/2018,2.50,SCL,2.50,2.50,2.50,10.00
18/12/2018,2.50,SCL,2.40,2.50,2.40,1100.00
17/12/2018,2.60,SCL,2.60,2.60,2.60,0.00
14/12/2018,2.60,SCL,2.60,2.60,2.60,100.00
13/12/2018,2.50,SCL,2.50,2.50,2.50,200.00
12/12/2018,2.30,SCL,2.30,2.30,2.30,0.00
