DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,40.00,SDG,40.00,40.00,40.00,0.00
10/01/2020,40.00,SDG,40.00,40.00,40.00,0.00
09/01/2020,40.00,SDG,40.00,40.00,40.00,0.00
08/01/2020,40.00,SDG,40.00,40.00,40.00,0.00
07/01/2020,40.00,SDG,40.00,40.00,40.00,0.00
06/01/2020,40.00,SDG,40.00,40.00,40.00,0.00
03/01/2020,40.00,SDG,40.00,40.00,40.00,0.00
02/01/2020,40.00,SDG,40.00,40.00,40.00,0.00
31/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
30/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
27/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
26/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
25/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
24/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
23/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
20/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
19/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
18/12/2019,40.00,SDG,40.00,40.00,40.00,100.00
17/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
16/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
13/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
12/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
11/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
10/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
09/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
06/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
05/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
04/12/2019,40.00,SDG,40.00,40.00,40.00,0.00
03/12/2019,40.00,SDG,40.00,40.00,40.00,500.00
02/12/2019,40.00,SDG,40.00,40.00,40.00,314100.00
29/11/2019,40.00,SDG,39.00,40.00,39.00,164000.00
28/11/2019,38.00,SDG,38.00,38.00,38.00,0.00
27/11/2019,38.00,SDG,38.00,38.00,38.00,0.00
26/11/2019,38.00,SDG,38.00,38.00,38.00,0.00
25/11/2019,38.00,SDG,38.00,38.00,38.00,0.00
22/11/2019,38.00,SDG,38.00,38.00,38.00,0.00
21/11/2019,38.00,SDG,38.00,38.00,38.00,100.00
20/11/2019,35.00,SDG,35.00,35.00,35.00,0.00
19/11/2019,35.00,SDG,35.00,35.00,35.00,100.00
18/11/2019,38.00,SDG,35.00,38.00,35.00,200.00
15/11/2019,36.00,SDG,36.00,36.00,36.00,200.00
14/11/2019,36.50,SDG,36.50,36.50,36.50,241900.00
13/11/2019,33.20,SDG,33.20,33.20,33.20,100.00
12/11/2019,33.00,SDG,33.00,33.00,33.00,100.00
11/11/2019,36.50,SDG,36.50,36.50,36.50,200.00
08/11/2019,33.20,SDG,33.20,33.20,33.20,100.00
07/11/2019,36.80,SDG,36.80,36.80,36.80,0.00
06/11/2019,36.80,SDG,36.80,36.80,36.80,0.00
05/11/2019,36.80,SDG,36.80,36.80,36.80,0.00
04/11/2019,36.80,SDG,36.80,36.80,36.80,900.00
01/11/2019,40.00,SDG,40.30,40.30,36.80,1307.00
31/10/2019,36.80,SDG,36.80,36.80,36.80,0.00
30/10/2019,36.80,SDG,36.80,36.80,36.80,100.00
29/10/2019,33.50,SDG,33.50,33.50,33.50,100.00
28/10/2019,30.50,SDG,30.50,30.50,30.50,100.00
25/10/2019,27.90,SDG,27.90,27.90,27.90,100.00
24/10/2019,25.40,SDG,25.40,25.40,25.40,100.00
23/10/2019,25.40,SDG,25.40,25.40,25.40,100.00
22/10/2019,23.20,SDG,23.20,23.20,23.20,0.00
21/10/2019,23.20,SDG,23.20,23.20,23.20,0.00
18/10/2019,23.20,SDG,23.20,23.20,23.20,0.00
17/10/2019,23.20,SDG,23.20,23.20,23.20,0.00
16/10/2019,23.20,SDG,23.20,23.20,23.20,0.00
15/10/2019,23.20,SDG,23.20,23.20,23.20,0.00
14/10/2019,23.20,SDG,23.20,23.20,23.20,0.00
11/10/2019,23.20,SDG,23.20,23.20,23.20,0.00
10/10/2019,23.20,SDG,23.20,23.20,23.20,0.00
09/10/2019,23.20,SDG,23.20,23.20,23.20,0.00
08/10/2019,23.20,SDG,23.20,23.20,23.20,2000.00
07/10/2019,23.20,SDG,23.20,23.20,23.20,10.00
04/10/2019,23.20,SDG,23.20,23.20,23.20,100.00
03/10/2019,25.20,SDG,25.20,25.20,25.20,100.00
02/10/2019,27.80,SDG,27.80,27.80,27.80,100.00
01/10/2019,30.80,SDG,30.80,30.80,30.80,100.00
30/09/2019,34.20,SDG,34.20,34.20,34.20,100.00
27/09/2019,37.80,SDG,37.80,37.80,37.80,0.00
26/09/2019,37.80,SDG,37.80,37.80,37.80,0.00
25/09/2019,37.80,SDG,37.80,37.80,37.80,0.00
24/09/2019,37.80,SDG,37.80,37.80,37.80,1000.00
23/09/2019,42.00,SDG,38.00,42.00,38.00,400.00
20/09/2019,42.20,SDG,42.20,42.20,42.20,0.00
19/09/2019,42.20,SDG,42.20,42.20,42.20,0.00
18/09/2019,42.20,SDG,42.20,42.20,42.20,0.00
17/09/2019,42.20,SDG,42.20,42.20,42.20,100.00
16/09/2019,38.40,SDG,38.40,38.40,38.40,0.00
13/09/2019,38.40,SDG,38.40,38.40,38.40,0.00
12/09/2019,38.40,SDG,38.40,38.40,38.40,0.00
11/09/2019,38.40,SDG,38.40,38.40,38.40,0.00
10/09/2019,38.40,SDG,38.40,38.40,38.40,0.00
09/09/2019,38.40,SDG,38.40,38.40,38.40,0.00
06/09/2019,38.40,SDG,38.40,38.40,38.40,100.00
05/09/2019,35.00,SDG,35.00,35.00,35.00,0.00
04/09/2019,35.00,SDG,35.00,35.00,35.00,0.00
03/09/2019,35.00,SDG,35.00,35.00,35.00,0.00
30/08/2019,35.00,SDG,35.00,35.00,35.00,0.00
29/08/2019,35.00,SDG,35.00,35.00,35.00,0.00
28/08/2019,35.00,SDG,35.00,35.00,35.00,0.00
27/08/2019,35.00,SDG,35.00,35.00,35.00,183.00
26/08/2019,35.00,SDG,34.00,35.00,34.00,7200.00
23/08/2019,35.00,SDG,35.00,35.00,35.00,49.00
22/08/2019,35.00,SDG,35.00,35.00,35.00,242.00
21/08/2019,35.00,SDG,34.50,35.00,34.50,1200.00
20/08/2019,32.40,SDG,32.40,32.40,32.40,100.00
19/08/2019,36.00,SDG,33.70,36.00,33.70,237300.00
16/08/2019,33.70,SDG,33.70,35.00,33.70,39600.00
15/08/2019,37.40,SDG,37.40,37.40,37.40,0.00
14/08/2019,37.40,SDG,37.40,37.40,37.40,600.00
13/08/2019,37.60,SDG,37.50,37.60,37.50,59800.00
12/08/2019,34.20,SDG,28.10,34.20,28.10,3610.00
09/08/2019,31.10,SDG,26.40,31.10,26.40,4833.00
08/08/2019,28.30,SDG,28.30,28.30,28.30,2600.00
07/08/2019,25.80,SDG,25.00,28.60,25.00,22000.00
06/08/2019,26.00,SDG,26.00,26.00,26.00,0.00
05/08/2019,26.00,SDG,27.40,27.60,26.00,9500.00
02/08/2019,25.10,SDG,24.50,28.90,24.50,152700.00
01/08/2019,26.30,SDG,24.00,26.30,24.00,4366.00
31/07/2019,26.00,SDG,25.60,26.10,25.60,14600.00
30/07/2019,28.00,SDG,28.00,28.00,28.00,7700.00
29/07/2019,31.10,SDG,26.10,31.20,26.10,1300.00
26/07/2019,28.40,SDG,28.40,28.40,28.40,0.00
25/07/2019,28.40,SDG,28.40,28.40,28.40,0.00
24/07/2019,28.40,SDG,28.40,28.40,28.40,200.00
23/07/2019,26.00,SDG,26.00,28.60,26.00,1600.00
22/07/2019,26.00,SDG,26.00,26.00,26.00,2500.00
19/07/2019,25.90,SDG,30.20,30.20,25.60,3800.00
18/07/2019,27.50,SDG,27.50,27.50,27.50,1000.00
17/07/2019,25.00,SDG,25.00,25.00,25.00,0.00
16/07/2019,25.00,SDG,25.00,25.00,25.00,0.00
15/07/2019,25.00,SDG,27.50,27.50,25.00,3100.00
12/07/2019,25.00,SDG,25.00,25.00,25.00,300.00
11/07/2019,25.00,SDG,25.00,25.00,25.00,1000.00
10/07/2019,26.00,SDG,26.00,26.00,26.00,100.00
09/07/2019,28.60,SDG,25.00,28.60,25.00,13000.00
