DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,18.60,SDV,19.00,19.00,18.60,300.00
10/01/2020,19.00,SDV,19.00,19.00,18.00,400.00
09/01/2020,19.00,SDV,17.50,19.00,17.50,4200.00
08/01/2020,18.20,SDV,18.60,18.60,18.20,2500.00
07/01/2020,18.20,SDV,18.20,18.20,18.20,0.00
06/01/2020,18.20,SDV,18.20,18.20,18.20,100.00
03/01/2020,19.10,SDV,19.10,19.10,19.10,1500.00
02/01/2020,22.40,SDV,22.40,22.40,22.40,100.00
31/12/2019,19.50,SDV,19.50,19.50,19.50,0.00
30/12/2019,19.50,SDV,19.50,19.50,19.30,6000.00
27/12/2019,21.00,SDV,28.20,28.20,21.00,500.00
26/12/2019,24.60,SDV,24.60,24.60,24.60,100.00
25/12/2019,21.40,SDV,21.40,21.40,21.40,0.00
24/12/2019,19.50,SDV,19.00,21.60,19.00,20800.00
23/12/2019,19.00,SDV,19.00,19.00,19.00,10300.00
20/12/2019,19.00,SDV,18.10,20.60,18.10,1400.00
19/12/2019,18.20,SDV,18.00,18.20,18.00,1200.00
18/12/2019,16.70,SDV,16.70,16.70,16.70,100.00
17/12/2019,14.60,SDV,14.60,14.60,14.60,100.00
16/12/2019,18.00,SDV,16.00,18.00,16.00,1800.00
13/12/2019,19.50,SDV,20.10,20.10,15.30,900.00
12/12/2019,17.50,SDV,17.50,17.50,17.50,0.00
11/12/2019,17.50,SDV,17.50,17.50,17.50,0.00
10/12/2019,17.50,SDV,17.50,17.50,17.50,100.00
09/12/2019,20.30,SDV,20.30,20.30,20.30,0.00
06/12/2019,20.30,SDV,20.30,20.30,20.30,0.00
05/12/2019,20.30,SDV,20.30,20.30,20.30,0.00
04/12/2019,20.30,SDV,20.30,20.30,20.30,0.00
03/12/2019,19.50,SDV,21.00,21.00,19.50,200.00
02/12/2019,20.00,SDV,20.00,20.00,20.00,0.00
29/11/2019,20.00,SDV,20.00,20.00,20.00,0.00
28/11/2019,20.00,SDV,20.00,20.00,20.00,100.00
27/11/2019,18.90,SDV,19.00,19.00,18.90,500.00
26/11/2019,19.30,SDV,16.10,19.30,16.10,800.00
25/11/2019,17.20,SDV,16.10,17.20,16.10,300.00
22/11/2019,19.80,SDV,18.90,19.80,16.20,700.00
21/11/2019,18.00,SDV,18.00,18.00,17.60,6500.00
20/11/2019,20.60,SDV,20.60,20.60,20.60,100.00
19/11/2019,19.00,SDV,18.00,19.00,18.00,700.00
18/11/2019,19.50,SDV,21.00,21.00,17.10,1400.00
15/11/2019,19.00,SDV,19.00,19.00,19.00,0.00
14/11/2019,19.00,SDV,19.00,19.00,19.00,0.00
13/11/2019,21.00,SDV,18.50,21.00,18.50,500.00
12/11/2019,21.70,SDV,21.70,21.70,21.70,100.00
11/11/2019,19.00,SDV,19.00,19.90,19.00,32600.00
08/11/2019,19.30,SDV,25.90,25.90,19.30,1700.00
07/11/2019,22.90,SDV,23.20,23.20,19.30,5600.00
06/11/2019,20.20,SDV,20.20,20.20,20.20,100.00
05/11/2019,20.00,SDV,20.20,20.20,17.00,53200.00
04/11/2019,19.50,SDV,19.50,19.50,17.30,10200.00
01/11/2019,20.70,SDV,17.00,20.70,16.90,54400.00
31/10/2019,19.80,SDV,19.50,19.80,17.10,100100.00
30/10/2019,19.50,SDV,21.90,21.90,19.50,600.00
29/10/2019,19.50,SDV,19.50,19.50,19.50,0.00
