DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,29.40,SFN,26.60,29.40,26.60,49100.00
10/01/2020,29.50,SFN,29.50,29.50,29.50,51000.00
09/01/2020,32.70,SFN,32.70,32.70,32.70,0.00
08/01/2020,32.70,SFN,32.70,32.70,32.70,0.00
07/01/2020,32.70,SFN,32.70,32.70,32.70,0.00
06/01/2020,32.70,SFN,32.70,32.70,32.70,0.00
03/01/2020,32.70,SFN,32.70,32.70,32.70,0.00
02/01/2020,32.70,SFN,32.70,32.70,32.70,0.00
31/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
30/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
27/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
26/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
25/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
24/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
23/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
20/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
19/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
18/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
17/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
16/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
13/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
12/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
11/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
10/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
09/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
06/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
05/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
04/12/2019,32.70,SFN,32.70,32.70,32.70,0.00
03/12/2019,32.70,SFN,32.70,32.70,32.70,400.00
02/12/2019,36.30,SFN,36.30,36.30,36.30,0.00
29/11/2019,36.30,SFN,36.30,36.30,36.30,0.00
28/11/2019,36.30,SFN,36.30,36.30,36.30,0.00
27/11/2019,36.30,SFN,36.30,36.30,36.30,0.00
26/11/2019,36.30,SFN,36.30,36.30,36.30,0.00
25/11/2019,36.30,SFN,36.30,36.30,36.30,0.00
22/11/2019,36.30,SFN,36.30,36.30,36.30,0.00
21/11/2019,36.30,SFN,36.30,36.30,36.30,0.00
20/11/2019,36.30,SFN,36.30,36.30,36.30,0.00
19/11/2019,36.30,SFN,36.30,36.30,36.30,0.00
18/11/2019,36.30,SFN,36.30,36.30,36.30,0.00
15/11/2019,36.30,SFN,36.30,36.30,36.30,0.00
14/11/2019,36.30,SFN,36.30,36.30,36.30,0.00
13/11/2019,36.30,SFN,36.30,36.30,36.30,0.00
12/11/2019,36.30,SFN,36.30,36.30,36.30,0.00
11/11/2019,36.30,SFN,36.30,36.30,36.30,0.00
08/11/2019,36.30,SFN,36.30,36.30,36.30,0.00
07/11/2019,37.00,SFN,37.00,37.00,37.00,0.00
06/11/2019,37.00,SFN,37.00,37.00,37.00,0.00
05/11/2019,37.00,SFN,37.00,37.00,37.00,0.00
04/11/2019,37.00,SFN,37.00,37.00,37.00,0.00
01/11/2019,37.00,SFN,37.00,37.00,37.00,0.00
31/10/2019,37.00,SFN,37.00,37.00,37.00,0.00
30/10/2019,37.00,SFN,37.00,37.00,37.00,0.00
29/10/2019,37.00,SFN,37.00,37.00,37.00,0.00
28/10/2019,37.00,SFN,37.00,37.00,37.00,0.00
25/10/2019,37.00,SFN,37.00,37.00,37.00,0.00
24/10/2019,37.00,SFN,37.00,37.00,37.00,0.00
23/10/2019,37.00,SFN,37.00,37.00,37.00,0.00
22/10/2019,37.00,SFN,37.00,37.00,37.00,0.00
21/10/2019,37.00,SFN,37.00,37.00,37.00,0.00
18/10/2019,37.00,SFN,37.00,37.00,37.00,0.00
17/10/2019,37.00,SFN,37.00,37.00,37.00,0.00
16/10/2019,37.00,SFN,37.00,37.00,37.00,100.00
15/10/2019,33.80,SFN,33.80,33.80,33.80,0.00
14/10/2019,33.80,SFN,33.80,33.80,33.80,0.00
11/10/2019,33.80,SFN,33.80,33.80,33.80,0.00
10/10/2019,33.80,SFN,33.80,33.80,33.80,0.00
09/10/2019,33.80,SFN,33.80,33.80,33.80,0.00
08/10/2019,33.80,SFN,33.80,33.80,33.80,100.00
07/10/2019,30.90,SFN,30.90,30.90,30.90,0.00
04/10/2019,30.90,SFN,31.50,31.50,26.10,400.00
03/10/2019,28.90,SFN,28.90,28.90,28.90,0.00
02/10/2019,28.90,SFN,28.90,28.90,28.90,0.00
01/10/2019,28.90,SFN,26.10,29.90,26.10,400.00
30/09/2019,28.90,SFN,28.90,28.90,28.90,0.00
27/09/2019,28.90,SFN,28.90,28.90,28.90,0.00
26/09/2019,28.90,SFN,28.90,28.90,28.90,0.00
25/09/2019,28.90,SFN,28.90,28.90,28.90,103.00
24/09/2019,28.00,SFN,28.00,28.00,28.00,0.00
23/09/2019,28.00,SFN,28.00,28.00,28.00,1000.00
20/09/2019,31.10,SFN,31.10,31.10,31.10,0.00
19/09/2019,31.10,SFN,31.10,31.10,31.10,100.00
18/09/2019,28.40,SFN,25.20,28.40,25.20,500.00
17/09/2019,27.90,SFN,27.90,27.90,27.90,110.00
16/09/2019,25.90,SFN,25.90,25.90,25.90,100.00
13/09/2019,23.70,SFN,23.70,23.70,23.70,100.00
12/09/2019,21.70,SFN,20.80,21.70,20.80,1500.00
11/09/2019,22.60,SFN,22.60,22.60,22.60,100.00
10/09/2019,24.50,SFN,29.90,29.90,24.50,300.00
09/09/2019,27.20,SFN,27.20,27.20,27.20,100.00
06/09/2019,24.80,SFN,24.80,24.80,24.80,100.00
05/09/2019,22.90,SFN,22.90,22.90,22.90,0.00
04/09/2019,22.90,SFN,21.20,22.90,21.10,820.00
03/09/2019,20.90,SFN,20.90,20.90,20.90,100.00
30/08/2019,23.10,SFN,23.10,23.10,23.10,100.00
29/08/2019,25.20,SFN,25.20,25.20,25.20,100.00
28/08/2019,25.20,SFN,25.20,28.40,25.20,700.00
27/08/2019,27.90,SFN,27.90,27.90,27.90,100.00
26/08/2019,25.40,SFN,25.40,25.40,25.40,100.00
