DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,4.75,SGT,5.30,5.30,4.67,100070.00
10/01/2020,4.97,SGT,4.73,4.97,4.73,240.00
09/01/2020,4.98,SGT,4.80,4.98,4.80,510.00
08/01/2020,4.98,SGT,4.99,4.99,4.86,690.00
07/01/2020,4.99,SGT,4.80,4.99,4.80,14370.00
06/01/2020,4.81,SGT,4.77,5.05,4.77,3240.00
03/01/2020,4.95,SGT,4.96,4.96,4.80,335060.00
02/01/2020,4.95,SGT,4.95,4.95,4.90,910.00
31/12/2019,4.89,SGT,4.85,5.16,4.85,617220.00
30/12/2019,5.18,SGT,5.19,5.25,5.18,1510.00
27/12/2019,5.19,SGT,5.00,5.19,5.00,510.00
26/12/2019,5.24,SGT,4.90,5.24,4.81,1991420.00
25/12/2019,4.95,SGT,4.80,4.97,4.80,27450.00
24/12/2019,4.99,SGT,5.00,5.00,4.97,1580.00
23/12/2019,4.97,SGT,4.71,4.97,4.71,330.00
20/12/2019,4.90,SGT,4.62,4.90,4.62,10020.00
19/12/2019,4.89,SGT,4.87,4.90,4.55,6700.00
18/12/2019,4.87,SGT,5.25,5.46,4.82,980.00
17/12/2019,5.11,SGT,5.11,5.11,5.11,890.00
16/12/2019,5.49,SGT,5.49,5.49,5.49,0.00
13/12/2019,5.49,SGT,5.49,5.49,5.49,0.00
12/12/2019,5.49,SGT,5.20,5.49,5.20,360.00
11/12/2019,5.40,SGT,5.49,5.49,5.20,1180.00
10/12/2019,5.40,SGT,5.50,5.50,5.12,12380.00
09/12/2019,5.50,SGT,5.80,5.80,5.50,280.00
06/12/2019,5.59,SGT,5.66,5.66,5.50,4330.00
05/12/2019,5.60,SGT,5.66,5.66,5.60,40.00
04/12/2019,5.30,SGT,5.42,5.42,4.96,380.00
03/12/2019,5.09,SGT,5.40,5.60,5.09,1270.00
02/12/2019,5.47,SGT,5.40,5.51,5.25,3410.00
29/11/2019,5.15,SGT,4.82,5.15,5.14,3750.00
28/11/2019,4.82,SGT,4.82,4.82,4.82,650.00
27/11/2019,5.00,SGT,5.00,5.00,4.62,1780.00
26/11/2019,4.91,SGT,5.15,5.15,4.91,340.00
25/11/2019,5.19,SGT,5.19,5.19,5.19,190.00
22/11/2019,5.20,SGT,5.01,5.20,5.00,230.00
21/11/2019,5.19,SGT,5.04,5.30,4.82,7100.00
20/11/2019,5.00,SGT,5.08,5.08,4.77,6410.00
19/11/2019,5.08,SGT,5.10,5.10,4.74,10250.00
18/11/2019,5.00,SGT,5.00,5.20,5.00,1260.00
15/11/2019,5.00,SGT,5.20,5.20,4.92,6440.00
14/11/2019,5.17,SGT,4.95,5.17,4.71,10200.00
13/11/2019,4.95,SGT,5.30,5.30,4.95,7030.00
12/11/2019,5.29,SGT,5.01,5.29,5.01,1590.00
11/11/2019,5.01,SGT,5.35,5.36,5.01,6810.00
08/11/2019,5.01,SGT,5.56,5.56,5.01,29630.00
07/11/2019,5.20,SGT,5.88,5.88,5.20,14310.00
06/11/2019,5.50,SGT,5.60,5.99,5.50,5750.00
05/11/2019,5.60,SGT,6.01,6.23,5.50,2370.00
04/11/2019,5.85,SGT,6.14,6.55,5.85,1260.00
01/11/2019,6.14,SGT,6.70,6.85,6.14,1410.00
31/10/2019,6.60,SGT,6.62,6.68,6.60,230.00
30/10/2019,6.62,SGT,6.55,6.63,6.55,550.00
29/10/2019,6.20,SGT,6.68,6.68,6.20,600.00
28/10/2019,6.65,SGT,6.50,6.65,6.30,1010.00
25/10/2019,6.60,SGT,6.84,6.84,6.60,250.00
24/10/2019,6.59,SGT,6.58,6.59,6.58,20.00
23/10/2019,6.24,SGT,6.25,6.25,6.24,310.00
22/10/2019,6.70,SGT,6.70,6.70,6.70,50.00
21/10/2019,6.80,SGT,6.90,6.90,6.80,330.00
18/10/2019,6.70,SGT,6.88,6.88,6.50,520120.00
17/10/2019,6.88,SGT,6.88,7.23,6.88,1230.00
16/10/2019,6.88,SGT,6.90,6.90,6.88,1500.00
15/10/2019,6.52,SGT,6.52,6.52,6.52,10.00
14/10/2019,6.99,SGT,6.50,6.99,6.50,5110.00
11/10/2019,6.90,SGT,6.90,6.90,6.90,1000.00
