DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,7.60,SHS,7.60,7.70,7.40,275701.00
10/01/2020,7.60,SHS,7.40,7.70,7.40,578163.00
09/01/2020,7.40,SHS,7.40,7.50,7.30,260625.00
08/01/2020,7.30,SHS,7.50,7.50,7.30,201158.00
07/01/2020,7.60,SHS,7.60,7.70,7.40,353799.00
06/01/2020,7.60,SHS,7.70,7.70,7.40,342710.00
03/01/2020,7.70,SHS,7.80,7.80,7.70,267930.00
02/01/2020,7.80,SHS,7.60,7.80,7.60,220907.00
31/12/2019,7.70,SHS,7.70,7.70,7.60,171525.00
30/12/2019,7.70,SHS,7.70,7.80,7.60,445100.00
27/12/2019,7.70,SHS,7.70,7.70,7.50,237975.00
26/12/2019,7.70,SHS,7.70,7.70,7.60,212415.00
25/12/2019,7.80,SHS,7.70,7.80,7.60,149350.00
24/12/2019,7.70,SHS,7.70,7.70,7.60,136519.00
23/12/2019,7.70,SHS,7.60,7.80,7.60,73063.00
20/12/2019,7.70,SHS,7.80,7.80,7.60,208017.00
19/12/2019,7.80,SHS,7.80,7.80,7.70,127278.00
18/12/2019,7.80,SHS,7.70,7.90,7.70,238910.00
17/12/2019,7.80,SHS,7.80,7.80,7.70,135825.00
16/12/2019,7.80,SHS,7.80,7.90,7.80,247618.00
13/12/2019,7.80,SHS,7.80,7.90,7.70,162995.00
12/12/2019,7.80,SHS,7.60,7.80,7.60,882393.00
11/12/2019,7.60,SHS,7.70,7.70,7.60,124730.00
10/12/2019,7.60,SHS,7.70,7.80,7.60,230741.00
09/12/2019,7.80,SHS,7.70,7.80,7.60,263480.00
06/12/2019,7.70,SHS,7.70,7.80,7.70,151072.00
05/12/2019,7.70,SHS,7.80,7.90,7.70,191490.00
04/12/2019,7.80,SHS,7.60,7.80,7.50,181991.00
03/12/2019,7.60,SHS,7.80,7.80,7.60,232665.00
02/12/2019,7.80,SHS,8.00,8.00,7.70,388990.00
29/11/2019,8.00,SHS,8.00,8.00,7.90,134220.00
28/11/2019,8.00,SHS,8.00,8.10,7.90,436900.00
27/11/2019,8.10,SHS,8.10,8.10,7.90,335214.00
26/11/2019,8.10,SHS,8.00,8.10,8.00,156110.00
25/11/2019,8.00,SHS,8.00,8.10,7.90,389200.00
22/11/2019,8.00,SHS,8.30,8.40,8.00,520805.00
21/11/2019,8.30,SHS,8.30,8.30,8.10,284001.00
20/11/2019,8.30,SHS,8.30,8.30,8.20,197110.00
19/11/2019,8.30,SHS,8.30,8.40,8.20,365300.00
18/11/2019,8.20,SHS,8.50,8.50,8.20,360486.00
15/11/2019,8.50,SHS,8.50,8.60,8.30,307063.00
14/11/2019,8.50,SHS,8.60,8.70,8.40,315349.00
13/11/2019,8.60,SHS,8.80,8.80,8.50,702882.00
12/11/2019,8.70,SHS,8.50,8.70,8.50,324795.00
11/11/2019,8.60,SHS,8.70,8.80,8.50,418859.00
08/11/2019,8.70,SHS,8.60,8.90,8.40,1101823.00
07/11/2019,8.50,SHS,8.40,8.60,8.30,472417.00
06/11/2019,8.50,SHS,8.50,8.60,8.40,345715.00
05/11/2019,8.60,SHS,8.50,8.70,8.50,598580.00
04/11/2019,8.50,SHS,8.50,8.60,8.40,409893.00
01/11/2019,8.50,SHS,8.20,8.50,8.10,790077.00
31/10/2019,8.20,SHS,8.10,8.20,8.10,603157.00
30/10/2019,8.10,SHS,8.00,8.20,8.00,304153.00
29/10/2019,8.10,SHS,8.20,8.30,8.10,221602.00
28/10/2019,8.20,SHS,8.20,8.30,8.20,239300.00
25/10/2019,8.20,SHS,8.10,8.20,8.00,333669.00
24/10/2019,8.10,SHS,8.00,8.10,7.90,162960.00
23/10/2019,8.00,SHS,8.20,8.20,8.00,239509.00
22/10/2019,8.20,SHS,8.20,8.30,8.00,353662.00
21/10/2019,8.20,SHS,8.00,8.30,8.00,179877.00
18/10/2019,8.00,SHS,8.30,8.50,8.00,580615.00
17/10/2019,8.20,SHS,8.40,8.40,8.20,229524.00
16/10/2019,8.40,SHS,8.50,8.50,8.30,309484.00
15/10/2019,8.50,SHS,8.50,8.50,8.30,233057.00
14/10/2019,8.50,SHS,8.50,8.60,8.30,486366.00
11/10/2019,8.20,SHS,8.30,8.30,8.10,160089.00
10/10/2019,8.30,SHS,8.20,8.30,8.10,228870.00
09/10/2019,8.30,SHS,8.30,8.30,8.10,197734.00
08/10/2019,8.30,SHS,8.20,8.40,8.10,388771.00
07/10/2019,8.20,SHS,8.50,8.60,8.20,747699.00
04/10/2019,8.60,SHS,8.70,8.80,8.50,703897.00
03/10/2019,8.70,SHS,8.70,8.70,8.50,418816.00
02/10/2019,8.70,SHS,8.30,8.80,8.30,1021395.00
01/10/2019,8.60,SHS,8.40,8.60,8.30,617724.00
30/09/2019,8.40,SHS,8.40,8.60,8.40,799475.00
27/09/2019,8.40,SHS,8.30,8.60,8.30,1817997.00
26/09/2019,8.20,SHS,7.60,8.30,7.60,1684577.00
25/09/2019,7.60,SHS,7.60,7.70,7.50,487535.00
24/09/2019,7.70,SHS,7.60,7.70,7.50,417100.00
23/09/2019,7.70,SHS,7.50,7.70,7.40,626630.00
20/09/2019,7.50,SHS,7.60,7.70,7.50,302580.00
19/09/2019,7.60,SHS,7.30,7.60,7.20,759228.00
18/09/2019,7.30,SHS,6.70,7.40,6.70,400150.00
17/09/2019,7.40,SHS,7.40,7.40,7.20,400680.00
16/09/2019,7.40,SHS,7.30,7.50,7.20,964034.00
13/09/2019,7.30,SHS,6.70,7.30,6.60,1302218.00
12/09/2019,6.70,SHS,6.80,6.80,6.60,557988.00
11/09/2019,6.80,SHS,6.90,6.90,6.50,1064060.00
10/09/2019,6.80,SHS,7.10,7.10,6.70,1087093.00
09/09/2019,7.10,SHS,7.30,7.30,7.10,362100.00
06/09/2019,7.30,SHS,7.40,7.50,7.20,426207.00
05/09/2019,7.40,SHS,7.50,7.50,7.20,636988.00
04/09/2019,7.40,SHS,7.60,7.70,7.40,819196.00
03/09/2019,7.60,SHS,7.80,7.90,7.50,1159276.00
30/08/2019,7.70,SHS,7.70,7.90,7.70,388695.00
29/08/2019,7.70,SHS,7.80,7.90,7.60,271061.00
28/08/2019,7.70,SHS,7.90,7.90,7.70,1090400.00
27/08/2019,7.90,SHS,8.00,8.10,7.90,394472.00
26/08/2019,8.00,SHS,8.00,8.10,7.90,711675.00
