DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,88.00,SIP,98.00,98.00,87.90,2438.00
10/01/2020,88.60,SIP,87.50,89.00,87.00,16726.00
09/01/2020,87.10,SIP,89.00,89.00,86.00,21800.00
08/01/2020,87.90,SIP,90.20,91.00,85.20,52420.00
07/01/2020,90.50,SIP,91.80,91.90,90.50,9163.00
06/01/2020,90.30,SIP,94.10,94.10,90.20,39631.00
03/01/2020,94.50,SIP,94.00,94.80,93.80,27618.00
02/01/2020,95.00,SIP,95.20,95.20,94.00,23500.00
31/12/2019,95.50,SIP,95.00,95.80,94.50,4902.00
30/12/2019,95.50,SIP,96.00,96.20,95.50,5661.00
27/12/2019,96.30,SIP,95.60,97.00,95.60,12155.00
26/12/2019,95.60,SIP,95.20,95.70,95.20,4460.00
25/12/2019,95.70,SIP,94.90,97.00,94.90,7130.00
24/12/2019,95.00,SIP,95.00,95.40,93.50,29667.00
23/12/2019,95.60,SIP,97.00,97.00,95.50,11540.00
20/12/2019,97.00,SIP,97.10,97.10,96.50,7900.00
19/12/2019,97.40,SIP,100.00,100.00,97.40,5130.00
18/12/2019,97.30,SIP,97.10,98.00,97.00,21560.00
17/12/2019,97.60,SIP,99.30,99.50,95.00,34415.00
16/12/2019,99.50,SIP,105.00,105.00,99.20,20300.00
13/12/2019,100.40,SIP,102.00,102.00,100.40,6490.00
12/12/2019,101.90,SIP,98.70,101.90,98.70,11730.00
11/12/2019,99.90,SIP,97.80,100.00,97.80,10400.00
10/12/2019,97.40,SIP,97.50,97.80,97.30,16863.00
09/12/2019,97.50,SIP,97.00,98.00,96.60,8605.00
06/12/2019,98.00,SIP,99.00,99.00,97.00,18600.00
05/12/2019,98.00,SIP,97.00,98.50,97.00,8561.00
04/12/2019,97.10,SIP,97.50,97.90,96.00,14567.00
03/12/2019,96.50,SIP,97.00,98.00,96.20,23763.00
02/12/2019,99.00,SIP,100.00,101.50,95.70,37392.00
29/11/2019,99.70,SIP,101.00,101.50,99.00,24400.00
28/11/2019,101.90,SIP,101.10,101.90,100.30,14823.00
27/11/2019,101.80,SIP,103.30,103.30,101.00,3610.00
26/11/2019,101.60,SIP,103.00,103.00,100.60,9760.00
25/11/2019,100.20,SIP,102.10,102.10,97.00,17660.00
22/11/2019,103.10,SIP,104.50,104.60,101.50,38320.00
21/11/2019,104.50,SIP,105.00,105.50,104.00,9100.00
20/11/2019,105.00,SIP,102.70,106.00,102.70,33619.00
19/11/2019,103.00,SIP,101.00,103.50,101.00,17592.00
18/11/2019,101.70,SIP,100.70,102.00,100.70,20200.00
15/11/2019,101.00,SIP,101.00,102.00,101.00,12670.00
14/11/2019,101.50,SIP,102.20,102.30,101.00,22200.00
13/11/2019,102.90,SIP,102.00,102.90,101.90,27094.00
12/11/2019,102.90,SIP,102.50,103.00,102.00,25887.00
11/11/2019,102.10,SIP,104.90,105.00,102.00,39293.00
08/11/2019,102.80,SIP,103.50,103.50,102.50,22280.00
07/11/2019,103.50,SIP,104.00,104.00,102.60,47107.00
06/11/2019,104.50,SIP,103.00,106.00,103.00,35850.00
05/11/2019,103.00,SIP,104.00,104.00,101.00,55730.00
04/11/2019,103.50,SIP,104.20,106.00,101.20,54370.00
01/11/2019,104.20,SIP,106.80,107.00,102.40,23396.00
31/10/2019,106.90,SIP,105.00,111.50,101.00,141456.00
