DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,20.50,SJ1,20.50,20.50,20.50,0.00
10/01/2020,20.50,SJ1,20.50,20.50,20.50,0.00
09/01/2020,20.50,SJ1,20.50,20.50,20.50,1.00
08/01/2020,20.50,SJ1,20.50,20.50,20.50,100.00
07/01/2020,22.50,SJ1,22.50,22.50,22.50,3.00
06/01/2020,22.50,SJ1,22.50,22.50,22.50,0.00
03/01/2020,22.50,SJ1,22.50,22.50,22.50,0.00
02/01/2020,22.50,SJ1,22.50,22.50,22.50,100.00
31/12/2019,21.80,SJ1,21.80,21.80,21.80,110.00
30/12/2019,20.90,SJ1,20.90,20.90,20.90,100.00
27/12/2019,19.00,SJ1,19.00,19.00,19.00,28836.00
26/12/2019,19.00,SJ1,19.00,19.00,19.00,4536.00
25/12/2019,18.00,SJ1,18.00,18.00,18.00,0.00
24/12/2019,18.00,SJ1,18.00,18.00,18.00,100.00
23/12/2019,19.90,SJ1,19.90,19.90,19.90,0.00
20/12/2019,19.90,SJ1,19.90,19.90,19.90,0.00
19/12/2019,19.90,SJ1,19.90,19.90,19.90,0.00
18/12/2019,19.90,SJ1,19.90,19.90,19.90,0.00
17/12/2019,19.90,SJ1,19.90,19.90,19.90,0.00
16/12/2019,19.90,SJ1,19.90,19.90,19.90,0.00
13/12/2019,19.90,SJ1,19.90,19.90,19.90,100.00
12/12/2019,18.10,SJ1,17.80,18.10,17.80,200.00
11/12/2019,16.50,SJ1,16.50,16.50,16.50,100.00
10/12/2019,18.30,SJ1,18.30,18.30,18.30,0.00
09/12/2019,18.30,SJ1,18.30,18.30,18.30,0.00
06/12/2019,18.30,SJ1,18.30,18.30,18.30,6.00
05/12/2019,18.30,SJ1,18.30,18.30,18.30,0.00
04/12/2019,18.30,SJ1,18.30,18.30,18.30,1.00
03/12/2019,18.30,SJ1,18.30,18.30,18.30,0.00
02/12/2019,18.30,SJ1,18.30,18.30,18.30,0.00
29/11/2019,18.30,SJ1,18.30,18.30,18.30,0.00
28/11/2019,18.30,SJ1,18.30,18.30,18.30,0.00
27/11/2019,18.30,SJ1,18.30,18.30,18.30,0.00
26/11/2019,18.30,SJ1,18.30,18.30,18.30,4.00
25/11/2019,18.30,SJ1,18.30,18.30,18.30,0.00
22/11/2019,18.30,SJ1,18.30,18.30,18.30,0.00
21/11/2019,18.30,SJ1,18.30,18.30,18.30,0.00
20/11/2019,18.30,SJ1,18.30,18.30,18.30,0.00
19/11/2019,18.30,SJ1,18.30,18.30,18.30,0.00
18/11/2019,18.30,SJ1,18.30,18.30,18.30,0.00
15/11/2019,18.30,SJ1,18.30,18.30,18.30,0.00
14/11/2019,18.30,SJ1,18.30,18.30,18.30,0.00
13/11/2019,18.30,SJ1,18.30,18.30,18.30,50.00
12/11/2019,18.30,SJ1,18.00,18.30,18.00,235.00
11/11/2019,18.00,SJ1,18.00,18.00,18.00,0.00
08/11/2019,18.00,SJ1,18.00,18.00,18.00,0.00
07/11/2019,18.00,SJ1,18.00,18.00,18.00,0.00
06/11/2019,18.00,SJ1,18.00,18.00,18.00,0.00
05/11/2019,18.00,SJ1,18.00,18.00,18.00,0.00
04/11/2019,18.00,SJ1,16.60,18.00,16.60,200.00
01/11/2019,18.40,SJ1,18.40,18.40,18.40,0.00
31/10/2019,18.40,SJ1,18.40,18.40,18.40,0.00
30/10/2019,18.40,SJ1,18.40,18.40,18.40,0.00
29/10/2019,18.40,SJ1,18.40,18.40,18.40,0.00
28/10/2019,18.40,SJ1,18.40,18.40,18.40,100.00
25/10/2019,18.40,SJ1,18.40,18.40,18.40,0.00
24/10/2019,18.40,SJ1,18.40,18.40,18.40,0.00
23/10/2019,18.40,SJ1,18.40,18.40,18.40,0.00
22/10/2019,18.40,SJ1,18.40,18.40,18.40,0.00
21/10/2019,18.40,SJ1,15.70,18.40,15.70,587.00
18/10/2019,17.40,SJ1,16.00,17.40,16.00,400.00
17/10/2019,15.90,SJ1,15.90,15.90,15.90,100.00
16/10/2019,14.50,SJ1,16.00,16.00,14.50,2700.00
15/10/2019,15.80,SJ1,15.80,15.80,15.80,200.00
14/10/2019,17.50,SJ1,17.50,17.50,17.50,0.00
11/10/2019,17.50,SJ1,17.50,17.50,17.50,100.00
10/10/2019,17.40,SJ1,17.40,17.40,17.40,7000.00
09/10/2019,17.90,SJ1,17.90,17.90,17.90,16.00
08/10/2019,17.90,SJ1,17.90,17.90,17.90,0.00
07/10/2019,17.90,SJ1,17.90,17.90,17.90,0.00
04/10/2019,17.90,SJ1,17.90,17.90,17.90,0.00
03/10/2019,17.90,SJ1,17.90,17.90,17.90,0.00
02/10/2019,17.90,SJ1,17.90,17.90,17.90,0.00
01/10/2019,17.90,SJ1,17.10,17.90,17.10,6600.00
30/09/2019,18.60,SJ1,18.60,18.60,18.60,100.00
27/09/2019,17.50,SJ1,17.00,17.60,16.20,6500.00
26/09/2019,17.70,SJ1,16.20,17.70,16.20,12400.00
25/09/2019,17.80,SJ1,16.80,17.80,16.80,5800.00
24/09/2019,18.30,SJ1,18.10,18.30,16.30,8000.00
23/09/2019,17.90,SJ1,17.90,17.90,17.90,0.00
20/09/2019,17.90,SJ1,17.90,17.90,17.90,2.00
19/09/2019,17.90,SJ1,17.90,17.90,17.90,0.00
18/09/2019,17.90,SJ1,17.90,17.90,17.90,0.00
17/09/2019,17.90,SJ1,17.90,17.90,17.90,0.00
16/09/2019,17.90,SJ1,16.40,17.90,16.40,206.00
13/09/2019,18.10,SJ1,18.10,18.10,18.10,0.00
12/09/2019,18.10,SJ1,18.10,18.10,18.10,0.00
