DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,1.10,SJC,1.10,1.10,1.10,0.00
10/01/2020,1.10,SJC,1.30,1.30,1.10,1800.00
09/01/2020,1.20,SJC,1.20,1.20,1.20,0.00
08/01/2020,1.20,SJC,1.20,1.20,1.20,0.00
07/01/2020,1.20,SJC,1.20,1.20,1.20,0.00
06/01/2020,1.20,SJC,1.20,1.20,1.20,0.00
03/01/2020,1.20,SJC,1.10,1.20,1.10,2500.00
02/01/2020,1.20,SJC,1.20,1.20,1.20,0.00
31/12/2019,1.20,SJC,1.20,1.20,1.20,0.00
30/12/2019,1.20,SJC,1.20,1.20,1.20,0.00
27/12/2019,1.20,SJC,1.20,1.20,1.20,23900.00
26/12/2019,1.30,SJC,1.30,1.30,1.30,0.00
25/12/2019,1.30,SJC,1.30,1.30,1.30,0.00
24/12/2019,1.30,SJC,1.30,1.30,1.30,0.00
23/12/2019,1.30,SJC,1.30,1.30,1.30,0.00
20/12/2019,1.30,SJC,1.20,1.30,1.20,15800.00
19/12/2019,1.30,SJC,1.30,1.30,1.30,0.00
18/12/2019,1.30,SJC,1.30,1.30,1.30,0.00
17/12/2019,1.30,SJC,1.30,1.30,1.30,0.00
16/12/2019,1.30,SJC,1.30,1.30,1.30,0.00
13/12/2019,1.30,SJC,1.20,1.30,1.20,7100.00
12/12/2019,1.30,SJC,1.30,1.30,1.30,0.00
11/12/2019,1.30,SJC,1.30,1.30,1.30,0.00
10/12/2019,1.30,SJC,1.30,1.30,1.30,0.00
09/12/2019,1.30,SJC,1.30,1.30,1.30,0.00
06/12/2019,1.30,SJC,1.30,1.40,1.30,6200.00
05/12/2019,1.40,SJC,1.40,1.40,1.40,0.00
04/12/2019,1.40,SJC,1.40,1.40,1.40,0.00
03/12/2019,1.40,SJC,1.40,1.40,1.40,0.00
02/12/2019,1.40,SJC,1.40,1.40,1.40,0.00
29/11/2019,1.40,SJC,1.40,1.40,1.40,6000.00
28/11/2019,1.50,SJC,1.50,1.50,1.50,0.00
27/11/2019,1.50,SJC,1.50,1.50,1.50,0.00
26/11/2019,1.50,SJC,1.50,1.50,1.50,0.00
25/11/2019,1.50,SJC,1.50,1.50,1.50,0.00
22/11/2019,1.50,SJC,1.50,1.50,1.50,9500.00
21/11/2019,1.60,SJC,1.60,1.60,1.60,0.00
20/11/2019,1.60,SJC,1.60,1.60,1.60,0.00
19/11/2019,1.60,SJC,1.60,1.60,1.60,0.00
18/11/2019,1.60,SJC,1.60,1.60,1.60,0.00
15/11/2019,1.60,SJC,1.60,1.60,1.60,700.00
14/11/2019,1.70,SJC,1.70,1.70,1.70,0.00
13/11/2019,1.70,SJC,1.70,1.70,1.70,0.00
12/11/2019,1.70,SJC,1.70,1.70,1.70,0.00
11/11/2019,1.70,SJC,1.70,1.70,1.70,0.00
08/11/2019,1.70,SJC,1.70,1.70,1.70,13003.00
07/11/2019,1.80,SJC,1.80,1.80,1.80,0.00
06/11/2019,1.80,SJC,1.80,1.80,1.80,0.00
05/11/2019,1.80,SJC,1.80,1.80,1.80,0.00
04/11/2019,1.80,SJC,1.80,1.80,1.80,0.00
01/11/2019,1.80,SJC,1.80,1.80,1.80,1570.00
31/10/2019,2.00,SJC,2.00,2.00,2.00,0.00
30/10/2019,2.00,SJC,2.00,2.00,2.00,0.00
29/10/2019,2.00,SJC,2.00,2.00,2.00,0.00
28/10/2019,2.00,SJC,2.00,2.00,2.00,0.00
25/10/2019,2.00,SJC,2.00,2.40,2.00,500.00
24/10/2019,2.20,SJC,2.20,2.20,2.20,0.00
23/10/2019,2.20,SJC,2.20,2.20,2.20,0.00
22/10/2019,2.20,SJC,2.20,2.20,2.20,0.00
21/10/2019,2.20,SJC,2.20,2.20,2.20,0.00
18/10/2019,2.20,SJC,1.90,2.20,1.90,200.00
17/10/2019,2.00,SJC,2.00,2.00,2.00,0.00
16/10/2019,2.00,SJC,2.00,2.00,2.00,0.00
15/10/2019,2.00,SJC,2.00,2.00,2.00,0.00
14/10/2019,2.00,SJC,2.00,2.00,2.00,0.00
11/10/2019,2.00,SJC,2.00,2.00,2.00,200.00
10/10/2019,2.00,SJC,2.00,2.00,2.00,0.00
09/10/2019,2.00,SJC,2.00,2.00,2.00,0.00
08/10/2019,2.00,SJC,2.00,2.00,2.00,0.00
07/10/2019,2.00,SJC,2.00,2.00,2.00,0.00
04/10/2019,2.00,SJC,2.00,2.00,2.00,0.00
03/10/2019,2.00,SJC,2.00,2.00,2.00,0.00
02/10/2019,2.00,SJC,2.00,2.00,2.00,0.00
01/10/2019,2.00,SJC,2.00,2.00,2.00,0.00
30/09/2019,2.00,SJC,1.90,2.00,1.80,1600.00
27/09/2019,1.90,SJC,1.90,1.90,1.90,0.00
26/09/2019,1.90,SJC,1.90,1.90,1.90,0.00
25/09/2019,1.90,SJC,1.90,1.90,1.90,0.00
24/09/2019,1.90,SJC,1.90,1.90,1.90,0.00
23/09/2019,1.90,SJC,1.90,1.90,1.90,200.00
20/09/2019,1.80,SJC,1.80,1.80,1.80,1400.00
19/09/2019,1.70,SJC,1.70,1.80,1.70,1700.00
18/09/2019,1.80,SJC,1.80,1.80,1.80,0.00
17/09/2019,1.80,SJC,1.80,1.80,1.70,2900.00
16/09/2019,1.80,SJC,1.90,1.90,1.80,400.00
13/09/2019,1.90,SJC,1.90,1.90,1.90,0.00
12/09/2019,1.90,SJC,1.90,1.90,1.80,945.00
11/09/2019,1.90,SJC,1.90,1.90,1.90,200.00
10/09/2019,1.80,SJC,1.80,1.80,1.80,1250.00
09/09/2019,1.80,SJC,1.90,2.00,1.80,9800.00
06/09/2019,1.90,SJC,1.80,1.90,1.80,600.00
05/09/2019,1.80,SJC,1.80,1.80,1.80,450.00
04/09/2019,1.70,SJC,1.70,1.70,1.70,200.00
03/09/2019,1.80,SJC,1.80,1.80,1.80,0.00
30/08/2019,1.80,SJC,1.80,1.80,1.80,0.00
29/08/2019,1.80,SJC,1.80,1.80,1.80,1752.00
28/08/2019,1.80,SJC,1.80,1.80,1.80,1700.00
27/08/2019,1.90,SJC,1.90,1.90,1.90,300.00
26/08/2019,2.00,SJC,2.00,2.00,2.00,0.00
23/08/2019,2.00,SJC,2.00,2.00,2.00,0.00
22/08/2019,2.00,SJC,2.00,2.00,2.00,0.00
21/08/2019,2.00,SJC,1.90,2.00,1.80,710.00
20/08/2019,1.90,SJC,1.90,1.90,1.90,700.00
19/08/2019,1.90,SJC,1.90,1.90,1.90,700.00
16/08/2019,1.90,SJC,1.90,1.90,1.90,500.00
15/08/2019,1.90,SJC,1.90,1.90,1.90,700.00
14/08/2019,1.90,SJC,1.90,1.90,1.90,1000.00
13/08/2019,1.90,SJC,1.90,1.90,1.90,2000.00
12/08/2019,2.00,SJC,1.80,2.00,1.80,1100.00
09/08/2019,1.90,SJC,1.90,1.90,1.90,6800.00
08/08/2019,1.90,SJC,1.90,1.90,1.90,700.00
07/08/2019,1.90,SJC,1.90,1.90,1.90,100.00
06/08/2019,1.80,SJC,1.80,1.80,1.80,1062.00
05/08/2019,1.70,SJC,1.80,1.90,1.70,2500.00
02/08/2019,1.80,SJC,1.90,1.90,1.80,10800.00
01/08/2019,1.90,SJC,1.90,1.90,1.80,2400.00
31/07/2019,1.80,SJC,1.80,1.80,1.80,2000.00
30/07/2019,1.90,SJC,1.90,1.90,1.90,0.00
29/07/2019,1.90,SJC,1.90,1.90,1.90,0.00
26/07/2019,1.90,SJC,1.90,1.90,1.90,0.00
25/07/2019,1.90,SJC,1.90,1.90,1.90,0.00
24/07/2019,1.90,SJC,1.90,1.90,1.80,5800.00
23/07/2019,2.00,SJC,2.00,2.00,2.00,0.00
22/07/2019,2.00,SJC,1.90,2.00,1.90,1300.00
19/07/2019,2.00,SJC,2.00,2.00,2.00,0.00
18/07/2019,2.00,SJC,1.90,2.00,1.90,14700.00
17/07/2019,1.90,SJC,2.00,2.00,1.90,6100.00
16/07/2019,2.00,SJC,2.00,2.00,2.00,1500.00
15/07/2019,1.90,SJC,1.80,1.90,1.80,7200.00
12/07/2019,1.80,SJC,1.90,1.90,1.80,5000.00
11/07/2019,2.00,SJC,2.00,2.00,2.00,7376.00
10/07/2019,2.20,SJC,2.00,2.20,2.00,1900.00
09/07/2019,2.00,SJC,1.90,2.00,1.90,1100.00
08/07/2019,2.00,SJC,2.00,2.00,2.00,1500.00
05/07/2019,2.00,SJC,2.00,2.00,2.00,3900.00
04/07/2019,2.20,SJC,2.30,2.30,2.20,1900.00
03/07/2019,2.40,SJC,2.40,2.40,2.40,0.00
02/07/2019,2.40,SJC,2.40,2.60,2.40,600.00
01/07/2019,2.40,SJC,2.40,2.40,2.40,0.00
28/06/2019,2.40,SJC,2.40,2.40,2.40,5000.00
27/06/2019,2.60,SJC,2.60,2.60,2.60,0.00
26/06/2019,2.60,SJC,2.60,2.60,2.60,100.00
25/06/2019,2.40,SJC,2.20,2.40,2.20,410.00
24/06/2019,2.20,SJC,2.20,2.20,2.20,0.00
21/06/2019,2.20,SJC,2.20,2.20,2.20,100.00
20/06/2019,2.20,SJC,2.20,2.20,2.00,3300.00
19/06/2019,2.20,SJC,2.10,2.20,2.10,200.00
18/06/2019,2.10,SJC,2.00,2.10,2.00,1500.00
17/06/2019,2.00,SJC,2.00,2.00,2.00,1000.00
14/06/2019,2.00,SJC,2.00,2.10,2.00,20700.00
13/06/2019,2.00,SJC,2.00,2.00,2.00,15000.00
12/06/2019,2.00,SJC,2.00,2.00,2.00,4200.00
11/06/2019,2.00,SJC,2.00,2.00,2.00,0.00
10/06/2019,2.00,SJC,2.00,2.00,2.00,6300.00
07/06/2019,1.90,SJC,2.10,2.10,1.90,5900.00
06/06/2019,2.10,SJC,2.10,2.10,2.10,5200.00
05/06/2019,2.10,SJC,2.20,2.20,2.10,11400.00
04/06/2019,2.10,SJC,2.10,2.10,2.10,35700.00
03/06/2019,2.10,SJC,2.10,2.10,2.10,0.00
31/05/2019,2.10,SJC,2.00,2.10,2.00,22000.00
30/05/2019,2.00,SJC,2.10,2.10,2.00,5900.00
29/05/2019,2.20,SJC,2.00,2.20,2.00,300.00
28/05/2019,2.00,SJC,2.00,2.00,2.00,0.00
27/05/2019,2.00,SJC,2.10,2.20,2.00,20300.00
24/05/2019,2.20,SJC,2.10,2.20,2.10,8700.00
23/05/2019,2.30,SJC,2.20,2.30,2.20,9200.00
22/05/2019,2.20,SJC,2.20,2.30,2.00,44900.00
21/05/2019,2.20,SJC,2.00,2.20,2.00,5100.00
20/05/2019,2.10,SJC,2.10,2.10,2.10,12600.00
17/05/2019,2.30,SJC,2.30,2.30,2.30,100.00
16/05/2019,2.10,SJC,2.20,2.20,2.10,7800.00
15/05/2019,2.00,SJC,1.80,2.00,1.80,6600.00
14/05/2019,1.90,SJC,2.00,2.00,1.90,10000.00
13/05/2019,2.10,SJC,2.00,2.10,2.00,1100.00
10/05/2019,2.10,SJC,1.90,2.10,1.90,1900.00
09/05/2019,2.10,SJC,2.10,2.10,1.90,300.00
08/05/2019,2.10,SJC,2.20,2.20,2.00,300.00
07/05/2019,2.00,SJC,2.00,2.00,2.00,1000.00
06/05/2019,2.10,SJC,2.10,2.10,2.10,2200.00
03/05/2019,2.30,SJC,2.10,2.30,2.10,3000.00
02/05/2019,2.30,SJC,2.30,2.30,2.30,300.00
26/04/2019,2.10,SJC,2.10,2.10,2.10,7300.00
25/04/2019,2.30,SJC,2.10,2.30,2.10,3200.00
24/04/2019,2.30,SJC,2.20,2.30,2.20,310.00
23/04/2019,2.20,SJC,2.40,2.40,2.20,3800.00
22/04/2019,2.40,SJC,2.40,2.40,2.40,100.00
19/04/2019,2.40,SJC,2.30,2.40,2.30,200.00
18/04/2019,2.40,SJC,2.20,2.40,2.20,2300.00
17/04/2019,2.20,SJC,2.20,2.20,2.10,2300.00
16/04/2019,2.20,SJC,2.20,2.20,2.00,3900.00
12/04/2019,2.00,SJC,2.20,2.30,2.00,610.00
11/04/2019,2.20,SJC,2.20,2.20,2.20,201.00
10/04/2019,2.40,SJC,2.40,2.40,2.40,3300.00
09/04/2019,2.40,SJC,2.40,2.40,2.40,0.00
08/04/2019,2.40,SJC,2.50,2.50,2.40,201.00
05/04/2019,2.30,SJC,2.30,2.30,2.30,2000.00
04/04/2019,2.20,SJC,2.20,2.20,2.20,1100.00
03/04/2019,2.10,SJC,2.20,2.20,2.10,3200.00
02/04/2019,2.30,SJC,2.30,2.30,2.20,1000.00
01/04/2019,2.20,SJC,2.40,2.40,2.20,6083.00
29/03/2019,2.30,SJC,2.10,2.30,2.10,16200.00
28/03/2019,2.30,SJC,2.30,2.30,2.30,100.00
27/03/2019,2.40,SJC,2.20,2.40,2.20,5500.00
26/03/2019,2.30,SJC,2.10,2.30,2.10,3800.00
25/03/2019,2.20,SJC,2.10,2.20,2.00,19500.00
22/03/2019,2.10,SJC,2.10,2.20,2.10,27800.00
21/03/2019,2.20,SJC,2.20,2.20,2.10,4400.00
20/03/2019,2.20,SJC,2.00,2.20,2.00,3000.00
19/03/2019,2.00,SJC,2.20,2.20,2.00,3800.00
18/03/2019,2.10,SJC,2.10,2.10,2.00,9400.00
15/03/2019,2.10,SJC,2.20,2.20,2.10,19700.00
14/03/2019,2.20,SJC,2.30,2.30,2.20,38500.00
13/03/2019,2.40,SJC,2.30,2.40,2.30,16779.00
12/03/2019,2.30,SJC,2.30,2.30,2.30,4600.00
11/03/2019,2.30,SJC,2.20,2.30,2.20,6600.00
08/03/2019,2.20,SJC,2.30,2.30,2.20,1900.00
07/03/2019,2.20,SJC,2.20,2.20,2.20,21210.00
06/03/2019,2.40,SJC,2.30,2.40,2.10,53100.00
05/03/2019,2.30,SJC,2.30,2.30,2.30,14310.00
04/03/2019,2.30,SJC,2.30,2.30,2.30,21183.00
01/03/2019,2.50,SJC,2.50,2.50,2.40,1310.00
28/02/2019,2.60,SJC,2.40,2.60,2.40,3700.00
27/02/2019,2.60,SJC,2.60,2.60,2.50,25200.00
26/02/2019,2.50,SJC,2.50,2.60,2.50,68320.00
25/02/2019,2.50,SJC,2.40,2.50,2.40,32700.00
22/02/2019,2.60,SJC,2.50,2.60,2.50,9725.00
21/02/2019,2.70,SJC,2.50,2.70,2.40,52300.00
20/02/2019,2.60,SJC,2.40,2.60,2.40,4000.00
19/02/2019,2.40,SJC,2.40,2.40,2.40,1600.00
18/02/2019,2.40,SJC,2.40,2.40,2.40,14500.00
15/02/2019,2.60,SJC,2.40,2.60,2.40,920.00
14/02/2019,2.40,SJC,2.50,2.50,2.30,2605.00
13/02/2019,2.50,SJC,2.50,2.60,2.50,18800.00
12/02/2019,2.70,SJC,2.70,2.70,2.70,400.00
11/02/2019,2.70,SJC,2.40,2.70,2.30,25500.00
01/02/2019,2.50,SJC,2.50,2.50,2.50,5000.00
31/01/2019,2.70,SJC,2.50,2.70,2.50,20600.00
30/01/2019,2.70,SJC,2.60,2.70,2.50,4600.00
29/01/2019,2.70,SJC,2.90,2.90,2.70,8600.00
28/01/2019,2.90,SJC,2.80,2.90,2.70,1100.00
25/01/2019,2.70,SJC,2.70,2.70,2.70,100.00
24/01/2019,2.60,SJC,2.60,2.60,2.60,100.00
23/01/2019,2.60,SJC,2.60,2.60,2.60,3000.00
22/01/2019,2.70,SJC,2.50,2.70,2.50,4000.00
21/01/2019,2.70,SJC,2.50,2.70,2.50,3700.00
