DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,21.00,SJE,21.00,21.00,21.00,0.00
10/01/2020,21.00,SJE,21.00,21.00,21.00,0.00
09/01/2020,21.00,SJE,21.00,21.00,21.00,100.00
08/01/2020,20.30,SJE,20.30,20.30,20.30,100.00
07/01/2020,18.70,SJE,18.70,18.70,18.70,1000.00
06/01/2020,18.80,SJE,18.80,18.80,18.80,0.00
03/01/2020,18.80,SJE,19.10,19.10,18.80,26200.00
02/01/2020,19.00,SJE,19.00,19.00,19.00,100.00
31/12/2019,18.10,SJE,18.10,18.10,18.10,5100.00
30/12/2019,19.40,SJE,19.40,19.40,19.40,1500.00
27/12/2019,21.50,SJE,21.50,21.50,21.50,100.00
26/12/2019,20.80,SJE,20.80,20.80,20.80,100.00
25/12/2019,19.00,SJE,18.50,19.00,18.00,4700.00
24/12/2019,19.50,SJE,19.50,19.50,19.50,0.00
23/12/2019,19.50,SJE,19.50,19.50,19.50,2000.00
20/12/2019,19.80,SJE,19.80,19.80,19.80,0.00
19/12/2019,19.80,SJE,19.80,19.80,19.80,100.00
18/12/2019,19.00,SJE,19.00,19.00,19.00,0.00
17/12/2019,19.00,SJE,19.00,19.00,19.00,0.00
16/12/2019,19.00,SJE,19.00,19.00,19.00,3200.00
13/12/2019,19.00,SJE,19.00,19.00,19.00,0.00
12/12/2019,19.00,SJE,19.00,19.00,19.00,500.00
11/12/2019,19.00,SJE,19.00,19.00,19.00,600.00
10/12/2019,19.00,SJE,18.90,19.00,18.90,5000.00
09/12/2019,18.90,SJE,18.90,18.90,18.90,100.00
06/12/2019,19.80,SJE,19.80,19.80,19.80,0.00
05/12/2019,19.80,SJE,19.80,19.80,19.80,600.00
04/12/2019,19.90,SJE,19.90,19.90,19.90,0.00
03/12/2019,19.90,SJE,19.90,19.90,19.90,100.00
02/12/2019,19.20,SJE,19.10,20.00,19.10,3500.00
29/11/2019,20.90,SJE,20.90,20.90,20.90,100.00
28/11/2019,19.30,SJE,19.30,19.30,19.30,105.00
27/11/2019,19.60,SJE,19.40,22.90,19.40,400.00
26/11/2019,21.30,SJE,21.30,21.30,21.30,100.00
25/11/2019,20.80,SJE,20.80,20.80,20.80,100.00
22/11/2019,19.20,SJE,19.60,19.60,19.20,700.00
21/11/2019,19.60,SJE,19.50,20.70,19.50,1200.00
20/11/2019,19.00,SJE,19.00,19.00,19.00,0.00
19/11/2019,19.00,SJE,19.00,19.00,19.00,100.00
18/11/2019,19.90,SJE,19.90,19.90,19.90,20.00
15/11/2019,19.90,SJE,19.90,21.70,18.50,4800.00
14/11/2019,19.80,SJE,19.80,19.80,19.80,134.00
13/11/2019,20.60,SJE,20.60,20.60,20.60,100.00
12/11/2019,22.30,SJE,22.30,22.30,22.30,0.00
11/11/2019,22.30,SJE,22.30,22.30,22.30,1300.00
08/11/2019,24.70,SJE,24.70,24.70,24.70,300.00
07/11/2019,27.40,SJE,27.40,27.40,27.40,0.00
06/11/2019,27.40,SJE,27.40,27.40,27.40,0.00
05/11/2019,27.40,SJE,27.40,27.40,27.40,0.00
04/11/2019,27.40,SJE,27.40,27.40,27.40,100.00
01/11/2019,25.00,SJE,25.00,25.00,25.00,100.00
31/10/2019,22.90,SJE,27.70,27.70,22.90,600.00
30/10/2019,25.40,SJE,25.40,25.40,25.40,100.00
29/10/2019,23.10,SJE,23.10,23.10,23.10,100.00
28/10/2019,21.00,SJE,21.00,21.00,21.00,0.00
25/10/2019,21.00,SJE,21.00,21.00,21.00,0.00
24/10/2019,21.00,SJE,19.10,21.20,19.10,2600.00
23/10/2019,20.90,SJE,20.90,20.90,20.90,0.00
22/10/2019,20.90,SJE,20.90,20.90,20.90,0.00
21/10/2019,20.90,SJE,22.40,22.40,20.90,15100.00
18/10/2019,22.50,SJE,22.50,22.50,22.50,0.00
17/10/2019,22.50,SJE,22.50,22.50,22.50,0.00
16/10/2019,22.50,SJE,22.50,22.50,22.50,1000.00
15/10/2019,25.00,SJE,25.00,25.00,25.00,0.00
14/10/2019,25.00,SJE,25.00,25.00,25.00,0.00
11/10/2019,25.00,SJE,25.00,25.00,25.00,0.00
10/10/2019,25.00,SJE,25.00,25.00,25.00,0.00
09/10/2019,25.00,SJE,25.00,25.00,25.00,100.00
08/10/2019,22.80,SJE,22.80,22.80,22.80,60.00
07/10/2019,22.80,SJE,23.40,23.40,21.60,300.00
04/10/2019,21.50,SJE,25.00,25.00,21.10,3100.00
03/10/2019,22.80,SJE,22.80,22.80,22.80,100.00
02/10/2019,22.00,SJE,22.00,22.00,22.00,1080.00
01/10/2019,21.90,SJE,21.90,21.90,21.90,0.00
30/09/2019,21.90,SJE,21.90,21.90,21.90,1200.00
27/09/2019,22.00,SJE,22.00,22.00,22.00,100.00
26/09/2019,22.70,SJE,22.70,22.70,22.70,0.00
25/09/2019,22.70,SJE,22.70,22.70,22.70,100.00
24/09/2019,22.10,SJE,22.00,22.10,22.00,3800.00
23/09/2019,21.70,SJE,21.60,26.20,21.60,3476.00
20/09/2019,23.90,SJE,23.90,23.90,23.90,100.00
19/09/2019,26.50,SJE,26.50,26.50,26.50,0.00
18/09/2019,26.50,SJE,26.50,26.50,26.50,0.00
17/09/2019,26.50,SJE,26.50,26.50,26.50,200.00
16/09/2019,29.40,SJE,29.40,29.40,29.40,0.00
13/09/2019,29.40,SJE,29.40,29.40,29.40,0.00
12/09/2019,29.40,SJE,29.40,29.40,29.40,0.00
11/09/2019,29.40,SJE,29.40,29.40,29.40,1.00
10/09/2019,29.40,SJE,29.40,29.40,29.40,100.00
09/09/2019,26.80,SJE,22.60,27.40,22.60,1500.00
06/09/2019,25.10,SJE,22.50,25.10,21.80,1000.00
05/09/2019,22.90,SJE,22.90,22.90,22.90,100.00
04/09/2019,21.40,SJE,21.30,21.40,21.30,280.00
03/09/2019,23.10,SJE,23.10,23.10,23.10,100.00
30/08/2019,22.30,SJE,22.30,22.30,22.30,700.00
29/08/2019,22.80,SJE,22.80,22.80,22.80,800.00
28/08/2019,22.80,SJE,22.70,22.80,20.60,1500.00
27/08/2019,20.80,SJE,21.30,21.30,20.80,14940.00
26/08/2019,21.40,SJE,22.50,25.90,21.40,18400.00
23/08/2019,23.70,SJE,26.90,26.90,22.50,4100.00
22/08/2019,24.60,SJE,25.00,26.90,24.60,1600.00
21/08/2019,24.60,SJE,24.60,24.60,24.60,1000.00
20/08/2019,25.00,SJE,25.00,25.00,25.00,50.00
19/08/2019,25.00,SJE,25.00,25.00,25.00,2304.00
16/08/2019,24.00,SJE,24.00,24.00,24.00,1000.00
15/08/2019,25.00,SJE,25.00,25.00,25.00,0.00
14/08/2019,25.00,SJE,25.00,25.00,25.00,0.00
13/08/2019,25.00,SJE,25.00,25.00,25.00,0.00
12/08/2019,25.00,SJE,25.00,25.00,25.00,0.00
09/08/2019,25.00,SJE,25.00,25.00,25.00,200.00
08/08/2019,26.40,SJE,26.40,26.40,26.40,0.00
07/08/2019,26.40,SJE,26.40,26.40,26.40,0.00
06/08/2019,26.40,SJE,26.40,26.40,26.40,300.00
05/08/2019,26.50,SJE,26.50,26.50,26.50,0.00
02/08/2019,26.50,SJE,26.50,26.50,26.50,0.00
01/08/2019,26.50,SJE,26.50,26.50,26.50,3.00
31/07/2019,26.50,SJE,26.50,26.50,26.50,20.00
30/07/2019,26.50,SJE,26.50,26.50,26.50,0.00
