DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,16.70,SJS,16.60,16.80,16.60,88580.00
10/01/2020,16.65,SJS,16.45,16.75,16.40,143220.00
09/01/2020,16.40,SJS,16.30,16.50,15.80,236540.00
08/01/2020,16.30,SJS,16.50,16.50,15.90,450610.00
07/01/2020,16.35,SJS,16.00,16.50,16.00,301810.00
06/01/2020,16.00,SJS,16.60,16.65,15.90,524020.00
03/01/2020,16.60,SJS,16.80,16.90,16.45,110330.00
02/01/2020,16.60,SJS,17.00,17.00,16.60,167020.00
31/12/2019,17.00,SJS,17.20,17.20,16.70,443270.00
30/12/2019,17.20,SJS,17.05,17.30,16.90,353270.00
27/12/2019,17.00,SJS,16.85,17.00,16.60,191140.00
26/12/2019,16.85,SJS,16.80,17.15,16.50,157660.00
25/12/2019,16.50,SJS,16.00,16.60,16.00,57650.00
24/12/2019,16.20,SJS,16.30,16.35,16.20,113630.00
23/12/2019,16.35,SJS,16.30,16.45,16.00,181240.00
20/12/2019,16.30,SJS,16.85,16.95,16.10,146830.00
19/12/2019,16.85,SJS,16.85,17.10,16.65,175750.00
18/12/2019,16.85,SJS,16.85,17.40,16.55,379420.00
17/12/2019,16.85,SJS,16.55,16.90,16.50,106440.00
16/12/2019,16.80,SJS,17.00,17.30,16.80,149830.00
13/12/2019,16.55,SJS,16.20,16.75,16.20,115880.00
12/12/2019,16.40,SJS,16.00,16.40,16.00,296350.00
11/12/2019,16.20,SJS,16.20,16.25,15.95,126090.00
10/12/2019,16.30,SJS,16.20,16.50,16.10,353700.00
09/12/2019,16.25,SJS,16.15,16.50,16.00,364430.00
06/12/2019,16.10,SJS,15.50,16.20,15.50,270110.00
05/12/2019,15.45,SJS,15.90,15.90,15.00,324420.00
04/12/2019,15.90,SJS,16.10,16.35,15.90,370890.00
03/12/2019,16.10,SJS,16.00,16.30,15.10,188290.00
02/12/2019,16.10,SJS,16.60,17.10,15.90,303990.00
29/11/2019,16.70,SJS,17.20,17.30,16.70,160170.00
28/11/2019,17.20,SJS,17.60,17.80,17.10,101660.00
27/11/2019,17.45,SJS,16.90,17.90,16.80,347490.00
26/11/2019,16.95,SJS,17.30,17.30,16.80,88450.00
25/11/2019,17.10,SJS,16.50,17.10,16.50,180590.00
22/11/2019,16.40,SJS,17.10,17.50,16.05,165340.00
21/11/2019,17.10,SJS,16.25,17.35,16.20,452600.00
20/11/2019,16.25,SJS,16.05,16.35,16.00,92470.00
19/11/2019,16.20,SJS,15.85,16.20,15.80,83840.00
18/11/2019,15.80,SJS,16.00,16.10,15.60,84100.00
15/11/2019,16.00,SJS,16.15,16.15,15.70,74380.00
14/11/2019,15.90,SJS,16.10,16.30,15.90,92740.00
13/11/2019,16.00,SJS,15.45,16.10,15.45,269720.00
12/11/2019,15.45,SJS,15.45,15.50,15.30,157870.00
11/11/2019,15.40,SJS,15.75,15.85,15.35,132230.00
08/11/2019,15.75,SJS,15.60,16.00,15.00,405910.00
07/11/2019,15.30,SJS,15.45,15.65,15.20,160930.00
06/11/2019,15.30,SJS,14.60,15.50,14.50,87310.00
05/11/2019,14.65,SJS,14.60,14.70,14.50,27240.00
04/11/2019,14.60,SJS,14.60,14.65,14.35,74940.00
01/11/2019,14.50,SJS,14.55,14.60,14.45,31240.00
31/10/2019,14.50,SJS,14.55,14.70,14.50,60810.00
30/10/2019,14.55,SJS,14.45,14.60,14.40,53960.00
29/10/2019,14.45,SJS,14.50,14.70,14.45,56240.00
28/10/2019,14.60,SJS,14.75,14.80,14.50,60410.00
25/10/2019,15.00,SJS,15.25,15.25,15.00,18050.00
24/10/2019,15.25,SJS,14.60,15.25,14.60,15030.00
23/10/2019,15.00,SJS,14.50,15.10,14.50,157550.00
22/10/2019,14.60,SJS,14.45,14.60,14.30,30530.00
21/10/2019,14.45,SJS,14.70,14.70,14.30,49700.00
18/10/2019,14.25,SJS,14.65,14.80,14.20,95910.00
17/10/2019,14.20,SJS,14.85,15.00,14.20,88680.00
16/10/2019,14.90,SJS,15.60,15.65,14.90,54800.00
15/10/2019,15.55,SJS,15.20,15.60,15.20,128630.00
14/10/2019,15.40,SJS,15.40,15.75,15.20,28820.00
11/10/2019,15.40,SJS,15.10,15.60,15.10,50730.00
10/10/2019,15.20,SJS,15.85,15.85,15.00,21480.00
09/10/2019,15.30,SJS,15.25,15.65,15.20,22690.00
08/10/2019,15.35,SJS,15.75,15.90,15.30,56240.00
