DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,24.00,SKV,24.00,24.00,24.00,3000.00
10/01/2020,22.00,SKV,23.30,23.30,22.00,35400.00
09/01/2020,25.10,SKV,25.10,25.10,25.10,12.00
08/01/2020,25.10,SKV,25.10,25.10,25.10,1510.00
07/01/2020,24.30,SKV,24.30,24.30,24.30,100.00
06/01/2020,25.20,SKV,25.20,25.20,25.20,200.00
03/01/2020,25.40,SKV,25.40,25.40,25.40,0.00
02/01/2020,25.40,SKV,25.40,25.40,25.40,0.00
31/12/2019,25.40,SKV,25.40,25.40,25.40,100.00
30/12/2019,25.40,SKV,25.40,25.40,25.40,100.00
27/12/2019,23.40,SKV,23.00,23.40,23.00,1120.00
26/12/2019,26.30,SKV,26.30,26.30,26.30,0.00
25/12/2019,26.30,SKV,26.30,26.30,26.30,0.00
24/12/2019,26.30,SKV,26.30,26.30,26.30,0.00
23/12/2019,26.30,SKV,26.30,26.30,26.30,0.00
20/12/2019,26.30,SKV,26.30,26.30,26.30,0.00
19/12/2019,26.30,SKV,26.30,26.30,26.30,0.00
18/12/2019,26.30,SKV,26.30,26.30,26.30,2100.00
17/12/2019,25.00,SKV,25.00,25.00,25.00,100.00
16/12/2019,25.50,SKV,25.00,26.00,25.00,10200.00
13/12/2019,28.80,SKV,28.80,28.80,28.80,0.00
12/12/2019,28.80,SKV,28.80,28.80,28.80,0.00
11/12/2019,28.80,SKV,28.80,28.80,28.80,0.00
10/12/2019,28.80,SKV,28.80,28.80,28.80,0.00
09/12/2019,28.80,SKV,28.80,28.80,28.80,100.00
06/12/2019,25.10,SKV,25.10,25.10,25.10,253.00
05/12/2019,25.10,SKV,25.10,25.10,25.10,1200.00
04/12/2019,25.40,SKV,25.10,25.60,25.10,1400.00
03/12/2019,27.20,SKV,27.20,27.20,27.20,0.00
02/12/2019,27.80,SKV,25.90,27.80,25.90,7600.00
29/11/2019,25.90,SKV,25.90,25.90,25.90,2000.00
28/11/2019,26.00,SKV,25.10,26.00,25.10,8400.00
27/11/2019,26.00,SKV,26.00,26.00,26.00,0.00
26/11/2019,26.00,SKV,26.00,26.00,26.00,100.00
25/11/2019,26.80,SKV,26.80,26.80,26.80,0.00
22/11/2019,25.00,SKV,26.80,26.80,25.00,3600.00
21/11/2019,25.00,SKV,25.00,25.00,25.00,8000.00
20/11/2019,25.00,SKV,25.00,25.00,25.00,5000.00
19/11/2019,25.00,SKV,25.30,25.30,25.00,2400.00
18/11/2019,25.50,SKV,25.00,25.50,25.00,8110.00
15/11/2019,25.80,SKV,25.80,25.80,25.80,2000.00
14/11/2019,24.90,SKV,24.90,24.90,24.90,0.00
13/11/2019,24.90,SKV,24.90,24.90,24.90,200.00
12/11/2019,24.70,SKV,24.70,24.70,24.70,0.00
11/11/2019,24.70,SKV,24.70,24.70,24.70,300.00
08/11/2019,24.80,SKV,24.40,24.80,23.90,8700.00
07/11/2019,24.40,SKV,24.00,24.40,24.00,2000.00
06/11/2019,24.30,SKV,24.30,24.30,24.30,0.00
05/11/2019,24.30,SKV,24.30,24.30,24.30,0.00
04/11/2019,24.30,SKV,24.30,24.30,24.30,200.00
01/11/2019,24.40,SKV,23.50,24.40,23.50,3330.00
31/10/2019,23.50,SKV,23.90,23.90,23.50,1600.00
30/10/2019,24.00,SKV,24.30,24.30,24.00,1700.00
29/10/2019,24.00,SKV,24.00,24.00,24.00,1900.00
28/10/2019,24.40,SKV,24.40,24.40,24.40,0.00
25/10/2019,24.00,SKV,24.40,24.40,24.00,1600.00
24/10/2019,23.60,SKV,23.60,23.60,23.60,100.00
23/10/2019,24.50,SKV,24.50,24.50,24.50,0.00
22/10/2019,24.50,SKV,24.40,24.50,24.20,5100.00
21/10/2019,24.00,SKV,24.00,24.00,24.00,1040.00
18/10/2019,24.00,SKV,24.00,24.00,24.00,900.00
17/10/2019,24.00,SKV,24.40,24.40,23.60,1740.00
16/10/2019,23.10,SKV,23.10,23.10,23.10,500.00
15/10/2019,24.60,SKV,24.60,24.60,24.60,0.00
14/10/2019,24.60,SKV,24.60,24.60,24.60,0.00
11/10/2019,24.60,SKV,24.60,24.60,24.60,3200.00
10/10/2019,23.70,SKV,23.70,23.70,23.70,0.00
09/10/2019,23.70,SKV,23.70,23.70,23.70,0.00
08/10/2019,23.70,SKV,23.70,23.70,23.70,0.00
07/10/2019,23.70,SKV,23.70,23.70,23.70,500.00
04/10/2019,23.80,SKV,23.80,23.80,23.80,0.00
03/10/2019,23.80,SKV,23.80,23.80,23.80,100.00
02/10/2019,24.00,SKV,24.00,24.00,24.00,300.00
01/10/2019,24.30,SKV,24.30,24.30,24.30,0.00
30/09/2019,24.30,SKV,24.30,24.30,24.30,0.00
27/09/2019,24.30,SKV,24.30,24.30,24.30,0.00
26/09/2019,24.30,SKV,24.30,24.30,24.30,100.00
25/09/2019,24.40,SKV,24.40,24.40,24.40,0.00
24/09/2019,24.40,SKV,24.40,24.40,24.40,1800.00
23/09/2019,24.00,SKV,24.00,24.00,24.00,200.00
20/09/2019,24.00,SKV,24.10,24.10,24.00,1000.00
19/09/2019,24.10,SKV,24.10,24.10,24.10,2400.00
18/09/2019,24.40,SKV,24.30,24.40,24.00,5200.00
17/09/2019,24.30,SKV,24.20,24.30,24.20,3500.00
16/09/2019,24.20,SKV,24.00,24.20,24.00,2100.00
13/09/2019,24.40,SKV,24.60,24.60,24.00,4200.00
12/09/2019,24.40,SKV,24.00,24.40,24.00,4269.00
11/09/2019,24.00,SKV,24.40,24.40,24.00,3101.00
10/09/2019,24.00,SKV,24.40,24.40,23.60,4200.00
09/09/2019,23.60,SKV,24.10,24.10,23.60,1400.00
06/09/2019,24.00,SKV,24.30,24.30,24.00,2700.00
05/09/2019,24.10,SKV,24.10,24.10,24.10,0.00
04/09/2019,24.10,SKV,24.10,24.10,24.10,0.00
03/09/2019,24.00,SKV,24.40,24.40,24.00,2900.00
30/08/2019,24.50,SKV,23.40,24.50,23.40,1700.00
29/08/2019,23.40,SKV,23.40,23.40,23.40,1000.00
28/08/2019,24.60,SKV,24.60,24.60,24.60,0.00
27/08/2019,24.60,SKV,24.60,24.60,24.60,0.00
26/08/2019,24.60,SKV,24.60,24.60,24.60,0.00
23/08/2019,24.70,SKV,24.70,24.80,24.50,9100.00
22/08/2019,24.70,SKV,23.50,24.70,23.50,600.00
21/08/2019,24.70,SKV,24.50,24.70,24.50,6100.00
20/08/2019,24.70,SKV,24.70,24.70,24.70,0.00
19/08/2019,24.90,SKV,24.50,24.90,24.40,4802.00
16/08/2019,24.80,SKV,24.80,24.80,24.80,0.00
15/08/2019,24.80,SKV,24.80,24.80,24.80,3700.00
14/08/2019,24.40,SKV,24.40,24.40,24.40,2400.00
13/08/2019,23.50,SKV,23.40,23.50,23.40,5500.00
12/08/2019,23.20,SKV,23.40,23.50,23.00,3335.00
09/08/2019,23.70,SKV,23.60,23.70,23.50,1100.00
08/08/2019,23.70,SKV,23.70,23.70,23.70,0.00
07/08/2019,23.70,SKV,23.70,23.70,23.70,500.00
06/08/2019,23.80,SKV,23.80,23.80,23.80,0.00
05/08/2019,23.80,SKV,23.80,23.80,23.80,2700.00
02/08/2019,23.80,SKV,23.80,23.80,23.80,123.00
01/08/2019,23.80,SKV,23.60,23.80,23.60,4400.00
31/07/2019,23.60,SKV,23.50,23.80,23.50,3400.00
30/07/2019,23.00,SKV,23.50,23.90,23.00,6905.00
29/07/2019,23.90,SKV,23.90,23.90,22.00,464135.00
26/07/2019,24.30,SKV,24.30,24.30,24.30,100.00
25/07/2019,23.50,SKV,23.50,23.50,23.50,370.00
24/07/2019,24.20,SKV,24.20,24.20,24.20,1800.00
23/07/2019,24.80,SKV,23.50,24.80,23.10,2965.00
22/07/2019,26.90,SKV,22.10,26.90,22.10,3400.00
19/07/2019,24.90,SKV,24.90,24.90,24.90,100.00
18/07/2019,23.30,SKV,24.10,24.10,22.00,518835.00
17/07/2019,25.40,SKV,25.40,25.40,25.40,4505.00
16/07/2019,25.60,SKV,21.40,25.60,21.40,2330.00
15/07/2019,25.10,SKV,25.10,25.10,25.10,4000.00
12/07/2019,25.10,SKV,25.10,25.10,25.10,4000.00
11/07/2019,25.00,SKV,25.00,25.00,25.00,2200.00
10/07/2019,25.50,SKV,22.10,25.60,22.10,1665.00
09/07/2019,25.90,SKV,25.90,25.90,25.90,0.00
08/07/2019,25.90,SKV,25.90,25.90,25.90,2600.00
05/07/2019,25.00,SKV,25.00,25.00,25.00,1200.00
04/07/2019,25.00,SKV,25.00,25.00,25.00,7200.00
03/07/2019,25.00,SKV,25.00,25.40,25.00,14000.00
02/07/2019,25.00,SKV,24.60,25.00,24.60,1800.00
01/07/2019,24.60,SKV,24.60,24.60,24.60,4200.00
28/06/2019,24.90,SKV,24.90,24.90,24.90,4100.00
27/06/2019,22.00,SKV,25.00,25.00,22.00,507000.00
26/06/2019,23.70,SKV,25.20,25.20,23.70,1000.00
25/06/2019,24.70,SKV,24.70,24.70,24.70,0.00
24/06/2019,24.60,SKV,25.00,25.00,24.60,1600.00
21/06/2019,25.00,SKV,25.20,25.20,25.00,1300.00
20/06/2019,25.20,SKV,25.20,25.20,25.20,1200.00
19/06/2019,25.10,SKV,25.10,25.10,25.10,0.00
18/06/2019,25.00,SKV,25.40,25.40,24.50,2700.00
17/06/2019,23.80,SKV,25.40,25.40,23.80,8615.00
14/06/2019,23.70,SKV,24.00,24.00,23.70,16400.00
13/06/2019,24.00,SKV,24.50,24.50,24.00,1900.00
12/06/2019,23.40,SKV,25.20,25.20,23.40,2600.00
11/06/2019,25.30,SKV,22.50,25.30,22.50,600.00
10/06/2019,25.40,SKV,25.40,25.40,25.40,2300.00
07/06/2019,23.70,SKV,23.70,23.70,23.70,300.00
06/06/2019,23.20,SKV,24.70,24.70,23.20,2015.00
05/06/2019,24.40,SKV,24.40,24.40,24.40,2500.00
04/06/2019,23.00,SKV,24.30,24.30,23.00,18500.00
03/06/2019,23.00,SKV,24.90,24.90,23.00,10500.00
31/05/2019,23.00,SKV,27.50,27.50,23.00,13800.00
30/05/2019,23.30,SKV,24.50,25.50,21.00,6500.00
29/05/2019,25.60,SKV,25.60,25.60,25.60,320.00
28/05/2019,25.60,SKV,25.50,25.60,25.50,2900.00
27/05/2019,25.60,SKV,27.90,27.90,25.60,2100.00
24/05/2019,25.30,SKV,29.80,29.80,25.30,9650.00
23/05/2019,26.90,SKV,25.20,26.90,25.20,12800.00
22/05/2019,25.10,SKV,25.70,25.70,25.10,1565.00
21/05/2019,25.00,SKV,25.30,25.30,25.00,6000.00
20/05/2019,25.70,SKV,26.80,26.80,25.00,8400.00
17/05/2019,26.90,SKV,25.60,26.90,24.70,13915.00
16/05/2019,24.50,SKV,25.00,25.00,24.50,4100.00
15/05/2019,25.70,SKV,25.50,25.80,25.50,8200.00
14/05/2019,25.70,SKV,25.60,25.70,25.50,2700.00
13/05/2019,24.50,SKV,25.40,25.40,24.30,9800.00
10/05/2019,24.60,SKV,25.00,25.00,24.60,2200.00
09/05/2019,25.60,SKV,25.60,25.60,25.60,1100.00
08/05/2019,24.90,SKV,24.00,24.90,24.00,1100.00
07/05/2019,25.50,SKV,25.50,25.50,25.50,1200.00
06/05/2019,24.00,SKV,24.90,24.90,24.00,6800.00
03/05/2019,24.00,SKV,23.70,25.00,23.70,1600.00
02/05/2019,23.70,SKV,23.70,23.70,23.70,0.00
26/04/2019,23.70,SKV,23.70,23.70,23.70,100.00
25/04/2019,25.30,SKV,25.30,25.30,25.30,10.00
24/04/2019,25.30,SKV,25.30,25.30,25.30,0.00
23/04/2019,25.30,SKV,25.30,25.30,25.30,10.00
22/04/2019,25.30,SKV,25.30,25.30,25.30,1100.00
19/04/2019,24.00,SKV,25.40,25.40,24.00,6400.00
18/04/2019,23.70,SKV,25.30,25.30,23.70,2100.00
17/04/2019,24.00,SKV,25.40,25.40,24.00,3900.00
16/04/2019,23.80,SKV,24.90,25.00,23.80,3050.00
12/04/2019,23.60,SKV,23.60,23.60,23.60,1000.00
11/04/2019,26.00,SKV,26.00,26.00,26.00,0.00
10/04/2019,26.00,SKV,26.00,26.00,26.00,0.00
09/04/2019,26.00,SKV,26.00,26.00,26.00,70.00
08/04/2019,26.00,SKV,26.00,26.00,26.00,1200.00
05/04/2019,24.00,SKV,26.30,26.30,24.00,3200.00
04/04/2019,23.50,SKV,24.60,24.60,23.50,2400.00
03/04/2019,24.00,SKV,24.00,24.00,24.00,1105.00
02/04/2019,24.60,SKV,24.60,24.60,24.60,700.00
01/04/2019,24.00,SKV,24.00,24.00,24.00,4700.00
29/03/2019,24.00,SKV,24.40,24.50,24.00,4777.00
28/03/2019,24.60,SKV,24.60,24.60,24.60,700.00
27/03/2019,24.00,SKV,24.00,24.00,24.00,1800.00
26/03/2019,24.40,SKV,24.40,24.40,24.40,27.00
25/03/2019,24.40,SKV,24.40,24.40,24.40,0.00
22/03/2019,24.40,SKV,24.40,24.40,24.40,1000.00
21/03/2019,24.00,SKV,24.00,24.00,24.00,0.00
20/03/2019,24.00,SKV,24.00,24.00,24.00,200.00
19/03/2019,24.00,SKV,24.00,24.00,24.00,100.00
18/03/2019,24.20,SKV,24.60,24.60,24.20,700.00
15/03/2019,23.90,SKV,23.90,23.90,23.90,1630.00
14/03/2019,23.80,SKV,23.80,23.80,23.80,2300.00
13/03/2019,24.70,SKV,24.70,24.70,24.70,200.00
12/03/2019,24.60,SKV,24.60,24.60,24.60,0.00
11/03/2019,24.60,SKV,24.60,24.60,24.60,500.00
08/03/2019,23.50,SKV,23.50,23.50,23.50,530.00
07/03/2019,24.60,SKV,24.60,24.60,24.60,1200.00
06/03/2019,23.50,SKV,23.50,23.50,23.50,6700.00
05/03/2019,23.90,SKV,23.90,23.90,23.90,0.00
04/03/2019,23.90,SKV,23.90,23.90,23.90,2300.00
01/03/2019,24.70,SKV,24.70,24.70,24.70,500.00
28/02/2019,23.80,SKV,23.50,23.80,23.50,2710.00
27/02/2019,23.50,SKV,23.30,23.50,23.00,42200.00
26/02/2019,23.00,SKV,23.20,23.20,23.00,30700.00
25/02/2019,22.30,SKV,22.30,22.30,22.30,0.00
22/02/2019,23.00,SKV,23.00,23.00,22.20,5820.00
21/02/2019,23.00,SKV,23.00,23.20,23.00,8200.00
20/02/2019,23.00,SKV,23.00,23.50,23.00,3500.00
19/02/2019,23.00,SKV,21.50,23.00,21.50,1460.00
18/02/2019,23.00,SKV,23.00,23.00,23.00,0.00
15/02/2019,23.00,SKV,23.00,23.00,23.00,100.00
14/02/2019,23.00,SKV,21.60,23.00,21.60,1240.00
13/02/2019,23.00,SKV,22.90,23.00,22.90,700.00
12/02/2019,21.30,SKV,21.30,21.30,21.30,0.00
11/02/2019,23.00,SKV,20.20,23.00,20.20,1300.00
01/02/2019,23.00,SKV,22.10,23.00,19.90,2400.00
31/01/2019,22.60,SKV,22.20,22.60,22.20,7200.00
30/01/2019,23.00,SKV,22.30,23.00,22.30,14800.00
29/01/2019,22.20,SKV,22.20,22.20,22.20,0.00
28/01/2019,22.20,SKV,22.20,22.20,22.20,1400.00
25/01/2019,23.00,SKV,24.40,24.40,22.80,3000.00
24/01/2019,23.40,SKV,23.40,23.40,23.40,2100.00
23/01/2019,22.20,SKV,22.50,22.50,22.20,4700.00
22/01/2019,23.30,SKV,23.30,23.30,23.30,1100.00
21/01/2019,23.00,SKV,23.00,23.00,23.00,3000.00
