DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,42.50,SLS,42.50,42.90,42.00,1620.00
10/01/2020,42.50,SLS,42.50,42.50,42.50,157.00
09/01/2020,41.80,SLS,42.00,42.70,41.80,1763.00
08/01/2020,42.70,SLS,42.70,43.00,42.70,7417.00
07/01/2020,42.70,SLS,41.80,42.70,41.70,7620.00
06/01/2020,42.30,SLS,42.30,42.30,42.30,50.00
03/01/2020,42.30,SLS,42.40,42.40,42.30,2200.00
02/01/2020,42.40,SLS,42.80,42.80,42.30,3450.00
31/12/2019,42.40,SLS,42.50,43.50,42.40,2440.00
30/12/2019,42.50,SLS,42.70,42.70,42.50,1300.00
27/12/2019,42.70,SLS,44.00,44.00,42.70,400.00
26/12/2019,42.70,SLS,43.00,43.00,42.70,700.00
25/12/2019,43.00,SLS,42.50,43.00,42.50,2300.00
24/12/2019,42.50,SLS,43.00,43.00,42.20,2800.00
23/12/2019,43.00,SLS,42.50,43.00,42.20,1300.00
20/12/2019,43.00,SLS,43.00,43.00,43.00,1200.00
19/12/2019,43.00,SLS,43.20,43.20,43.00,2500.00
18/12/2019,43.60,SLS,44.00,44.10,43.10,3120.00
17/12/2019,44.70,SLS,44.70,46.90,44.00,3310.00
16/12/2019,44.70,SLS,44.70,45.00,44.70,1900.00
13/12/2019,44.70,SLS,45.80,45.80,44.70,4100.00
12/12/2019,45.40,SLS,45.50,45.60,45.40,1500.00
11/12/2019,45.30,SLS,46.00,47.00,45.30,4207.00
10/12/2019,44.90,SLS,45.50,45.50,44.70,6100.00
09/12/2019,44.70,SLS,46.00,46.00,44.60,3500.00
06/12/2019,45.00,SLS,44.50,45.10,44.50,3912.00
05/12/2019,44.00,SLS,47.00,47.00,43.70,3700.00
04/12/2019,43.10,SLS,43.20,43.20,43.00,14800.00
03/12/2019,43.10,SLS,43.50,43.50,43.00,10547.00
02/12/2019,43.00,SLS,43.00,43.50,43.00,12412.00
29/11/2019,42.70,SLS,42.00,42.80,42.00,6500.00
28/11/2019,41.50,SLS,41.50,41.80,41.50,11100.00
27/11/2019,41.40,SLS,41.40,41.60,41.30,3750.00
26/11/2019,41.30,SLS,41.10,41.50,41.10,4600.00
25/11/2019,41.70,SLS,41.50,41.70,41.10,7360.00
22/11/2019,41.50,SLS,41.70,41.70,40.00,9400.00
21/11/2019,41.80,SLS,41.10,41.80,41.00,5045.00
20/11/2019,41.10,SLS,41.10,41.10,41.10,4600.00
19/11/2019,41.10,SLS,41.50,41.70,41.10,3900.00
18/11/2019,41.00,SLS,41.80,41.90,41.00,1920.00
15/11/2019,41.40,SLS,40.80,41.40,40.80,2800.00
14/11/2019,40.70,SLS,41.00,41.50,40.50,4300.00
13/11/2019,40.50,SLS,40.70,40.80,40.50,1560.00
12/11/2019,39.90,SLS,40.00,40.00,39.80,1100.00
11/11/2019,39.50,SLS,39.50,39.50,39.50,20.00
08/11/2019,39.50,SLS,39.50,39.50,39.50,460.00
07/11/2019,39.40,SLS,39.30,39.40,39.30,1900.00
06/11/2019,39.30,SLS,39.40,39.80,39.30,6300.00
05/11/2019,39.30,SLS,39.30,40.40,39.30,2100.00
04/11/2019,39.30,SLS,42.60,42.60,39.00,7730.00
01/11/2019,40.40,SLS,40.50,40.50,39.50,6450.00
31/10/2019,40.50,SLS,41.10,41.30,40.50,4320.00
30/10/2019,41.50,SLS,41.10,41.50,41.10,1310.00
29/10/2019,41.20,SLS,41.10,41.20,41.00,5150.00
28/10/2019,41.00,SLS,41.20,41.20,41.00,15260.00
25/10/2019,41.20,SLS,43.00,43.00,41.20,1660.00
24/10/2019,42.00,SLS,43.00,43.00,42.00,1350.00
23/10/2019,47.90,SLS,48.40,48.50,47.90,13660.00
22/10/2019,48.40,SLS,49.00,49.00,48.30,9479.00
21/10/2019,49.00,SLS,47.80,49.00,47.70,17123.00
18/10/2019,47.60,SLS,47.90,48.00,47.40,8612.00
17/10/2019,47.90,SLS,47.80,47.90,47.60,11669.00
16/10/2019,47.70,SLS,49.00,49.00,47.70,17436.00
15/10/2019,48.50,SLS,47.50,48.80,47.50,11450.00
14/10/2019,47.50,SLS,48.30,50.80,47.50,14580.00
11/10/2019,47.10,SLS,44.20,48.50,44.20,62199.00
10/10/2019,44.10,SLS,44.00,44.50,44.00,8648.00
09/10/2019,43.60,SLS,44.40,44.40,43.60,10700.00
08/10/2019,44.20,SLS,43.20,44.20,42.20,14100.00
07/10/2019,41.60,SLS,41.50,42.10,41.50,3300.00
04/10/2019,41.50,SLS,40.70,41.50,40.50,9910.00
03/10/2019,40.70,SLS,40.90,41.00,40.70,800.00
02/10/2019,40.90,SLS,41.80,41.80,40.40,7300.00
01/10/2019,41.40,SLS,42.00,42.00,41.40,1600.00
30/09/2019,41.30,SLS,42.00,42.00,41.10,2217.00
27/09/2019,42.00,SLS,41.50,42.00,40.60,3510.00
26/09/2019,41.50,SLS,43.00,43.00,41.50,3130.00
25/09/2019,43.00,SLS,42.90,43.00,42.90,1800.00
24/09/2019,41.10,SLS,41.60,41.60,41.10,2440.00
23/09/2019,42.80,SLS,43.00,43.00,40.20,7310.00
20/09/2019,43.00,SLS,43.60,43.90,43.00,20420.00
19/09/2019,43.60,SLS,44.50,44.50,43.00,23130.00
18/09/2019,43.60,SLS,40.10,43.70,40.10,21431.00
17/09/2019,40.10,SLS,41.00,41.00,40.10,3320.00
16/09/2019,40.50,SLS,39.00,41.00,38.60,5570.00
13/09/2019,38.00,SLS,36.90,38.00,36.20,1600.00
12/09/2019,36.80,SLS,36.80,36.80,36.80,500.00
11/09/2019,38.10,SLS,36.50,38.10,36.10,4000.00
10/09/2019,37.10,SLS,37.10,37.20,37.10,1400.00
09/09/2019,38.10,SLS,38.10,38.10,38.10,0.00
06/09/2019,38.10,SLS,38.10,38.10,38.10,0.00
05/09/2019,38.10,SLS,38.10,38.10,38.10,0.00
04/09/2019,38.10,SLS,37.60,38.10,37.60,3400.00
03/09/2019,39.00,SLS,39.00,39.00,38.50,3600.00
30/08/2019,39.00,SLS,38.50,39.00,38.50,5920.00
29/08/2019,38.90,SLS,38.50,39.00,38.00,14700.00
28/08/2019,38.50,SLS,38.60,38.60,38.50,2600.00
27/08/2019,39.00,SLS,39.00,39.00,39.00,1700.00
26/08/2019,38.90,SLS,39.90,40.00,38.90,1100.00
23/08/2019,39.90,SLS,39.00,39.90,39.00,200.00
22/08/2019,39.90,SLS,41.30,41.30,38.50,7030.00
21/08/2019,39.40,SLS,39.60,39.90,39.40,9110.00
20/08/2019,39.80,SLS,39.40,39.80,39.40,2700.00
19/08/2019,39.30,SLS,41.20,41.20,39.30,8410.00
16/08/2019,40.20,SLS,40.20,40.40,40.20,2800.00
15/08/2019,40.10,SLS,40.10,41.50,40.10,3000.00
14/08/2019,40.10,SLS,41.20,41.20,40.10,5229.00
13/08/2019,41.20,SLS,41.60,42.50,41.20,7500.00
12/08/2019,41.60,SLS,41.30,41.60,41.30,600.00
09/08/2019,41.20,SLS,41.20,41.30,41.00,19010.00
08/08/2019,41.00,SLS,41.00,41.50,40.80,10400.00
07/08/2019,41.00,SLS,42.00,42.00,40.90,5000.00
06/08/2019,42.00,SLS,40.00,43.30,39.90,11620.00
05/08/2019,39.80,SLS,39.70,40.00,39.60,1600.00
02/08/2019,39.50,SLS,39.60,39.60,39.50,2800.00
01/08/2019,39.60,SLS,39.60,39.60,39.60,1440.00
31/07/2019,39.00,SLS,39.00,39.00,39.00,700.00
30/07/2019,38.70,SLS,38.50,39.00,38.50,5300.00
29/07/2019,38.50,SLS,38.80,38.80,38.50,500.00
26/07/2019,38.80,SLS,38.90,38.90,38.80,2519.00
25/07/2019,38.90,SLS,39.10,39.10,38.70,5495.00
24/07/2019,39.00,SLS,39.10,39.50,39.00,3898.00
23/07/2019,40.30,SLS,40.50,40.60,40.30,3900.00
22/07/2019,40.60,SLS,40.30,41.20,40.30,9620.00
19/07/2019,40.30,SLS,38.60,40.70,38.40,10330.00
18/07/2019,39.00,SLS,39.40,39.40,39.00,4410.00
17/07/2019,39.40,SLS,38.50,40.00,37.50,5370.00
16/07/2019,39.00,SLS,39.50,40.00,38.60,10517.00
15/07/2019,40.10,SLS,41.00,42.40,40.00,6182.00
12/07/2019,42.10,SLS,43.00,43.00,42.00,8240.00
11/07/2019,44.20,SLS,46.50,46.50,44.00,4052.00
10/07/2019,45.20,SLS,42.00,45.30,42.00,36592.00
09/07/2019,41.20,SLS,38.00,41.20,38.00,15762.00
08/07/2019,37.50,SLS,38.00,38.60,37.50,4062.00
05/07/2019,37.40,SLS,38.00,38.00,37.40,4942.00
04/07/2019,37.50,SLS,38.20,38.20,37.10,10950.00
03/07/2019,37.50,SLS,38.00,38.00,37.10,5100.00
02/07/2019,37.50,SLS,41.00,41.00,37.40,2100.00
01/07/2019,37.80,SLS,37.40,38.50,37.40,1808.00
28/06/2019,37.50,SLS,37.40,38.20,37.40,2000.00
27/06/2019,38.20,SLS,37.30,38.20,37.20,500.00
26/06/2019,37.10,SLS,37.10,37.10,37.10,500.00
25/06/2019,37.30,SLS,37.10,37.50,37.10,1661.00
24/06/2019,37.40,SLS,37.50,37.50,37.00,4800.00
21/06/2019,37.40,SLS,37.20,37.40,37.20,1100.00
20/06/2019,37.20,SLS,37.10,38.00,37.10,2800.00
19/06/2019,38.10,SLS,38.90,38.90,38.10,2200.00
18/06/2019,38.90,SLS,38.90,38.90,38.90,0.00
17/06/2019,38.90,SLS,38.90,38.90,38.90,0.00
14/06/2019,38.90,SLS,38.90,38.90,38.90,0.00
13/06/2019,38.90,SLS,39.80,39.80,38.90,900.00
12/06/2019,38.30,SLS,38.00,38.30,38.00,1710.00
11/06/2019,38.00,SLS,38.00,38.00,38.00,2500.00
10/06/2019,37.60,SLS,37.60,37.60,37.60,600.00
07/06/2019,37.50,SLS,37.50,37.50,37.00,9800.00
06/06/2019,37.00,SLS,37.50,37.50,37.00,2800.00
05/06/2019,38.00,SLS,38.30,38.30,36.90,8100.00
