DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,13.30,SMA,13.50,13.50,13.30,610.00
10/01/2020,14.25,SMA,14.25,14.25,14.25,0.00
09/01/2020,14.25,SMA,14.25,14.25,14.25,10.00
08/01/2020,13.40,SMA,13.40,13.40,13.40,0.00
07/01/2020,13.40,SMA,13.40,13.40,13.40,110.00
06/01/2020,12.55,SMA,13.00,13.00,12.55,20.00
03/01/2020,13.00,SMA,13.00,13.00,13.00,200.00
02/01/2020,13.90,SMA,13.90,13.90,13.90,220.00
31/12/2019,13.80,SMA,13.80,13.80,13.80,220.00
30/12/2019,14.80,SMA,13.80,14.80,13.80,1020.00
27/12/2019,14.80,SMA,13.65,14.80,13.65,3450.00
26/12/2019,14.65,SMA,14.65,14.65,14.65,500.00
25/12/2019,13.95,SMA,13.95,13.95,13.95,270.00
24/12/2019,13.95,SMA,14.90,14.90,13.95,110.00
23/12/2019,15.00,SMA,15.00,15.00,15.00,0.00
20/12/2019,15.00,SMA,15.00,15.00,15.00,10.00
19/12/2019,15.70,SMA,15.70,15.70,15.70,0.00
18/12/2019,15.70,SMA,15.70,15.70,15.70,0.00
17/12/2019,15.70,SMA,15.70,15.70,15.70,0.00
16/12/2019,15.70,SMA,15.70,15.70,15.70,1000.00
13/12/2019,15.85,SMA,13.85,15.85,13.85,3900.00
12/12/2019,14.85,SMA,13.85,14.85,13.85,200.00
11/12/2019,14.85,SMA,14.85,14.85,14.85,0.00
10/12/2019,14.85,SMA,15.50,15.50,13.85,3010.00
09/12/2019,14.85,SMA,13.90,14.85,13.10,4280.00
06/12/2019,13.90,SMA,14.20,14.20,13.90,1640.00
05/12/2019,13.90,SMA,13.00,13.90,12.10,244290.00
04/12/2019,13.00,SMA,14.20,14.20,13.00,100870.00
03/12/2019,13.90,SMA,13.90,13.90,12.40,157150.00
02/12/2019,13.00,SMA,12.15,13.00,12.15,120070.00
29/11/2019,12.15,SMA,11.40,12.15,12.15,120.00
28/11/2019,11.40,SMA,13.10,13.10,11.40,10510.00
27/11/2019,12.25,SMA,13.90,13.90,12.25,22910.00
26/11/2019,13.00,SMA,14.80,14.80,13.00,40.00
25/11/2019,13.85,SMA,13.85,13.85,13.85,10.00
22/11/2019,12.95,SMA,14.00,14.00,12.95,130.00
21/11/2019,13.40,SMA,13.40,13.40,13.40,20400.00
20/11/2019,12.55,SMA,12.55,12.55,12.55,3000.00
19/11/2019,11.75,SMA,11.75,11.75,11.75,0.00
18/11/2019,11.75,SMA,11.75,11.75,11.75,10.00
15/11/2019,12.00,SMA,12.00,12.00,12.00,0.00
14/11/2019,12.00,SMA,12.00,12.00,12.00,0.00
13/11/2019,12.00,SMA,12.00,12.00,12.00,0.00
12/11/2019,12.00,SMA,12.00,12.00,12.00,0.00
11/11/2019,12.00,SMA,12.00,12.00,12.00,10.00
08/11/2019,12.30,SMA,12.30,12.30,12.30,10.00
07/11/2019,13.20,SMA,12.20,13.20,12.20,1460.00
06/11/2019,12.35,SMA,12.35,12.35,12.35,0.00
05/11/2019,12.35,SMA,12.35,12.35,12.35,10.00
04/11/2019,12.55,SMA,12.55,12.55,12.55,10.00
01/11/2019,13.30,SMA,13.30,13.30,13.30,0.00
31/10/2019,13.30,SMA,13.30,13.30,13.30,0.00
30/10/2019,13.30,SMA,13.30,13.30,13.10,60.00
29/10/2019,12.55,SMA,12.55,12.55,12.55,10.00
28/10/2019,12.55,SMA,12.55,12.55,12.55,0.00
25/10/2019,12.55,SMA,12.55,12.55,12.55,10.00
24/10/2019,12.70,SMA,13.50,13.50,12.70,20.00
23/10/2019,13.50,SMA,13.50,13.50,13.50,50.00
22/10/2019,13.40,SMA,13.40,13.40,13.40,10.00
21/10/2019,13.20,SMA,13.20,13.20,13.20,10.00
18/10/2019,12.55,SMA,12.55,12.55,12.55,1780.00
17/10/2019,13.00,SMA,13.00,13.00,13.00,80.00
16/10/2019,13.00,SMA,13.00,13.00,13.00,10.00
15/10/2019,13.50,SMA,15.00,15.00,13.50,2370.00
14/10/2019,14.50,SMA,14.50,14.50,14.50,14100.00
11/10/2019,14.20,SMA,14.20,14.20,14.20,30.00
10/10/2019,14.70,SMA,14.70,14.70,14.70,0.00
09/10/2019,14.70,SMA,14.70,14.70,14.70,100.00
08/10/2019,15.80,SMA,14.40,15.80,14.40,130.00
07/10/2019,14.80,SMA,14.80,14.80,14.80,30.00
04/10/2019,15.20,SMA,15.20,15.20,15.20,0.00
03/10/2019,15.20,SMA,15.30,15.30,15.20,20.00
02/10/2019,14.30,SMA,14.30,14.30,14.30,10.00
01/10/2019,13.60,SMA,13.60,13.60,13.60,500.00
30/09/2019,14.10,SMA,14.10,14.10,14.10,13590.00
27/09/2019,14.70,SMA,14.70,14.70,14.70,0.00
26/09/2019,14.70,SMA,14.70,14.70,14.70,0.00
25/09/2019,14.70,SMA,14.70,14.70,14.70,11580.00
24/09/2019,14.40,SMA,14.40,14.40,14.40,3200.00
23/09/2019,13.50,SMA,14.50,14.90,13.50,30.00
20/09/2019,14.00,SMA,15.15,15.15,14.00,12510.00
19/09/2019,14.20,SMA,14.20,14.20,14.20,10300.00
18/09/2019,14.20,SMA,14.20,14.20,14.20,12000.00
17/09/2019,14.20,SMA,14.20,14.20,14.20,10.00
16/09/2019,14.20,SMA,14.20,14.20,14.20,1550.00
13/09/2019,13.60,SMA,13.60,13.60,13.60,13000.00
12/09/2019,13.50,SMA,13.50,13.50,13.50,3540.00
11/09/2019,14.00,SMA,14.00,14.00,14.00,0.00
10/09/2019,14.00,SMA,14.00,14.00,14.00,15000.00
09/09/2019,14.00,SMA,15.30,15.30,14.00,510.00
06/09/2019,14.50,SMA,14.50,14.50,14.50,0.00
05/09/2019,14.50,SMA,14.50,14.50,14.50,0.00
04/09/2019,14.50,SMA,14.50,14.50,14.50,39000.00
03/09/2019,14.30,SMA,14.80,14.80,14.30,80810.00
30/08/2019,14.40,SMA,14.40,14.40,14.40,0.00
29/08/2019,14.40,SMA,14.40,14.40,14.40,0.00
28/08/2019,14.40,SMA,14.30,14.40,14.30,12900.00
27/08/2019,13.50,SMA,13.50,13.50,13.50,100.00
26/08/2019,13.50,SMA,13.50,13.50,13.50,0.00
23/08/2019,13.50,SMA,13.50,13.50,13.50,10.00
22/08/2019,14.40,SMA,14.40,14.40,14.40,10.00
21/08/2019,13.50,SMA,13.50,13.50,13.50,0.00
20/08/2019,13.50,SMA,13.50,13.50,13.50,0.00
19/08/2019,13.50,SMA,15.15,15.15,13.50,160.00
16/08/2019,14.20,SMA,14.20,14.20,14.20,0.00
15/08/2019,14.20,SMA,16.05,16.05,14.20,620.00
14/08/2019,15.00,SMA,16.10,16.80,15.00,44740.00
13/08/2019,16.05,SMA,16.05,16.05,16.05,2520.00
12/08/2019,15.00,SMA,15.00,15.00,15.00,10.00
09/08/2019,15.00,SMA,15.00,15.00,15.00,300.00
08/08/2019,14.05,SMA,14.05,14.05,14.05,1000.00
07/08/2019,13.15,SMA,13.15,13.15,13.15,0.00
06/08/2019,13.15,SMA,13.15,13.15,13.15,770.00
05/08/2019,12.30,SMA,13.15,13.15,12.30,1010.00
02/08/2019,12.30,SMA,12.50,12.50,12.30,400.00
01/08/2019,12.50,SMA,12.50,12.50,12.50,0.00
31/07/2019,12.50,SMA,12.50,12.50,12.50,900.00
30/07/2019,12.20,SMA,12.20,12.20,12.20,3000.00
29/07/2019,12.15,SMA,12.15,12.15,12.15,0.00
26/07/2019,12.15,SMA,12.15,12.15,12.15,0.00
25/07/2019,12.15,SMA,12.15,12.15,12.15,30.00
24/07/2019,13.00,SMA,13.00,13.00,13.00,2000.00
23/07/2019,13.00,SMA,13.00,13.00,13.00,0.00
22/07/2019,13.00,SMA,13.00,13.00,13.00,8900.00
19/07/2019,12.90,SMA,12.90,12.90,12.90,10.00
18/07/2019,13.80,SMA,13.80,13.80,13.80,0.00
17/07/2019,13.80,SMA,13.80,13.80,13.80,10.00
16/07/2019,14.50,SMA,14.50,14.50,14.50,0.00
15/07/2019,14.50,SMA,14.50,14.50,14.50,0.00
12/07/2019,14.50,SMA,14.50,14.50,14.50,110.00
11/07/2019,14.50,SMA,14.50,14.50,14.50,100.00
10/07/2019,15.50,SMA,15.50,15.50,15.50,10.00
09/07/2019,15.65,SMA,15.65,15.65,15.65,0.00
08/07/2019,15.65,SMA,15.65,15.65,15.65,0.00
05/07/2019,15.65,SMA,15.65,15.65,15.65,0.00
04/07/2019,15.65,SMA,15.65,15.65,15.65,10.00
03/07/2019,16.00,SMA,17.05,17.05,16.00,210.00
02/07/2019,16.00,SMA,16.00,16.00,16.00,0.00
01/07/2019,16.00,SMA,16.00,16.00,16.00,0.00
28/06/2019,16.00,SMA,16.00,16.00,16.00,0.00
27/06/2019,16.00,SMA,16.00,16.00,16.00,5000.00
26/06/2019,16.05,SMA,16.30,16.30,16.05,1400.00
25/06/2019,17.25,SMA,17.25,17.25,17.25,0.00
24/06/2019,17.25,SMA,17.25,17.25,17.25,0.00
21/06/2019,17.25,SMA,17.25,17.25,17.25,100.00
20/06/2019,17.15,SMA,16.20,17.15,16.20,85110.00
19/06/2019,16.05,SMA,16.05,16.05,16.00,33620.00
18/06/2019,15.00,SMA,15.00,15.00,15.00,10.00
17/06/2019,16.00,SMA,16.50,16.50,16.00,1010.00
14/06/2019,16.00,SMA,17.50,18.40,16.00,130310.00
13/06/2019,17.20,SMA,16.20,17.20,16.20,143330.00
12/06/2019,16.10,SMA,16.10,16.10,16.10,60.00
11/06/2019,15.10,SMA,15.10,15.10,15.10,100.00
10/06/2019,14.20,SMA,14.00,14.20,14.00,350.00
07/06/2019,13.35,SMA,13.35,13.35,13.35,50.00
06/06/2019,14.35,SMA,14.35,14.35,14.35,100.00
05/06/2019,15.40,SMA,15.40,15.40,15.40,0.00
04/06/2019,15.40,SMA,15.40,15.40,15.40,14000.00
03/06/2019,14.45,SMA,15.50,16.00,14.45,30010.00
31/05/2019,15.50,SMA,15.50,15.50,15.50,10.00
30/05/2019,14.70,SMA,16.70,16.75,14.70,7660.00
29/05/2019,15.70,SMA,15.75,15.75,14.00,120.00
28/05/2019,14.75,SMA,14.75,14.75,14.75,0.00
27/05/2019,14.75,SMA,14.70,15.00,14.60,2980.00
24/05/2019,15.65,SMA,15.65,15.65,15.65,2100.00
23/05/2019,16.80,SMA,16.80,16.80,16.80,0.00
22/05/2019,16.80,SMA,16.80,16.80,16.80,0.00
21/05/2019,16.80,SMA,16.80,16.80,16.80,0.00
20/05/2019,16.80,SMA,16.80,16.80,16.80,0.00
17/05/2019,16.80,SMA,16.80,16.80,16.80,0.00
16/05/2019,16.80,SMA,16.80,16.80,16.80,0.00
15/05/2019,16.80,SMA,16.80,16.80,16.80,0.00
14/05/2019,16.80,SMA,16.80,16.80,16.80,10.00
13/05/2019,17.10,SMA,17.10,17.10,17.10,10.00
10/05/2019,17.10,SMA,15.65,17.10,15.65,830.00
09/05/2019,16.80,SMA,16.80,16.80,16.80,0.00
08/05/2019,16.80,SMA,16.80,16.80,16.80,0.00
07/05/2019,16.80,SMA,15.00,16.80,15.00,20.00
06/05/2019,15.80,SMA,15.80,15.80,15.80,0.00
03/05/2019,15.80,SMA,15.80,15.80,15.80,400.00
02/05/2019,16.90,SMA,16.90,16.90,16.90,80.00
26/04/2019,18.10,SMA,18.10,18.10,18.10,0.00
25/04/2019,18.10,SMA,18.10,18.10,18.10,0.00
24/04/2019,18.10,SMA,18.10,18.10,18.10,2230.00
23/04/2019,17.05,SMA,16.50,17.05,16.50,3550.00
22/04/2019,16.50,SMA,16.50,16.50,16.50,0.00
19/04/2019,16.50,SMA,16.50,16.50,16.50,10.00
18/04/2019,16.70,SMA,16.70,16.70,16.70,0.00
17/04/2019,16.70,SMA,16.70,16.70,16.70,0.00
16/04/2019,16.70,SMA,16.70,16.70,16.70,0.00
12/04/2019,16.70,SMA,16.70,16.70,16.70,10.00
11/04/2019,15.75,SMA,15.75,15.75,15.75,10.00
10/04/2019,14.75,SMA,14.50,14.75,14.50,710.00
09/04/2019,13.80,SMA,13.80,13.80,13.80,10.00
08/04/2019,14.30,SMA,14.30,14.30,14.30,120.00
05/04/2019,14.30,SMA,14.30,14.30,14.30,20.00
04/04/2019,14.30,SMA,14.30,14.30,14.30,10.00
03/04/2019,15.00,SMA,15.00,15.00,15.00,170.00
02/04/2019,15.70,SMA,15.70,15.80,15.70,3120.00
