DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,33.30,SMB,35.80,35.80,33.30,184280.00
10/01/2020,35.80,SMB,36.10,36.50,35.50,45210.00
09/01/2020,37.00,SMB,36.70,37.20,36.60,63700.00
08/01/2020,36.70,SMB,37.50,37.50,36.00,78120.00
07/01/2020,37.70,SMB,38.00,38.10,37.50,48430.00
06/01/2020,37.90,SMB,38.00,38.70,37.80,70630.00
03/01/2020,38.80,SMB,38.90,39.00,38.75,25350.00
02/01/2020,38.90,SMB,39.50,39.50,38.80,29490.00
31/12/2019,39.40,SMB,39.80,39.90,39.30,6220.00
30/12/2019,39.80,SMB,38.75,40.50,38.75,64160.00
27/12/2019,38.75,SMB,39.00,39.00,38.65,12160.00
26/12/2019,38.70,SMB,39.00,39.00,38.70,10570.00
25/12/2019,39.00,SMB,39.50,39.50,39.00,14220.00
24/12/2019,39.50,SMB,39.00,39.50,38.75,16610.00
23/12/2019,39.50,SMB,39.50,39.50,39.05,10040.00
20/12/2019,39.50,SMB,40.00,40.00,39.30,5440.00
19/12/2019,39.40,SMB,38.50,39.50,38.50,91190.00
18/12/2019,38.50,SMB,38.50,38.70,38.20,24080.00
17/12/2019,38.50,SMB,39.10,39.10,38.50,33820.00
16/12/2019,39.15,SMB,39.40,39.40,38.90,23810.00
13/12/2019,39.40,SMB,39.20,39.40,39.00,13560.00
12/12/2019,39.40,SMB,39.00,39.40,38.70,22780.00
11/12/2019,39.10,SMB,38.90,39.10,38.50,17070.00
10/12/2019,39.00,SMB,39.80,39.80,38.10,82800.00
09/12/2019,39.80,SMB,39.80,40.00,39.30,16490.00
06/12/2019,39.70,SMB,40.00,40.40,39.60,31700.00
05/12/2019,40.00,SMB,38.90,40.90,38.90,186250.00
04/12/2019,38.90,SMB,38.80,39.00,38.70,41090.00
03/12/2019,38.80,SMB,38.30,38.90,38.30,20470.00
02/12/2019,38.90,SMB,38.20,38.90,38.20,22970.00
29/11/2019,39.00,SMB,39.00,39.00,38.50,16270.00
28/11/2019,39.00,SMB,39.10,39.25,38.25,24530.00
27/11/2019,39.10,SMB,39.40,39.45,38.60,24340.00
26/11/2019,39.40,SMB,39.50,39.50,38.55,19750.00
25/11/2019,39.50,SMB,37.90,39.50,37.60,24030.00
22/11/2019,37.90,SMB,39.30,40.00,37.50,135770.00
21/11/2019,42.50,SMB,42.10,42.70,42.10,237700.00
20/11/2019,42.20,SMB,42.50,42.50,42.00,53290.00
19/11/2019,42.20,SMB,43.00,43.00,42.20,92740.00
18/11/2019,42.90,SMB,41.80,43.10,41.60,184750.00
15/11/2019,41.50,SMB,41.60,41.70,41.50,23370.00
14/11/2019,41.50,SMB,41.70,41.85,41.50,55860.00
13/11/2019,41.60,SMB,41.15,41.85,41.15,55060.00
12/11/2019,41.70,SMB,41.70,41.80,41.20,116440.00
11/11/2019,41.70,SMB,41.00,41.70,41.00,54410.00
08/11/2019,41.20,SMB,41.60,41.60,41.00,74460.00
07/11/2019,41.50,SMB,41.95,42.20,41.20,84300.00
06/11/2019,41.20,SMB,39.40,41.65,39.40,270730.00
05/11/2019,39.00,SMB,38.30,39.10,38.30,46610.00
04/11/2019,38.30,SMB,38.10,38.90,37.80,107020.00
01/11/2019,38.30,SMB,38.10,38.40,38.00,18140.00
31/10/2019,38.00,SMB,38.40,38.95,37.70,134970.00
30/10/2019,38.35,SMB,38.50,38.50,38.00,43870.00
29/10/2019,38.30,SMB,38.60,38.70,38.30,33640.00
28/10/2019,38.60,SMB,39.20,39.20,37.00,140130.00
25/10/2019,39.00,SMB,39.50,40.20,37.00,162410.00
24/10/2019,39.40,SMB,39.60,39.80,39.00,50780.00
23/10/2019,39.85,SMB,39.85,39.95,39.60,31010.00
22/10/2019,39.85,SMB,39.50,39.90,39.10,101690.00
21/10/2019,39.50,SMB,39.50,40.45,39.00,23160.00
18/10/2019,39.80,SMB,39.75,40.40,39.40,125110.00
17/10/2019,39.00,SMB,39.95,39.95,38.45,33460.00
16/10/2019,39.10,SMB,39.95,39.95,38.70,9240.00
15/10/2019,39.00,SMB,38.60,39.00,38.50,12450.00
14/10/2019,38.60,SMB,39.20,39.20,38.50,33250.00
11/10/2019,39.20,SMB,39.00,39.20,38.30,17930.00
10/10/2019,39.00,SMB,38.70,39.00,37.20,146880.00
09/10/2019,38.30,SMB,40.70,40.70,38.00,278220.00
08/10/2019,40.55,SMB,39.85,40.70,39.85,87130.00
07/10/2019,39.80,SMB,39.80,40.40,39.60,26130.00
04/10/2019,39.80,SMB,39.00,39.90,38.80,113510.00
03/10/2019,39.00,SMB,38.90,39.00,38.40,23820.00
02/10/2019,38.90,SMB,38.75,38.90,38.60,23560.00
01/10/2019,38.75,SMB,38.70,38.90,38.60,43530.00
30/09/2019,38.70,SMB,38.70,39.00,38.40,12060.00
27/09/2019,38.70,SMB,38.20,38.75,38.20,10670.00
26/09/2019,38.20,SMB,38.80,38.80,38.20,26260.00
25/09/2019,39.00,SMB,39.50,39.50,38.10,37830.00
24/09/2019,38.50,SMB,37.30,38.50,37.20,50510.00
23/09/2019,37.30,SMB,37.20,37.30,36.80,34110.00
20/09/2019,37.20,SMB,37.10,37.50,37.10,29890.00
19/09/2019,37.10,SMB,37.00,37.50,36.85,21810.00
18/09/2019,37.10,SMB,37.60,37.80,37.05,39070.00
17/09/2019,37.60,SMB,37.90,37.90,37.20,25900.00
16/09/2019,37.90,SMB,37.90,39.00,37.60,11500.00
13/09/2019,37.90,SMB,37.90,38.80,37.90,29300.00
12/09/2019,37.40,SMB,37.40,37.40,37.00,8880.00
11/09/2019,37.40,SMB,36.20,37.50,36.00,70050.00
10/09/2019,36.30,SMB,37.30,37.90,36.30,67140.00
09/09/2019,37.30,SMB,37.00,37.50,36.60,37560.00
06/09/2019,37.50,SMB,37.20,37.50,36.60,20760.00
05/09/2019,36.90,SMB,37.70,37.80,36.90,36430.00
04/09/2019,37.40,SMB,39.00,39.00,36.30,77520.00
03/09/2019,39.00,SMB,39.20,39.50,38.65,17930.00
30/08/2019,39.00,SMB,38.90,39.00,38.00,38290.00
29/08/2019,38.90,SMB,39.50,39.50,38.50,44380.00
28/08/2019,39.50,SMB,40.00,40.10,39.50,13570.00
27/08/2019,40.00,SMB,40.50,40.50,39.50,26300.00
26/08/2019,40.00,SMB,40.00,40.85,39.40,26210.00
23/08/2019,40.50,SMB,41.20,41.20,40.40,11610.00
22/08/2019,41.20,SMB,41.00,41.40,40.30,55700.00
21/08/2019,40.50,SMB,40.00,41.00,40.00,15200.00
20/08/2019,40.80,SMB,39.50,41.00,39.50,104840.00
19/08/2019,39.50,SMB,39.10,40.00,39.00,24150.00
16/08/2019,39.50,SMB,40.20,40.30,39.05,53020.00
15/08/2019,39.80,SMB,39.90,39.90,38.60,21110.00
14/08/2019,39.90,SMB,40.50,41.00,39.65,39790.00
13/08/2019,40.50,SMB,40.00,41.05,39.50,88970.00
12/08/2019,40.00,SMB,41.00,41.00,39.40,71040.00
09/08/2019,41.00,SMB,42.00,42.00,41.00,52990.00
08/08/2019,41.70,SMB,42.00,42.00,41.20,46520.00
07/08/2019,41.95,SMB,41.80,42.00,41.00,51970.00
06/08/2019,41.80,SMB,42.50,43.00,41.50,122340.00
05/08/2019,42.30,SMB,40.00,42.90,40.00,168980.00
02/08/2019,40.40,SMB,40.80,40.80,39.70,45080.00
01/08/2019,40.80,SMB,39.60,40.80,39.60,29440.00
31/07/2019,40.20,SMB,38.30,40.50,38.30,50010.00
30/07/2019,38.30,SMB,39.80,39.80,38.30,47480.00
29/07/2019,39.80,SMB,39.80,39.80,38.70,33690.00
26/07/2019,39.80,SMB,40.50,40.50,39.70,37050.00
25/07/2019,40.80,SMB,40.80,41.40,40.50,37590.00
24/07/2019,41.00,SMB,40.90,41.50,40.30,48800.00
23/07/2019,40.60,SMB,40.00,41.00,39.10,87810.00
22/07/2019,40.00,SMB,39.40,40.40,39.40,82060.00
19/07/2019,39.10,SMB,39.50,39.60,39.00,82500.00
18/07/2019,39.10,SMB,38.90,39.20,38.10,109260.00
17/07/2019,38.40,SMB,39.50,39.50,38.40,68310.00
16/07/2019,38.60,SMB,37.60,39.80,37.60,144290.00
15/07/2019,37.50,SMB,37.20,37.60,37.20,92570.00
12/07/2019,36.80,SMB,36.50,37.50,36.50,110840.00
11/07/2019,35.80,SMB,34.50,35.80,34.50,39870.00
10/07/2019,34.20,SMB,33.80,34.50,33.80,10250.00
09/07/2019,34.20,SMB,33.80,34.30,33.80,26820.00
08/07/2019,33.90,SMB,34.00,34.00,33.90,6000.00
05/07/2019,34.00,SMB,34.00,34.00,33.70,13350.00
04/07/2019,34.00,SMB,33.80,34.00,33.80,34560.00
03/07/2019,34.00,SMB,33.90,34.00,33.90,4000.00
02/07/2019,33.60,SMB,34.00,34.00,33.60,5880.00
01/07/2019,33.50,SMB,34.50,34.50,33.50,2160.00
28/06/2019,33.50,SMB,33.90,33.90,33.30,6040.00
27/06/2019,33.90,SMB,33.90,34.00,33.90,14050.00
