DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,16.10,SNZ,16.00,16.80,14.90,15900.00
10/01/2020,16.10,SNZ,16.80,17.00,16.10,3700.00
09/01/2020,17.30,SNZ,17.30,17.30,17.30,462.00
08/01/2020,17.00,SNZ,17.50,17.50,17.00,6000.00
07/01/2020,17.40,SNZ,17.80,17.80,17.10,2243.00
06/01/2020,17.50,SNZ,17.80,17.80,17.50,3300.00
03/01/2020,17.80,SNZ,18.00,18.00,17.80,14300.00
02/01/2020,17.90,SNZ,17.60,18.00,17.50,8700.00
31/12/2019,17.90,SNZ,17.90,17.90,17.60,7700.00
30/12/2019,17.90,SNZ,18.00,18.00,17.70,12680.00
27/12/2019,17.80,SNZ,18.00,18.00,17.70,6200.00
26/12/2019,17.90,SNZ,18.00,18.00,17.90,6300.00
25/12/2019,17.20,SNZ,17.00,18.00,17.00,2110.00
24/12/2019,18.20,SNZ,17.10,18.20,16.60,23280.00
23/12/2019,17.20,SNZ,17.70,17.70,17.20,10100.00
20/12/2019,18.00,SNZ,18.00,18.00,17.80,9100.00
19/12/2019,18.30,SNZ,18.10,18.30,18.10,700.00
18/12/2019,18.20,SNZ,18.40,18.50,18.20,6400.00
17/12/2019,18.50,SNZ,18.50,18.50,18.50,830.00
16/12/2019,18.50,SNZ,18.60,18.60,18.40,3100.00
13/12/2019,18.70,SNZ,18.80,19.00,18.70,7100.00
12/12/2019,19.00,SNZ,19.00,19.80,19.00,1700.00
11/12/2019,18.60,SNZ,18.50,18.70,18.50,6650.00
10/12/2019,18.60,SNZ,19.00,19.00,18.60,9400.00
09/12/2019,19.10,SNZ,19.00,19.10,18.50,8400.00
06/12/2019,19.10,SNZ,19.10,19.10,19.10,0.00
05/12/2019,19.10,SNZ,19.20,19.20,19.10,5421.00
04/12/2019,19.00,SNZ,19.20,19.20,19.00,2500.00
03/12/2019,19.50,SNZ,19.00,19.70,19.00,12050.00
02/12/2019,19.00,SNZ,20.00,20.00,19.00,5820.00
29/11/2019,19.90,SNZ,19.80,20.00,19.80,3962.00
28/11/2019,20.10,SNZ,20.00,20.20,20.00,2701.00
27/11/2019,20.40,SNZ,20.40,20.90,20.40,5630.00
26/11/2019,20.40,SNZ,20.50,20.50,20.00,21091.00
25/11/2019,20.60,SNZ,21.10,21.10,20.60,4502.00
22/11/2019,21.50,SNZ,21.60,21.60,21.00,18300.00
21/11/2019,21.40,SNZ,21.40,22.20,21.20,38010.00
20/11/2019,21.00,SNZ,20.60,21.30,20.50,18220.00
19/11/2019,20.50,SNZ,20.20,20.70,20.20,4100.00
18/11/2019,20.50,SNZ,20.70,20.80,20.50,10200.00
15/11/2019,20.50,SNZ,20.30,20.60,20.10,5200.00
14/11/2019,20.60,SNZ,20.00,20.60,19.90,10820.00
13/11/2019,19.90,SNZ,20.20,20.50,19.90,5900.00
12/11/2019,20.30,SNZ,20.00,20.50,20.00,9150.00
11/11/2019,21.00,SNZ,20.50,21.00,20.50,3300.00
08/11/2019,21.00,SNZ,20.90,22.00,20.80,16450.00
07/11/2019,20.60,SNZ,20.80,20.90,20.20,6950.00
