DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,7.70,SRA,7.70,7.80,7.50,51000.00
10/01/2020,7.70,SRA,7.40,7.90,7.40,62800.00
09/01/2020,7.40,SRA,8.10,8.20,7.40,202240.00
08/01/2020,8.10,SRA,8.30,8.40,8.10,178500.00
07/01/2020,8.40,SRA,8.40,8.50,8.40,52010.00
06/01/2020,8.40,SRA,8.40,8.60,8.30,94400.00
03/01/2020,8.40,SRA,8.50,8.60,8.40,90350.00
02/01/2020,8.40,SRA,8.80,8.80,8.40,87050.00
31/12/2019,8.80,SRA,8.80,8.80,8.50,57400.00
30/12/2019,8.80,SRA,8.80,9.00,8.70,44770.00
27/12/2019,8.90,SRA,8.90,9.00,8.90,31000.00
26/12/2019,9.00,SRA,9.00,9.10,8.90,18400.00
25/12/2019,8.90,SRA,9.00,9.00,8.90,22052.00
24/12/2019,9.00,SRA,9.00,9.00,8.90,27800.00
23/12/2019,9.00,SRA,9.00,9.10,9.00,39000.00
20/12/2019,9.00,SRA,9.10,9.20,8.90,76550.00
19/12/2019,8.90,SRA,8.90,9.10,8.90,37850.00
18/12/2019,9.10,SRA,9.20,9.20,9.00,36400.00
17/12/2019,9.20,SRA,9.30,9.40,9.20,37540.00
16/12/2019,9.30,SRA,9.10,9.60,9.10,126930.00
13/12/2019,9.00,SRA,9.10,9.20,9.00,29360.00
12/12/2019,9.00,SRA,9.00,9.20,9.00,31700.00
11/12/2019,9.00,SRA,9.00,9.00,8.90,42640.00
10/12/2019,9.10,SRA,9.10,9.10,8.90,21710.00
09/12/2019,9.10,SRA,9.00,9.20,9.00,74550.00
06/12/2019,9.20,SRA,9.00,9.20,9.00,68900.00
05/12/2019,8.90,SRA,9.00,9.10,8.90,31100.00
04/12/2019,9.00,SRA,9.00,9.00,8.90,48800.00
03/12/2019,9.00,SRA,8.90,9.10,8.80,59000.00
02/12/2019,8.90,SRA,9.00,9.20,8.90,42100.00
29/11/2019,9.00,SRA,9.10,9.20,9.00,64840.00
28/11/2019,9.20,SRA,9.20,9.30,9.10,48600.00
27/11/2019,9.30,SRA,9.10,9.30,9.00,60150.00
26/11/2019,9.10,SRA,9.10,9.20,9.00,24538.00
25/11/2019,9.10,SRA,9.00,9.20,8.90,75400.00
22/11/2019,9.10,SRA,9.10,9.20,9.00,76610.00
21/11/2019,9.10,SRA,9.10,9.10,8.90,28560.00
20/11/2019,9.10,SRA,9.10,9.20,9.00,65000.00
19/11/2019,9.10,SRA,9.10,9.20,9.00,26000.00
18/11/2019,9.00,SRA,9.20,9.20,9.00,55719.00
15/11/2019,9.00,SRA,9.00,9.20,9.00,24000.00
14/11/2019,9.00,SRA,9.10,9.20,9.00,77460.00
13/11/2019,9.20,SRA,9.20,9.30,9.10,23900.00
12/11/2019,9.20,SRA,9.10,9.30,9.10,41650.00
11/11/2019,9.10,SRA,9.10,9.20,9.00,69800.00
08/11/2019,9.20,SRA,9.30,9.30,9.10,26030.00
07/11/2019,9.30,SRA,9.20,9.30,9.10,71446.00
06/11/2019,9.20,SRA,9.10,9.30,9.10,77800.00
05/11/2019,9.20,SRA,9.30,9.40,9.20,37254.00
04/11/2019,9.20,SRA,9.10,9.40,9.10,56250.00
01/11/2019,9.10,SRA,9.30,9.30,9.00,60900.00
31/10/2019,9.30,SRA,9.30,9.50,9.30,69800.00
30/10/2019,9.40,SRA,9.40,9.50,9.30,65200.00
29/10/2019,9.50,SRA,9.40,9.70,9.30,62400.00
28/10/2019,9.60,SRA,10.00,10.00,9.40,70000.00
25/10/2019,9.70,SRA,9.00,9.70,9.00,185040.00
24/10/2019,8.90,SRA,8.90,9.20,8.80,212800.00
23/10/2019,8.90,SRA,9.00,9.10,8.80,148440.00
22/10/2019,9.20,SRA,9.00,9.20,8.70,241548.00
21/10/2019,9.20,SRA,9.40,9.40,8.90,195300.00
18/10/2019,9.40,SRA,10.20,10.20,9.40,459300.00
17/10/2019,10.40,SRA,10.80,10.80,10.20,149500.00
16/10/2019,10.80,SRA,11.20,11.20,10.70,103109.00
15/10/2019,11.00,SRA,11.00,11.30,10.80,109870.00
14/10/2019,11.00,SRA,10.60,11.10,10.50,131000.00
11/10/2019,10.70,SRA,11.10,11.10,10.60,271922.00
10/10/2019,10.20,SRA,9.30,10.20,9.20,210890.00
09/10/2019,9.30,SRA,9.20,9.40,9.20,194716.00
08/10/2019,9.20,SRA,9.10,9.30,9.10,58410.00
07/10/2019,9.20,SRA,9.20,9.30,9.10,82920.00
04/10/2019,9.10,SRA,9.20,9.20,9.10,43600.00
03/10/2019,9.20,SRA,9.10,9.20,9.00,71500.00
02/10/2019,9.20,SRA,9.30,9.40,9.10,85900.00
01/10/2019,9.30,SRA,9.20,9.30,9.10,50400.00
30/09/2019,9.20,SRA,9.00,9.30,9.00,82610.00
27/09/2019,9.10,SRA,9.20,9.20,9.00,52520.00
26/09/2019,9.00,SRA,9.20,9.20,9.00,139920.00
25/09/2019,9.20,SRA,9.10,9.30,9.10,41900.00
24/09/2019,9.20,SRA,9.10,9.30,9.10,20084.00
23/09/2019,9.20,SRA,9.20,9.30,9.10,66135.00
20/09/2019,9.20,SRA,9.40,9.40,9.10,33110.00
19/09/2019,9.30,SRA,9.60,9.60,9.30,47110.00
18/09/2019,9.50,SRA,9.00,9.50,9.00,179595.00
17/09/2019,9.00,SRA,8.80,9.10,8.80,59200.00
16/09/2019,8.90,SRA,9.10,9.20,8.90,137700.00
13/09/2019,9.10,SRA,9.10,9.20,9.00,80670.00
12/09/2019,9.10,SRA,9.10,9.30,9.00,51664.00
11/09/2019,9.10,SRA,9.00,9.10,8.90,72760.00
10/09/2019,9.00,SRA,9.00,9.30,8.80,197260.00
09/09/2019,8.90,SRA,9.80,9.90,8.90,372707.00
06/09/2019,9.80,SRA,9.90,10.00,9.70,57400.00
05/09/2019,9.90,SRA,10.00,10.10,9.80,86650.00
04/09/2019,10.00,SRA,10.00,10.20,9.80,95391.00
03/09/2019,10.10,SRA,10.40,10.40,10.00,56520.00
30/08/2019,10.40,SRA,10.00,10.60,10.00,153697.00
29/08/2019,10.00,SRA,10.10,10.40,10.00,153910.00
28/08/2019,10.10,SRA,10.70,10.70,10.10,239550.00
27/08/2019,10.70,SRA,10.80,10.80,10.50,90690.00
26/08/2019,10.70,SRA,11.00,11.00,10.50,183838.00
23/08/2019,10.90,SRA,10.70,11.00,10.70,98185.00
22/08/2019,10.80,SRA,11.10,11.10,10.60,332507.00
21/08/2019,11.20,SRA,11.20,11.40,11.10,94870.00
20/08/2019,11.30,SRA,11.30,11.40,11.10,69945.00
19/08/2019,11.20,SRA,11.20,11.60,11.10,153410.00
16/08/2019,11.10,SRA,11.30,11.40,11.10,136700.00
15/08/2019,11.30,SRA,11.30,11.30,11.00,161810.00
14/08/2019,11.30,SRA,11.50,11.50,11.30,93400.00
13/08/2019,11.40,SRA,11.60,11.60,11.30,115500.00
12/08/2019,11.60,SRA,11.80,11.90,11.40,253400.00
09/08/2019,11.80,SRA,11.80,11.80,11.70,105855.00
08/08/2019,11.80,SRA,12.00,12.00,11.70,50510.00
07/08/2019,12.00,SRA,11.80,12.00,11.70,142635.00
06/08/2019,11.80,SRA,12.10,12.20,11.80,223900.00
05/08/2019,12.20,SRA,11.60,12.30,11.60,298060.00
02/08/2019,11.60,SRA,11.60,11.70,11.50,119909.00
01/08/2019,11.60,SRA,11.60,11.70,11.50,45620.00
31/07/2019,11.60,SRA,11.60,11.80,11.50,79480.00
30/07/2019,11.60,SRA,11.60,11.80,11.40,150629.00
29/07/2019,11.50,SRA,11.70,11.80,11.40,73813.00
26/07/2019,11.50,SRA,11.70,11.70,11.40,120200.00
25/07/2019,11.50,SRA,11.90,11.90,11.40,173010.00
24/07/2019,11.70,SRA,11.90,11.90,11.50,116510.00
23/07/2019,11.90,SRA,11.40,12.30,11.40,117110.00
22/07/2019,11.50,SRA,11.80,11.80,11.50,152400.00
19/07/2019,11.90,SRA,12.10,12.10,11.80,66540.00
18/07/2019,12.00,SRA,12.00,12.00,11.80,80615.00
17/07/2019,12.10,SRA,12.10,12.20,12.00,40915.00
16/07/2019,12.20,SRA,12.00,12.20,11.90,87660.00
15/07/2019,12.00,SRA,12.10,12.30,11.90,78800.00
12/07/2019,12.30,SRA,12.30,12.40,11.90,131118.00
11/07/2019,12.30,SRA,12.40,12.50,12.30,82600.00
10/07/2019,12.40,SRA,12.40,12.60,12.30,122500.00
09/07/2019,12.40,SRA,12.70,12.90,12.30,62090.00
08/07/2019,12.70,SRA,11.70,12.70,11.70,207930.00
05/07/2019,11.70,SRA,12.00,12.00,11.60,107107.00
04/07/2019,12.00,SRA,12.20,12.20,11.70,130950.00
03/07/2019,12.10,SRA,12.70,12.70,12.10,105750.00
02/07/2019,12.40,SRA,12.60,12.70,12.40,189590.00
01/07/2019,12.70,SRA,12.90,13.00,12.50,125816.00
28/06/2019,12.80,SRA,12.90,13.00,12.50,120700.00
27/06/2019,12.80,SRA,12.90,13.40,12.80,283119.00
26/06/2019,12.80,SRA,12.60,13.10,12.20,178850.00
25/06/2019,12.70,SRA,13.00,13.00,12.70,162870.00
24/06/2019,13.00,SRA,12.80,13.10,12.60,171780.00
21/06/2019,13.00,SRA,13.50,14.30,13.00,757260.00
20/06/2019,13.00,SRA,13.00,13.00,12.30,254470.00
19/06/2019,11.90,SRA,11.10,11.90,11.00,216950.00
18/06/2019,10.90,SRA,11.40,11.40,10.80,158651.00
17/06/2019,11.30,SRA,11.60,11.70,11.30,133250.00
14/06/2019,11.50,SRA,11.80,11.90,11.50,147100.00
13/06/2019,11.80,SRA,11.90,11.90,11.70,153830.00
12/06/2019,12.00,SRA,12.10,12.10,11.80,126200.00
11/06/2019,12.00,SRA,12.10,12.40,12.00,79500.00
10/06/2019,12.10,SRA,12.40,12.50,12.10,68710.00
07/06/2019,12.20,SRA,12.00,12.30,12.00,78750.00
06/06/2019,12.00,SRA,12.20,12.30,11.90,118035.00
05/06/2019,12.20,SRA,12.00,12.70,12.00,115040.00
04/06/2019,12.00,SRA,12.70,12.70,11.90,221160.00
03/06/2019,12.50,SRA,13.10,13.10,12.40,211920.00
31/05/2019,13.10,SRA,13.20,13.30,12.90,108800.00
30/05/2019,13.10,SRA,12.80,13.40,12.80,155840.00
29/05/2019,12.80,SRA,13.00,13.30,12.60,306220.00
