DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,56.40,SSC,56.40,56.40,56.40,10.00
10/01/2020,55.00,SSC,55.00,55.00,55.00,0.00
09/01/2020,55.00,SSC,55.00,55.00,55.00,10.00
08/01/2020,54.00,SSC,56.30,56.40,54.00,30.00
07/01/2020,56.50,SSC,56.50,56.50,56.50,10.00
06/01/2020,55.70,SSC,55.70,55.70,55.70,10.00
03/01/2020,52.70,SSC,59.90,59.90,52.70,20.00
02/01/2020,56.10,SSC,56.20,62.00,56.10,280.00
31/12/2019,60.30,SSC,60.30,60.30,60.30,30.00
30/12/2019,64.80,SSC,64.80,64.80,64.80,0.00
27/12/2019,64.80,SSC,64.80,64.80,64.80,0.00
26/12/2019,64.80,SSC,64.80,64.80,64.80,10.00
25/12/2019,66.90,SSC,66.90,66.90,66.90,0.00
24/12/2019,66.90,SSC,66.90,66.90,66.90,10.00
23/12/2019,67.00,SSC,67.00,67.00,67.00,0.00
20/12/2019,67.00,SSC,67.00,67.00,67.00,0.00
19/12/2019,67.00,SSC,64.60,67.00,67.00,10.00
18/12/2019,64.60,SSC,64.60,64.60,64.60,0.00
17/12/2019,64.60,SSC,64.60,64.60,64.60,0.00
16/12/2019,64.60,SSC,64.60,64.60,64.60,10.00
13/12/2019,66.70,SSC,66.70,66.70,66.70,0.00
12/12/2019,66.70,SSC,66.70,66.70,66.70,10.00
11/12/2019,63.50,SSC,63.50,63.50,63.50,10.00
10/12/2019,60.00,SSC,60.00,60.00,60.00,10.00
09/12/2019,60.90,SSC,60.90,60.90,60.90,0.00
06/12/2019,60.90,SSC,60.90,60.90,60.90,10.00
05/12/2019,59.60,SSC,59.60,59.60,59.60,10.00
04/12/2019,63.90,SSC,63.90,63.90,63.90,0.00
03/12/2019,63.90,SSC,63.90,63.90,63.90,0.00
02/12/2019,63.90,SSC,63.90,63.90,63.90,0.00
29/11/2019,63.90,SSC,63.00,63.90,60.00,20.00
28/11/2019,63.00,SSC,63.00,63.00,63.00,0.00
27/11/2019,63.00,SSC,63.00,63.00,63.00,0.00
26/11/2019,63.00,SSC,63.00,63.00,63.00,0.00
25/11/2019,63.00,SSC,63.40,63.40,63.00,20.00
22/11/2019,60.00,SSC,60.00,60.00,60.00,20.00
21/11/2019,62.70,SSC,62.70,62.70,62.70,10.00
20/11/2019,61.60,SSC,61.60,61.60,61.60,10.00
19/11/2019,59.80,SSC,59.80,59.80,59.80,10.00
18/11/2019,58.40,SSC,64.40,64.40,58.40,120.00
15/11/2019,62.70,SSC,62.70,62.70,62.70,10.00
14/11/2019,62.80,SSC,62.80,62.80,62.80,10.00
13/11/2019,65.60,SSC,65.60,65.60,65.60,20.00
12/11/2019,65.60,SSC,62.60,65.60,62.60,130.00
11/11/2019,67.10,SSC,67.10,67.10,67.10,0.00
08/11/2019,67.10,SSC,67.10,67.10,67.10,0.00
07/11/2019,67.10,SSC,66.00,67.10,65.10,70.00
06/11/2019,63.50,SSC,63.50,63.50,63.50,10.00
05/11/2019,70.00,SSC,65.10,70.00,65.10,260.00
04/11/2019,70.00,SSC,70.00,70.00,70.00,0.00
01/11/2019,70.00,SSC,65.00,70.00,65.00,180.00
31/10/2019,68.00,SSC,68.00,68.00,68.00,70.00
30/10/2019,70.00,SSC,70.00,70.00,70.00,50.00
29/10/2019,70.00,SSC,70.00,70.00,70.00,0.00
28/10/2019,70.00,SSC,70.00,70.00,70.00,0.00
25/10/2019,70.00,SSC,70.00,70.00,70.00,0.00
24/10/2019,70.00,SSC,70.00,70.00,70.00,10.00
23/10/2019,70.00,SSC,70.00,70.00,70.00,0.00
22/10/2019,70.00,SSC,70.00,70.00,70.00,30.00
21/10/2019,72.00,SSC,70.00,72.00,70.00,20.00
18/10/2019,68.00,SSC,68.00,69.00,68.00,50.00
17/10/2019,66.20,SSC,66.20,71.00,66.20,50.00
16/10/2019,71.10,SSC,71.10,71.10,71.10,10.00
15/10/2019,66.50,SSC,66.50,71.50,66.50,160.00
14/10/2019,71.50,SSC,71.50,71.50,71.50,140.00
11/10/2019,76.80,SSC,76.80,76.80,76.80,0.00
10/10/2019,76.80,SSC,76.80,76.80,76.80,10.00
09/10/2019,76.80,SSC,76.80,76.80,76.80,0.00
08/10/2019,76.80,SSC,76.80,76.80,76.80,0.00
07/10/2019,76.80,SSC,76.80,76.80,76.80,0.00
04/10/2019,76.80,SSC,76.80,76.80,76.80,0.00
03/10/2019,76.80,SSC,76.80,76.80,76.80,0.00
02/10/2019,76.80,SSC,76.80,76.80,76.80,0.00
01/10/2019,76.80,SSC,76.80,76.80,76.80,0.00
30/09/2019,76.80,SSC,71.60,76.80,71.60,240.00
27/09/2019,76.90,SSC,76.90,76.90,76.90,0.00
26/09/2019,76.90,SSC,76.90,76.90,76.90,0.00
25/09/2019,76.90,SSC,76.90,76.90,76.90,0.00
24/09/2019,76.90,SSC,76.90,76.90,76.90,10.00
23/09/2019,73.20,SSC,73.20,73.20,73.20,20.00
20/09/2019,78.50,SSC,78.50,78.50,78.50,10.00
19/09/2019,76.00,SSC,76.00,76.00,76.00,10.00
18/09/2019,78.50,SSC,78.50,78.50,78.50,0.00
17/09/2019,78.50,SSC,78.50,78.50,78.50,10.00
16/09/2019,73.50,SSC,73.50,73.50,73.50,10.00
13/09/2019,79.00,SSC,79.00,79.00,79.00,0.00
12/09/2019,79.00,SSC,79.00,79.00,79.00,0.00
11/09/2019,79.00,SSC,79.00,79.00,79.00,0.00
10/09/2019,79.00,SSC,79.00,79.00,79.00,10.00
09/09/2019,82.90,SSC,82.90,82.90,82.90,0.00
06/09/2019,82.90,SSC,82.90,82.90,82.90,0.00
05/09/2019,82.90,SSC,82.90,82.90,82.90,0.00
04/09/2019,82.90,SSC,82.90,82.90,82.90,0.00
03/09/2019,82.90,SSC,82.00,82.90,82.00,20.00
30/08/2019,78.90,SSC,78.90,78.90,78.90,0.00
29/08/2019,78.90,SSC,73.50,78.90,73.50,530.00
28/08/2019,79.00,SSC,79.00,79.00,79.00,0.00
27/08/2019,79.00,SSC,79.00,79.00,79.00,0.00
26/08/2019,79.00,SSC,79.00,79.00,79.00,0.00
23/08/2019,79.00,SSC,79.00,79.00,79.00,0.00
22/08/2019,79.00,SSC,79.00,79.00,79.00,0.00
21/08/2019,79.00,SSC,74.70,79.00,74.70,390.00
20/08/2019,80.20,SSC,80.20,80.20,80.20,0.00
19/08/2019,80.20,SSC,80.20,80.20,80.20,0.00
16/08/2019,80.20,SSC,80.20,80.20,80.20,0.00
15/08/2019,80.20,SSC,79.00,80.20,74.00,60.00
14/08/2019,79.50,SSC,79.50,81.90,79.50,70.00
