DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,18.30,SSI,18.20,18.50,18.20,1125380.00
10/01/2020,18.30,SSI,18.00,18.35,17.90,2067400.00
09/01/2020,17.95,SSI,17.95,18.05,17.85,1149130.00
08/01/2020,17.75,SSI,18.05,18.10,17.55,2622960.00
07/01/2020,18.25,SSI,18.20,18.30,18.15,643090.00
06/01/2020,18.20,SSI,18.15,18.30,18.05,1348120.00
03/01/2020,18.25,SSI,18.50,18.60,18.15,703890.00
02/01/2020,18.40,SSI,18.10,18.40,18.05,991450.00
31/12/2019,18.05,SSI,18.15,18.20,18.05,1060150.00
30/12/2019,18.15,SSI,18.30,18.45,18.10,1089430.00
27/12/2019,18.10,SSI,18.15,18.25,18.05,1253730.00
26/12/2019,18.25,SSI,18.15,18.30,18.10,712470.00
25/12/2019,18.20,SSI,18.35,18.35,18.15,915210.00
24/12/2019,18.35,SSI,18.30,18.45,18.20,879570.00
23/12/2019,18.35,SSI,18.30,18.50,18.30,1083840.00
20/12/2019,18.30,SSI,18.20,18.45,18.10,1297840.00
19/12/2019,18.10,SSI,18.40,18.60,18.10,992680.00
18/12/2019,18.40,SSI,18.75,18.85,18.40,1375490.00
17/12/2019,18.65,SSI,19.10,19.15,18.65,1565970.00
16/12/2019,19.05,SSI,19.20,19.30,19.00,826290.00
13/12/2019,19.20,SSI,19.50,19.55,19.20,1035860.00
12/12/2019,19.40,SSI,19.15,19.40,18.95,1480900.00
11/12/2019,19.00,SSI,19.15,19.30,18.75,1402910.00
10/12/2019,19.20,SSI,19.60,19.60,19.10,1237160.00
09/12/2019,19.60,SSI,19.50,19.85,19.45,842290.00
06/12/2019,19.50,SSI,19.65,19.70,19.50,606440.00
05/12/2019,19.60,SSI,19.90,20.00,19.60,718100.00
04/12/2019,19.80,SSI,19.35,19.80,19.30,1058620.00
03/12/2019,19.30,SSI,19.25,19.60,19.25,1208130.00
02/12/2019,19.50,SSI,19.80,19.95,19.50,1531820.00
29/11/2019,19.80,SSI,19.85,19.95,19.80,1003800.00
28/11/2019,19.85,SSI,19.90,20.00,19.75,1132110.00
27/11/2019,19.85,SSI,20.10,20.10,19.85,1816170.00
26/11/2019,20.00,SSI,20.30,20.40,20.00,1658300.00
25/11/2019,20.25,SSI,20.20,20.30,20.05,954610.00
22/11/2019,20.10,SSI,20.60,20.65,20.05,1895590.00
21/11/2019,20.40,SSI,20.90,20.90,20.40,2083430.00
20/11/2019,20.90,SSI,21.15,21.15,20.90,1248390.00
19/11/2019,21.10,SSI,21.00,21.25,21.00,904070.00
18/11/2019,21.00,SSI,21.15,21.20,20.95,1089630.00
15/11/2019,21.10,SSI,21.40,21.45,21.10,1624740.00
14/11/2019,21.45,SSI,21.60,21.70,21.30,1586090.00
