DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,3.20,SSN,3.20,3.20,3.10,20117.00
10/01/2020,3.10,SSN,3.20,3.30,3.00,2800.00
09/01/2020,3.20,SSN,3.40,3.40,3.00,11400.00
08/01/2020,3.20,SSN,3.30,3.30,3.20,18400.00
07/01/2020,3.50,SSN,3.40,3.50,3.40,17100.00
06/01/2020,3.50,SSN,3.40,3.50,3.30,12517.00
03/01/2020,3.40,SSN,3.40,3.50,3.40,14990.00
02/01/2020,3.40,SSN,3.40,3.40,3.30,32400.00
31/12/2019,3.50,SSN,3.60,3.70,3.40,12100.00
30/12/2019,3.70,SSN,3.60,3.80,3.60,11829.00
27/12/2019,3.40,SSN,3.60,3.60,3.20,89200.00
26/12/2019,3.70,SSN,3.80,3.80,3.70,7110.00
25/12/2019,3.80,SSN,3.80,3.90,3.80,26000.00
24/12/2019,3.80,SSN,3.90,3.90,3.70,22420.00
23/12/2019,3.80,SSN,3.80,3.90,3.70,27018.00
20/12/2019,3.80,SSN,3.60,3.80,3.60,14600.00
19/12/2019,3.70,SSN,3.60,3.70,3.60,15704.00
18/12/2019,3.60,SSN,3.80,3.80,3.60,18800.00
17/12/2019,3.60,SSN,3.80,3.90,3.60,24400.00
16/12/2019,3.80,SSN,3.70,3.80,3.70,3800.00
13/12/2019,3.70,SSN,3.70,3.80,3.70,24200.00
12/12/2019,3.70,SSN,3.70,3.90,3.60,40000.00
11/12/2019,3.80,SSN,3.80,3.80,3.70,17500.00
10/12/2019,3.80,SSN,3.70,4.00,3.70,31550.00
09/12/2019,3.80,SSN,3.80,4.00,3.50,82100.00
06/12/2019,3.90,SSN,3.90,4.00,3.70,28100.00
05/12/2019,3.90,SSN,3.80,4.00,3.80,5800.00
04/12/2019,3.90,SSN,3.90,4.00,3.60,9810.00
03/12/2019,4.00,SSN,4.00,4.00,3.90,17900.00
02/12/2019,4.00,SSN,4.20,4.30,4.00,15500.00
29/11/2019,4.20,SSN,4.20,4.20,4.20,23800.00
28/11/2019,4.20,SSN,4.20,4.30,4.20,4526.00
27/11/2019,4.20,SSN,4.30,4.50,4.20,12410.00
26/11/2019,4.30,SSN,4.20,4.40,4.20,23500.00
25/11/2019,4.20,SSN,4.30,4.40,4.20,28100.00
22/11/2019,4.40,SSN,4.20,4.60,4.20,21260.00
21/11/2019,4.30,SSN,4.20,4.30,4.10,44534.00
20/11/2019,4.20,SSN,4.40,4.40,4.20,10890.00
19/11/2019,4.40,SSN,4.40,4.50,4.20,33060.00
18/11/2019,4.50,SSN,4.50,4.50,4.30,36960.00
15/11/2019,4.60,SSN,4.70,4.70,4.50,22410.00
14/11/2019,4.70,SSN,4.70,4.80,4.60,42030.00
13/11/2019,4.80,SSN,4.80,4.90,4.70,29800.00
12/11/2019,4.80,SSN,4.90,5.00,4.80,3400.00
11/11/2019,4.90,SSN,4.90,4.90,4.80,21100.00
08/11/2019,4.80,SSN,4.80,4.90,4.80,15200.00
07/11/2019,4.70,SSN,4.90,4.90,4.70,19500.00
06/11/2019,4.70,SSN,4.90,4.90,4.70,43100.00
05/11/2019,5.00,SSN,4.80,5.00,4.80,21400.00
04/11/2019,4.80,SSN,4.80,4.90,4.70,70000.00
01/11/2019,4.80,SSN,4.90,5.00,4.80,67050.00
31/10/2019,5.00,SSN,5.00,5.10,4.90,37150.00
30/10/2019,5.10,SSN,5.10,5.20,5.00,32810.00
29/10/2019,5.20,SSN,5.10,5.30,5.10,48657.00
28/10/2019,5.10,SSN,5.10,5.20,5.00,22600.00
25/10/2019,5.10,SSN,5.00,5.30,5.00,37695.00
24/10/2019,5.00,SSN,5.10,5.30,4.90,41700.00
23/10/2019,5.10,SSN,5.30,5.30,5.00,71440.00
22/10/2019,5.40,SSN,5.30,5.60,5.20,38800.00
21/10/2019,5.20,SSN,4.90,5.60,4.80,74150.00
18/10/2019,5.20,SSN,5.10,5.50,4.80,66986.00
17/10/2019,5.20,SSN,5.80,6.10,5.10,105235.00
16/10/2019,5.90,SSN,5.50,6.00,5.50,165450.00
15/10/2019,5.50,SSN,4.90,5.50,4.90,141460.00
14/10/2019,4.80,SSN,4.70,5.00,4.70,58523.00
11/10/2019,4.70,SSN,4.60,4.90,4.60,27600.00
10/10/2019,4.60,SSN,4.70,4.70,4.60,31450.00
09/10/2019,4.70,SSN,4.70,5.00,4.60,54600.00
08/10/2019,4.70,SSN,4.70,4.80,4.60,49260.00
07/10/2019,4.80,SSN,4.90,4.90,4.70,31300.00
04/10/2019,5.00,SSN,5.10,5.10,5.00,6000.00
03/10/2019,5.00,SSN,5.10,5.20,4.90,27217.00
02/10/2019,5.20,SSN,5.00,5.40,4.90,34971.00
01/10/2019,5.40,SSN,4.60,5.40,4.60,17350.00
30/09/2019,4.80,SSN,4.80,4.90,4.70,29400.00
27/09/2019,4.80,SSN,5.20,5.20,4.80,105825.00
26/09/2019,5.20,SSN,5.30,5.30,5.00,51800.00
25/09/2019,5.30,SSN,5.10,5.40,5.10,46350.00
24/09/2019,5.20,SSN,5.50,5.50,5.00,146130.00
23/09/2019,5.30,SSN,6.10,6.20,5.30,258015.00
20/09/2019,6.20,SSN,6.20,6.20,6.10,35210.00
19/09/2019,6.20,SSN,6.30,6.30,6.10,52300.00
18/09/2019,6.40,SSN,6.40,6.50,6.00,175500.00
17/09/2019,6.50,SSN,6.40,6.50,6.20,63918.00
16/09/2019,6.50,SSN,6.80,6.80,6.40,127320.00
13/09/2019,7.00,SSN,7.20,7.20,6.60,382636.00
12/09/2019,7.20,SSN,6.80,7.50,6.80,122900.00
11/09/2019,6.90,SSN,6.90,7.00,6.70,14900.00
10/09/2019,6.80,SSN,7.00,7.00,6.70,75600.00
09/09/2019,6.90,SSN,6.80,7.20,6.60,102750.00
06/09/2019,6.80,SSN,7.10,7.20,6.60,221260.00
05/09/2019,7.20,SSN,7.10,7.50,6.90,71600.00
04/09/2019,7.30,SSN,7.30,7.60,7.00,66272.00
03/09/2019,7.40,SSN,7.50,8.20,7.00,108335.00
30/08/2019,7.80,SSN,9.00,9.00,7.30,306870.00
29/08/2019,8.50,SSN,8.00,8.50,7.80,255460.00
28/08/2019,7.70,SSN,6.70,7.70,6.50,271997.00
27/08/2019,6.80,SSN,6.90,6.90,6.60,67600.00
26/08/2019,6.70,SSN,7.10,7.10,6.70,74910.00
23/08/2019,7.20,SSN,6.90,7.40,6.90,152600.00
22/08/2019,6.90,SSN,7.20,7.20,6.80,46815.00
21/08/2019,7.10,SSN,6.70,7.40,6.70,129650.00
20/08/2019,6.60,SSN,6.70,7.00,6.40,175015.00
19/08/2019,6.90,SSN,6.60,7.10,6.60,33000.00
16/08/2019,6.80,SSN,6.70,7.30,6.60,84900.00
15/08/2019,7.00,SSN,6.50,7.20,6.40,80700.00
14/08/2019,6.90,SSN,7.50,7.70,6.70,111350.00
13/08/2019,7.50,SSN,7.40,8.20,7.30,131060.00
12/08/2019,7.50,SSN,6.60,7.50,6.40,276400.00
09/08/2019,6.50,SSN,6.10,6.90,6.10,59734.00
08/08/2019,6.20,SSN,6.80,6.80,6.00,126870.00
07/08/2019,6.70,SSN,6.60,7.10,6.20,157480.00
06/08/2019,6.90,SSN,7.10,7.10,6.50,121325.00
05/08/2019,7.10,SSN,7.50,7.70,6.80,137825.00
02/08/2019,7.60,SSN,7.00,8.10,6.90,206243.00
01/08/2019,7.00,SSN,7.90,7.90,6.90,207603.00
31/07/2019,8.10,SSN,8.00,8.70,7.60,73320.00
30/07/2019,7.90,SSN,6.30,7.90,6.10,133183.00
29/07/2019,7.40,SSN,6.80,8.20,6.60,437610.00
26/07/2019,7.40,SSN,8.00,8.60,7.40,172940.00
25/07/2019,8.40,SSN,9.80,10.20,7.80,269537.00
24/07/2019,9.30,SSN,9.20,9.30,8.10,289635.00
