DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,15.80,ST8,15.80,15.80,15.80,0.00
10/01/2020,15.80,ST8,16.00,17.85,15.80,420.00
09/01/2020,16.70,ST8,16.70,16.70,16.70,490.00
08/01/2020,17.95,ST8,17.95,17.95,17.95,10.00
07/01/2020,19.30,ST8,19.30,19.30,19.30,0.00
06/01/2020,19.30,ST8,19.30,19.30,19.30,0.00
03/01/2020,19.30,ST8,19.30,19.30,19.30,0.00
02/01/2020,19.30,ST8,19.30,19.30,19.30,0.00
31/12/2019,19.30,ST8,19.30,19.30,19.30,0.00
30/12/2019,19.30,ST8,19.30,19.30,19.30,10.00
27/12/2019,20.75,ST8,20.75,20.75,20.75,0.00
26/12/2019,20.75,ST8,20.75,20.75,20.75,0.00
25/12/2019,20.75,ST8,20.75,20.75,20.75,0.00
24/12/2019,20.75,ST8,20.75,20.75,20.75,0.00
23/12/2019,20.75,ST8,20.75,20.75,20.75,0.00
20/12/2019,20.75,ST8,20.75,20.75,20.75,0.00
19/12/2019,20.75,ST8,20.75,20.75,20.75,0.00
18/12/2019,20.75,ST8,20.75,20.75,20.75,0.00
17/12/2019,20.75,ST8,21.15,21.15,18.60,120.00
16/12/2019,19.95,ST8,17.85,20.40,17.85,130.00
13/12/2019,19.15,ST8,19.15,19.15,19.15,0.00
12/12/2019,19.15,ST8,19.15,19.15,19.15,0.00
11/12/2019,19.15,ST8,19.15,19.15,19.15,0.00
10/12/2019,19.15,ST8,19.15,19.15,19.15,0.00
09/12/2019,19.15,ST8,19.15,19.15,19.15,0.00
06/12/2019,19.15,ST8,19.15,19.15,19.15,20.00
05/12/2019,17.90,ST8,19.95,19.95,17.90,520.00
04/12/2019,19.20,ST8,18.00,19.20,18.00,20.00
03/12/2019,17.95,ST8,17.95,17.95,17.95,10.00
02/12/2019,16.80,ST8,15.00,16.80,15.00,3540.00
29/11/2019,16.10,ST8,16.95,16.10,16.00,2080.00
28/11/2019,16.95,ST8,16.95,16.95,16.95,0.00
27/11/2019,16.95,ST8,16.95,16.95,16.95,20.00
26/11/2019,16.10,ST8,18.00,18.00,16.00,11350.00
25/11/2019,17.00,ST8,19.25,19.25,17.00,20.00
22/11/2019,18.00,ST8,18.00,20.60,18.00,720.00
21/11/2019,19.35,ST8,19.35,19.35,19.35,240.00
20/11/2019,20.80,ST8,20.00,20.80,20.00,20.00
19/11/2019,19.45,ST8,19.45,19.45,19.45,0.00
18/11/2019,19.45,ST8,19.45,19.45,19.45,0.00
15/11/2019,19.45,ST8,19.45,19.45,19.45,10.00
14/11/2019,19.00,ST8,19.00,19.00,19.00,50.00
13/11/2019,18.00,ST8,18.00,18.00,18.00,10.00
12/11/2019,17.35,ST8,16.00,17.35,15.15,1070.00
11/11/2019,16.25,ST8,16.25,16.25,16.25,0.00
08/11/2019,16.25,ST8,16.25,16.25,16.25,1280.00
07/11/2019,15.20,ST8,15.20,15.20,15.20,10.00
06/11/2019,16.30,ST8,16.30,16.30,16.30,0.00
05/11/2019,16.30,ST8,16.40,16.40,16.30,990.00
04/11/2019,17.50,ST8,17.50,17.50,17.50,10.00
01/11/2019,16.60,ST8,16.00,16.60,16.00,630.00
31/10/2019,15.55,ST8,15.55,15.55,15.55,260.00
30/10/2019,16.70,ST8,16.70,16.70,16.70,0.00
29/10/2019,16.70,ST8,16.70,16.70,16.70,0.00
28/10/2019,16.70,ST8,16.70,16.70,16.70,20.00
25/10/2019,16.70,ST8,16.70,16.70,16.70,190.00
24/10/2019,16.70,ST8,16.70,16.70,16.70,0.00
23/10/2019,16.70,ST8,16.70,16.70,16.70,0.00
22/10/2019,16.70,ST8,16.70,16.70,16.70,0.00
21/10/2019,16.70,ST8,16.70,16.70,16.70,0.00
18/10/2019,16.70,ST8,16.70,16.70,16.70,0.00
17/10/2019,16.70,ST8,16.50,16.70,16.50,650.00
16/10/2019,16.70,ST8,16.70,16.70,16.70,0.00
15/10/2019,16.70,ST8,16.70,16.70,16.70,0.00
14/10/2019,16.70,ST8,16.70,16.70,16.70,0.00
11/10/2019,16.70,ST8,16.70,16.70,16.70,0.00
10/10/2019,16.70,ST8,16.70,16.70,16.70,0.00
09/10/2019,16.70,ST8,16.70,16.70,16.70,0.00
08/10/2019,16.70,ST8,16.70,16.70,16.70,0.00
07/10/2019,16.70,ST8,16.70,16.70,16.70,0.00
04/10/2019,16.70,ST8,16.70,16.70,16.70,0.00
