DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,17.00,STK,17.00,17.00,16.40,29210.00
10/01/2020,16.95,STK,17.10,17.10,16.25,46950.00
09/01/2020,17.10,STK,17.75,17.75,17.00,32890.00
08/01/2020,17.30,STK,18.00,18.00,16.90,10830.00
07/01/2020,16.95,STK,16.70,17.35,16.60,142300.00
06/01/2020,16.70,STK,17.20,17.20,16.60,35860.00
03/01/2020,17.20,STK,17.30,17.50,17.20,5570.00
02/01/2020,17.30,STK,17.60,18.00,17.30,22830.00
31/12/2019,17.55,STK,17.65,17.65,17.50,15710.00
30/12/2019,17.65,STK,17.50,17.70,17.45,9100.00
27/12/2019,17.40,STK,17.20,17.65,17.20,68020.00
26/12/2019,17.00,STK,17.65,17.65,17.00,2970.00
25/12/2019,17.20,STK,17.95,17.95,17.20,47890.00
24/12/2019,17.40,STK,16.60,17.50,16.60,32220.00
23/12/2019,16.70,STK,17.30,17.30,16.20,51440.00
20/12/2019,16.90,STK,17.05,17.10,16.90,18320.00
19/12/2019,17.30,STK,17.05,17.60,16.80,35910.00
18/12/2019,17.05,STK,17.20,17.60,17.00,32160.00
17/12/2019,17.70,STK,17.70,17.70,17.15,16590.00
16/12/2019,17.15,STK,17.70,18.35,17.10,28190.00
13/12/2019,17.15,STK,17.50,17.75,17.15,31440.00
12/12/2019,17.60,STK,17.40,17.70,16.90,37710.00
11/12/2019,17.80,STK,17.75,17.80,17.30,9670.00
10/12/2019,17.80,STK,17.30,17.80,17.30,18860.00
09/12/2019,17.80,STK,17.40,17.80,17.30,22580.00
06/12/2019,17.05,STK,17.25,17.30,17.00,58150.00
05/12/2019,17.60,STK,17.60,17.80,17.10,42240.00
04/12/2019,17.30,STK,16.25,17.35,15.60,59130.00
03/12/2019,16.25,STK,17.15,17.60,16.10,58880.00
02/12/2019,17.30,STK,17.60,18.00,17.30,33550.00
29/11/2019,17.80,STK,18.30,18.30,17.20,25780.00
28/11/2019,18.30,STK,18.30,18.30,17.90,13570.00
27/11/2019,18.50,STK,18.60,18.60,18.30,5180.00
26/11/2019,18.50,STK,18.70,18.70,18.30,13790.00
25/11/2019,18.30,STK,17.15,18.75,17.15,4860.00
22/11/2019,18.40,STK,18.80,18.80,18.40,15600.00
21/11/2019,18.50,STK,18.30,18.50,18.20,4290.00
20/11/2019,18.50,STK,18.30,18.60,18.30,11300.00
19/11/2019,18.30,STK,18.25,18.35,18.20,29280.00
18/11/2019,18.35,STK,18.35,18.35,18.20,10640.00
15/11/2019,18.35,STK,18.35,18.35,18.00,16010.00
14/11/2019,18.35,STK,18.40,18.40,18.30,11080.00
13/11/2019,18.35,STK,18.00,18.40,18.00,17210.00
12/11/2019,18.05,STK,18.20,18.20,18.00,23760.00
11/11/2019,18.30,STK,18.60,18.60,18.30,28950.00
08/11/2019,18.60,STK,18.50,18.60,18.40,13920.00
07/11/2019,18.60,STK,18.45,18.60,18.30,19400.00
06/11/2019,18.45,STK,18.85,18.85,18.30,22020.00
05/11/2019,18.65,STK,18.65,18.80,18.30,11070.00
04/11/2019,18.65,STK,19.30,19.30,18.65,53220.00
01/11/2019,19.10,STK,19.10,19.10,18.90,29470.00
31/10/2019,19.10,STK,19.35,19.40,19.05,6630.00
30/10/2019,19.30,STK,19.25,19.30,19.00,81110.00
29/10/2019,19.00,STK,19.15,19.30,19.00,14310.00
28/10/2019,19.15,STK,19.35,19.40,19.15,11750.00
25/10/2019,19.30,STK,18.80,19.35,18.80,13040.00
24/10/2019,19.40,STK,19.45,19.50,19.30,17660.00
23/10/2019,19.45,STK,19.70,19.70,19.15,80260.00
22/10/2019,19.35,STK,19.85,19.85,19.35,25120.00
21/10/2019,19.50,STK,19.90,19.90,19.50,23500.00
18/10/2019,19.60,STK,19.50,19.95,19.50,15380.00
17/10/2019,20.00,STK,19.40,20.00,19.35,26860.00
16/10/2019,19.40,STK,19.90,19.90,19.30,15620.00
15/10/2019,19.45,STK,19.80,19.80,19.30,21280.00
14/10/2019,20.00,STK,19.00,20.00,18.75,119190.00
11/10/2019,18.75,STK,18.80,18.90,18.60,12970.00
10/10/2019,18.40,STK,18.75,18.80,18.20,74010.00
09/10/2019,18.75,STK,18.90,18.90,18.75,32990.00
08/10/2019,18.75,STK,18.60,19.05,18.60,27350.00
07/10/2019,18.90,STK,18.80,19.40,18.80,12190.00
04/10/2019,19.05,STK,18.75,19.45,18.60,54590.00
03/10/2019,18.50,STK,18.15,18.60,18.15,40130.00
02/10/2019,18.55,STK,19.15,19.15,18.40,139220.00
01/10/2019,19.15,STK,19.20,19.45,19.15,13020.00
30/09/2019,19.00,STK,19.90,20.20,19.00,76550.00
27/09/2019,19.90,STK,20.55,20.55,19.50,129260.00
26/09/2019,20.35,STK,20.30,20.75,20.20,21260.00
25/09/2019,20.20,STK,20.55,20.70,20.20,8590.00
24/09/2019,20.55,STK,20.30,20.70,20.10,32580.00
23/09/2019,20.10,STK,20.65,20.70,20.10,90790.00
20/09/2019,20.65,STK,20.80,20.80,20.60,24140.00
19/09/2019,20.60,STK,21.10,21.10,20.60,12320.00
18/09/2019,20.60,STK,21.00,21.00,20.60,93460.00
17/09/2019,21.20,STK,21.05,21.50,21.05,11340.00
16/09/2019,21.50,STK,21.30,21.55,21.20,16030.00
13/09/2019,21.20,STK,21.60,21.60,21.10,22000.00
12/09/2019,21.60,STK,21.50,21.70,21.50,32710.00
11/09/2019,21.50,STK,21.50,21.60,21.30,20420.00
10/09/2019,21.50,STK,21.50,21.65,21.10,85300.00
09/09/2019,21.50,STK,21.10,21.60,20.70,37840.00
06/09/2019,21.10,STK,21.40,21.60,20.80,8790.00
05/09/2019,21.40,STK,21.00,21.50,20.80,79890.00
04/09/2019,21.40,STK,20.90,21.70,20.70,130020.00
03/09/2019,21.30,STK,22.30,22.30,21.30,60010.00
30/08/2019,22.10,STK,21.60,22.20,21.60,147160.00
29/08/2019,21.60,STK,22.25,22.25,21.50,63360.00
28/08/2019,22.05,STK,21.50,22.20,21.50,119790.00
27/08/2019,21.40,STK,20.90,21.40,20.70,116670.00
26/08/2019,20.70,STK,20.55,20.80,20.50,144280.00
23/08/2019,20.55,STK,20.80,20.80,20.40,87410.00
22/08/2019,20.65,STK,21.00,21.10,20.60,143150.00
21/08/2019,20.50,STK,20.60,21.20,20.35,107380.00
20/08/2019,20.45,STK,21.40,21.40,20.40,51410.00
19/08/2019,20.90,STK,20.80,21.00,20.70,23780.00
16/08/2019,20.70,STK,21.30,21.30,20.60,47340.00
15/08/2019,20.90,STK,20.10,21.00,20.10,46770.00
14/08/2019,21.30,STK,21.50,21.60,21.15,20110.00
13/08/2019,21.15,STK,21.50,21.50,20.90,66600.00
12/08/2019,21.70,STK,21.20,22.00,21.10,68390.00
09/08/2019,21.30,STK,21.10,21.50,21.10,190380.00
08/08/2019,21.80,STK,21.00,21.80,20.20,276730.00
07/08/2019,21.00,STK,21.00,21.55,21.00,63510.00
06/08/2019,21.15,STK,21.80,22.20,20.85,217010.00
05/08/2019,22.40,STK,23.30,23.30,22.30,50770.00
02/08/2019,22.95,STK,22.00,22.95,22.00,124350.00
01/08/2019,22.15,STK,21.90,22.40,21.90,31520.00
31/07/2019,21.90,STK,22.10,22.10,21.60,48060.00
30/07/2019,22.10,STK,22.10,22.60,21.55,136690.00
29/07/2019,22.10,STK,23.00,23.00,22.00,234300.00
26/07/2019,23.05,STK,23.60,23.80,23.00,208480.00
25/07/2019,23.50,STK,23.50,23.75,23.40,87450.00
24/07/2019,23.50,STK,23.50,23.60,22.90,189300.00
23/07/2019,23.65,STK,23.70,24.00,23.65,65460.00
22/07/2019,24.00,STK,24.25,24.25,23.30,327800.00
19/07/2019,24.25,STK,24.00,24.80,24.00,134410.00
18/07/2019,24.00,STK,24.10,24.10,23.90,36110.00
17/07/2019,24.10,STK,24.00,24.25,23.90,105150.00
16/07/2019,24.00,STK,24.15,24.40,24.00,79300.00
15/07/2019,24.15,STK,23.75,24.40,23.50,139920.00
12/07/2019,24.00,STK,24.65,24.80,24.00,177600.00
11/07/2019,24.60,STK,25.25,25.25,24.55,80810.00
10/07/2019,24.85,STK,25.20,25.20,24.80,71770.00
09/07/2019,25.10,STK,25.00,25.20,24.60,110550.00
08/07/2019,25.20,STK,25.30,25.30,24.65,113300.00
05/07/2019,25.30,STK,25.30,25.45,25.00,100950.00
04/07/2019,25.30,STK,24.00,25.30,24.00,477030.00
03/07/2019,24.00,STK,23.70,24.10,23.65,58400.00
02/07/2019,23.70,STK,23.90,23.95,23.30,45730.00
01/07/2019,23.90,STK,24.30,24.40,23.70,124910.00
28/06/2019,23.90,STK,23.50,23.90,23.20,54460.00
27/06/2019,23.40,STK,24.30,24.30,23.35,295290.00
26/06/2019,24.20,STK,23.90,24.40,23.90,189570.00
25/06/2019,23.50,STK,23.40,23.90,23.40,83090.00
