DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,3.10,STL,3.10,3.10,3.10,0.00
10/01/2020,3.10,STL,3.10,3.10,3.10,0.00
09/01/2020,3.10,STL,3.10,3.10,3.10,0.00
08/01/2020,3.10,STL,3.10,3.10,3.10,0.00
07/01/2020,3.10,STL,3.10,3.10,3.10,0.00
06/01/2020,3.10,STL,3.10,3.10,3.10,0.00
03/01/2020,3.10,STL,3.10,3.10,3.10,0.00
02/01/2020,3.10,STL,3.10,3.10,3.10,0.00
31/12/2019,3.10,STL,3.10,3.10,3.10,0.00
30/12/2019,3.10,STL,3.10,3.10,3.10,0.00
27/12/2019,3.10,STL,3.10,3.10,3.10,0.00
26/12/2019,3.10,STL,3.10,3.10,3.10,0.00
25/12/2019,3.10,STL,3.10,3.10,3.10,0.00
24/12/2019,3.10,STL,3.10,3.10,3.10,0.00
23/12/2019,3.10,STL,3.10,3.10,3.10,0.00
20/12/2019,3.10,STL,3.10,3.10,3.10,100.00
19/12/2019,3.60,STL,3.60,3.60,3.60,0.00
18/12/2019,3.60,STL,3.60,3.60,3.60,0.00
17/12/2019,3.60,STL,3.60,3.60,3.60,0.00
16/12/2019,3.60,STL,3.60,3.60,3.60,0.00
13/12/2019,3.60,STL,3.60,3.60,3.60,100.00
12/12/2019,4.20,STL,4.20,4.20,4.20,0.00
11/12/2019,4.20,STL,4.20,4.20,4.20,0.00
10/12/2019,4.20,STL,4.20,4.20,4.20,0.00
09/12/2019,4.20,STL,4.20,4.20,4.20,0.00
06/12/2019,4.20,STL,4.20,4.20,4.20,100.00
05/12/2019,4.20,STL,4.20,4.20,4.20,0.00
04/12/2019,4.20,STL,4.20,4.20,4.20,0.00
03/12/2019,4.20,STL,4.20,4.20,4.20,0.00
02/12/2019,4.20,STL,4.20,4.20,4.20,0.00
29/11/2019,4.20,STL,4.20,4.20,4.20,100.00
28/11/2019,3.80,STL,3.80,3.80,3.80,0.00
27/11/2019,3.80,STL,3.80,3.80,3.80,0.00
26/11/2019,3.80,STL,3.80,3.80,3.80,0.00
25/11/2019,3.80,STL,3.80,3.80,3.80,0.00
22/11/2019,3.80,STL,3.80,3.80,3.80,0.00
21/11/2019,3.80,STL,3.80,3.80,3.80,0.00
20/11/2019,3.80,STL,3.80,3.80,3.80,0.00
19/11/2019,3.80,STL,3.80,3.80,3.80,0.00
18/11/2019,3.80,STL,3.80,3.80,3.80,0.00
15/11/2019,3.80,STL,3.80,3.80,3.80,100.00
14/11/2019,4.40,STL,4.40,4.40,4.40,0.00
13/11/2019,4.40,STL,4.40,4.40,4.40,0.00
12/11/2019,4.40,STL,4.40,4.40,4.40,0.00
11/11/2019,4.40,STL,4.40,4.40,4.40,0.00
08/11/2019,3.80,STL,4.90,4.90,3.80,200.00
07/11/2019,4.40,STL,4.40,4.40,4.40,0.00
06/11/2019,4.40,STL,4.40,4.40,4.40,0.00
05/11/2019,4.40,STL,4.40,4.40,4.40,0.00
04/11/2019,4.40,STL,4.40,4.40,4.40,0.00
01/11/2019,4.30,STL,5.70,5.70,4.30,1110.00
31/10/2019,5.00,STL,5.00,5.00,5.00,0.00
30/10/2019,5.00,STL,5.00,5.00,5.00,0.00
29/10/2019,5.00,STL,5.00,5.00,5.00,0.00
28/10/2019,5.00,STL,5.00,5.00,5.00,0.00
25/10/2019,5.00,STL,5.00,5.00,5.00,100.00
24/10/2019,4.50,STL,4.50,4.50,4.50,0.00
23/10/2019,4.50,STL,4.50,4.50,4.50,0.00
22/10/2019,4.50,STL,4.50,4.50,4.50,0.00
21/10/2019,4.50,STL,4.50,4.50,4.50,0.00
18/10/2019,4.50,STL,4.50,4.50,4.50,200.00
17/10/2019,4.00,STL,4.00,4.00,4.00,0.00
16/10/2019,4.00,STL,4.00,4.00,4.00,0.00
15/10/2019,4.00,STL,4.00,4.00,4.00,0.00
14/10/2019,4.00,STL,4.00,4.00,4.00,0.00
11/10/2019,3.70,STL,4.20,4.20,3.70,300.00
10/10/2019,3.80,STL,3.80,3.80,3.80,0.00
09/10/2019,3.80,STL,3.80,3.80,3.80,0.00
08/10/2019,3.80,STL,3.80,3.80,3.80,0.00
07/10/2019,3.80,STL,3.80,3.80,3.80,0.00
