DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,11.95,TCD,11.95,11.95,11.95,10.00
10/01/2020,11.40,TCD,11.40,11.40,11.40,10.00
09/01/2020,10.90,TCD,10.55,10.90,10.55,1040.00
08/01/2020,11.30,TCD,11.30,11.30,11.30,0.00
07/01/2020,11.30,TCD,10.55,11.30,10.55,2280.00
06/01/2020,11.30,TCD,11.30,11.30,11.30,0.00
03/01/2020,11.30,TCD,10.90,11.30,10.10,1930.00
02/01/2020,10.70,TCD,10.70,10.70,10.70,40.00
31/12/2019,10.00,TCD,10.80,11.50,10.00,13740.00
30/12/2019,10.75,TCD,10.55,10.75,10.25,3230.00
27/12/2019,10.45,TCD,10.25,10.45,10.00,5920.00
26/12/2019,9.80,TCD,10.00,10.40,9.80,6200.00
25/12/2019,9.74,TCD,10.65,10.90,9.74,2980.00
24/12/2019,10.40,TCD,11.00,11.30,10.35,10710.00
23/12/2019,10.90,TCD,10.95,10.95,10.85,7110.00
20/12/2019,10.90,TCD,10.90,10.90,10.90,2000.00
19/12/2019,10.25,TCD,10.00,10.70,10.15,45250.00
18/12/2019,10.00,TCD,11.50,11.50,10.00,1270.00
17/12/2019,10.75,TCD,11.55,11.90,10.75,31160.00
16/12/2019,11.55,TCD,11.55,11.55,11.55,0.00
13/12/2019,11.55,TCD,11.55,11.55,11.55,0.00
12/12/2019,11.55,TCD,11.55,11.55,11.55,0.00
11/12/2019,11.55,TCD,11.70,11.70,11.55,210.00
10/12/2019,11.50,TCD,11.00,11.50,11.00,2650.00
09/12/2019,11.00,TCD,11.00,11.00,11.00,10.00
06/12/2019,11.20,TCD,11.20,11.20,11.20,80.00
05/12/2019,11.20,TCD,10.85,11.40,10.85,9220.00
04/12/2019,10.85,TCD,10.80,10.90,10.50,6570.00
03/12/2019,10.80,TCD,9.99,10.80,9.51,14790.00
02/12/2019,10.20,TCD,10.25,10.30,9.65,3520.00
29/11/2019,9.64,TCD,10.35,10.60,9.64,42310.00
28/11/2019,10.35,TCD,10.10,10.35,9.66,111920.00
27/11/2019,10.35,TCD,10.15,10.50,10.15,2040.00
26/11/2019,10.90,TCD,10.90,10.90,10.90,0.00
25/11/2019,10.90,TCD,10.25,10.95,10.25,44040.00
22/11/2019,11.00,TCD,10.00,11.00,9.60,10130.00
21/11/2019,10.30,TCD,10.25,10.30,9.40,2490.00
20/11/2019,10.10,TCD,10.30,10.30,10.10,220.00
19/11/2019,9.87,TCD,9.92,10.55,9.87,1040.00
18/11/2019,10.60,TCD,10.60,10.60,9.86,740.00
15/11/2019,10.60,TCD,10.60,10.60,10.60,60.00
14/11/2019,10.60,TCD,10.80,10.80,10.60,30.00
13/11/2019,10.75,TCD,10.75,10.75,10.75,0.00
12/11/2019,10.75,TCD,10.90,10.90,10.20,19570.00
11/11/2019,10.75,TCD,10.80,10.80,10.05,1720.00
08/11/2019,10.75,TCD,10.70,10.75,10.60,1190.00
07/11/2019,10.70,TCD,10.70,10.70,10.70,10.00
06/11/2019,10.65,TCD,10.15,10.65,10.15,1860.00
05/11/2019,10.90,TCD,11.00,11.10,10.90,50.00
04/11/2019,10.50,TCD,9.81,10.95,9.81,2090.00
01/11/2019,10.50,TCD,9.77,10.80,9.77,2210.00
31/10/2019,10.50,TCD,10.50,10.50,10.50,1020.00
30/10/2019,10.85,TCD,10.90,10.90,10.85,50.00
29/10/2019,10.90,TCD,11.00,11.00,10.90,40.00
28/10/2019,11.00,TCD,11.50,11.50,10.95,28030.00
25/10/2019,11.20,TCD,11.40,11.40,11.20,30010.00
24/10/2019,11.35,TCD,11.45,11.45,10.45,50020.00
23/10/2019,11.05,TCD,11.05,11.05,11.05,4230.00
22/10/2019,11.85,TCD,11.85,11.85,11.85,10.00
21/10/2019,11.35,TCD,11.55,11.55,11.35,310.00
18/10/2019,11.90,TCD,11.65,11.90,11.65,51130.00
17/10/2019,12.35,TCD,12.35,12.35,12.35,30.00
16/10/2019,11.70,TCD,11.90,11.90,11.70,41160.00
15/10/2019,11.75,TCD,11.75,11.75,11.75,16120.00
