DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,34.90,TCH,34.65,34.90,34.65,1121720.00
10/01/2020,34.65,TCH,34.35,34.65,34.35,1032370.00
09/01/2020,34.35,TCH,34.20,34.55,34.20,1291880.00
08/01/2020,34.20,TCH,34.15,34.30,34.05,783960.00
07/01/2020,34.10,TCH,33.70,34.35,33.65,1188090.00
06/01/2020,33.60,TCH,33.70,33.90,33.50,729770.00
03/01/2020,33.70,TCH,33.30,34.00,33.30,1290400.00
02/01/2020,33.30,TCH,32.55,33.30,32.55,1542690.00
31/12/2019,32.65,TCH,32.10,32.80,32.10,1223330.00
30/12/2019,32.10,TCH,31.50,32.25,31.50,1431110.00
27/12/2019,31.70,TCH,31.00,31.80,30.95,1752530.00
26/12/2019,31.20,TCH,30.40,31.40,30.35,1667560.00
25/12/2019,30.40,TCH,30.00,30.50,30.00,1280670.00
24/12/2019,30.10,TCH,29.80,30.65,29.70,1920930.00
23/12/2019,30.05,TCH,28.40,30.05,28.40,2471380.00
20/12/2019,28.10,TCH,28.00,28.25,27.95,1378990.00
19/12/2019,28.05,TCH,29.50,29.70,27.90,1125300.00
18/12/2019,29.50,TCH,29.30,29.65,29.20,1481850.00
17/12/2019,29.40,TCH,29.00,29.75,28.95,2656610.00
16/12/2019,29.20,TCH,29.60,29.60,28.70,1575360.00
13/12/2019,29.60,TCH,30.30,30.35,29.55,1315080.00
12/12/2019,30.20,TCH,29.20,30.40,29.20,2151810.00
11/12/2019,29.10,TCH,27.60,29.10,27.60,2387420.00
10/12/2019,27.50,TCH,27.40,27.75,26.85,1656920.00
09/12/2019,27.55,TCH,28.15,28.20,27.50,1186330.00
06/12/2019,28.15,TCH,27.95,28.35,27.80,1152740.00
05/12/2019,28.05,TCH,29.00,29.15,28.00,1541520.00
04/12/2019,29.00,TCH,29.00,29.25,28.95,1442730.00
03/12/2019,28.90,TCH,27.90,28.95,27.60,3145480.00
02/12/2019,28.00,TCH,28.75,28.80,27.90,1863640.00
29/11/2019,28.65,TCH,28.35,28.90,28.30,1697190.00
28/11/2019,28.35,TCH,27.50,28.40,27.45,2410120.00
27/11/2019,27.50,TCH,27.20,27.50,26.95,1620530.00
26/11/2019,27.90,TCH,27.70,28.50,26.50,2669330.00
25/11/2019,27.65,TCH,27.10,27.65,26.95,2685400.00
22/11/2019,26.90,TCH,25.65,26.90,25.60,4778290.00
21/11/2019,25.60,TCH,26.35,26.35,25.60,2283600.00
20/11/2019,26.25,TCH,25.60,26.35,25.25,2559950.00
19/11/2019,25.70,TCH,26.45,26.65,25.70,1381490.00
18/11/2019,26.45,TCH,26.40,26.70,26.35,1291830.00
15/11/2019,26.15,TCH,25.65,26.25,25.65,1123180.00
14/11/2019,25.60,TCH,24.95,25.95,24.95,1209130.00
13/11/2019,25.00,TCH,24.50,25.10,24.50,546700.00
12/11/2019,24.35,TCH,23.70,24.65,23.55,1859420.00
11/11/2019,23.65,TCH,23.55,23.65,23.50,1101940.00
08/11/2019,23.50,TCH,23.75,23.90,23.45,1011900.00
07/11/2019,23.75,TCH,23.60,24.00,23.60,1347210.00
06/11/2019,23.75,TCH,23.60,23.90,23.55,1023780.00
05/11/2019,23.50,TCH,23.40,23.50,23.35,680920.00
04/11/2019,23.35,TCH,23.35,23.40,23.10,1202730.00
01/11/2019,23.30,TCH,22.85,23.30,22.75,977920.00
31/10/2019,22.70,TCH,22.90,23.10,22.70,366570.00
30/10/2019,22.95,TCH,22.30,23.20,22.30,2290950.00
29/10/2019,22.15,TCH,22.00,22.30,21.95,1214160.00
28/10/2019,22.05,TCH,22.05,22.15,21.90,492050.00
25/10/2019,22.00,TCH,22.90,22.90,21.95,937770.00
24/10/2019,22.90,TCH,23.05,23.20,22.90,560030.00
23/10/2019,23.00,TCH,22.85,23.15,22.80,568080.00
22/10/2019,22.80,TCH,23.90,23.90,22.80,2339440.00
21/10/2019,23.75,TCH,24.40,24.55,23.50,646400.00
18/10/2019,24.40,TCH,24.65,24.75,24.25,709880.00
17/10/2019,24.65,TCH,24.30,24.75,24.00,1775370.00
16/10/2019,24.30,TCH,24.30,24.50,24.20,1181300.00
15/10/2019,24.25,TCH,24.50,24.75,24.20,775350.00
14/10/2019,24.55,TCH,24.30,24.65,24.25,1501860.00
11/10/2019,24.25,TCH,24.00,24.30,23.95,1848870.00
10/10/2019,24.15,TCH,23.75,24.30,23.70,3798900.00
