DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,20.30,TCL,20.40,20.50,20.00,32980.00
10/01/2020,20.00,TCL,20.30,20.30,20.00,4160.00
09/01/2020,20.30,TCL,20.40,20.40,20.30,7280.00
08/01/2020,20.00,TCL,19.80,20.20,19.60,9060.00
07/01/2020,20.20,TCL,19.80,20.20,19.75,1830.00
06/01/2020,19.80,TCL,20.00,20.30,19.80,5060.00
03/01/2020,20.40,TCL,20.40,20.40,19.60,1940.00
02/01/2020,20.40,TCL,20.50,20.50,20.00,32680.00
31/12/2019,20.50,TCL,20.80,20.80,20.35,7630.00
30/12/2019,20.60,TCL,21.00,21.00,20.00,54090.00
27/12/2019,28.60,TCL,28.80,29.50,27.85,25530.00
26/12/2019,28.80,TCL,28.90,28.90,28.40,18190.00
25/12/2019,28.85,TCL,28.25,29.00,28.25,8980.00
24/12/2019,28.70,TCL,28.95,28.95,28.50,5110.00
23/12/2019,28.50,TCL,28.95,29.40,28.50,11740.00
20/12/2019,28.95,TCL,28.95,28.95,28.55,4210.00
19/12/2019,28.95,TCL,28.50,28.95,28.40,16110.00
18/12/2019,28.50,TCL,28.40,28.60,28.30,21120.00
17/12/2019,28.35,TCL,28.50,28.50,28.35,9010.00
16/12/2019,28.60,TCL,28.40,28.75,28.40,130.00
13/12/2019,28.60,TCL,29.80,29.80,28.40,6050.00
12/12/2019,28.90,TCL,29.00,29.00,28.85,9870.00
11/12/2019,28.85,TCL,28.90,28.90,28.80,9060.00
10/12/2019,28.85,TCL,28.80,28.85,28.70,16100.00
09/12/2019,28.85,TCL,28.85,28.85,28.50,6710.00
06/12/2019,28.60,TCL,28.80,28.80,28.60,9660.00
05/12/2019,28.80,TCL,28.80,28.90,28.50,4140.00
04/12/2019,28.80,TCL,28.40,28.80,28.30,16240.00
03/12/2019,28.45,TCL,28.40,28.85,27.85,10750.00
02/12/2019,28.45,TCL,28.95,28.95,28.10,6140.00
29/11/2019,28.50,TCL,28.75,28.95,28.40,30690.00
28/11/2019,28.75,TCL,28.90,28.90,28.60,7310.00
27/11/2019,28.90,TCL,28.90,29.00,28.50,32600.00
26/11/2019,28.80,TCL,29.50,29.60,28.50,36560.00
