DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,42.50,TCT,45.45,45.45,42.50,1190.00
10/01/2020,42.50,TCT,43.00,43.40,42.50,370.00
09/01/2020,42.50,TCT,44.20,44.20,42.20,4200.00
08/01/2020,44.20,TCT,44.20,44.20,44.20,0.00
07/01/2020,44.20,TCT,42.50,44.20,42.50,2710.00
06/01/2020,42.50,TCT,42.00,42.50,42.00,3000.00
03/01/2020,44.50,TCT,45.00,45.00,44.00,440.00
02/01/2020,43.40,TCT,42.20,43.40,42.00,4710.00
31/12/2019,43.50,TCT,43.50,43.50,42.50,400.00
30/12/2019,44.00,TCT,44.00,44.00,44.00,300.00
27/12/2019,43.90,TCT,42.80,43.90,42.80,810.00
26/12/2019,45.80,TCT,45.80,45.80,45.80,0.00
25/12/2019,45.80,TCT,44.00,45.80,43.50,110.00
24/12/2019,44.10,TCT,42.20,44.10,42.00,320.00
23/12/2019,42.50,TCT,42.50,42.50,42.50,100.00
20/12/2019,44.00,TCT,43.00,44.00,43.00,470.00
19/12/2019,43.50,TCT,43.50,43.50,43.50,210.00
18/12/2019,43.50,TCT,43.50,43.50,43.50,30.00
17/12/2019,44.00,TCT,48.00,48.00,44.00,1340.00
16/12/2019,45.00,TCT,44.90,45.00,44.90,50.00
13/12/2019,44.80,TCT,44.80,44.80,44.80,0.00
12/12/2019,44.80,TCT,44.80,44.80,44.80,10.00
11/12/2019,42.00,TCT,42.50,42.50,42.00,170.00
10/12/2019,43.90,TCT,43.90,43.90,43.90,0.00
09/12/2019,43.90,TCT,43.00,43.90,43.00,510.00
06/12/2019,42.90,TCT,43.00,43.00,42.90,820.00
05/12/2019,43.00,TCT,43.00,43.00,43.00,0.00
04/12/2019,43.00,TCT,43.00,43.00,43.00,0.00
03/12/2019,43.00,TCT,45.35,45.35,43.00,850.00
02/12/2019,44.45,TCT,44.45,44.45,44.45,20.00
29/11/2019,41.60,TCT,44.50,44.50,41.60,410.00
28/11/2019,44.50,TCT,44.50,44.50,44.50,0.00
27/11/2019,44.50,TCT,44.50,44.50,44.50,50.00
26/11/2019,44.45,TCT,43.60,44.45,43.60,60.00
25/11/2019,43.60,TCT,43.60,43.60,43.60,70.00
22/11/2019,43.60,TCT,44.50,44.50,43.60,1530.00
21/11/2019,44.50,TCT,45.00,45.00,44.50,220.00
20/11/2019,44.00,TCT,44.90,44.90,44.00,1900.00
19/11/2019,44.00,TCT,44.00,44.00,43.90,2210.00
18/11/2019,43.65,TCT,45.00,45.00,43.65,130.00
15/11/2019,44.00,TCT,44.00,44.00,44.00,2700.00
14/11/2019,44.80,TCT,44.00,44.80,44.00,1110.00
13/11/2019,43.95,TCT,43.70,43.95,43.70,1030.00
12/11/2019,43.75,TCT,43.75,43.75,43.75,550.00
11/11/2019,43.70,TCT,43.80,43.80,43.70,1100.00
08/11/2019,43.60,TCT,43.50,43.60,43.50,120.00
07/11/2019,43.50,TCT,44.00,44.00,43.50,80.00
06/11/2019,44.70,TCT,43.50,44.70,43.50,630.00
05/11/2019,43.00,TCT,43.00,43.00,43.00,100.00
04/11/2019,43.00,TCT,43.00,43.00,43.00,430.00
01/11/2019,42.60,TCT,42.60,42.60,42.60,0.00
31/10/2019,42.60,TCT,43.00,43.00,42.60,150.00
30/10/2019,45.00,TCT,45.00,45.00,45.00,0.00
29/10/2019,45.00,TCT,44.00,45.60,44.00,1220.00
28/10/2019,44.00,TCT,44.60,44.60,44.00,2200.00
25/10/2019,45.00,TCT,44.50,45.00,44.00,270.00
24/10/2019,44.50,TCT,44.00,45.00,44.00,460.00
23/10/2019,44.20,TCT,44.20,44.20,44.20,10.00
22/10/2019,44.20,TCT,44.25,44.25,44.20,180.00
21/10/2019,41.40,TCT,44.60,44.60,41.40,4350.00
18/10/2019,44.35,TCT,45.00,45.00,44.35,110.00
17/10/2019,44.10,TCT,44.70,44.70,44.10,270.00
16/10/2019,44.10,TCT,44.50,44.80,44.10,730.00
15/10/2019,45.00,TCT,45.00,45.00,45.00,10.00
14/10/2019,45.40,TCT,45.00,45.50,45.00,290.00
11/10/2019,46.85,TCT,46.75,46.85,46.75,100.00
10/10/2019,45.50,TCT,46.00,46.00,45.50,20.00
09/10/2019,46.00,TCT,45.00,46.50,44.95,2410.00
08/10/2019,47.00,TCT,47.00,47.00,47.00,100.00
