DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,21.60,TCW,21.40,21.90,21.40,2100.00
10/01/2020,21.00,TCW,23.40,23.40,21.00,11300.00
09/01/2020,22.00,TCW,21.50,22.20,21.50,4948.00
08/01/2020,21.00,TCW,20.10,21.00,20.00,410.00
07/01/2020,22.50,TCW,22.50,22.70,22.50,3550.00
06/01/2020,22.50,TCW,23.20,23.20,22.50,2970.00
03/01/2020,23.80,TCW,23.80,23.80,23.80,150.00
02/01/2020,23.00,TCW,22.20,24.00,22.20,18199.00
31/12/2019,24.50,TCW,24.50,24.50,24.50,100.00
30/12/2019,22.70,TCW,23.00,24.50,22.60,3200.00
27/12/2019,22.50,TCW,23.10,23.10,22.00,19109.00
26/12/2019,23.10,TCW,23.10,23.10,23.10,51.00
25/12/2019,24.00,TCW,23.10,24.00,23.00,10100.00
24/12/2019,23.10,TCW,23.30,23.30,23.10,5170.00
23/12/2019,23.00,TCW,23.20,23.20,23.00,4127.00
20/12/2019,23.50,TCW,23.50,23.50,23.50,1194.00
19/12/2019,24.30,TCW,24.30,24.30,24.30,40.00
18/12/2019,24.30,TCW,24.30,24.30,24.30,100.00
17/12/2019,23.50,TCW,24.00,24.00,23.50,5900.00
16/12/2019,24.00,TCW,24.00,24.00,24.00,1000.00
13/12/2019,24.00,TCW,24.00,24.00,24.00,2100.00
12/12/2019,24.20,TCW,24.00,24.40,24.00,1800.00
11/12/2019,24.20,TCW,24.20,24.20,24.20,100.00
10/12/2019,23.60,TCW,23.60,23.60,23.60,1001.00
09/12/2019,23.50,TCW,23.50,23.50,23.50,6700.00
06/12/2019,23.50,TCW,23.60,23.60,23.50,2500.00
05/12/2019,24.00,TCW,24.00,24.00,24.00,0.00
04/12/2019,24.00,TCW,24.00,24.00,24.00,871.00
03/12/2019,24.00,TCW,24.00,24.00,24.00,400.00
02/12/2019,24.00,TCW,24.00,24.00,24.00,600.00
29/11/2019,24.50,TCW,24.00,24.50,23.90,7910.00
28/11/2019,24.00,TCW,24.00,24.10,24.00,2000.00
27/11/2019,24.50,TCW,24.50,24.50,24.50,8500.00
26/11/2019,24.50,TCW,24.50,24.60,24.50,2110.00
25/11/2019,24.60,TCW,24.60,24.60,24.60,0.00
22/11/2019,24.60,TCW,24.50,25.00,24.20,16920.00
21/11/2019,24.50,TCW,25.00,25.00,24.00,12700.00
20/11/2019,24.20,TCW,24.40,24.40,24.20,1709.00
19/11/2019,24.30,TCW,24.30,24.30,24.20,1734.00
18/11/2019,24.20,TCW,24.50,24.50,24.20,8385.00
15/11/2019,24.40,TCW,24.40,24.40,24.30,3707.00
14/11/2019,24.50,TCW,24.40,24.50,24.40,13702.00
13/11/2019,24.30,TCW,24.40,24.50,24.30,13315.00
12/11/2019,24.40,TCW,24.30,24.40,24.30,17150.00
11/11/2019,24.00,TCW,24.60,24.60,24.00,20700.00
08/11/2019,24.70,TCW,25.00,25.00,24.50,1176.00
07/11/2019,24.50,TCW,24.50,24.80,24.40,12400.00
06/11/2019,24.20,TCW,24.00,24.20,24.00,11585.00
05/11/2019,23.90,TCW,24.00,24.00,23.80,8500.00
04/11/2019,23.80,TCW,24.10,24.50,23.80,7035.00
01/11/2019,23.90,TCW,23.60,23.90,23.60,4100.00
31/10/2019,23.90,TCW,23.50,23.90,23.10,8061.00
30/10/2019,23.90,TCW,23.90,23.90,23.90,399.00
29/10/2019,24.40,TCW,25.00,25.00,24.40,1010.00
28/10/2019,24.50,TCW,25.00,25.00,24.50,5460.00
25/10/2019,24.70,TCW,24.10,24.70,24.10,18369.00
24/10/2019,24.10,TCW,24.10,24.10,24.10,5530.00
23/10/2019,24.10,TCW,24.10,24.10,24.00,7500.00
22/10/2019,24.00,TCW,24.10,24.10,24.00,7170.00
21/10/2019,24.20,TCW,24.00,24.20,24.00,2300.00
18/10/2019,24.30,TCW,24.00,24.30,24.00,5300.00
17/10/2019,24.00,TCW,24.10,24.10,24.00,5700.00
16/10/2019,23.90,TCW,24.30,24.30,23.90,24300.00
15/10/2019,24.20,TCW,24.20,24.30,24.20,3600.00
14/10/2019,24.30,TCW,24.40,24.50,24.20,15320.00
11/10/2019,24.50,TCW,24.50,24.60,24.30,15340.00
10/10/2019,24.60,TCW,24.00,24.60,24.00,21339.00
09/10/2019,23.90,TCW,23.90,23.90,23.90,3610.00
08/10/2019,24.00,TCW,23.30,24.00,23.30,13570.00
07/10/2019,23.30,TCW,23.40,23.50,23.20,22600.00
04/10/2019,23.30,TCW,23.20,23.70,23.20,8450.00
03/10/2019,23.50,TCW,23.30,23.50,23.00,11358.00
02/10/2019,23.20,TCW,23.20,23.60,23.20,5165.00
01/10/2019,23.50,TCW,23.10,23.50,23.10,5559.00
30/09/2019,23.10,TCW,23.00,23.20,23.00,6100.00
27/09/2019,23.00,TCW,23.00,23.20,22.90,21585.00
26/09/2019,23.00,TCW,23.10,23.40,23.00,24479.00
25/09/2019,23.30,TCW,23.20,23.30,23.00,12250.00
24/09/2019,23.30,TCW,24.10,24.20,22.80,86399.00
23/09/2019,24.00,TCW,24.30,24.30,23.90,29920.00
20/09/2019,24.40,TCW,24.30,24.50,24.20,18709.00
19/09/2019,24.50,TCW,24.50,24.50,24.20,7526.00
18/09/2019,24.60,TCW,23.70,24.60,23.70,21350.00
17/09/2019,23.50,TCW,23.90,23.90,23.50,37556.00
16/09/2019,23.80,TCW,23.60,24.00,23.40,15160.00
13/09/2019,23.50,TCW,24.00,24.20,23.30,32460.00
12/09/2019,24.30,TCW,24.00,24.30,23.80,16200.00
11/09/2019,23.80,TCW,23.00,23.80,22.80,20159.00
10/09/2019,22.70,TCW,24.00,24.00,22.50,88924.00
09/09/2019,23.20,TCW,25.40,25.40,23.00,62642.00
06/09/2019,25.10,TCW,25.00,25.60,24.80,31230.00
05/09/2019,25.00,TCW,26.00,26.20,25.00,51802.00
04/09/2019,26.00,TCW,25.50,26.30,25.30,36857.00
03/09/2019,26.50,TCW,27.60,27.90,26.00,83321.00
30/08/2019,28.00,TCW,26.50,28.30,26.10,211672.00
29/08/2019,26.00,TCW,26.00,26.50,25.90,36142.00
28/08/2019,26.10,TCW,24.90,27.00,24.60,176033.00
27/08/2019,24.90,TCW,25.00,25.30,24.80,30811.00
26/08/2019,24.90,TCW,24.60,25.30,24.60,34864.00
23/08/2019,24.40,TCW,25.00,25.00,24.30,10840.00
22/08/2019,24.80,TCW,24.30,25.00,24.30,19400.00
21/08/2019,24.00,TCW,25.00,25.00,24.00,80550.00
20/08/2019,24.90,TCW,24.50,25.30,24.50,103995.00
19/08/2019,24.40,TCW,24.30,25.80,24.30,72007.00
16/08/2019,24.20,TCW,23.80,24.60,23.70,80847.00
15/08/2019,23.50,TCW,22.30,23.80,22.30,60652.00
14/08/2019,22.50,TCW,23.20,23.20,22.10,70330.00
13/08/2019,23.00,TCW,23.50,23.70,22.80,79400.00
12/08/2019,23.90,TCW,25.30,25.30,23.20,56300.00
09/08/2019,25.00,TCW,26.30,27.50,24.00,69581.00
08/08/2019,26.30,TCW,23.00,26.30,23.00,252424.00
07/08/2019,22.40,TCW,23.30,23.50,22.40,109668.00
06/08/2019,23.00,TCW,22.00,23.30,21.10,115822.00
05/08/2019,21.50,TCW,20.10,21.50,20.10,31853.00
02/08/2019,20.10,TCW,20.10,20.10,20.10,43.00
01/08/2019,20.30,TCW,20.00,20.30,20.00,13708.00
31/07/2019,20.00,TCW,20.00,20.00,20.00,0.00
30/07/2019,20.00,TCW,20.00,20.00,19.60,26900.00
29/07/2019,19.60,TCW,19.80,20.60,19.60,1270.00
26/07/2019,19.50,TCW,19.70,19.70,19.50,1312.00
25/07/2019,19.80,TCW,19.70,20.00,19.70,4000.00
24/07/2019,19.70,TCW,19.70,19.70,19.70,3863.00
23/07/2019,20.20,TCW,20.50,20.50,20.20,7060.00
22/07/2019,20.50,TCW,20.70,20.70,20.50,1239.00
19/07/2019,20.50,TCW,21.00,21.00,20.50,27940.00
18/07/2019,20.50,TCW,20.60,20.60,20.50,2200.00
17/07/2019,20.70,TCW,20.70,21.00,20.50,14428.00
16/07/2019,20.90,TCW,19.20,21.00,19.10,34215.00
15/07/2019,19.20,TCW,19.20,19.20,19.20,600.00
12/07/2019,20.00,TCW,19.90,20.00,19.90,4665.00
11/07/2019,19.80,TCW,19.50,19.80,19.50,1100.00
10/07/2019,19.40,TCW,19.50,19.80,19.40,7100.00
09/07/2019,19.30,TCW,19.30,19.30,19.30,500.00
08/07/2019,19.30,TCW,19.30,19.30,19.30,0.00
05/07/2019,19.30,TCW,19.30,19.30,19.30,3000.00
04/07/2019,19.10,TCW,19.10,19.50,19.10,3055.00
03/07/2019,19.00,TCW,19.20,19.20,19.00,2900.00
02/07/2019,19.70,TCW,19.20,19.70,19.20,3200.00
01/07/2019,19.10,TCW,19.10,20.40,19.10,5825.00
28/06/2019,19.00,TCW,19.00,19.00,19.00,1013.00
27/06/2019,19.40,TCW,19.40,19.80,19.40,7000.00
26/06/2019,19.30,TCW,19.20,20.50,19.20,8820.00
25/06/2019,19.00,TCW,19.10,19.10,19.00,1500.00
24/06/2019,19.20,TCW,19.20,19.20,19.20,103.00
21/06/2019,19.20,TCW,19.10,19.20,19.00,3250.00
20/06/2019,19.40,TCW,19.40,19.40,19.40,100.00
19/06/2019,19.50,TCW,19.20,19.50,19.20,1000.00
18/06/2019,19.20,TCW,19.10,19.20,19.10,905.00
17/06/2019,19.20,TCW,19.90,20.00,19.20,1550.00
14/06/2019,18.60,TCW,19.00,19.00,18.60,14640.00
13/06/2019,19.10,TCW,19.10,19.10,19.10,176.00
12/06/2019,19.00,TCW,19.00,19.00,19.00,750.00
11/06/2019,19.30,TCW,19.30,19.30,19.30,0.00
10/06/2019,19.40,TCW,19.10,19.40,19.10,5701.00
07/06/2019,19.10,TCW,19.00,19.10,19.00,1586.00
06/06/2019,19.10,TCW,19.20,19.20,19.10,1500.00
05/06/2019,19.30,TCW,19.20,19.30,19.20,8100.00
04/06/2019,19.20,TCW,19.50,19.50,19.20,1870.00
03/06/2019,19.60,TCW,19.60,19.60,19.60,408.00
31/05/2019,19.50,TCW,19.50,19.50,19.50,800.00
30/05/2019,19.50,TCW,19.50,19.50,19.50,2092.00
29/05/2019,19.60,TCW,20.00,20.00,19.50,4100.00
28/05/2019,20.00,TCW,20.50,20.50,20.00,6009.00
27/05/2019,20.60,TCW,20.60,20.60,20.60,1300.00
24/05/2019,19.70,TCW,19.70,19.70,19.70,553.00
23/05/2019,19.50,TCW,19.50,19.50,19.50,2000.00
22/05/2019,19.30,TCW,19.30,19.50,19.30,4000.00
21/05/2019,19.20,TCW,19.20,19.20,19.20,10000.00
20/05/2019,19.40,TCW,19.20,19.40,19.20,9800.00
17/05/2019,19.50,TCW,19.50,19.50,19.50,167.00
16/05/2019,19.60,TCW,19.90,19.90,19.60,3402.00
15/05/2019,20.70,TCW,20.70,20.70,20.70,0.00
14/05/2019,20.70,TCW,20.70,20.70,20.70,2400.00
13/05/2019,22.00,TCW,22.10,22.30,22.00,7086.00
10/05/2019,22.10,TCW,22.10,22.10,22.10,500.00
09/05/2019,22.50,TCW,22.00,22.50,21.90,8868.00
08/05/2019,22.50,TCW,22.00,22.50,22.00,4506.00
07/05/2019,22.30,TCW,21.90,22.40,21.90,12600.00
06/05/2019,21.70,TCW,21.60,22.00,21.60,9192.00
03/05/2019,22.00,TCW,22.00,22.00,21.90,800.00
02/05/2019,22.00,TCW,21.50,22.00,21.50,3000.00
26/04/2019,22.30,TCW,22.00,22.50,21.60,22345.00
25/04/2019,22.20,TCW,21.20,22.40,21.20,18282.00
24/04/2019,21.00,TCW,21.10,21.50,20.50,12742.00
23/04/2019,20.50,TCW,20.50,21.00,20.50,24269.00
22/04/2019,20.50,TCW,20.50,21.00,20.50,7358.00
19/04/2019,21.00,TCW,20.90,21.10,20.90,5300.00
18/04/2019,21.50,TCW,19.90,22.00,19.90,26272.00
17/04/2019,20.50,TCW,20.70,20.70,19.50,8457.00
16/04/2019,19.60,TCW,19.20,19.60,19.20,6772.00
12/04/2019,20.90,TCW,20.00,20.90,20.00,6373.00
11/04/2019,20.00,TCW,20.00,20.00,20.00,14415.00
10/04/2019,20.30,TCW,20.50,20.60,20.30,17396.00
09/04/2019,20.50,TCW,20.00,20.50,19.90,23573.00
08/04/2019,20.50,TCW,20.50,21.00,20.00,25281.00
05/04/2019,20.00,TCW,21.40,21.40,20.00,550.00
04/04/2019,21.00,TCW,19.50,21.00,19.50,13805.00
03/04/2019,19.50,TCW,20.00,20.00,19.50,5410.00
02/04/2019,20.50,TCW,21.90,21.90,19.80,4285.00
01/04/2019,19.90,TCW,20.00,20.10,19.50,21770.00
29/03/2019,19.90,TCW,19.20,21.00,19.00,15535.00
28/03/2019,18.90,TCW,18.90,18.90,18.50,4000.00
27/03/2019,18.50,TCW,18.70,18.70,18.50,6624.00
26/03/2019,18.60,TCW,19.20,19.20,18.60,3800.00
25/03/2019,18.30,TCW,19.20,19.20,18.30,4600.00
