DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,25.40,TDM,25.60,25.60,25.20,28900.00
10/01/2020,25.60,TDM,25.35,25.75,25.35,990.00
09/01/2020,25.60,TDM,25.90,25.90,25.30,52960.00
08/01/2020,25.50,TDM,25.70,25.70,25.00,41060.00
07/01/2020,25.60,TDM,25.20,25.90,25.00,59620.00
06/01/2020,25.20,TDM,26.00,26.00,25.20,35540.00
03/01/2020,25.35,TDM,25.50,25.80,25.30,16870.00
02/01/2020,25.80,TDM,26.00,26.00,25.30,2320.00
31/12/2019,25.70,TDM,25.70,26.00,25.25,65290.00
30/12/2019,25.70,TDM,25.70,25.70,25.20,9610.00
27/12/2019,25.90,TDM,25.70,26.25,25.50,58410.00
26/12/2019,25.70,TDM,25.80,25.80,25.30,80800.00
25/12/2019,25.80,TDM,25.70,25.80,25.00,34970.00
24/12/2019,25.70,TDM,25.90,25.90,25.60,52570.00
23/12/2019,25.80,TDM,26.40,26.40,25.70,62430.00
20/12/2019,26.40,TDM,26.50,26.50,26.00,120170.00
19/12/2019,26.50,TDM,26.45,26.50,26.40,29150.00
18/12/2019,26.45,TDM,26.40,26.45,26.10,43050.00
17/12/2019,26.45,TDM,26.40,26.70,26.00,44330.00
16/12/2019,26.55,TDM,26.55,26.55,26.20,41610.00
13/12/2019,26.55,TDM,27.45,27.45,26.25,71790.00
12/12/2019,26.60,TDM,27.50,27.50,26.50,37160.00
11/12/2019,26.60,TDM,26.10,26.60,26.05,48720.00
10/12/2019,26.60,TDM,26.00,26.60,26.00,18730.00
09/12/2019,26.30,TDM,26.50,26.50,26.10,57690.00
06/12/2019,26.45,TDM,26.05,26.50,26.00,25500.00
05/12/2019,26.45,TDM,26.50,26.50,26.05,16680.00
04/12/2019,26.50,TDM,26.80,27.00,26.00,74170.00
03/12/2019,26.50,TDM,26.55,26.60,26.20,48490.00
02/12/2019,26.50,TDM,26.90,26.90,26.00,62420.00
29/11/2019,26.90,TDM,25.65,26.90,25.65,27960.00
28/11/2019,25.65,TDM,25.00,25.65,25.00,16040.00
27/11/2019,25.20,TDM,25.00,25.80,24.80,380390.00
26/11/2019,25.00,TDM,25.15,25.40,25.00,67970.00
25/11/2019,25.05,TDM,25.40,25.40,25.05,41480.00
22/11/2019,25.20,TDM,25.85,26.20,25.20,59530.00
21/11/2019,25.80,TDM,26.00,26.00,25.65,22490.00
20/11/2019,26.00,TDM,26.40,26.40,26.00,58390.00
19/11/2019,26.00,TDM,25.60,26.00,25.60,23550.00
18/11/2019,25.60,TDM,26.50,26.75,25.60,121140.00
15/11/2019,26.50,TDM,26.50,26.80,26.40,12230.00
14/11/2019,26.50,TDM,26.20,26.65,26.00,15390.00
13/11/2019,26.60,TDM,26.70,26.70,26.35,4320.00
12/11/2019,26.70,TDM,26.75,26.75,26.00,13670.00
11/11/2019,26.30,TDM,26.80,26.80,26.30,34160.00
08/11/2019,26.55,TDM,27.00,27.05,26.20,23100.00
07/11/2019,27.00,TDM,25.90,27.15,25.85,68920.00
06/11/2019,25.85,TDM,25.90,26.30,25.80,26340.00
05/11/2019,25.90,TDM,25.85,26.00,25.50,79850.00
04/11/2019,25.85,TDM,26.40,27.00,25.85,131280.00
01/11/2019,26.40,TDM,26.90,26.90,26.40,19800.00
31/10/2019,26.90,TDM,27.00,27.30,26.85,17780.00
30/10/2019,27.00,TDM,27.40,27.40,26.90,4660.00
29/10/2019,26.95,TDM,27.00,27.10,26.95,20060.00
28/10/2019,27.00,TDM,27.00,27.10,26.90,8500.00
25/10/2019,27.00,TDM,27.20,27.20,26.80,27980.00
24/10/2019,27.25,TDM,27.00,27.30,26.70,16380.00
23/10/2019,27.30,TDM,26.10,27.30,26.10,89390.00
22/10/2019,27.00,TDM,27.50,27.50,26.10,55220.00
21/10/2019,27.50,TDM,27.70,27.70,27.25,30840.00
18/10/2019,27.70,TDM,27.40,27.70,27.30,34420.00
17/10/2019,27.50,TDM,28.00,28.00,27.50,92880.00
16/10/2019,27.95,TDM,28.10,28.10,27.70,8140.00
15/10/2019,27.50,TDM,27.30,27.95,27.20,36860.00
14/10/2019,27.30,TDM,27.60,27.90,27.30,72800.00
11/10/2019,27.90,TDM,27.80,27.90,27.50,41540.00
10/10/2019,27.85,TDM,28.00,28.00,27.70,21460.00
09/10/2019,28.00,TDM,28.25,28.25,27.80,12800.00
08/10/2019,27.90,TDM,28.75,28.75,27.85,395390.00
07/10/2019,28.30,TDM,28.35,28.60,28.20,36610.00
04/10/2019,28.70,TDM,28.75,28.75,28.30,47540.00
03/10/2019,28.45,TDM,28.30,28.50,28.25,49960.00
02/10/2019,28.50,TDM,28.45,28.80,28.30,76820.00
01/10/2019,28.50,TDM,28.80,28.80,28.30,38160.00
30/09/2019,28.40,TDM,28.20,28.70,28.00,81540.00
27/09/2019,28.35,TDM,28.60,28.60,28.20,95140.00
26/09/2019,28.90,TDM,29.60,29.60,28.55,58390.00
25/09/2019,28.80,TDM,28.30,28.80,28.25,41560.00
24/09/2019,28.40,TDM,28.50,28.50,28.25,51160.00
23/09/2019,28.45,TDM,28.25,28.75,28.25,57800.00
20/09/2019,28.80,TDM,28.55,28.95,28.40,95050.00
19/09/2019,28.90,TDM,28.55,28.95,28.50,72660.00
18/09/2019,28.70,TDM,28.85,28.90,28.60,26420.00
17/09/2019,28.85,TDM,28.80,29.00,28.55,63440.00
16/09/2019,28.80,TDM,29.20,29.50,28.80,212980.00
13/09/2019,29.20,TDM,30.30,30.30,29.20,139420.00
12/09/2019,29.20,TDM,30.30,30.65,29.20,246990.00
