DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,1.79,TGG,1.78,1.81,1.75,125550.00
10/01/2020,1.79,TGG,1.82,1.85,1.78,77490.00
09/01/2020,1.84,TGG,1.79,1.86,1.77,918920.00
08/01/2020,1.74,TGG,1.85,1.85,1.74,414870.00
07/01/2020,1.85,TGG,1.84,1.87,1.79,216460.00
06/01/2020,1.79,TGG,1.86,1.90,1.79,466620.00
03/01/2020,1.86,TGG,1.84,1.90,1.79,472330.00
02/01/2020,1.83,TGG,1.85,1.85,1.79,228910.00
31/12/2019,1.82,TGG,1.81,1.87,1.79,360860.00
30/12/2019,1.81,TGG,1.90,1.90,1.80,142490.00
27/12/2019,1.89,TGG,1.85,1.94,1.84,581270.00
26/12/2019,1.85,TGG,1.92,1.92,1.84,526670.00
25/12/2019,1.92,TGG,1.86,1.94,1.86,427020.00
24/12/2019,1.93,TGG,1.90,1.95,1.90,327560.00
23/12/2019,1.94,TGG,1.92,1.98,1.90,816200.00
20/12/2019,1.99,TGG,2.05,2.05,1.95,525870.00
19/12/2019,2.08,TGG,2.05,2.08,1.97,336920.00
18/12/2019,2.05,TGG,2.00,2.14,2.00,1029960.00
17/12/2019,2.00,TGG,2.02,2.03,1.92,942640.00
16/12/2019,2.03,TGG,2.17,2.17,2.03,1122100.00
13/12/2019,2.17,TGG,2.13,2.21,2.00,895320.00
12/12/2019,2.14,TGG,2.24,2.26,2.14,792660.00
11/12/2019,2.14,TGG,2.03,2.14,2.03,1496740.00
10/12/2019,2.00,TGG,1.90,2.00,1.90,1546180.00
09/12/2019,1.87,TGG,1.90,1.93,1.85,553360.00
06/12/2019,1.88,TGG,1.85,1.93,1.85,494910.00
05/12/2019,1.88,TGG,1.93,1.93,1.86,197080.00
04/12/2019,1.85,TGG,1.95,2.02,1.85,495220.00
03/12/2019,1.91,TGG,1.79,1.91,1.79,549890.00
02/12/2019,1.79,TGG,1.81,1.81,1.78,107530.00
29/11/2019,1.81,TGG,1.81,1.82,1.79,115810.00
28/11/2019,1.81,TGG,1.82,1.82,1.79,48740.00
27/11/2019,1.82,TGG,1.82,1.83,1.77,474530.00
26/11/2019,1.82,TGG,1.82,1.84,1.79,127650.00
25/11/2019,1.82,TGG,1.79,1.82,1.78,54580.00
22/11/2019,1.80,TGG,1.83,1.83,1.80,120880.00
21/11/2019,1.83,TGG,1.81,1.83,1.79,306590.00
20/11/2019,1.82,TGG,1.82,1.82,1.78,121090.00
19/11/2019,1.82,TGG,1.80,1.83,1.78,346340.00
