DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,7.70,TL4,7.70,7.70,7.70,0.00
10/01/2020,7.70,TL4,7.70,7.70,7.70,1100.00
09/01/2020,7.70,TL4,7.70,7.70,7.70,600.00
08/01/2020,7.70,TL4,7.70,7.70,7.70,1100.00
07/01/2020,7.40,TL4,7.40,7.40,7.40,0.00
06/01/2020,7.40,TL4,7.40,7.40,7.40,0.00
03/01/2020,7.40,TL4,7.40,7.40,7.40,100.00
02/01/2020,7.00,TL4,7.00,7.00,7.00,300.00
31/12/2019,8.00,TL4,7.90,8.00,7.90,2900.00
30/12/2019,7.80,TL4,7.80,7.80,7.80,100.00
27/12/2019,7.50,TL4,7.50,7.50,7.50,400.00
26/12/2019,7.50,TL4,7.30,7.50,7.30,1800.00
25/12/2019,7.50,TL4,7.50,7.50,7.50,500.00
24/12/2019,8.00,TL4,8.00,8.00,8.00,0.00
23/12/2019,8.00,TL4,8.00,8.00,8.00,500.00
20/12/2019,8.00,TL4,7.90,8.00,7.90,200.00
19/12/2019,7.90,TL4,7.90,7.90,7.90,100.00
18/12/2019,7.50,TL4,7.90,7.90,7.50,600.00
17/12/2019,7.60,TL4,7.90,7.90,7.10,3900.00
16/12/2019,7.80,TL4,7.80,7.80,7.80,100.00
13/12/2019,7.40,TL4,8.00,8.00,7.40,16000.00
12/12/2019,7.40,TL4,7.40,7.40,7.40,5000.00
11/12/2019,8.20,TL4,8.20,8.20,8.20,100.00
10/12/2019,8.00,TL4,7.70,8.00,7.70,600.00
09/12/2019,7.70,TL4,7.30,7.70,7.30,5200.00
06/12/2019,7.30,TL4,7.30,7.30,7.10,1800.00
05/12/2019,7.30,TL4,7.50,7.50,7.10,6400.00
04/12/2019,7.30,TL4,7.30,7.30,7.30,3400.00
03/12/2019,7.00,TL4,7.00,7.50,7.00,1400.00
02/12/2019,7.00,TL4,7.00,7.00,7.00,1000.00
29/11/2019,7.20,TL4,7.20,7.20,7.20,200.00
28/11/2019,7.20,TL4,7.20,7.20,7.20,4800.00
27/11/2019,7.20,TL4,7.20,7.20,7.20,2000.00
26/11/2019,7.40,TL4,7.40,7.40,7.40,1000.00
25/11/2019,7.40,TL4,7.50,7.50,7.00,4100.00
22/11/2019,7.60,TL4,7.40,7.60,7.40,1200.00
21/11/2019,7.70,TL4,7.70,7.70,7.70,100.00
20/11/2019,7.40,TL4,7.30,7.40,7.30,1700.00
19/11/2019,7.30,TL4,7.20,7.30,7.20,2100.00
18/11/2019,7.20,TL4,7.20,7.20,7.20,2000.00
15/11/2019,7.00,TL4,7.30,7.30,7.00,200.00
14/11/2019,7.20,TL4,7.20,7.20,7.20,100.00
13/11/2019,7.00,TL4,7.20,7.20,7.00,4600.00
12/11/2019,7.20,TL4,7.20,7.20,7.20,100.00
11/11/2019,6.90,TL4,6.90,7.10,6.90,18400.00
08/11/2019,6.90,TL4,7.20,7.20,6.90,3100.00
07/11/2019,7.20,TL4,7.20,7.20,7.20,1000.00
06/11/2019,6.90,TL4,6.90,6.90,6.90,5500.00
05/11/2019,6.80,TL4,6.80,7.00,6.60,9700.00
04/11/2019,7.00,TL4,7.00,7.00,7.00,3200.00
01/11/2019,7.00,TL4,7.10,7.10,7.00,2100.00
31/10/2019,7.00,TL4,7.00,7.00,7.00,400.00
30/10/2019,7.10,TL4,7.10,7.10,7.10,1000.00
29/10/2019,7.30,TL4,7.50,7.50,7.10,2200.00
28/10/2019,7.30,TL4,7.30,7.30,7.30,0.00
25/10/2019,7.30,TL4,7.30,7.30,7.30,500.00
24/10/2019,7.30,TL4,7.30,7.30,7.30,2000.00
23/10/2019,7.40,TL4,7.40,7.40,7.40,200.00
22/10/2019,7.50,TL4,7.50,7.50,7.50,100.00
21/10/2019,7.10,TL4,7.10,7.20,7.10,6300.00
18/10/2019,7.20,TL4,7.20,7.20,7.20,1400.00
17/10/2019,7.10,TL4,7.00,7.10,7.00,2700.00
16/10/2019,7.30,TL4,7.50,7.50,7.30,1100.00
15/10/2019,7.50,TL4,7.60,7.60,7.50,5900.00
14/10/2019,7.70,TL4,7.70,7.70,7.70,100.00
11/10/2019,7.50,TL4,7.80,7.80,7.50,1100.00
10/10/2019,7.70,TL4,7.70,7.70,7.70,600.00
09/10/2019,8.20,TL4,8.00,8.20,7.80,14600.00
08/10/2019,8.00,TL4,8.00,8.00,8.00,1600.00
07/10/2019,8.00,TL4,8.10,8.10,7.90,24900.00
04/10/2019,8.00,TL4,8.30,8.30,8.00,39000.00
03/10/2019,8.10,TL4,8.00,8.10,8.00,5500.00
02/10/2019,8.00,TL4,8.40,8.40,7.50,12200.00
01/10/2019,8.20,TL4,8.20,8.30,8.20,12800.00
30/09/2019,8.20,TL4,8.20,8.40,8.00,16900.00
27/09/2019,8.40,TL4,8.40,8.50,8.00,26200.00
26/09/2019,8.20,TL4,8.60,8.60,8.20,22900.00
25/09/2019,8.60,TL4,8.50,8.60,8.50,2600.00
24/09/2019,8.80,TL4,8.40,8.80,8.30,6000.00
23/09/2019,8.40,TL4,8.50,8.50,8.40,5100.00
20/09/2019,8.60,TL4,8.40,8.60,8.40,4700.00
19/09/2019,8.70,TL4,8.40,8.70,8.40,5600.00
18/09/2019,8.40,TL4,8.30,8.40,8.30,6300.00
17/09/2019,8.40,TL4,8.50,8.50,8.10,4000.00
16/09/2019,8.50,TL4,8.50,8.50,8.50,7900.00
13/09/2019,8.50,TL4,8.70,8.70,8.50,1100.00
12/09/2019,8.80,TL4,8.40,8.80,8.40,600.00
11/09/2019,8.60,TL4,8.40,8.60,8.40,9000.00
10/09/2019,8.50,TL4,8.10,8.50,8.10,14200.00
09/09/2019,8.60,TL4,8.60,8.60,8.50,9100.00
06/09/2019,8.50,TL4,8.60,8.60,8.10,16700.00
05/09/2019,8.40,TL4,8.50,8.60,8.30,13100.00
04/09/2019,8.40,TL4,8.40,9.00,8.20,33800.00
03/09/2019,8.90,TL4,9.60,9.70,8.90,47200.00
30/08/2019,10.00,TL4,10.00,10.80,10.00,44200.00
29/08/2019,11.00,TL4,11.00,11.00,10.50,43300.00
28/08/2019,11.00,TL4,10.20,11.00,9.90,26900.00
27/08/2019,9.80,TL4,9.00,9.80,8.80,81400.00
26/08/2019,9.00,TL4,7.90,9.00,7.90,49500.00
23/08/2019,9.30,TL4,8.10,9.30,8.00,18100.00
22/08/2019,8.70,TL4,8.00,8.70,8.00,9600.00
21/08/2019,9.90,TL4,8.00,9.90,8.00,11600.00
20/08/2019,8.70,TL4,8.60,10.00,8.60,5300.00
19/08/2019,9.30,TL4,7.90,9.30,7.90,36900.00
16/08/2019,8.20,TL4,7.90,8.30,7.80,6100.00
15/08/2019,8.10,TL4,8.40,8.40,8.10,1900.00
14/08/2019,7.80,TL4,7.80,7.80,7.70,1500.00
13/08/2019,8.20,TL4,8.30,8.30,8.20,900.00
12/08/2019,8.20,TL4,8.20,8.20,8.20,1000.00
09/08/2019,8.40,TL4,8.40,8.40,8.40,0.00
08/08/2019,8.40,TL4,8.40,8.40,8.40,1000.00
07/08/2019,8.30,TL4,8.30,8.30,8.30,0.00
06/08/2019,8.30,TL4,8.30,8.30,8.30,0.00
