DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,4.39,TLD,4.39,4.54,4.32,79200.00
10/01/2020,4.39,TLD,4.48,4.48,4.35,96530.00
09/01/2020,4.48,TLD,4.37,4.52,4.33,95930.00
08/01/2020,4.37,TLD,4.52,4.52,4.10,138810.00
07/01/2020,4.37,TLD,4.48,4.48,4.30,88530.00
06/01/2020,4.36,TLD,4.41,4.45,4.19,112400.00
03/01/2020,4.49,TLD,4.50,4.56,4.22,154330.00
02/01/2020,4.53,TLD,4.52,4.59,4.50,154580.00
31/12/2019,4.53,TLD,4.56,4.57,4.53,142140.00
30/12/2019,4.54,TLD,4.57,4.60,4.54,186730.00
27/12/2019,4.57,TLD,4.52,4.60,4.52,247910.00
26/12/2019,4.55,TLD,4.55,4.60,4.51,266620.00
25/12/2019,4.55,TLD,4.50,4.59,4.50,176740.00
24/12/2019,4.55,TLD,4.46,4.57,4.46,251330.00
23/12/2019,4.50,TLD,4.50,4.53,4.43,299050.00
20/12/2019,4.45,TLD,4.45,4.50,4.45,219190.00
19/12/2019,4.49,TLD,4.49,4.50,4.45,99320.00
18/12/2019,4.49,TLD,4.50,4.55,4.49,418460.00
17/12/2019,4.49,TLD,4.45,4.50,4.42,339090.00
16/12/2019,4.50,TLD,4.45,4.50,4.45,290020.00
13/12/2019,4.50,TLD,4.46,4.50,4.46,307810.00
12/12/2019,4.45,TLD,4.49,4.49,4.45,108570.00
11/12/2019,4.49,TLD,4.55,4.55,4.47,106490.00
10/12/2019,4.49,TLD,4.46,4.64,4.46,115870.00
09/12/2019,4.46,TLD,4.63,4.63,4.46,178560.00
06/12/2019,4.46,TLD,4.47,4.56,4.46,181340.00
05/12/2019,4.56,TLD,4.48,4.64,4.43,153130.00
04/12/2019,4.47,TLD,4.42,4.47,4.42,149390.00
03/12/2019,4.45,TLD,4.47,4.50,4.45,188640.00
02/12/2019,4.47,TLD,4.50,4.58,4.47,144590.00
29/11/2019,4.50,TLD,4.55,4.69,4.50,235110.00
28/11/2019,4.55,TLD,4.78,4.78,4.55,85450.00
27/11/2019,4.60,TLD,4.64,4.77,4.58,636610.00
26/11/2019,4.58,TLD,4.59,4.64,4.50,146300.00
25/11/2019,4.55,TLD,4.45,4.55,4.45,145610.00
22/11/2019,4.45,TLD,4.45,4.50,4.45,154790.00
21/11/2019,4.45,TLD,4.50,4.50,4.45,95930.00
20/11/2019,4.50,TLD,4.50,4.55,4.45,77800.00
19/11/2019,4.50,TLD,4.50,4.55,4.47,699320.00
18/11/2019,4.50,TLD,4.50,4.50,4.43,119640.00
15/11/2019,4.46,TLD,4.46,4.52,4.40,83970.00
14/11/2019,4.46,TLD,4.45,4.55,4.45,103870.00
13/11/2019,4.45,TLD,4.60,4.60,4.45,162590.00
12/11/2019,4.51,TLD,4.57,4.60,4.51,83810.00
11/11/2019,4.57,TLD,4.57,4.68,4.51,53170.00
08/11/2019,4.57,TLD,4.50,4.57,4.48,206350.00
07/11/2019,4.50,TLD,4.59,4.59,4.45,124140.00
06/11/2019,4.50,TLD,4.45,4.59,4.36,106310.00
05/11/2019,4.50,TLD,4.55,4.55,4.42,128400.00
04/11/2019,4.55,TLD,4.70,4.76,4.55,66410.00
01/11/2019,4.76,TLD,4.84,4.90,4.55,183430.00
31/10/2019,4.80,TLD,4.72,5.00,4.65,1568050.00
30/10/2019,4.68,TLD,4.65,4.70,4.58,519740.00
29/10/2019,4.65,TLD,4.69,4.75,4.60,98030.00
28/10/2019,4.69,TLD,4.60,4.70,4.56,146680.00
25/10/2019,4.65,TLD,4.67,4.67,4.53,173530.00
24/10/2019,4.59,TLD,4.49,4.62,4.49,300440.00
23/10/2019,4.49,TLD,4.49,4.52,4.47,73830.00
22/10/2019,4.49,TLD,4.49,4.51,4.46,59010.00
21/10/2019,4.49,TLD,4.50,4.55,4.44,64930.00
18/10/2019,4.50,TLD,4.58,4.58,4.48,31430.00
17/10/2019,4.50,TLD,4.52,4.55,4.50,236930.00
16/10/2019,4.52,TLD,4.62,4.68,4.51,119540.00
15/10/2019,4.59,TLD,4.59,4.59,4.55,95660.00
14/10/2019,4.59,TLD,4.56,4.60,4.51,243350.00
11/10/2019,4.56,TLD,4.55,4.68,4.51,609210.00
10/10/2019,4.50,TLD,4.50,4.58,4.47,285650.00
09/10/2019,4.52,TLD,4.50,4.58,4.48,98680.00
08/10/2019,4.50,TLD,4.58,4.58,4.50,352660.00
07/10/2019,4.50,TLD,4.54,4.79,4.50,328780.00
04/10/2019,4.49,TLD,4.45,4.49,4.45,111990.00
03/10/2019,4.48,TLD,4.45,4.52,4.43,62930.00
02/10/2019,4.50,TLD,4.50,4.50,4.45,84380.00
01/10/2019,4.50,TLD,4.48,4.54,4.44,63470.00
30/09/2019,4.50,TLD,4.52,4.52,4.45,293430.00
27/09/2019,4.52,TLD,4.55,4.55,4.45,327500.00
26/09/2019,4.52,TLD,4.50,4.55,4.45,83840.00
25/09/2019,4.55,TLD,4.50,4.58,4.43,244700.00
24/09/2019,4.60,TLD,4.62,4.68,4.43,176190.00
23/09/2019,4.63,TLD,4.62,4.69,4.56,173930.00
20/09/2019,4.62,TLD,4.80,4.87,4.53,1031980.00
19/09/2019,4.87,TLD,4.87,5.20,4.87,892210.00
18/09/2019,5.23,TLD,5.23,5.60,5.23,154600.00
17/09/2019,5.62,TLD,5.80,6.04,5.62,437620.00
16/09/2019,6.04,TLD,6.56,6.94,6.04,1663010.00
13/09/2019,6.49,TLD,6.10,6.49,6.05,1635720.00
12/09/2019,6.07,TLD,6.01,6.08,6.01,182500.00
11/09/2019,6.03,TLD,6.03,6.05,6.00,96140.00
10/09/2019,6.03,TLD,6.03,6.05,5.98,152210.00
09/09/2019,6.03,TLD,6.08,6.10,6.00,110040.00
06/09/2019,6.05,TLD,6.05,6.10,6.00,82210.00
05/09/2019,6.05,TLD,6.02,6.25,5.80,559690.00
04/09/2019,5.98,TLD,5.85,5.99,5.59,449230.00
03/09/2019,5.88,TLD,5.90,5.90,5.58,354700.00
30/08/2019,5.99,TLD,5.90,6.12,5.90,139970.00
29/08/2019,5.99,TLD,6.12,6.12,5.75,873410.00
28/08/2019,5.72,TLD,5.35,5.72,5.35,747140.00
27/08/2019,5.35,TLD,5.38,5.38,5.31,45450.00
26/08/2019,5.35,TLD,5.30,5.40,5.30,68820.00
23/08/2019,5.35,TLD,5.35,5.37,5.31,127830.00
22/08/2019,5.35,TLD,5.32,5.40,5.28,130070.00
21/08/2019,5.35,TLD,5.39,5.40,5.28,137790.00
20/08/2019,5.39,TLD,5.50,5.50,5.25,64230.00
19/08/2019,5.35,TLD,5.29,5.35,5.17,109320.00
16/08/2019,5.28,TLD,5.25,5.29,5.25,129880.00
15/08/2019,5.25,TLD,5.15,5.29,5.10,167450.00
14/08/2019,5.15,TLD,5.10,5.15,4.79,66510.00
13/08/2019,5.14,TLD,5.15,5.15,5.01,62210.00
12/08/2019,5.15,TLD,5.15,5.15,5.10,59570.00
09/08/2019,5.10,TLD,5.15,5.20,5.10,105330.00
08/08/2019,5.18,TLD,5.15,5.25,5.00,149340.00
07/08/2019,5.19,TLD,5.27,5.27,5.07,290720.00
06/08/2019,5.20,TLD,5.00,5.20,5.00,113820.00
05/08/2019,5.20,TLD,5.25,5.30,5.00,138210.00
02/08/2019,5.25,TLD,5.32,5.32,5.22,72900.00
01/08/2019,5.32,TLD,5.30,5.39,5.21,147490.00
31/07/2019,5.40,TLD,5.38,5.40,5.27,153090.00
30/07/2019,5.38,TLD,5.38,5.38,5.35,119360.00
29/07/2019,5.38,TLD,5.40,5.42,5.36,85420.00
26/07/2019,5.40,TLD,5.17,5.40,5.17,437500.00
25/07/2019,5.20,TLD,5.30,5.30,5.06,70720.00
24/07/2019,5.27,TLD,5.28,5.28,5.10,70260.00
23/07/2019,5.28,TLD,5.28,5.28,5.20,740050.00
22/07/2019,5.28,TLD,5.20,5.30,5.15,430490.00
19/07/2019,5.28,TLD,5.25,5.35,5.20,75710.00
18/07/2019,5.34,TLD,5.40,5.40,5.30,160990.00
17/07/2019,5.35,TLD,5.40,5.40,5.32,43060.00
16/07/2019,5.35,TLD,5.40,5.44,5.30,109500.00
15/07/2019,5.45,TLD,5.14,5.45,4.86,579200.00
12/07/2019,5.14,TLD,5.22,5.22,5.00,131140.00
11/07/2019,5.25,TLD,5.18,5.29,4.86,320140.00
10/07/2019,5.20,TLD,5.25,5.25,5.10,46400.00
09/07/2019,5.25,TLD,5.25,5.40,5.10,30250.00
08/07/2019,5.25,TLD,5.20,5.30,5.20,83880.00
05/07/2019,5.20,TLD,5.00,5.28,5.00,297060.00
04/07/2019,5.06,TLD,5.25,5.25,5.01,109640.00
03/07/2019,5.28,TLD,5.20,5.35,5.10,40200.00
02/07/2019,5.30,TLD,5.30,5.32,5.26,41910.00
01/07/2019,5.32,TLD,5.35,5.40,5.00,52570.00
28/06/2019,5.35,TLD,5.38,5.43,5.10,65430.00
27/06/2019,5.38,TLD,5.36,5.45,5.36,50970.00
26/06/2019,5.40,TLD,5.46,5.46,5.35,52940.00
25/06/2019,5.36,TLD,5.38,5.48,5.32,102360.00
24/06/2019,5.38,TLD,5.40,5.40,5.35,109430.00
21/06/2019,5.40,TLD,5.40,5.49,5.40,247140.00
20/06/2019,5.39,TLD,5.40,5.50,5.35,95870.00
19/06/2019,5.39,TLD,5.48,5.48,5.25,55910.00
18/06/2019,5.40,TLD,5.40,5.50,5.40,54910.00
17/06/2019,5.40,TLD,5.40,5.55,5.30,36120.00
