DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,4.04,TLH,4.15,4.15,3.90,103260.00
10/01/2020,4.15,TLH,4.27,4.27,3.91,41580.00
09/01/2020,4.05,TLH,4.07,4.07,3.95,299070.00
08/01/2020,4.33,TLH,4.50,4.70,4.33,545080.00
07/01/2020,4.50,TLH,4.52,4.60,4.44,43960.00
06/01/2020,4.52,TLH,4.45,4.59,4.42,113440.00
03/01/2020,4.42,TLH,4.41,4.49,4.41,133760.00
02/01/2020,4.46,TLH,4.31,4.50,4.31,123310.00
31/12/2019,4.49,TLH,4.70,4.70,4.47,180460.00
30/12/2019,4.49,TLH,4.48,4.79,4.48,203400.00
27/12/2019,4.50,TLH,4.49,4.53,4.49,223010.00
26/12/2019,4.53,TLH,4.50,4.54,4.43,217750.00
25/12/2019,4.54,TLH,4.64,4.64,4.48,291190.00
24/12/2019,4.60,TLH,4.70,4.70,4.47,228880.00
23/12/2019,4.67,TLH,4.50,4.78,4.50,435010.00
20/12/2019,4.48,TLH,4.20,4.48,4.20,479750.00
19/12/2019,4.19,TLH,4.15,4.33,4.16,103360.00
18/12/2019,4.15,TLH,4.25,4.25,4.15,299870.00
17/12/2019,4.20,TLH,4.18,4.28,4.10,112250.00
16/12/2019,4.20,TLH,4.29,4.35,4.15,35590.00
13/12/2019,4.29,TLH,4.26,4.29,4.18,54770.00
12/12/2019,4.26,TLH,4.28,4.28,4.15,66750.00
11/12/2019,4.24,TLH,4.29,4.30,4.15,79870.00
10/12/2019,4.29,TLH,4.33,4.33,4.07,10390.00
09/12/2019,4.30,TLH,4.34,4.34,4.29,19740.00
06/12/2019,4.34,TLH,4.20,4.40,4.15,34090.00
05/12/2019,4.28,TLH,4.29,4.29,4.14,15070.00
04/12/2019,4.30,TLH,4.30,4.30,4.06,18670.00
03/12/2019,4.30,TLH,4.28,4.32,4.21,11150.00
02/12/2019,4.28,TLH,4.07,4.30,4.07,49500.00
29/11/2019,4.30,TLH,4.30,4.49,4.29,6350.00
28/11/2019,4.30,TLH,4.45,4.45,4.15,45000.00
27/11/2019,4.45,TLH,4.50,4.50,4.35,9040.00
26/11/2019,4.45,TLH,4.34,4.50,4.34,21280.00
25/11/2019,4.32,TLH,4.30,4.50,4.30,64650.00
22/11/2019,4.30,TLH,4.20,4.52,4.20,53700.00
21/11/2019,4.51,TLH,4.25,4.60,4.25,89480.00
20/11/2019,4.54,TLH,4.57,4.57,4.31,76580.00
19/11/2019,4.34,TLH,4.06,4.34,4.06,270380.00
18/11/2019,4.06,TLH,4.05,4.17,4.04,128250.00
15/11/2019,4.05,TLH,3.93,4.07,3.90,137230.00
14/11/2019,3.93,TLH,3.80,3.93,3.80,63470.00
13/11/2019,3.93,TLH,3.95,3.95,3.90,17870.00
12/11/2019,3.90,TLH,3.80,3.97,3.70,86560.00
11/11/2019,3.89,TLH,3.98,3.98,3.72,20830.00
08/11/2019,3.98,TLH,3.93,4.04,3.91,9170.00
07/11/2019,3.98,TLH,3.99,3.99,3.95,4810.00
06/11/2019,3.99,TLH,4.06,4.06,3.90,53940.00
05/11/2019,4.06,TLH,3.88,4.07,3.81,90490.00
04/11/2019,3.83,TLH,3.61,3.90,3.61,116190.00
01/11/2019,3.65,TLH,3.67,3.70,3.64,128370.00
31/10/2019,3.83,TLH,4.00,4.00,3.80,200940.00
30/10/2019,4.00,TLH,4.00,4.00,3.93,91960.00
29/10/2019,4.09,TLH,4.15,4.15,4.02,143190.00
28/10/2019,4.17,TLH,4.18,4.20,4.10,141760.00
25/10/2019,4.18,TLH,4.22,4.22,4.10,65500.00
24/10/2019,4.10,TLH,4.11,4.22,4.10,66460.00
23/10/2019,4.24,TLH,4.20,4.30,4.10,106210.00
22/10/2019,4.30,TLH,4.40,4.40,4.20,50900.00
21/10/2019,4.24,TLH,4.37,4.37,4.10,41970.00
18/10/2019,4.10,TLH,4.38,4.38,4.10,300340.00
17/10/2019,4.38,TLH,4.38,4.38,4.30,166470.00
16/10/2019,4.38,TLH,4.39,4.39,4.30,158080.00
15/10/2019,4.39,TLH,4.40,4.40,4.35,77980.00
14/10/2019,4.39,TLH,4.44,4.44,4.39,357170.00
11/10/2019,4.41,TLH,4.41,4.41,4.39,51980.00
10/10/2019,4.41,TLH,4.41,4.43,4.40,27790.00
09/10/2019,4.43,TLH,4.43,4.44,4.40,85670.00
08/10/2019,4.43,TLH,4.43,4.43,4.37,94970.00
07/10/2019,4.43,TLH,4.45,4.46,4.40,150720.00
04/10/2019,4.46,TLH,4.47,4.47,4.39,148240.00
03/10/2019,4.46,TLH,4.47,4.48,4.41,68440.00
02/10/2019,4.47,TLH,4.48,4.48,4.38,177520.00
01/10/2019,4.46,TLH,4.48,4.48,4.38,118310.00
30/09/2019,4.48,TLH,4.50,4.51,4.41,88310.00
27/09/2019,4.48,TLH,4.49,4.49,4.40,346150.00
26/09/2019,4.48,TLH,4.49,4.49,4.47,77570.00
25/09/2019,4.48,TLH,4.50,4.50,4.39,100130.00
24/09/2019,4.50,TLH,4.49,4.50,4.36,159670.00
23/09/2019,4.44,TLH,4.56,4.56,4.44,158020.00
20/09/2019,4.54,TLH,4.57,4.57,4.45,136800.00
19/09/2019,4.54,TLH,4.55,4.55,4.45,368800.00
18/09/2019,4.55,TLH,4.57,4.57,4.44,131750.00
17/09/2019,4.57,TLH,4.55,4.60,4.55,96880.00
16/09/2019,4.55,TLH,4.56,4.56,4.43,174220.00
13/09/2019,4.56,TLH,4.50,4.57,4.45,122310.00
12/09/2019,4.57,TLH,4.58,4.58,4.50,87960.00
11/09/2019,4.57,TLH,4.50,4.60,4.45,130590.00
10/09/2019,4.45,TLH,4.61,4.65,4.45,98330.00
09/09/2019,4.61,TLH,4.63,4.63,4.53,89350.00
