DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,36.45,TMP,36.45,36.45,36.45,10.00
10/01/2020,35.35,TMP,35.35,35.35,35.35,0.00
09/01/2020,35.35,TMP,35.35,35.35,35.35,180.00
08/01/2020,35.30,TMP,35.35,35.35,35.30,900.00
07/01/2020,36.50,TMP,36.20,36.50,36.00,2600.00
06/01/2020,36.20,TMP,36.00,36.20,36.00,2070.00
03/01/2020,36.20,TMP,36.50,36.50,35.05,1110.00
02/01/2020,35.70,TMP,35.70,35.70,35.70,0.00
31/12/2019,35.70,TMP,34.25,35.90,34.25,1110.00
30/12/2019,35.10,TMP,35.10,35.10,35.10,110.00
27/12/2019,35.50,TMP,34.20,35.50,34.20,860.00
26/12/2019,34.20,TMP,35.00,35.00,34.20,1200.00
25/12/2019,34.50,TMP,34.60,34.60,34.50,1510.00
24/12/2019,34.60,TMP,34.60,34.60,34.60,30.00
23/12/2019,34.55,TMP,36.30,36.50,34.55,1110.00
20/12/2019,36.40,TMP,34.60,36.40,34.50,1730.00
19/12/2019,35.90,TMP,35.40,35.90,35.90,30.00
18/12/2019,35.40,TMP,35.40,35.40,35.40,40.00
17/12/2019,36.40,TMP,36.40,36.40,36.40,400.00
16/12/2019,36.40,TMP,36.75,36.75,36.40,1340.00
13/12/2019,36.75,TMP,36.25,36.75,36.25,5660.00
12/12/2019,35.55,TMP,35.00,35.60,35.00,2130.00
11/12/2019,35.00,TMP,35.00,35.00,35.00,150.00
10/12/2019,36.80,TMP,36.80,36.80,36.80,10.00
09/12/2019,34.50,TMP,34.50,35.00,34.50,1150.00
06/12/2019,34.50,TMP,34.50,34.50,34.50,1440.00
05/12/2019,36.00,TMP,34.50,36.00,34.50,540.00
04/12/2019,34.10,TMP,35.40,35.40,34.10,250.00
03/12/2019,35.50,TMP,35.50,35.50,35.50,0.00
02/12/2019,35.50,TMP,35.50,35.50,35.50,0.00
29/11/2019,35.50,TMP,34.55,35.50,35.50,1500.00
28/11/2019,34.55,TMP,35.00,35.10,34.20,3230.00
27/11/2019,35.90,TMP,36.00,36.00,35.90,570.00
26/11/2019,36.00,TMP,36.00,36.00,36.00,1020.00
25/11/2019,35.90,TMP,35.90,35.90,35.90,500.00
22/11/2019,36.20,TMP,36.20,36.20,36.00,570.00
21/11/2019,35.25,TMP,35.25,35.25,35.25,1080.00
20/11/2019,35.25,TMP,35.95,35.95,35.25,2060.00
19/11/2019,35.95,TMP,36.30,36.30,35.50,1140.00
18/11/2019,36.30,TMP,36.30,36.30,36.30,50.00
15/11/2019,36.00,TMP,36.00,36.00,36.00,800.00
14/11/2019,36.00,TMP,36.00,36.00,36.00,1000.00
13/11/2019,36.00,TMP,36.00,36.00,36.00,0.00
12/11/2019,36.00,TMP,36.00,36.00,36.00,0.00
11/11/2019,36.00,TMP,36.00,36.00,36.00,100.00
08/11/2019,36.00,TMP,35.80,36.00,35.80,500.00
07/11/2019,35.30,TMP,35.30,35.30,35.30,2100.00
06/11/2019,35.30,TMP,35.30,35.30,35.30,0.00
05/11/2019,35.30,TMP,35.30,35.30,35.30,0.00
04/11/2019,35.30,TMP,35.20,35.30,35.20,680.00
01/11/2019,35.10,TMP,35.10,35.10,35.10,50.00
31/10/2019,35.20,TMP,35.20,35.20,35.20,10.00
30/10/2019,35.10,TMP,35.00,35.10,35.00,2100.00
29/10/2019,35.00,TMP,35.20,35.20,35.00,2160.00
28/10/2019,35.20,TMP,35.20,35.20,35.20,880.00
25/10/2019,35.10,TMP,35.10,35.10,35.10,100.00
