DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,28.95,TMS,29.00,29.00,28.30,4310.00
10/01/2020,28.20,TMS,28.10,28.95,28.10,4120.00
09/01/2020,27.60,TMS,29.00,29.00,27.60,110.00
08/01/2020,28.50,TMS,29.00,29.00,28.50,7030.00
07/01/2020,28.40,TMS,29.00,29.00,28.40,5010.00
06/01/2020,29.00,TMS,28.45,29.00,28.45,5860.00
03/01/2020,28.50,TMS,29.00,29.00,28.50,6200.00
02/01/2020,29.00,TMS,28.00,29.00,28.00,4820.00
31/12/2019,27.25,TMS,29.00,29.15,27.25,14580.00
30/12/2019,28.30,TMS,28.30,28.30,28.30,2560.00
27/12/2019,28.25,TMS,28.15,28.95,28.15,6610.00
26/12/2019,29.00,TMS,29.00,29.00,29.00,100.00
25/12/2019,28.00,TMS,28.60,29.00,28.00,12660.00
24/12/2019,28.30,TMS,29.00,29.00,28.25,6000.00
23/12/2019,28.20,TMS,27.60,28.20,27.60,600.00
20/12/2019,27.90,TMS,28.50,28.50,27.90,6990.00
19/12/2019,28.50,TMS,28.50,28.50,28.50,1400.00
18/12/2019,28.50,TMS,28.30,28.50,28.30,6000.00
17/12/2019,27.80,TMS,27.50,27.80,27.50,850.00
16/12/2019,28.40,TMS,27.90,28.40,27.90,11000.00
13/12/2019,27.50,TMS,27.05,27.50,27.00,2600.00
12/12/2019,27.85,TMS,27.85,27.85,27.80,2240.00
11/12/2019,28.00,TMS,28.00,28.00,28.00,10.00
10/12/2019,28.20,TMS,27.70,28.20,27.70,5580.00
09/12/2019,26.70,TMS,27.50,28.30,26.20,9080.00
06/12/2019,27.50,TMS,27.50,27.50,27.50,750.00
05/12/2019,27.50,TMS,27.50,27.50,27.50,70.00
04/12/2019,27.20,TMS,28.30,28.30,27.20,3890.00
03/12/2019,28.30,TMS,28.40,28.50,28.30,2630.00
02/12/2019,28.40,TMS,28.50,28.50,28.40,2370.00
29/11/2019,28.60,TMS,28.40,28.60,28.40,2910.00
28/11/2019,28.40,TMS,29.45,29.50,28.40,9810.00
27/11/2019,28.80,TMS,29.00,29.00,28.30,5080.00
26/11/2019,28.80,TMS,29.50,29.50,28.50,16170.00
25/11/2019,28.40,TMS,28.20,28.50,28.15,2940.00
22/11/2019,29.00,TMS,29.00,29.00,28.80,4280.00
21/11/2019,29.00,TMS,28.20,29.00,28.20,43370.00
20/11/2019,28.25,TMS,28.20,28.30,28.15,2550.00
19/11/2019,28.00,TMS,28.00,28.00,28.00,450.00
18/11/2019,28.00,TMS,27.00,28.00,27.00,1100.00
15/11/2019,27.60,TMS,27.95,28.20,27.60,7760.00
14/11/2019,27.60,TMS,27.60,27.60,27.60,1710.00
13/11/2019,27.50,TMS,27.95,28.00,27.50,2010.00
12/11/2019,28.00,TMS,27.90,28.00,27.30,6030.00
11/11/2019,28.00,TMS,28.00,28.00,28.00,4710.00
08/11/2019,28.00,TMS,27.20,28.00,27.20,3010.00
07/11/2019,28.00,TMS,28.00,28.00,28.00,100.00
06/11/2019,27.70,TMS,28.30,28.30,27.70,7310.00
05/11/2019,27.70,TMS,27.70,28.00,27.70,6950.00
04/11/2019,27.65,TMS,28.00,28.00,27.65,7740.00
01/11/2019,28.00,TMS,27.80,28.25,27.80,7990.00
31/10/2019,28.00,TMS,28.45,28.50,27.85,11770.00
30/10/2019,28.00,TMS,28.00,28.00,28.00,0.00
29/10/2019,28.00,TMS,29.35,29.35,28.00,4700.00
28/10/2019,27.80,TMS,27.80,27.80,27.80,3480.00
25/10/2019,27.80,TMS,28.90,28.90,27.80,2720.00
24/10/2019,28.90,TMS,27.80,28.90,27.80,3200.00
23/10/2019,28.00,TMS,28.00,28.00,28.00,0.00
22/10/2019,28.00,TMS,28.20,29.00,28.00,5020.00
21/10/2019,28.00,TMS,28.30,28.30,28.00,14240.00
18/10/2019,28.20,TMS,29.40,29.40,28.20,8350.00
17/10/2019,28.70,TMS,28.70,28.70,28.60,6500.00
16/10/2019,28.50,TMS,28.50,28.50,28.50,500.00
15/10/2019,28.50,TMS,28.55,29.50,28.00,14830.00
14/10/2019,27.65,TMS,27.95,28.10,27.60,2140.00
11/10/2019,27.45,TMS,28.40,28.40,27.45,410.00
10/10/2019,27.50,TMS,27.50,27.50,27.50,510.00
09/10/2019,27.50,TMS,27.50,27.50,27.50,10.00
08/10/2019,27.55,TMS,27.55,28.50,27.55,2460.00
07/10/2019,28.80,TMS,28.80,28.80,28.80,100.00
04/10/2019,28.80,TMS,27.00,28.80,27.00,9190.00
03/10/2019,27.25,TMS,27.25,27.25,27.25,0.00
02/10/2019,27.25,TMS,27.05,28.50,27.05,6480.00
01/10/2019,27.00,TMS,27.10,27.10,27.00,4500.00
30/09/2019,27.20,TMS,27.00,27.20,27.00,450.00
27/09/2019,27.00,TMS,27.00,27.00,27.00,100.00
26/09/2019,27.00,TMS,27.15,27.15,27.00,2220.00
25/09/2019,27.40,TMS,28.00,28.00,27.40,920.00
24/09/2019,28.90,TMS,28.75,28.90,28.75,500.00
23/09/2019,27.20,TMS,27.20,27.20,27.20,10.00
20/09/2019,27.50,TMS,27.50,27.50,27.50,2270.00
19/09/2019,27.50,TMS,27.40,27.90,27.35,2320.00
18/09/2019,28.00,TMS,28.00,28.00,28.00,1000.00
