DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,5.87,TMT,5.87,5.87,5.87,0.00
10/01/2020,5.87,TMT,5.87,5.87,5.87,0.00
09/01/2020,5.87,TMT,5.87,5.87,5.87,0.00
08/01/2020,5.87,TMT,5.47,5.87,5.47,1010.00
07/01/2020,5.88,TMT,5.51,5.88,5.50,1680.00
06/01/2020,5.89,TMT,5.85,5.89,5.70,8730.00
03/01/2020,5.70,TMT,5.57,5.70,5.56,1310.00
02/01/2020,5.59,TMT,5.21,5.59,5.21,1010.00
31/12/2019,5.47,TMT,5.47,5.47,5.40,490.00
30/12/2019,5.21,TMT,5.35,5.35,5.21,5120.00
27/12/2019,5.60,TMT,5.95,5.95,5.60,2900.00
26/12/2019,5.88,TMT,6.55,6.64,5.88,4190.00
25/12/2019,6.21,TMT,5.95,6.23,5.95,8900.00
24/12/2019,5.83,TMT,5.45,5.83,5.45,3280.00
23/12/2019,5.45,TMT,5.20,5.51,5.20,4700.00
20/12/2019,5.15,TMT,4.99,5.19,4.98,4220.00
19/12/2019,4.89,TMT,4.61,4.90,4.79,2780.00
18/12/2019,4.61,TMT,4.55,4.90,4.55,840.00
17/12/2019,4.78,TMT,4.78,4.78,4.78,100.00
16/12/2019,4.78,TMT,4.56,4.78,4.56,1150.00
13/12/2019,4.68,TMT,4.68,4.68,4.68,130.00
12/12/2019,4.66,TMT,4.66,4.66,4.66,0.00
11/12/2019,4.66,TMT,4.37,4.67,4.37,2400.00
10/12/2019,4.37,TMT,4.37,4.37,4.37,4900.00
09/12/2019,4.37,TMT,4.46,4.68,4.37,7500.00
06/12/2019,4.46,TMT,4.46,4.46,4.46,10.00
05/12/2019,4.72,TMT,4.50,4.72,4.50,110.00
04/12/2019,4.50,TMT,4.83,4.83,4.50,12120.00
03/12/2019,4.79,TMT,4.86,4.86,4.50,2020.00
02/12/2019,4.55,TMT,5.20,5.20,4.55,12970.00
29/11/2019,4.89,TMT,5.22,5.22,4.87,11770.00
28/11/2019,5.22,TMT,5.00,5.22,4.93,7220.00
27/11/2019,5.30,TMT,5.00,5.30,5.00,1020.00
26/11/2019,5.30,TMT,5.05,5.30,5.05,20.00
25/11/2019,5.05,TMT,5.10,5.10,5.05,3130.00
22/11/2019,5.43,TMT,5.49,5.49,5.06,1770.00
21/11/2019,5.44,TMT,4.80,5.45,4.80,1960.00
20/11/2019,5.11,TMT,5.11,5.11,5.11,40.00
19/11/2019,5.30,TMT,5.23,5.64,5.23,1030.00
18/11/2019,5.49,TMT,5.67,5.67,5.49,750.00
15/11/2019,5.49,TMT,5.30,5.49,5.30,120.00
14/11/2019,5.17,TMT,5.20,5.21,5.17,2810.00
13/11/2019,5.20,TMT,5.15,5.20,5.15,40.00
12/11/2019,5.20,TMT,5.38,5.39,5.20,3550.00
11/11/2019,5.20,TMT,5.30,5.40,5.20,1420.00
08/11/2019,5.30,TMT,5.40,5.58,5.30,230.00
07/11/2019,5.56,TMT,5.30,5.58,5.20,1850.00
06/11/2019,5.58,TMT,5.58,5.58,5.58,10.00
05/11/2019,5.40,TMT,5.44,5.44,5.15,1900.00
04/11/2019,5.44,TMT,5.44,5.44,5.44,10.00
01/11/2019,5.39,TMT,5.40,5.40,5.00,680.00
31/10/2019,5.30,TMT,5.38,5.39,5.30,140.00
30/10/2019,5.30,TMT,5.85,5.85,5.30,330.00
29/10/2019,5.60,TMT,5.89,5.98,5.60,7530.00
28/10/2019,5.89,TMT,5.21,5.89,5.21,660.00
25/10/2019,5.52,TMT,5.85,5.85,5.51,5060.00
24/10/2019,5.83,TMT,5.84,5.84,5.50,5200.00
23/10/2019,5.85,TMT,5.51,5.85,5.48,2290.00
22/10/2019,5.89,TMT,5.88,5.90,5.88,220.00
21/10/2019,5.90,TMT,5.50,5.90,5.50,4190.00
18/10/2019,5.89,TMT,5.89,5.89,5.89,1500.00
17/10/2019,5.79,TMT,5.88,5.88,5.49,2050.00
16/10/2019,5.90,TMT,5.98,5.98,5.90,20.00
15/10/2019,5.90,TMT,5.55,5.90,5.54,700.00
14/10/2019,5.95,TMT,5.98,5.98,5.95,40.00
11/10/2019,5.77,TMT,5.25,5.77,5.20,2950.00
10/10/2019,5.56,TMT,5.20,5.56,5.20,4720.00
09/10/2019,5.20,TMT,5.20,5.20,5.20,30.00
08/10/2019,5.51,TMT,5.80,5.88,5.51,1250.00
07/10/2019,5.84,TMT,5.50,5.84,5.50,2030.00
04/10/2019,5.89,TMT,5.89,5.89,5.89,10.00
03/10/2019,5.84,TMT,5.89,5.89,5.60,1520.00
02/10/2019,5.58,TMT,5.60,5.88,5.50,2310.00
01/10/2019,5.89,TMT,5.89,5.89,5.89,0.00
30/09/2019,5.89,TMT,5.89,5.89,5.89,0.00
27/09/2019,5.89,TMT,5.89,5.89,5.89,0.00
26/09/2019,5.89,TMT,5.70,5.89,5.70,600.00
25/09/2019,6.00,TMT,6.00,6.00,6.00,10.00
24/09/2019,6.00,TMT,5.31,6.00,5.27,3470.00
23/09/2019,5.65,TMT,5.85,5.85,5.58,6330.00
20/09/2019,6.00,TMT,6.00,6.00,6.00,6890.00
19/09/2019,6.00,TMT,6.00,6.00,6.00,2780.00
18/09/2019,6.00,TMT,6.00,6.00,6.00,100.00
17/09/2019,6.00,TMT,6.00,6.00,6.00,0.00
16/09/2019,6.00,TMT,6.05,6.05,6.00,40.00
13/09/2019,5.80,TMT,5.99,6.00,5.80,1550.00
