DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,10.70,TNB,10.50,11.50,10.50,82900.00
10/01/2020,10.40,TNB,10.10,11.20,10.10,39050.00
09/01/2020,10.30,TNB,10.10,10.30,9.80,5100.00
08/01/2020,10.30,TNB,10.30,10.30,10.30,200.00
07/01/2020,9.00,TNB,10.30,10.30,9.00,5100.00
06/01/2020,9.50,TNB,10.10,10.10,9.50,21700.00
03/01/2020,10.50,TNB,10.50,10.50,10.00,13600.00
02/01/2020,10.50,TNB,10.00,10.50,10.00,1200.00
31/12/2019,11.10,TNB,11.10,11.10,11.10,5900.00
30/12/2019,11.00,TNB,11.00,11.00,11.00,0.00
27/12/2019,11.00,TNB,11.00,11.00,11.00,8000.00
26/12/2019,11.00,TNB,11.00,11.10,9.50,23300.00
25/12/2019,10.80,TNB,10.00,11.00,10.00,17400.00
24/12/2019,10.00,TNB,8.80,10.00,8.80,29800.00
23/12/2019,8.70,TNB,8.70,8.70,8.70,3700.00
20/12/2019,7.60,TNB,7.60,7.60,7.60,0.00
19/12/2019,8.50,TNB,8.70,8.90,7.50,20600.00
18/12/2019,8.70,TNB,9.00,9.70,8.60,27300.00
17/12/2019,9.00,TNB,8.50,9.00,8.30,18300.00
16/12/2019,9.00,TNB,9.00,9.00,8.20,3300.00
13/12/2019,8.10,TNB,9.30,9.30,8.10,3100.00
12/12/2019,8.40,TNB,8.00,8.40,8.00,5700.00
11/12/2019,7.80,TNB,7.80,7.80,7.80,4700.00
10/12/2019,6.70,TNB,7.00,7.00,6.70,26800.00
09/12/2019,6.10,TNB,8.10,8.10,6.10,10600.00
06/12/2019,7.50,TNB,7.00,7.50,6.70,500.00
05/12/2019,6.50,TNB,7.60,7.60,6.50,55500.00
04/12/2019,7.80,TNB,7.60,7.80,7.30,800.00
03/12/2019,7.00,TNB,8.10,8.10,7.00,7800.00
02/12/2019,8.00,TNB,8.00,8.00,8.00,0.00
29/11/2019,8.00,TNB,8.00,8.00,8.00,0.00
28/11/2019,8.00,TNB,8.00,8.00,8.00,0.00
27/11/2019,8.00,TNB,8.00,8.00,8.00,9002.00
26/11/2019,7.90,TNB,8.00,8.00,7.90,2000.00
25/11/2019,8.30,TNB,7.50,8.30,7.30,122700.00
22/11/2019,7.30,TNB,7.30,7.30,7.30,68.00
21/11/2019,7.30,TNB,7.30,7.30,7.30,100.00
20/11/2019,7.40,TNB,7.30,7.40,6.30,19100.00
19/11/2019,6.90,TNB,6.90,6.90,6.90,100.00
18/11/2019,7.40,TNB,7.40,7.40,7.40,4.00
15/11/2019,7.40,TNB,7.50,7.50,7.40,8300.00
14/11/2019,7.80,TNB,7.10,7.80,7.10,15045.00
13/11/2019,7.30,TNB,7.10,7.30,7.00,4000.00
12/11/2019,7.20,TNB,7.20,7.20,7.20,100.00
11/11/2019,7.00,TNB,7.00,7.00,7.00,0.00
08/11/2019,7.00,TNB,7.30,7.30,7.00,10400.00
07/11/2019,7.30,TNB,7.30,7.30,7.30,100.00
06/11/2019,7.00,TNB,7.00,7.00,7.00,0.00
05/11/2019,7.00,TNB,7.20,7.20,7.00,13300.00
04/11/2019,7.30,TNB,7.40,7.40,7.30,4000.00
01/11/2019,7.40,TNB,7.40,7.40,7.40,0.00
31/10/2019,7.40,TNB,7.40,7.40,7.40,300.00
30/10/2019,7.80,TNB,7.80,7.80,7.80,100.00
29/10/2019,7.40,TNB,7.30,7.40,7.30,3100.00
28/10/2019,7.70,TNB,7.70,7.70,7.70,606.00
25/10/2019,7.70,TNB,7.70,7.70,7.70,0.00
24/10/2019,7.70,TNB,7.60,7.70,7.60,400.00
23/10/2019,7.00,TNB,7.10,7.10,7.00,3000.00
22/10/2019,7.60,TNB,7.60,7.60,7.60,200.00
21/10/2019,7.00,TNB,7.10,7.10,6.50,9800.00
18/10/2019,7.20,TNB,7.20,7.20,7.20,800.00
17/10/2019,7.20,TNB,7.70,7.70,7.20,4600.00
16/10/2019,7.20,TNB,7.20,7.20,7.20,100.00
15/10/2019,7.20,TNB,7.60,7.60,7.20,500.00
14/10/2019,7.70,TNB,7.70,7.70,7.70,200.00
11/10/2019,7.30,TNB,7.70,7.80,7.30,24900.00
10/10/2019,7.20,TNB,7.20,7.20,7.20,100.00
09/10/2019,7.10,TNB,7.10,7.10,7.10,6000.00
08/10/2019,7.70,TNB,7.10,7.80,6.90,99600.00
