DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,10.10,TNI,10.15,10.35,10.10,659460.00
10/01/2020,10.15,TNI,10.25,10.25,10.05,733770.00
09/01/2020,10.20,TNI,10.15,10.35,10.05,687880.00
08/01/2020,10.15,TNI,10.20,10.25,10.10,336090.00
07/01/2020,10.20,TNI,10.05,10.25,9.98,702550.00
06/01/2020,10.00,TNI,10.50,10.50,9.90,1659940.00
03/01/2020,10.20,TNI,10.50,10.65,10.20,606700.00
02/01/2020,10.50,TNI,10.60,10.70,10.35,549000.00
31/12/2019,10.60,TNI,10.50,10.70,10.40,428850.00
30/12/2019,10.50,TNI,10.75,10.80,10.50,379710.00
27/12/2019,10.75,TNI,10.70,10.85,10.65,551020.00
26/12/2019,10.65,TNI,10.40,10.70,10.35,612230.00
25/12/2019,10.40,TNI,10.35,10.40,10.20,547200.00
24/12/2019,10.40,TNI,10.35,10.40,10.20,876550.00
23/12/2019,10.35,TNI,10.30,10.40,10.25,406350.00
20/12/2019,10.20,TNI,10.25,10.40,10.05,400000.00
19/12/2019,10.10,TNI,10.40,10.50,9.68,392460.00
18/12/2019,10.40,TNI,10.50,10.55,10.35,631500.00
17/12/2019,10.50,TNI,10.60,10.65,10.25,485490.00
16/12/2019,10.60,TNI,10.85,10.95,10.55,350610.00
13/12/2019,10.85,TNI,11.05,11.10,10.80,460040.00
12/12/2019,11.05,TNI,10.90,11.25,10.90,693660.00
11/12/2019,10.90,TNI,10.90,10.95,10.75,552460.00
10/12/2019,10.90,TNI,11.05,11.10,10.85,505940.00
09/12/2019,11.05,TNI,11.10,11.20,10.95,422780.00
06/12/2019,11.10,TNI,10.65,11.35,10.65,729270.00
05/12/2019,10.65,TNI,10.70,10.75,10.55,631820.00
04/12/2019,10.70,TNI,10.70,10.75,10.55,576460.00
03/12/2019,10.65,TNI,10.65,10.80,10.45,372770.00
02/12/2019,10.65,TNI,10.90,10.95,10.60,371660.00
29/11/2019,10.90,TNI,10.65,10.90,10.60,764510.00
28/11/2019,10.65,TNI,10.35,10.90,10.30,817270.00
27/11/2019,10.30,TNI,10.30,10.40,10.25,326760.00
26/11/2019,10.30,TNI,10.35,10.40,10.25,285120.00
25/11/2019,10.35,TNI,10.25,10.40,10.20,249960.00
22/11/2019,10.25,TNI,10.25,10.35,10.20,374980.00
21/11/2019,10.25,TNI,10.35,10.35,10.25,334990.00
20/11/2019,10.30,TNI,10.20,10.45,10.20,356920.00
19/11/2019,10.20,TNI,10.10,10.30,10.00,530980.00
18/11/2019,10.10,TNI,10.10,10.25,10.05,391190.00
15/11/2019,10.10,TNI,10.05,10.10,9.99,419430.00
14/11/2019,10.05,TNI,10.00,10.05,10.00,275280.00
13/11/2019,10.05,TNI,10.00,10.05,10.00,166820.00
12/11/2019,10.05,TNI,10.00,10.05,9.98,135050.00
11/11/2019,10.00,TNI,10.00,10.05,9.99,232930.00
08/11/2019,10.00,TNI,10.00,10.05,9.95,245280.00
07/11/2019,10.00,TNI,10.05,10.05,9.99,182500.00
06/11/2019,10.05,TNI,10.05,10.05,9.99,790390.00
05/11/2019,10.05,TNI,10.05,10.10,9.99,150810.00
04/11/2019,10.05,TNI,10.10,10.15,9.99,152940.00
01/11/2019,10.10,TNI,10.05,10.10,10.00,161410.00
31/10/2019,10.05,TNI,10.05,10.10,10.05,217590.00
30/10/2019,10.05,TNI,10.05,10.05,9.99,181330.00
29/10/2019,10.05,TNI,10.10,10.15,9.99,280160.00
28/10/2019,10.10,TNI,10.05,10.10,10.00,187150.00
25/10/2019,10.05,TNI,10.00,10.10,9.99,224100.00
24/10/2019,10.00,TNI,10.00,10.05,9.94,189820.00
23/10/2019,10.00,TNI,10.00,10.10,9.48,339530.00
22/10/2019,10.00,TNI,9.99,10.05,9.95,163580.00
21/10/2019,9.99,TNI,10.15,10.15,9.95,381990.00
