DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,10.00,TPP,10.00,10.00,10.00,0.00
10/01/2020,10.00,TPP,9.40,10.00,9.20,8216.00
09/01/2020,9.80,TPP,9.80,9.80,9.80,100.00
08/01/2020,9.90,TPP,9.90,9.90,9.90,200.00
07/01/2020,9.40,TPP,9.40,9.40,9.40,500.00
06/01/2020,9.90,TPP,9.90,9.90,9.90,100.00
03/01/2020,9.90,TPP,9.90,9.90,9.90,2000.00
02/01/2020,10.00,TPP,9.40,10.00,9.40,2400.00
31/12/2019,10.40,TPP,10.40,10.40,10.40,610.00
30/12/2019,10.00,TPP,9.40,10.00,9.40,2111.00
27/12/2019,10.00,TPP,9.30,10.00,9.30,1600.00
26/12/2019,9.90,TPP,9.90,9.90,9.90,0.00
25/12/2019,9.90,TPP,9.90,9.90,9.90,0.00
24/12/2019,9.90,TPP,9.90,9.90,9.90,85.00
23/12/2019,9.90,TPP,9.90,9.90,9.90,0.00
20/12/2019,9.90,TPP,9.90,9.90,9.90,0.00
19/12/2019,9.90,TPP,9.90,9.90,9.90,800.00
18/12/2019,9.90,TPP,9.90,9.90,9.90,600.00
17/12/2019,9.90,TPP,9.90,9.90,9.90,1600.00
16/12/2019,9.90,TPP,9.90,9.90,9.90,0.00
13/12/2019,9.90,TPP,9.90,9.90,9.90,500.00
12/12/2019,9.70,TPP,9.70,9.70,9.70,500.00
11/12/2019,9.70,TPP,9.70,9.70,9.70,1000.00
10/12/2019,9.70,TPP,9.70,9.70,9.70,400.00
09/12/2019,9.70,TPP,9.70,9.70,9.70,0.00
06/12/2019,9.70,TPP,9.70,9.70,9.70,5000.00
05/12/2019,9.70,TPP,9.70,9.70,9.70,7000.00
04/12/2019,9.80,TPP,9.80,9.80,9.80,0.00
03/12/2019,9.80,TPP,9.80,9.80,9.80,1600.00
02/12/2019,9.80,TPP,9.40,9.80,9.10,14600.00
29/11/2019,10.00,TPP,10.00,10.00,10.00,100.00
