DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,58.20,TRA,58.30,58.30,58.20,1200.00
10/01/2020,59.00,TRA,57.90,59.00,57.90,1850.00
09/01/2020,60.30,TRA,57.70,60.30,57.70,640.00
08/01/2020,60.40,TRA,59.50,60.40,57.00,2710.00
07/01/2020,59.00,TRA,58.80,60.90,58.80,370.00
06/01/2020,59.00,TRA,58.80,59.00,58.80,760.00
03/01/2020,60.80,TRA,60.80,61.00,59.50,1550.00
02/01/2020,60.00,TRA,60.00,60.00,60.00,30.00
31/12/2019,60.50,TRA,58.20,61.00,58.20,6810.00
30/12/2019,60.90,TRA,60.90,60.90,60.90,2000.00
27/12/2019,60.90,TRA,60.10,60.90,60.00,560.00
26/12/2019,60.00,TRA,61.00,61.00,60.00,380.00
25/12/2019,60.00,TRA,59.90,60.50,59.50,13510.00
24/12/2019,61.00,TRA,61.00,61.00,61.00,10.00
23/12/2019,61.00,TRA,61.00,61.00,60.00,1420.00
20/12/2019,60.00,TRA,59.20,60.00,59.20,4080.00
19/12/2019,59.10,TRA,61.00,61.00,59.10,560.00
18/12/2019,61.00,TRA,61.60,61.60,61.00,7570.00
17/12/2019,61.60,TRA,60.50,62.80,60.50,10110.00
16/12/2019,60.50,TRA,60.00,62.00,60.00,300.00
13/12/2019,61.00,TRA,61.00,61.00,61.00,500.00
12/12/2019,61.00,TRA,62.80,62.80,60.00,5990.00
11/12/2019,60.00,TRA,60.00,60.00,59.50,3840.00
10/12/2019,62.00,TRA,62.00,62.00,62.00,0.00
09/12/2019,62.00,TRA,60.00,62.00,60.00,450.00
06/12/2019,60.50,TRA,57.90,61.00,57.90,3020.00
05/12/2019,61.00,TRA,57.70,62.90,57.70,1460.00
04/12/2019,61.00,TRA,62.90,62.90,61.00,3010.00
03/12/2019,61.00,TRA,60.00,62.90,60.00,27090.00
02/12/2019,62.00,TRA,59.00,62.00,59.00,160.00
29/11/2019,60.00,TRA,61.00,60.00,59.90,15000.00
28/11/2019,61.00,TRA,61.00,61.00,61.00,0.00
27/11/2019,61.00,TRA,60.90,62.00,60.30,62060.00
26/11/2019,59.80,TRA,58.50,59.90,58.50,2700.00
25/11/2019,58.50,TRA,57.80,59.00,57.80,1730.00
22/11/2019,57.80,TRA,57.60,57.80,57.60,230.00
21/11/2019,54.10,TRA,58.00,58.00,54.10,6810.00
20/11/2019,57.80,TRA,57.10,58.00,57.10,9370.00
19/11/2019,57.50,TRA,59.80,59.80,57.00,5790.00
18/11/2019,58.00,TRA,58.10,58.10,58.00,1990.00
15/11/2019,58.00,TRA,58.00,58.10,58.00,3970.00
14/11/2019,58.00,TRA,57.70,58.00,57.70,4270.00
13/11/2019,57.70,TRA,57.80,58.00,57.70,7090.00
12/11/2019,57.70,TRA,57.60,58.00,57.60,8630.00
11/11/2019,57.60,TRA,57.50,58.00,57.00,1400.00
08/11/2019,57.50,TRA,57.40,57.50,56.20,3660.00
07/11/2019,57.80,TRA,58.30,58.30,56.70,230.00
06/11/2019,56.50,TRA,55.20,58.90,55.20,5560.00
05/11/2019,58.90,TRA,59.00,59.00,58.60,2730.00
04/11/2019,59.00,TRA,59.00,59.00,59.00,2080.00
01/11/2019,59.00,TRA,60.00,60.00,59.00,2480.00
31/10/2019,59.00,TRA,59.00,60.00,59.00,1120.00
30/10/2019,60.00,TRA,59.00,60.00,59.00,5270.00
29/10/2019,59.00,TRA,59.50,59.50,59.00,32850.00
28/10/2019,59.50,TRA,59.90,59.90,59.50,5740.00
25/10/2019,59.50,TRA,60.00,60.00,59.50,2120.00
24/10/2019,60.00,TRA,59.00,60.00,59.00,1200.00
23/10/2019,59.00,TRA,59.00,60.00,59.00,2610.00
22/10/2019,59.00,TRA,59.00,59.00,59.00,850.00
21/10/2019,60.00,TRA,60.90,60.90,58.70,860.00
18/10/2019,60.00,TRA,59.00,60.40,58.70,2510.00
17/10/2019,59.00,TRA,59.00,59.00,59.00,30.00
16/10/2019,59.00,TRA,62.40,62.40,59.00,40.00
15/10/2019,58.70,TRA,59.00,59.00,58.60,1750.00
14/10/2019,60.20,TRA,60.00,60.20,59.00,8360.00
11/10/2019,60.40,TRA,60.00,60.40,59.00,2030.00
10/10/2019,60.00,TRA,60.20,60.20,60.00,340.00
09/10/2019,60.20,TRA,60.00,60.90,60.00,2140.00
08/10/2019,60.20,TRA,59.10,60.20,59.00,6920.00
07/10/2019,59.00,TRA,59.10,61.80,59.00,19320.00
04/10/2019,59.00,TRA,59.00,59.00,59.00,2830.00
03/10/2019,59.00,TRA,62.50,62.60,59.00,17640.00
02/10/2019,60.00,TRA,60.10,60.10,59.00,21090.00
01/10/2019,60.00,TRA,62.60,62.60,60.00,57630.00
30/09/2019,62.60,TRA,63.90,63.90,62.60,21690.00
27/09/2019,64.00,TRA,63.00,64.00,63.00,11000.00
26/09/2019,64.00,TRA,64.00,64.00,64.00,2200.00
25/09/2019,64.00,TRA,64.00,64.00,64.00,2360.00
24/09/2019,64.00,TRA,64.20,64.20,64.00,12140.00
23/09/2019,64.50,TRA,65.00,65.00,64.50,2050.00
20/09/2019,64.20,TRA,64.30,65.00,64.20,2010.00
19/09/2019,64.90,TRA,64.20,64.90,64.20,650.00
18/09/2019,64.20,TRA,63.50,64.20,63.50,800.00
17/09/2019,64.20,TRA,63.90,64.20,63.90,320.00
16/09/2019,63.00,TRA,62.60,63.00,62.60,1450.00
13/09/2019,62.60,TRA,62.60,63.00,62.60,70.00
12/09/2019,63.00,TRA,63.00,63.00,63.00,350.00
11/09/2019,63.10,TRA,63.10,63.10,63.10,440.00
10/09/2019,63.80,TRA,62.60,63.80,62.60,210.00
09/09/2019,62.60,TRA,62.60,62.60,62.60,0.00
06/09/2019,62.60,TRA,63.00,63.00,62.60,730.00
05/09/2019,62.60,TRA,62.10,63.30,62.10,1890.00
04/09/2019,62.70,TRA,63.40,63.40,62.70,1400.00
03/09/2019,63.30,TRA,64.10,64.10,63.30,520.00
30/08/2019,63.30,TRA,63.50,63.50,63.30,130.00
29/08/2019,63.30,TRA,62.50,63.30,62.50,310.00
28/08/2019,64.00,TRA,64.40,64.40,63.50,1090.00
27/08/2019,64.40,TRA,63.50,65.00,61.50,3720.00
26/08/2019,63.50,TRA,61.30,65.10,61.30,510.00
23/08/2019,65.30,TRA,65.30,65.30,65.30,10.00
22/08/2019,64.00,TRA,64.00,64.50,64.00,5350.00
21/08/2019,64.10,TRA,64.10,65.00,64.10,400.00
20/08/2019,64.10,TRA,64.10,64.10,64.10,160.00
19/08/2019,64.00,TRA,64.10,64.50,64.00,1500.00
16/08/2019,64.20,TRA,64.10,64.50,64.10,1070.00
15/08/2019,64.50,TRA,64.00,64.50,64.00,620.00
14/08/2019,64.50,TRA,65.50,65.50,64.00,640.00
13/08/2019,63.80,TRA,64.50,64.50,63.60,1900.00
12/08/2019,65.00,TRA,65.50,65.50,64.50,620.00
09/08/2019,64.60,TRA,65.90,65.90,64.50,1400.00
08/08/2019,64.90,TRA,64.10,64.90,64.00,1510.00
07/08/2019,64.10,TRA,64.00,65.00,64.00,5220.00
06/08/2019,64.00,TRA,65.00,65.00,63.50,770.00
05/08/2019,65.00,TRA,64.00,65.00,63.50,3160.00
02/08/2019,64.00,TRA,66.80,66.80,64.00,7550.00
01/08/2019,64.00,TRA,66.40,66.40,64.00,13360.00
31/07/2019,66.50,TRA,67.10,67.10,66.50,3960.00
30/07/2019,66.50,TRA,66.00,66.50,66.00,260.00
29/07/2019,67.10,TRA,66.30,67.10,66.30,5900.00
26/07/2019,67.10,TRA,67.10,67.10,67.10,780.00
25/07/2019,67.10,TRA,67.10,67.10,67.10,510.00
24/07/2019,67.10,TRA,65.30,67.50,65.30,2080.00
23/07/2019,67.00,TRA,67.00,67.50,67.00,2950.00
22/07/2019,66.50,TRA,66.50,67.50,66.50,1180.00
19/07/2019,66.50,TRA,67.00,67.00,66.50,1590.00
