DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,30.70,TRC,31.00,32.75,30.70,316060.00
10/01/2020,32.95,TRC,32.95,32.95,32.95,0.00
09/01/2020,32.95,TRC,33.00,33.00,32.95,2100.00
08/01/2020,32.90,TRC,31.00,32.90,31.00,580.00
07/01/2020,32.95,TRC,32.95,32.95,32.95,0.00
06/01/2020,32.95,TRC,32.50,32.95,32.50,20.00
03/01/2020,31.90,TRC,33.00,33.00,31.70,22400.00
02/01/2020,31.40,TRC,31.00,32.95,31.00,8610.00
31/12/2019,32.80,TRC,35.20,36.00,32.75,16860.00
30/12/2019,35.20,TRC,37.00,37.00,35.20,2100.00
27/12/2019,37.00,TRC,37.50,37.50,35.00,11570.00
26/12/2019,37.05,TRC,37.50,37.50,36.50,36340.00
25/12/2019,37.10,TRC,36.55,37.15,36.55,234990.00
24/12/2019,37.10,TRC,38.50,38.50,37.00,4680.00
23/12/2019,39.75,TRC,38.65,39.75,38.65,790.00
20/12/2019,39.90,TRC,39.80,40.00,38.55,1970.00
19/12/2019,39.85,TRC,38.70,40.00,38.70,3250.00
18/12/2019,38.70,TRC,37.70,40.00,37.70,28180.00
17/12/2019,38.00,TRC,39.00,39.00,38.00,9970.00
16/12/2019,40.00,TRC,40.00,40.80,40.00,970.00
13/12/2019,40.90,TRC,39.00,41.00,39.00,9930.00
12/12/2019,40.90,TRC,41.20,41.20,40.35,11400.00
11/12/2019,41.00,TRC,39.00,41.00,38.40,9910.00
10/12/2019,41.15,TRC,41.90,42.00,39.20,28740.00
09/12/2019,42.00,TRC,41.50,42.00,41.30,14410.00
06/12/2019,41.25,TRC,42.00,42.00,41.25,6980.00
05/12/2019,42.00,TRC,41.00,43.30,41.00,37120.00
04/12/2019,40.50,TRC,39.00,40.80,39.00,53920.00
03/12/2019,38.80,TRC,38.50,38.80,38.50,2980.00
02/12/2019,38.50,TRC,38.00,38.90,36.45,44540.00
29/11/2019,38.85,TRC,38.05,38.85,38.85,10.00
28/11/2019,38.05,TRC,38.05,38.90,38.05,7100.00
27/11/2019,38.05,TRC,38.05,38.05,38.05,10.00
26/11/2019,38.05,TRC,38.00,39.00,38.00,15880.00
25/11/2019,39.00,TRC,39.50,39.50,38.50,6850.00
22/11/2019,39.50,TRC,38.60,39.50,38.60,59010.00
21/11/2019,39.50,TRC,39.00,39.50,39.00,520.00
20/11/2019,39.00,TRC,39.00,39.00,38.50,35000.00
19/11/2019,38.80,TRC,39.00,39.00,38.70,6370.00
18/11/2019,39.00,TRC,39.00,39.00,39.00,0.00
15/11/2019,39.00,TRC,38.95,39.00,38.10,16510.00
14/11/2019,39.00,TRC,39.00,39.30,38.50,5530.00
13/11/2019,39.00,TRC,39.00,39.00,39.00,8290.00
12/11/2019,39.00,TRC,38.00,39.00,38.00,8060.00
11/11/2019,38.00,TRC,38.00,38.00,38.00,3120.00
08/11/2019,38.20,TRC,38.20,38.20,38.20,5600.00
07/11/2019,38.15,TRC,38.15,38.15,38.15,2000.00
06/11/2019,38.40,TRC,38.40,38.40,38.40,0.00
05/11/2019,38.40,TRC,38.50,39.50,38.30,32370.00
04/11/2019,39.20,TRC,39.20,39.20,39.20,20.00
01/11/2019,39.00,TRC,38.60,39.30,38.25,18920.00
31/10/2019,39.40,TRC,38.50,39.40,38.25,20640.00
30/10/2019,39.50,TRC,39.90,40.20,38.80,7550.00
29/10/2019,39.50,TRC,38.50,39.50,38.50,44560.00
28/10/2019,38.30,TRC,38.35,38.40,38.30,3010.00
25/10/2019,39.00,TRC,38.30,39.00,38.30,4110.00
24/10/2019,39.00,TRC,39.00,39.30,39.00,630.00
23/10/2019,38.50,TRC,37.75,39.00,37.70,15150.00
22/10/2019,38.05,TRC,39.00,39.00,38.05,320.00
21/10/2019,38.80,TRC,38.90,38.95,38.20,17990.00
18/10/2019,38.95,TRC,38.20,39.00,38.20,3650.00
17/10/2019,38.20,TRC,39.00,40.00,38.20,53110.00
16/10/2019,39.00,TRC,38.90,39.00,38.50,15450.00
15/10/2019,38.90,TRC,38.00,39.00,38.00,53100.00
14/10/2019,38.30,TRC,38.20,39.00,38.20,18920.00
11/10/2019,38.30,TRC,37.20,38.30,37.20,5810.00
10/10/2019,38.40,TRC,38.40,38.40,38.40,0.00
09/10/2019,38.40,TRC,38.50,38.50,37.40,580.00
08/10/2019,38.00,TRC,37.90,38.00,37.90,27460.00
07/10/2019,38.00,TRC,38.00,38.00,37.00,6970.00
04/10/2019,37.90,TRC,38.00,38.50,37.55,41060.00
03/10/2019,37.50,TRC,38.50,38.50,37.50,820.00
02/10/2019,38.00,TRC,37.90,38.50,37.90,41170.00
01/10/2019,38.00,TRC,37.40,38.00,36.00,6380.00
30/09/2019,37.00,TRC,38.00,38.00,37.00,2830.00
27/09/2019,37.00,TRC,36.85,37.50,36.80,30000.00
26/09/2019,36.45,TRC,36.05,36.45,36.00,9450.00
25/09/2019,36.30,TRC,35.50,36.60,35.50,20100.00
24/09/2019,35.90,TRC,33.60,35.90,33.50,58070.00
23/09/2019,35.30,TRC,35.00,35.30,35.00,1610.00
20/09/2019,35.35,TRC,35.35,35.35,35.35,10.00
19/09/2019,35.45,TRC,35.30,35.50,35.05,7810.00
18/09/2019,35.35,TRC,34.80,35.50,34.60,1730.00
17/09/2019,35.65,TRC,35.35,35.70,35.00,191540.00
16/09/2019,35.70,TRC,35.30,35.80,35.00,5940.00
13/09/2019,35.90,TRC,35.50,36.50,35.50,252040.00
12/09/2019,35.00,TRC,35.00,36.00,34.10,61520.00
11/09/2019,34.40,TRC,35.00,35.60,33.90,47530.00
10/09/2019,34.50,TRC,34.00,35.85,34.00,68230.00
09/09/2019,35.00,TRC,35.70,37.50,34.50,80940.00
06/09/2019,35.70,TRC,36.50,36.50,35.00,40200.00
05/09/2019,35.00,TRC,36.90,36.90,35.00,332740.00
04/09/2019,36.00,TRC,36.50,37.00,34.15,223440.00
03/09/2019,36.70,TRC,37.40,37.75,36.35,8300.00
30/08/2019,36.80,TRC,37.50,37.85,36.15,36190.00
29/08/2019,36.40,TRC,36.10,38.00,36.10,63280.00
28/08/2019,36.10,TRC,36.45,37.70,35.50,53000.00
27/08/2019,36.75,TRC,36.80,37.20,36.60,46460.00
26/08/2019,36.90,TRC,38.25,38.25,36.90,19890.00
23/08/2019,38.00,TRC,38.50,38.50,37.70,31090.00
22/08/2019,38.60,TRC,38.80,39.90,38.50,21120.00
21/08/2019,38.30,TRC,38.80,39.00,38.20,17490.00
20/08/2019,38.20,TRC,39.00,39.00,38.05,23870.00
19/08/2019,38.60,TRC,38.60,39.10,38.00,51960.00
16/08/2019,38.55,TRC,38.25,38.70,38.00,62820.00
15/08/2019,38.25,TRC,36.30,38.40,36.20,59390.00
14/08/2019,38.00,TRC,38.00,39.00,37.55,136660.00
13/08/2019,38.65,TRC,39.20,39.90,37.20,186290.00
12/08/2019,40.00,TRC,41.35,41.95,39.40,75040.00
09/08/2019,41.35,TRC,40.50,42.45,40.50,32370.00
08/08/2019,41.75,TRC,41.50,42.20,40.00,69470.00
07/08/2019,40.50,TRC,41.05,42.00,39.20,139410.00
06/08/2019,41.05,TRC,41.60,44.40,40.90,226170.00
05/08/2019,41.60,TRC,40.80,41.60,40.10,73080.00
02/08/2019,39.15,TRC,36.60,39.15,36.40,182980.00
01/08/2019,36.60,TRC,33.05,36.70,33.05,104940.00
31/07/2019,34.30,TRC,32.30,34.50,32.25,111860.00
30/07/2019,32.30,TRC,32.50,32.50,32.20,6780.00
29/07/2019,32.50,TRC,32.00,32.50,32.00,61290.00
26/07/2019,32.20,TRC,31.80,32.20,31.80,18180.00
25/07/2019,32.10,TRC,32.00,32.10,31.80,51520.00
24/07/2019,32.10,TRC,31.30,32.30,31.30,60510.00
23/07/2019,32.00,TRC,31.20,32.20,31.20,97030.00
22/07/2019,31.20,TRC,31.80,31.80,31.20,62580.00
19/07/2019,31.75,TRC,32.30,32.30,31.70,36840.00
18/07/2019,31.65,TRC,31.30,32.00,30.90,84000.00
17/07/2019,31.10,TRC,31.00,31.10,31.00,19090.00
16/07/2019,31.10,TRC,31.00,31.10,30.70,41720.00
15/07/2019,31.00,TRC,30.50,31.30,30.50,82070.00
12/07/2019,30.90,TRC,31.20,31.20,30.50,26490.00
11/07/2019,31.00,TRC,31.10,31.60,31.00,18110.00
10/07/2019,31.00,TRC,31.00,32.00,31.00,31840.00
09/07/2019,31.00,TRC,30.20,31.50,30.20,50760.00
08/07/2019,30.70,TRC,30.80,30.80,30.40,13180.00
05/07/2019,31.00,TRC,31.00,31.05,30.80,26660.00
04/07/2019,31.05,TRC,30.10,31.60,30.05,94260.00
03/07/2019,30.05,TRC,30.60,30.60,30.05,25860.00
02/07/2019,30.50,TRC,30.55,32.00,30.50,127010.00
01/07/2019,30.10,TRC,30.85,30.85,29.35,16790.00
28/06/2019,30.30,TRC,31.00,31.00,29.85,17090.00
27/06/2019,30.10,TRC,30.30,30.30,29.40,70990.00
26/06/2019,30.30,TRC,30.20,30.40,29.50,47750.00
25/06/2019,30.20,TRC,31.30,31.30,29.90,17950.00
24/06/2019,31.00,TRC,30.60,31.20,30.35,55310.00
21/06/2019,30.60,TRC,31.00,31.00,30.30,41320.00
20/06/2019,30.60,TRC,30.00,30.75,30.00,69490.00
19/06/2019,29.80,TRC,28.95,29.80,28.90,80950.00
18/06/2019,28.65,TRC,28.60,29.00,28.50,54280.00
17/06/2019,28.60,TRC,28.15,28.90,28.15,21330.00
14/06/2019,28.60,TRC,28.60,28.80,27.70,47140.00
13/06/2019,28.60,TRC,28.40,29.15,28.30,55400.00
12/06/2019,28.40,TRC,28.00,28.60,28.00,26140.00
11/06/2019,28.40,TRC,27.00,28.40,27.00,329260.00
10/06/2019,27.00,TRC,27.20,27.70,27.00,62110.00
07/06/2019,27.20,TRC,27.90,27.90,27.00,22780.00
06/06/2019,27.00,TRC,25.50,27.00,25.40,58860.00
05/06/2019,25.25,TRC,25.20,25.60,25.20,12760.00
04/06/2019,25.20,TRC,25.20,25.30,25.20,5610.00
03/06/2019,25.20,TRC,25.80,26.10,25.20,35480.00
31/05/2019,25.80,TRC,26.50,26.50,25.80,10370.00
30/05/2019,26.50,TRC,27.05,27.10,26.50,109830.00
29/05/2019,27.50,TRC,28.00,28.20,27.50,12690.00
28/05/2019,28.00,TRC,27.00,28.00,26.80,76070.00
27/05/2019,26.80,TRC,25.70,27.00,25.40,107720.00
24/05/2019,25.70,TRC,25.00,26.00,25.00,114520.00
23/05/2019,25.00,TRC,25.10,25.30,25.00,36600.00
22/05/2019,25.10,TRC,25.90,26.00,24.05,208330.00
21/05/2019,25.40,TRC,25.10,25.40,25.10,48980.00
20/05/2019,25.00,TRC,25.00,25.60,25.00,12550.00
17/05/2019,24.90,TRC,25.45,25.45,24.00,223420.00
16/05/2019,24.95,TRC,24.80,25.10,24.80,27430.00
15/05/2019,24.70,TRC,25.10,25.10,24.70,157950.00
14/05/2019,24.80,TRC,24.65,25.30,24.65,24120.00
13/05/2019,24.65,TRC,25.00,25.00,24.00,90170.00
10/05/2019,24.65,TRC,24.55,25.50,24.55,34430.00
09/05/2019,24.55,TRC,25.00,25.00,24.55,32310.00
08/05/2019,24.90,TRC,24.70,25.00,24.50,13200.00
07/05/2019,24.70,TRC,25.40,25.40,24.00,85030.00
06/05/2019,24.80,TRC,25.00,25.00,24.80,63880.00
03/05/2019,25.00,TRC,25.00,25.20,25.00,9210.00
02/05/2019,25.00,TRC,25.00,26.00,25.00,46090.00
26/04/2019,25.00,TRC,25.00,25.60,24.10,51430.00
25/04/2019,25.00,TRC,25.00,26.30,25.00,17330.00
24/04/2019,25.00,TRC,25.00,25.20,24.00,108280.00
