DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,11.90,TTC,11.90,11.90,11.90,200.00
10/01/2020,13.40,TTC,13.40,13.40,13.40,0.00
09/01/2020,13.40,TTC,13.40,13.40,13.40,0.00
08/01/2020,13.40,TTC,13.40,13.40,13.40,0.00
07/01/2020,13.40,TTC,13.00,13.40,13.00,861.00
06/01/2020,13.40,TTC,13.00,13.40,13.00,1200.00
03/01/2020,13.40,TTC,13.40,13.50,13.40,2000.00
02/01/2020,13.40,TTC,13.40,13.40,13.40,1205.00
31/12/2019,13.40,TTC,13.40,13.50,13.00,3400.00
30/12/2019,13.50,TTC,13.50,13.50,13.20,2530.00
27/12/2019,13.50,TTC,13.50,13.50,13.50,61.00
26/12/2019,13.50,TTC,13.50,13.50,13.50,1000.00
25/12/2019,13.10,TTC,13.10,13.10,13.10,0.00
24/12/2019,13.10,TTC,13.10,13.10,13.10,0.00
23/12/2019,13.10,TTC,13.10,13.10,13.10,500.00
20/12/2019,14.50,TTC,14.50,14.50,14.50,0.00
19/12/2019,14.50,TTC,13.50,14.50,13.50,500.00
18/12/2019,13.50,TTC,12.90,13.50,12.90,390.00
17/12/2019,12.30,TTC,12.30,12.30,12.30,0.00
16/12/2019,12.30,TTC,12.30,12.30,12.30,77.00
13/12/2019,12.30,TTC,12.30,12.30,12.30,200.00
12/12/2019,12.30,TTC,12.30,12.30,12.30,0.00
11/12/2019,12.30,TTC,12.30,12.30,12.30,0.00
10/12/2019,12.30,TTC,12.30,12.30,12.30,0.00
09/12/2019,12.30,TTC,12.30,12.30,12.30,0.00
06/12/2019,12.30,TTC,12.30,12.30,12.30,0.00
05/12/2019,12.30,TTC,12.30,12.30,12.30,90.00
04/12/2019,12.30,TTC,12.30,12.30,12.30,10.00
03/12/2019,12.30,TTC,12.30,12.30,12.30,0.00
02/12/2019,12.30,TTC,12.30,12.30,12.30,0.00
29/11/2019,12.30,TTC,12.30,12.30,12.30,0.00
28/11/2019,12.30,TTC,12.70,12.70,12.30,5000.00
27/11/2019,12.70,TTC,12.70,12.70,12.70,0.00
26/11/2019,12.70,TTC,12.70,12.70,12.70,0.00
25/11/2019,12.70,TTC,12.10,12.70,11.50,8600.00
22/11/2019,12.70,TTC,12.70,12.70,12.70,0.00
21/11/2019,12.70,TTC,12.70,12.70,12.70,0.00
20/11/2019,12.70,TTC,12.70,12.70,12.70,0.00
19/11/2019,12.70,TTC,12.70,12.70,12.70,1400.00
18/11/2019,12.70,TTC,12.70,12.70,12.70,0.00
15/11/2019,12.70,TTC,12.70,12.70,12.70,0.00
14/11/2019,12.70,TTC,12.70,12.70,12.70,0.00
13/11/2019,12.70,TTC,12.70,12.70,12.70,0.00
12/11/2019,12.70,TTC,12.70,12.70,12.70,30.00
11/11/2019,12.70,TTC,12.70,12.70,12.70,0.00
08/11/2019,12.70,TTC,12.70,12.70,12.70,0.00
07/11/2019,12.70,TTC,12.70,12.70,12.70,0.00
06/11/2019,12.70,TTC,12.70,12.70,12.70,0.00
05/11/2019,12.70,TTC,12.70,12.70,12.70,0.00
04/11/2019,12.70,TTC,12.50,12.70,12.50,500.00
01/11/2019,12.70,TTC,12.70,12.70,12.70,0.00
31/10/2019,12.70,TTC,12.70,12.70,12.70,0.00
30/10/2019,12.70,TTC,12.70,12.70,12.70,0.00
29/10/2019,12.70,TTC,12.70,12.70,12.70,0.00
28/10/2019,12.70,TTC,12.70,12.70,12.70,0.00
25/10/2019,12.70,TTC,12.70,12.70,12.70,0.00
24/10/2019,12.70,TTC,12.70,12.70,12.70,0.00
23/10/2019,12.70,TTC,12.70,12.70,12.70,0.00
22/10/2019,12.70,TTC,12.70,12.70,12.70,0.00
21/10/2019,12.70,TTC,12.70,12.70,12.70,0.00
18/10/2019,12.70,TTC,12.70,12.70,12.70,0.00
17/10/2019,12.70,TTC,12.70,12.70,12.70,0.00
16/10/2019,12.70,TTC,12.70,12.70,12.70,0.00
15/10/2019,12.70,TTC,12.70,12.70,12.70,0.00
14/10/2019,12.70,TTC,12.70,12.70,12.70,0.00
11/10/2019,12.70,TTC,12.70,12.70,12.70,2500.00
10/10/2019,12.50,TTC,12.50,12.50,12.50,0.00
09/10/2019,12.50,TTC,12.50,12.50,12.50,0.00
08/10/2019,12.50,TTC,12.50,12.50,12.50,0.00
07/10/2019,12.50,TTC,12.50,12.50,12.50,100.00
04/10/2019,12.50,TTC,12.50,12.70,12.50,1900.00
03/10/2019,12.50,TTC,12.50,12.50,12.50,0.00
02/10/2019,12.50,TTC,12.50,12.50,12.50,200.00
01/10/2019,12.50,TTC,12.50,12.50,12.50,0.00
30/09/2019,12.50,TTC,12.50,12.50,12.50,0.00
27/09/2019,12.50,TTC,12.50,12.50,12.50,0.00
26/09/2019,12.50,TTC,12.50,12.50,12.50,0.00
25/09/2019,12.50,TTC,12.50,12.50,12.50,500.00
24/09/2019,12.50,TTC,12.50,12.50,12.50,500.00
23/09/2019,12.50,TTC,12.50,12.50,12.50,0.00
20/09/2019,12.50,TTC,12.50,12.50,12.50,105.00
19/09/2019,12.60,TTC,12.60,12.60,12.60,100.00
18/09/2019,12.70,TTC,12.70,12.70,12.70,0.00
17/09/2019,12.70,TTC,12.30,12.70,12.10,13900.00
16/09/2019,12.70,TTC,12.20,12.70,12.20,300.00
13/09/2019,12.80,TTC,12.80,12.80,12.80,15.00
12/09/2019,12.80,TTC,12.80,12.80,12.80,0.00
11/09/2019,12.80,TTC,12.80,12.80,12.80,0.00
10/09/2019,12.80,TTC,12.80,12.80,12.80,0.00
09/09/2019,12.80,TTC,12.80,12.80,12.80,1.00
06/09/2019,12.80,TTC,12.40,12.80,12.10,7300.00
05/09/2019,12.50,TTC,12.50,12.50,12.50,0.00
04/09/2019,12.50,TTC,12.50,12.50,12.50,0.00
03/09/2019,12.50,TTC,12.50,12.50,12.50,100.00
30/08/2019,12.50,TTC,12.50,12.50,12.50,0.00
29/08/2019,12.50,TTC,12.50,12.50,12.50,0.00
28/08/2019,12.50,TTC,12.60,13.00,12.50,3566.00
27/08/2019,13.00,TTC,13.00,13.00,13.00,0.00
26/08/2019,13.00,TTC,12.70,13.00,12.50,4300.00
23/08/2019,12.80,TTC,12.80,12.80,12.80,400.00
22/08/2019,12.80,TTC,12.80,12.80,12.80,100.00
21/08/2019,12.30,TTC,12.30,12.30,12.30,700.00
20/08/2019,12.80,TTC,12.80,12.80,12.80,0.00
19/08/2019,12.80,TTC,12.80,12.80,12.80,0.00
16/08/2019,12.80,TTC,12.30,12.80,12.30,2400.00
15/08/2019,12.30,TTC,12.50,12.50,12.30,3900.00
14/08/2019,13.00,TTC,13.00,13.00,13.00,0.00
13/08/2019,13.00,TTC,13.00,13.00,13.00,2000.00
12/08/2019,12.70,TTC,12.70,12.70,12.70,800.00
09/08/2019,12.80,TTC,12.60,12.80,12.50,9600.00
08/08/2019,12.60,TTC,12.60,12.60,12.60,3206.00
07/08/2019,12.60,TTC,12.60,12.60,12.60,21660.00
06/08/2019,13.10,TTC,13.10,13.10,13.10,0.00
05/08/2019,13.10,TTC,13.10,13.10,13.10,100.00
02/08/2019,12.70,TTC,12.70,13.20,12.00,8700.00
01/08/2019,13.10,TTC,13.10,13.10,13.10,0.00
31/07/2019,13.10,TTC,13.10,13.10,13.10,0.00
30/07/2019,13.10,TTC,12.70,13.10,12.70,200.00
29/07/2019,13.20,TTC,12.70,13.20,12.70,1040.00
26/07/2019,13.40,TTC,13.40,13.40,13.40,0.00
25/07/2019,13.40,TTC,13.40,13.40,13.40,0.00
24/07/2019,13.40,TTC,13.80,13.80,12.60,15700.00
23/07/2019,13.80,TTC,12.80,13.80,12.70,2400.00
22/07/2019,13.00,TTC,13.00,13.00,13.00,0.00
19/07/2019,13.00,TTC,13.60,13.80,13.00,7000.00
18/07/2019,13.60,TTC,13.60,13.60,13.60,0.00
17/07/2019,13.60,TTC,13.60,13.60,13.60,100.00
16/07/2019,12.60,TTC,12.60,12.60,12.50,5210.00
15/07/2019,12.60,TTC,12.60,12.60,12.60,1500.00
12/07/2019,12.80,TTC,12.90,13.00,12.80,500.00
11/07/2019,13.00,TTC,12.80,13.00,12.80,400.00
10/07/2019,13.70,TTC,12.70,13.70,12.70,2300.00
09/07/2019,12.50,TTC,12.50,12.50,12.50,1200.00
08/07/2019,12.70,TTC,12.70,12.70,12.70,1500.00
05/07/2019,12.90,TTC,13.00,13.00,12.90,2200.00
04/07/2019,13.30,TTC,13.00,13.30,13.00,420.00
03/07/2019,13.30,TTC,13.30,13.30,13.30,0.00
02/07/2019,13.30,TTC,13.30,13.30,13.30,200.00
01/07/2019,12.50,TTC,12.50,12.50,12.50,0.00
28/06/2019,12.50,TTC,12.70,12.70,12.50,1710.00
27/06/2019,12.70,TTC,12.60,13.20,12.60,15200.00
26/06/2019,13.00,TTC,12.60,13.00,12.60,33500.00
25/06/2019,12.60,TTC,12.60,12.60,12.60,700.00
24/06/2019,14.00,TTC,12.80,14.00,12.80,3800.00
21/06/2019,12.90,TTC,12.30,12.90,12.30,6400.00
20/06/2019,13.00,TTC,13.00,13.00,13.00,903.00
19/06/2019,13.10,TTC,13.00,14.70,13.00,8000.00
18/06/2019,13.50,TTC,13.00,13.50,12.40,3700.00
17/06/2019,13.00,TTC,13.00,13.50,13.00,5800.00
14/06/2019,14.20,TTC,15.00,15.00,14.20,1400.00
13/06/2019,14.20,TTC,14.90,15.00,14.10,16900.00
12/06/2019,14.00,TTC,13.50,14.40,13.50,11220.00
11/06/2019,13.50,TTC,12.80,13.50,12.10,8100.00
10/06/2019,12.40,TTC,12.90,12.90,12.40,8100.00
07/06/2019,13.20,TTC,12.10,13.20,12.10,1300.00
06/06/2019,12.50,TTC,12.50,12.50,12.50,0.00
05/06/2019,12.50,TTC,12.50,12.60,12.50,1000.00
04/06/2019,12.10,TTC,12.50,12.70,12.10,38000.00
03/06/2019,12.70,TTC,12.70,12.70,12.70,0.00
31/05/2019,12.70,TTC,12.10,12.70,12.10,6200.00
30/05/2019,12.30,TTC,12.30,12.30,12.30,1000.00
29/05/2019,12.30,TTC,12.30,12.30,12.30,2000.00
28/05/2019,12.30,TTC,12.30,12.30,12.30,1000.00
27/05/2019,12.30,TTC,12.30,12.30,12.30,100.00
24/05/2019,12.30,TTC,12.40,12.40,12.30,10300.00
23/05/2019,12.90,TTC,12.90,12.90,12.90,100.00
22/05/2019,12.60,TTC,12.90,12.90,12.60,1200.00
21/05/2019,13.10,TTC,13.10,13.10,13.10,0.00
20/05/2019,13.10,TTC,13.10,13.10,13.10,200.00
17/05/2019,12.60,TTC,12.50,12.90,12.50,1300.00
16/05/2019,12.90,TTC,12.70,12.90,12.60,1300.00
15/05/2019,13.50,TTC,13.00,13.50,12.80,5700.00
14/05/2019,13.80,TTC,13.80,13.80,13.80,0.00
13/05/2019,13.80,TTC,12.90,13.80,12.90,7300.00
10/05/2019,12.90,TTC,12.90,12.90,12.90,110.00
09/05/2019,13.00,TTC,13.00,13.00,13.00,0.00
08/05/2019,13.00,TTC,13.00,13.00,13.00,1800.00
07/05/2019,13.00,TTC,13.00,13.00,13.00,100.00
06/05/2019,12.60,TTC,12.60,12.60,12.60,100.00
03/05/2019,13.50,TTC,13.00,13.50,12.60,300.00
02/05/2019,13.00,TTC,12.30,13.00,12.30,240.00
26/04/2019,13.00,TTC,12.80,13.00,12.40,600.00
25/04/2019,12.80,TTC,12.80,13.60,12.80,2100.00
24/04/2019,12.80,TTC,12.80,12.80,12.80,7000.00
23/04/2019,12.80,TTC,12.80,12.80,12.80,0.00
22/04/2019,12.80,TTC,12.60,12.80,12.20,3047.00
19/04/2019,12.90,TTC,12.90,12.90,12.90,0.00
18/04/2019,12.90,TTC,12.90,12.90,12.90,0.00
17/04/2019,12.90,TTC,12.90,12.90,12.90,0.00
16/04/2019,12.90,TTC,12.80,12.90,12.70,1805.00
12/04/2019,12.70,TTC,12.70,12.70,12.70,3900.00
11/04/2019,12.90,TTC,12.70,12.90,12.70,2600.00
10/04/2019,12.90,TTC,12.70,12.90,12.70,8100.00
09/04/2019,12.70,TTC,12.60,12.70,12.40,2300.00
08/04/2019,12.70,TTC,12.70,12.70,12.70,1400.00
05/04/2019,12.70,TTC,13.00,13.00,12.70,800.00
04/04/2019,12.70,TTC,12.70,12.70,12.70,2800.00
03/04/2019,12.70,TTC,12.70,12.70,12.70,100.00
02/04/2019,12.70,TTC,12.70,12.70,12.70,2200.00
01/04/2019,12.70,TTC,13.00,13.00,12.60,5903.00
29/03/2019,13.00,TTC,13.50,13.50,12.70,8300.00
28/03/2019,13.10,TTC,13.40,13.40,13.00,3800.00
27/03/2019,13.70,TTC,14.00,14.00,13.50,13600.00
26/03/2019,14.00,TTC,13.50,14.00,13.40,6100.00
25/03/2019,14.20,TTC,14.00,14.20,13.50,1500.00
22/03/2019,14.30,TTC,14.00,14.30,14.00,1900.00
21/03/2019,14.50,TTC,14.10,14.50,14.10,560.00
20/03/2019,14.50,TTC,14.10,14.50,14.10,2246.00
19/03/2019,15.00,TTC,15.00,15.00,15.00,0.00
18/03/2019,15.00,TTC,15.00,15.00,15.00,601.00
15/03/2019,16.50,TTC,16.80,16.80,16.50,1502.00
14/03/2019,16.80,TTC,16.60,16.80,16.60,3906.00
13/03/2019,16.70,TTC,16.50,16.70,16.50,9761.00
12/03/2019,16.50,TTC,15.30,16.50,15.30,15105.00
11/03/2019,15.30,TTC,15.10,15.30,15.10,1100.00
08/03/2019,15.10,TTC,15.60,15.60,15.10,5000.00
07/03/2019,15.00,TTC,15.00,15.50,15.00,4103.00
06/03/2019,14.70,TTC,15.00,15.00,14.70,2200.00
05/03/2019,15.00,TTC,15.00,15.00,14.90,1200.00
04/03/2019,14.90,TTC,14.90,14.90,14.90,0.00
01/03/2019,14.90,TTC,14.90,14.90,14.90,1200.00
28/02/2019,14.90,TTC,14.90,14.90,14.90,100.00
27/02/2019,15.30,TTC,15.30,15.30,15.30,100.00
26/02/2019,14.70,TTC,14.70,14.70,14.70,100.00
25/02/2019,14.90,TTC,14.90,14.90,14.90,0.00
22/02/2019,14.90,TTC,14.90,14.90,14.90,400.00
21/02/2019,14.40,TTC,14.40,14.40,14.40,800.00
20/02/2019,14.40,TTC,14.50,14.50,14.40,14800.00
