DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,2.55,TTF,2.60,2.60,2.55,225840.00
10/01/2020,2.57,TTF,2.60,2.62,2.57,580660.00
09/01/2020,2.59,TTF,2.60,2.64,2.58,254420.00
08/01/2020,2.59,TTF,2.59,2.64,2.52,623100.00
07/01/2020,2.63,TTF,2.62,2.63,2.59,189350.00
06/01/2020,2.60,TTF,2.64,2.67,2.60,372830.00
03/01/2020,2.64,TTF,2.66,2.72,2.64,280360.00
02/01/2020,2.66,TTF,2.64,2.69,2.61,289740.00
31/12/2019,2.64,TTF,2.59,2.65,2.58,488820.00
30/12/2019,2.65,TTF,2.65,2.69,2.64,474230.00
27/12/2019,2.69,TTF,2.78,2.78,2.68,312330.00
26/12/2019,2.70,TTF,2.70,2.73,2.69,240960.00
25/12/2019,2.70,TTF,2.75,2.77,2.70,558190.00
24/12/2019,2.76,TTF,2.79,2.82,2.74,474780.00
23/12/2019,2.79,TTF,2.74,2.79,2.74,537420.00
20/12/2019,2.74,TTF,2.83,2.83,2.71,737320.00
19/12/2019,2.74,TTF,2.60,2.78,2.64,1733400.00
18/12/2019,2.60,TTF,2.56,2.61,2.56,340170.00
17/12/2019,2.58,TTF,2.53,2.62,2.53,527210.00
16/12/2019,2.55,TTF,2.59,2.59,2.52,410690.00
13/12/2019,2.57,TTF,2.52,2.62,2.52,366400.00
12/12/2019,2.52,TTF,2.64,2.64,2.45,676910.00
11/12/2019,2.60,TTF,2.60,2.65,2.60,242750.00
10/12/2019,2.58,TTF,2.67,2.70,2.55,952950.00
09/12/2019,2.61,TTF,2.79,2.80,2.60,1285160.00
06/12/2019,2.79,TTF,2.79,2.82,2.79,300370.00
05/12/2019,2.81,TTF,2.82,2.83,2.79,332760.00
04/12/2019,2.82,TTF,2.83,2.83,2.80,163130.00
03/12/2019,2.80,TTF,2.79,2.83,2.78,707200.00
02/12/2019,2.79,TTF,2.80,2.90,2.79,348980.00
29/11/2019,2.79,TTF,2.80,2.84,2.79,363540.00
28/11/2019,2.80,TTF,2.81,2.84,2.80,439250.00
27/11/2019,2.81,TTF,2.84,2.84,2.79,365950.00
26/11/2019,2.80,TTF,2.79,2.83,2.79,248910.00
25/11/2019,2.79,TTF,2.85,2.85,2.78,479140.00
22/11/2019,2.79,TTF,2.83,2.88,2.79,630110.00
21/11/2019,2.85,TTF,2.85,2.88,2.82,405170.00
20/11/2019,2.90,TTF,2.99,2.99,2.85,506410.00
19/11/2019,2.95,TTF,2.76,2.97,2.76,1766730.00
18/11/2019,2.78,TTF,2.78,2.80,2.77,280310.00
15/11/2019,2.79,TTF,2.81,2.83,2.78,362890.00
14/11/2019,2.81,TTF,2.82,2.82,2.78,498630.00
13/11/2019,2.80,TTF,2.83,2.84,2.80,238030.00
12/11/2019,2.84,TTF,2.80,2.84,2.78,404040.00
11/11/2019,2.79,TTF,2.80,2.83,2.78,347170.00
08/11/2019,2.80,TTF,2.80,2.85,2.78,374870.00
07/11/2019,2.78,TTF,2.82,2.82,2.78,231080.00
06/11/2019,2.79,TTF,2.80,2.85,2.79,568200.00
05/11/2019,2.82,TTF,2.77,2.85,2.76,537120.00
04/11/2019,2.78,TTF,2.85,2.85,2.75,468870.00
01/11/2019,2.81,TTF,2.85,2.85,2.80,558660.00
31/10/2019,2.83,TTF,2.93,2.94,2.81,1269440.00
30/10/2019,2.97,TTF,3.02,3.03,2.95,573490.00
29/10/2019,2.96,TTF,2.90,3.00,2.90,573100.00
28/10/2019,2.90,TTF,2.99,2.99,2.88,451510.00
25/10/2019,2.95,TTF,2.99,2.99,2.94,400870.00
24/10/2019,2.99,TTF,3.01,3.03,2.96,492060.00
23/10/2019,3.01,TTF,2.94,3.05,2.93,670920.00
22/10/2019,2.98,TTF,2.96,3.06,2.93,1004070.00
21/10/2019,2.96,TTF,2.83,3.01,2.80,857150.00
18/10/2019,2.83,TTF,2.83,2.86,2.80,375300.00
17/10/2019,2.83,TTF,2.83,2.88,2.80,356350.00
16/10/2019,2.83,TTF,2.85,2.90,2.82,299200.00
15/10/2019,2.87,TTF,2.90,2.92,2.85,223550.00
14/10/2019,2.92,TTF,3.04,3.04,2.92,737100.00
11/10/2019,2.93,TTF,2.77,2.93,2.75,1240170.00
10/10/2019,2.74,TTF,2.75,2.80,2.73,255440.00
09/10/2019,2.75,TTF,2.83,2.83,2.75,306470.00
08/10/2019,2.80,TTF,2.82,2.85,2.79,218930.00
07/10/2019,2.82,TTF,2.87,2.89,2.82,161610.00
04/10/2019,2.87,TTF,2.89,2.89,2.81,159990.00
03/10/2019,2.80,TTF,2.77,2.88,2.77,205030.00
02/10/2019,2.78,TTF,2.82,2.83,2.65,513390.00
01/10/2019,2.82,TTF,2.84,2.87,2.82,371730.00
30/09/2019,2.84,TTF,2.88,2.88,2.83,346460.00
27/09/2019,2.86,TTF,2.87,2.89,2.86,348830.00
26/09/2019,2.87,TTF,2.88,2.88,2.85,307230.00
25/09/2019,2.86,TTF,2.85,2.88,2.84,194950.00
24/09/2019,2.85,TTF,2.85,2.88,2.84,496060.00
23/09/2019,2.85,TTF,2.95,2.95,2.85,395200.00
20/09/2019,2.91,TTF,2.89,3.03,2.89,606630.00
19/09/2019,2.86,TTF,2.84,2.90,2.84,427160.00
18/09/2019,2.88,TTF,2.90,2.92,2.87,541810.00
17/09/2019,2.90,TTF,2.90,2.95,2.89,602760.00
16/09/2019,2.92,TTF,2.93,3.08,2.92,573370.00
13/09/2019,2.92,TTF,3.00,3.02,2.92,174380.00
12/09/2019,3.00,TTF,2.90,3.00,2.85,1281130.00
11/09/2019,2.85,TTF,2.90,2.91,2.85,307650.00
10/09/2019,2.90,TTF,2.96,2.96,2.88,409920.00
09/09/2019,2.93,TTF,2.97,2.98,2.93,142150.00
06/09/2019,2.96,TTF,2.98,2.98,2.92,532270.00
05/09/2019,2.98,TTF,3.03,3.03,2.97,426860.00
04/09/2019,3.00,TTF,3.00,3.04,2.97,530830.00
03/09/2019,3.00,TTF,3.06,3.09,3.00,788080.00
30/08/2019,3.06,TTF,3.06,3.08,3.06,528010.00
29/08/2019,3.06,TTF,3.07,3.08,3.06,172780.00
28/08/2019,3.07,TTF,3.10,3.10,3.06,268190.00
27/08/2019,3.06,TTF,3.07,3.10,3.06,403400.00
26/08/2019,3.07,TTF,3.08,3.10,3.06,495360.00
23/08/2019,3.08,TTF,3.08,3.10,3.08,361700.00
22/08/2019,3.10,TTF,3.08,3.12,3.08,447180.00
21/08/2019,3.09,TTF,3.14,3.14,3.08,914890.00
20/08/2019,3.14,TTF,3.15,3.17,3.13,443280.00
19/08/2019,3.15,TTF,3.08,3.18,3.08,657670.00
16/08/2019,3.08,TTF,3.07,3.12,3.07,562380.00
15/08/2019,3.07,TTF,3.11,3.12,3.07,782110.00
14/08/2019,3.12,TTF,3.17,3.17,3.12,408680.00
13/08/2019,3.12,TTF,3.15,3.15,3.09,597520.00
12/08/2019,3.12,TTF,3.15,3.16,3.12,626070.00
09/08/2019,3.12,TTF,3.04,3.14,3.00,771540.00
08/08/2019,2.98,TTF,3.00,3.01,2.94,386460.00
07/08/2019,2.95,TTF,2.90,3.00,2.90,367980.00
06/08/2019,2.90,TTF,2.99,3.00,2.90,1081950.00
05/08/2019,2.99,TTF,2.96,3.04,2.95,675700.00
02/08/2019,2.99,TTF,3.00,3.08,2.98,1150230.00
01/08/2019,3.03,TTF,3.09,3.09,3.02,986980.00
31/07/2019,3.06,TTF,3.08,3.14,3.06,902910.00
30/07/2019,3.12,TTF,3.08,3.20,3.05,1230310.00
29/07/2019,3.08,TTF,3.10,3.14,3.07,393160.00
26/07/2019,3.12,TTF,3.14,3.20,3.12,570550.00
25/07/2019,3.12,TTF,3.11,3.14,3.10,1136430.00
24/07/2019,3.11,TTF,3.10,3.16,3.09,570930.00
23/07/2019,3.10,TTF,3.14,3.14,3.09,692420.00
22/07/2019,3.11,TTF,3.20,3.20,3.09,1596070.00
19/07/2019,3.19,TTF,3.19,3.25,3.18,498890.00
18/07/2019,3.19,TTF,3.18,3.33,3.17,1293280.00
17/07/2019,3.18,TTF,3.19,3.23,3.18,594910.00
16/07/2019,3.19,TTF,3.21,3.26,3.18,1466460.00
15/07/2019,3.22,TTF,3.24,3.27,3.22,490970.00
12/07/2019,3.24,TTF,3.30,3.33,3.24,863830.00
11/07/2019,3.30,TTF,3.30,3.33,3.23,1233610.00
10/07/2019,3.26,TTF,3.29,3.33,3.26,705670.00
09/07/2019,3.33,TTF,3.31,3.34,3.27,881100.00
08/07/2019,3.35,TTF,3.35,3.36,3.30,596930.00
05/07/2019,3.35,TTF,3.26,3.35,3.25,789930.00
04/07/2019,3.27,TTF,3.31,3.31,3.24,1260130.00
03/07/2019,3.31,TTF,3.28,3.37,3.28,790750.00
02/07/2019,3.32,TTF,3.39,3.39,3.32,686880.00
01/07/2019,3.39,TTF,3.40,3.44,3.39,957020.00
28/06/2019,3.37,TTF,3.42,3.56,3.35,2075610.00
27/06/2019,3.38,TTF,3.20,3.38,3.20,3972950.00
26/06/2019,3.16,TTF,3.19,3.25,3.15,1530810.00
25/06/2019,3.15,TTF,3.15,3.37,3.14,2734620.00
24/06/2019,3.20,TTF,3.20,3.22,3.17,422000.00
21/06/2019,3.20,TTF,3.10,3.25,3.09,1246950.00
20/06/2019,3.12,TTF,3.15,3.21,3.11,1311940.00
19/06/2019,3.20,TTF,3.15,3.20,3.10,1355920.00
18/06/2019,3.14,TTF,3.15,3.25,3.10,865460.00
17/06/2019,3.20,TTF,3.26,3.28,3.13,669750.00
14/06/2019,3.26,TTF,3.35,3.40,3.26,686100.00
13/06/2019,3.35,TTF,3.39,3.54,3.26,1999420.00
12/06/2019,3.31,TTF,3.11,3.31,3.11,1575850.00
11/06/2019,3.10,TTF,3.13,3.17,3.06,1030480.00
10/06/2019,3.13,TTF,3.18,3.24,3.13,668320.00
07/06/2019,3.14,TTF,3.06,3.18,3.06,299590.00
06/06/2019,3.14,TTF,3.27,3.27,3.06,3838160.00
05/06/2019,3.27,TTF,3.34,3.34,3.18,1450850.00
04/06/2019,3.25,TTF,3.30,3.35,3.19,944630.00
03/06/2019,3.25,TTF,3.37,3.43,3.23,1694160.00
31/05/2019,3.42,TTF,3.53,3.55,3.40,1334720.00
30/05/2019,3.55,TTF,3.58,3.65,3.53,790050.00
29/05/2019,3.58,TTF,3.49,3.67,3.48,2034690.00
28/05/2019,3.48,TTF,3.50,3.55,3.42,770090.00
27/05/2019,3.45,TTF,3.35,3.50,3.31,790970.00
24/05/2019,3.36,TTF,3.49,3.49,3.35,1194370.00
23/05/2019,3.47,TTF,3.46,3.53,3.46,381880.00
22/05/2019,3.49,TTF,3.51,3.54,3.49,956420.00
21/05/2019,3.53,TTF,3.58,3.59,3.53,609420.00
20/05/2019,3.58,TTF,3.53,3.59,3.51,486060.00
17/05/2019,3.55,TTF,3.62,3.63,3.52,773930.00
16/05/2019,3.58,TTF,3.62,3.64,3.56,1087970.00
15/05/2019,3.55,TTF,3.61,3.67,3.55,1001490.00
14/05/2019,3.61,TTF,3.60,3.69,3.60,1089760.00
13/05/2019,3.69,TTF,3.60,3.72,3.55,1619430.00
10/05/2019,3.59,TTF,3.42,3.61,3.42,1564100.00
09/05/2019,3.42,TTF,3.37,3.44,3.36,736030.00
08/05/2019,3.35,TTF,3.32,3.37,3.32,670640.00
07/05/2019,3.34,TTF,3.32,3.38,3.32,624540.00
06/05/2019,3.32,TTF,3.40,3.40,3.27,748410.00
03/05/2019,3.30,TTF,3.49,3.49,3.30,784650.00
02/05/2019,3.49,TTF,3.40,3.53,3.40,965190.00
26/04/2019,3.30,TTF,3.20,3.30,3.19,3047540.00
25/04/2019,3.43,TTF,3.65,3.77,3.43,3576760.00
24/04/2019,3.68,TTF,3.80,3.80,3.67,385650.00
23/04/2019,3.67,TTF,3.62,3.80,3.62,651150.00
22/04/2019,3.68,TTF,3.75,3.75,3.63,1049570.00
19/04/2019,3.59,TTF,3.50,3.59,3.40,958260.00
18/04/2019,3.40,TTF,3.49,3.55,3.30,2066130.00
17/04/2019,3.50,TTF,3.75,3.80,3.50,2015080.00
16/04/2019,3.75,TTF,3.87,3.89,3.75,1513060.00
12/04/2019,3.91,TTF,3.90,3.96,3.85,1098990.00
11/04/2019,3.88,TTF,3.89,3.94,3.82,1421540.00
10/04/2019,3.84,TTF,3.80,3.99,3.76,1791910.00
09/04/2019,3.89,TTF,3.99,4.10,3.88,2851650.00
08/04/2019,3.99,TTF,4.07,4.15,3.98,2778090.00
05/04/2019,3.99,TTF,3.95,4.13,3.94,2821150.00
04/04/2019,3.90,TTF,3.85,3.98,3.80,1183690.00
03/04/2019,3.82,TTF,3.80,3.90,3.80,813280.00
02/04/2019,3.84,TTF,3.67,3.92,3.62,2530530.00
01/04/2019,3.67,TTF,3.66,3.67,3.58,838480.00
29/03/2019,3.66,TTF,3.70,3.70,3.60,566930.00
28/03/2019,3.65,TTF,3.62,3.69,3.58,647500.00
27/03/2019,3.65,TTF,3.79,3.84,3.61,1639120.00
26/03/2019,3.72,TTF,3.65,3.77,3.53,2311560.00
25/03/2019,3.53,TTF,3.62,3.73,3.52,1573680.00
22/03/2019,3.75,TTF,3.64,3.85,3.50,2804770.00
21/03/2019,3.75,TTF,4.00,4.04,3.75,2962620.00
20/03/2019,4.03,TTF,3.94,4.10,3.85,3040020.00
19/03/2019,3.90,TTF,3.62,3.90,3.62,4969610.00
18/03/2019,3.65,TTF,3.70,3.70,3.58,1831150.00
15/03/2019,3.70,TTF,3.75,3.88,3.69,2733960.00
14/03/2019,3.75,TTF,3.45,3.75,3.41,4352990.00
13/03/2019,3.51,TTF,3.37,3.54,3.31,5047460.00
12/03/2019,3.31,TTF,3.21,3.38,3.21,1116580.00
11/03/2019,3.20,TTF,3.15,3.20,3.06,1677990.00
08/03/2019,3.06,TTF,3.18,3.22,3.05,1432830.00
07/03/2019,3.24,TTF,3.35,3.37,3.23,1489510.00
06/03/2019,3.37,TTF,3.49,3.52,3.33,1155630.00
05/03/2019,3.42,TTF,3.20,3.42,3.12,3052350.00
04/03/2019,3.20,TTF,3.06,3.25,3.06,1196580.00
01/03/2019,3.06,TTF,2.96,3.09,2.96,726750.00
28/02/2019,2.96,TTF,3.09,3.09,2.95,658520.00
27/02/2019,3.03,TTF,3.15,3.20,2.98,2110690.00
26/02/2019,3.15,TTF,3.28,3.28,3.00,3295700.00
25/02/2019,3.09,TTF,2.90,3.09,2.90,1438670.00
22/02/2019,2.89,TTF,2.90,2.93,2.85,395830.00
21/02/2019,2.90,TTF,2.90,2.94,2.89,454800.00
20/02/2019,2.91,TTF,2.95,2.95,2.90,230430.00
19/02/2019,2.94,TTF,2.91,2.96,2.91,782700.00
18/02/2019,2.91,TTF,2.91,2.97,2.89,683750.00
15/02/2019,2.91,TTF,2.93,2.93,2.90,432050.00
14/02/2019,2.93,TTF,2.95,2.95,2.87,372970.00
13/02/2019,2.93,TTF,2.98,2.99,2.93,1097950.00
12/02/2019,2.98,TTF,2.81,3.00,2.81,734190.00
11/02/2019,2.84,TTF,2.92,2.92,2.80,523210.00
01/02/2019,2.82,TTF,2.70,2.85,2.63,1410680.00
31/01/2019,2.76,TTF,2.86,2.96,2.75,1076620.00
30/01/2019,2.95,TTF,3.09,3.10,2.92,888700.00
29/01/2019,3.01,TTF,3.02,3.11,2.90,1025950.00
28/01/2019,2.94,TTF,2.80,2.94,2.77,2271420.00
25/01/2019,2.75,TTF,2.74,2.81,2.74,228620.00
24/01/2019,2.74,TTF,2.75,2.79,2.74,237130.00
23/01/2019,2.75,TTF,2.78,2.80,2.74,757370.00
22/01/2019,2.78,TTF,2.78,2.88,2.76,596860.00
21/01/2019,2.78,TTF,2.90,2.97,2.76,817250.00
18/01/2019,2.90,TTF,2.98,2.99,2.90,514120.00
17/01/2019,2.97,TTF,2.96,3.03,2.96,253220.00
16/01/2019,3.00,TTF,3.02,3.13,2.95,969780.00
15/01/2019,3.02,TTF,2.92,3.05,2.92,431410.00
14/01/2019,2.95,TTF,3.10,3.15,2.92,1937460.00
11/01/2019,3.11,TTF,3.24,3.24,3.10,1435090.00
10/01/2019,3.17,TTF,3.13,3.27,3.10,819110.00
09/01/2019,3.13,TTF,3.30,3.30,3.10,1682570.00
08/01/2019,3.27,TTF,3.25,3.29,3.22,334310.00
07/01/2019,3.25,TTF,3.29,3.29,3.20,119740.00
04/01/2019,3.20,TTF,3.15,3.29,3.13,296310.00
03/01/2019,3.19,TTF,3.28,3.30,3.13,348970.00
02/01/2019,3.28,TTF,3.25,3.39,3.23,296120.00
28/12/2018,3.25,TTF,3.24,3.38,3.24,233910.00
27/12/2018,3.28,TTF,3.43,3.43,3.28,273880.00
26/12/2018,3.28,TTF,3.26,3.40,3.22,425390.00
25/12/2018,3.30,TTF,3.37,3.37,3.19,695060.00
24/12/2018,3.43,TTF,3.51,3.59,3.41,280410.00
21/12/2018,3.54,TTF,3.55,3.60,3.50,241820.00
20/12/2018,3.57,TTF,3.48,3.69,3.48,483760.00
19/12/2018,3.48,TTF,3.41,3.54,3.41,188850.00
18/12/2018,3.41,TTF,3.40,3.56,3.35,771130.00
17/12/2018,3.55,TTF,3.75,3.75,3.50,529570.00
14/12/2018,3.70,TTF,3.75,3.77,3.68,260040.00
13/12/2018,3.71,TTF,3.77,3.77,3.69,360560.00
12/12/2018,3.74,TTF,3.69,3.79,3.69,445640.00
11/12/2018,3.72,TTF,3.99,3.99,3.71,843380.00
10/12/2018,3.95,TTF,3.90,3.96,3.61,1967500.00
07/12/2018,3.73,TTF,3.73,3.73,3.70,932270.00
06/12/2018,3.49,TTF,3.30,3.49,3.27,244080.00
05/12/2018,3.27,TTF,3.15,3.30,3.15,412650.00
04/12/2018,3.15,TTF,3.18,3.24,3.13,675100.00
03/12/2018,3.18,TTF,3.17,3.24,3.16,661530.00
30/11/2018,3.15,TTF,3.17,3.19,3.15,442810.00
29/11/2018,3.17,TTF,3.30,3.30,3.17,563890.00
28/11/2018,3.20,TTF,3.20,3.30,3.17,753470.00
27/11/2018,3.20,TTF,3.36,3.45,3.20,947800.00
26/11/2018,3.40,TTF,3.48,3.50,3.36,642800.00
23/11/2018,3.48,TTF,3.59,3.59,3.45,496850.00
22/11/2018,3.50,TTF,3.55,3.65,3.50,626050.00
21/11/2018,3.50,TTF,3.44,3.60,3.40,482780.00
20/11/2018,3.42,TTF,3.60,3.63,3.40,966360.00
19/11/2018,3.61,TTF,3.55,3.72,3.55,589800.00
16/11/2018,3.71,TTF,3.75,3.79,3.66,862630.00
15/11/2018,3.70,TTF,3.76,3.83,3.70,710510.00
14/11/2018,3.76,TTF,3.82,3.89,3.73,755380.00
13/11/2018,3.80,TTF,3.75,3.92,3.75,881970.00
12/11/2018,3.79,TTF,3.70,3.85,3.70,748100.00
09/11/2018,3.76,TTF,3.75,3.88,3.73,914670.00
08/11/2018,3.75,TTF,3.65,3.87,3.65,970080.00
07/11/2018,3.70,TTF,3.78,3.78,3.65,1395500.00
06/11/2018,3.73,TTF,3.90,3.95,3.72,1402450.00
05/11/2018,3.90,TTF,3.85,4.03,3.85,1477890.00
02/11/2018,3.83,TTF,3.40,3.83,3.36,2487930.00
01/11/2018,3.58,TTF,3.84,4.00,3.58,2874330.00
31/10/2018,3.84,TTF,3.84,4.28,3.84,6842250.00
30/10/2018,4.12,TTF,4.12,4.12,4.12,111030.00
29/10/2018,4.42,TTF,4.42,4.42,4.42,165660.00
26/10/2018,4.75,TTF,4.75,4.75,4.75,1282930.00
25/10/2018,5.10,TTF,4.92,5.30,4.92,1102790.00
