DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,2.50,TTH,2.50,2.60,2.50,9240.00
10/01/2020,2.60,TTH,2.50,2.60,2.50,63900.00
09/01/2020,2.50,TTH,2.50,2.50,2.40,92950.00
08/01/2020,2.50,TTH,2.50,2.60,2.50,41200.00
07/01/2020,2.50,TTH,2.50,2.50,2.50,34810.00
06/01/2020,2.50,TTH,2.50,2.50,2.50,80800.00
03/01/2020,2.50,TTH,2.60,2.60,2.50,65340.00
02/01/2020,2.60,TTH,2.50,2.60,2.50,64650.00
31/12/2019,2.60,TTH,2.60,2.60,2.50,41100.00
30/12/2019,2.50,TTH,2.60,2.60,2.50,26750.00
27/12/2019,2.60,TTH,2.60,2.70,2.50,229200.00
26/12/2019,2.70,TTH,2.60,2.70,2.60,148304.00
25/12/2019,2.60,TTH,2.60,2.70,2.60,132900.00
24/12/2019,2.60,TTH,2.60,2.60,2.50,138845.00
23/12/2019,2.50,TTH,2.60,2.60,2.50,86597.00
20/12/2019,2.60,TTH,2.60,2.70,2.60,140557.00
19/12/2019,2.70,TTH,2.60,2.70,2.60,77345.00
18/12/2019,2.60,TTH,2.60,2.70,2.60,124900.00
17/12/2019,2.60,TTH,2.70,2.70,2.60,81450.00
16/12/2019,2.60,TTH,2.60,2.70,2.60,176880.00
13/12/2019,2.60,TTH,2.60,2.60,2.50,187300.00
12/12/2019,2.60,TTH,2.60,2.60,2.60,78400.00
11/12/2019,2.60,TTH,2.60,2.60,2.60,77795.00
10/12/2019,2.60,TTH,2.70,2.70,2.60,208675.00
09/12/2019,2.60,TTH,2.60,2.70,2.60,240000.00
06/12/2019,2.70,TTH,2.60,2.70,2.60,112355.00
05/12/2019,2.70,TTH,2.70,2.70,2.60,30320.00
04/12/2019,2.60,TTH,2.60,2.70,2.60,152226.00
03/12/2019,2.50,TTH,2.60,2.70,2.50,54100.00
02/12/2019,2.60,TTH,2.60,2.60,2.60,57974.00
29/11/2019,2.60,TTH,2.60,2.70,2.60,93651.00
28/11/2019,2.60,TTH,2.60,2.60,2.60,123800.00
27/11/2019,2.60,TTH,2.60,2.60,2.60,52150.00
26/11/2019,2.60,TTH,2.60,2.70,2.60,20526.00
25/11/2019,2.60,TTH,2.70,2.70,2.60,160900.00
22/11/2019,2.60,TTH,2.70,2.70,2.60,116500.00
21/11/2019,2.70,TTH,2.80,2.80,2.60,214005.00
20/11/2019,2.80,TTH,2.70,2.80,2.70,146135.00
19/11/2019,2.70,TTH,2.80,2.80,2.70,7215.00
18/11/2019,2.80,TTH,2.80,2.80,2.70,354275.00
15/11/2019,2.80,TTH,2.80,2.90,2.70,113850.00
14/11/2019,2.80,TTH,2.80,2.90,2.70,125234.00
13/11/2019,2.90,TTH,2.80,2.90,2.80,370180.00
12/11/2019,2.80,TTH,2.70,2.90,2.70,221316.00
11/11/2019,2.70,TTH,2.70,2.70,2.70,72944.00
08/11/2019,2.80,TTH,2.70,2.80,2.60,51110.00
07/11/2019,2.80,TTH,2.70,2.80,2.60,113395.00
06/11/2019,2.70,TTH,2.70,2.70,2.60,81900.00
05/11/2019,2.70,TTH,2.70,2.80,2.60,163835.00
04/11/2019,2.70,TTH,2.70,2.70,2.60,34539.00
01/11/2019,2.70,TTH,2.70,2.70,2.60,86529.00
31/10/2019,2.70,TTH,2.70,2.80,2.70,88600.00
30/10/2019,2.70,TTH,2.70,2.80,2.70,206805.00
29/10/2019,2.70,TTH,2.70,2.80,2.70,207650.00
28/10/2019,2.80,TTH,2.80,2.80,2.70,646120.00
25/10/2019,2.80,TTH,2.80,2.80,2.70,86818.00
24/10/2019,2.80,TTH,2.80,2.80,2.70,85563.00
23/10/2019,2.80,TTH,2.80,2.80,2.80,76000.00
22/10/2019,2.80,TTH,2.90,2.90,2.70,525575.00
21/10/2019,2.80,TTH,2.80,2.90,2.70,255935.00
18/10/2019,2.90,TTH,2.90,2.90,2.80,92175.00
17/10/2019,2.90,TTH,2.90,2.90,2.90,25410.00
16/10/2019,2.90,TTH,2.90,3.00,2.80,24100.00
15/10/2019,2.80,TTH,2.90,3.00,2.80,39300.00
14/10/2019,3.00,TTH,2.90,3.00,2.90,121360.00
11/10/2019,2.90,TTH,3.00,3.00,2.90,37300.00
10/10/2019,3.00,TTH,2.90,3.00,2.90,49620.00
09/10/2019,2.90,TTH,3.00,3.00,2.90,47600.00
08/10/2019,3.10,TTH,3.00,3.10,3.00,361700.00
07/10/2019,3.00,TTH,3.00,3.10,3.00,40600.00
04/10/2019,3.00,TTH,3.00,3.10,3.00,278300.00
03/10/2019,3.00,TTH,2.90,3.00,2.90,51900.00
02/10/2019,3.00,TTH,3.00,3.00,2.90,128400.00
01/10/2019,3.00,TTH,2.90,3.00,2.80,308300.00
30/09/2019,2.80,TTH,2.90,2.90,2.80,49900.00
27/09/2019,2.90,TTH,2.80,2.90,2.80,92195.00
26/09/2019,2.80,TTH,2.80,2.90,2.80,61100.00
25/09/2019,2.80,TTH,2.80,2.90,2.80,46800.00
24/09/2019,2.90,TTH,2.90,2.90,2.80,60300.00
23/09/2019,2.80,TTH,2.80,2.90,2.80,35600.00
20/09/2019,2.90,TTH,2.90,2.90,2.80,112067.00
19/09/2019,2.90,TTH,2.90,3.00,2.80,116910.00
18/09/2019,2.90,TTH,2.90,3.00,2.90,157800.00
17/09/2019,3.00,TTH,2.90,3.00,2.90,73200.00
16/09/2019,2.90,TTH,3.00,3.00,2.90,77950.00
