DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,31.00,TTP,31.00,31.00,31.00,0.00
10/01/2020,31.00,TTP,31.00,31.00,31.00,0.00
09/01/2020,31.00,TTP,31.00,31.00,31.00,0.00
08/01/2020,31.00,TTP,31.00,31.00,31.00,0.00
07/01/2020,31.00,TTP,31.00,31.00,31.00,0.00
06/01/2020,31.00,TTP,31.00,31.00,31.00,0.00
03/01/2020,31.00,TTP,31.00,31.00,31.00,0.00
02/01/2020,31.00,TTP,31.00,31.00,31.00,100.00
31/12/2019,28.10,TTP,28.10,28.10,28.10,0.00
30/12/2019,28.00,TTP,29.00,29.00,28.00,900.00
27/12/2019,26.40,TTP,26.40,26.40,26.40,200.00
26/12/2019,23.00,TTP,23.00,23.00,23.00,0.00
25/12/2019,23.00,TTP,23.00,23.00,23.00,0.00
24/12/2019,23.00,TTP,23.00,23.00,23.00,0.00
23/12/2019,23.00,TTP,23.00,23.00,23.00,100.00
20/12/2019,33.70,TTP,33.70,33.70,33.70,0.00
19/12/2019,33.70,TTP,33.70,33.70,33.70,0.00
18/12/2019,33.70,TTP,33.70,33.70,33.70,0.00
17/12/2019,33.70,TTP,33.70,33.70,33.70,0.00
16/12/2019,33.70,TTP,33.70,33.70,33.70,0.00
13/12/2019,33.70,TTP,33.70,33.70,33.70,0.00
12/12/2019,33.70,TTP,33.70,33.70,33.70,0.00
11/12/2019,33.70,TTP,33.70,33.70,33.70,0.00
10/12/2019,33.70,TTP,33.70,33.70,33.70,0.00
09/12/2019,33.70,TTP,33.70,33.70,33.70,0.00
06/12/2019,33.70,TTP,33.70,33.70,33.70,0.00
05/12/2019,33.70,TTP,33.70,33.70,33.70,0.00
04/12/2019,33.70,TTP,33.70,33.70,33.70,0.00
03/12/2019,33.70,TTP,33.70,33.70,33.70,0.00
02/12/2019,33.70,TTP,33.70,33.70,33.70,0.00
29/11/2019,33.70,TTP,33.70,33.70,33.70,0.00
28/11/2019,33.70,TTP,33.70,33.70,33.70,0.00
27/11/2019,33.70,TTP,33.70,33.70,33.70,0.00
26/11/2019,33.70,TTP,33.70,33.70,33.70,0.00
25/11/2019,33.70,TTP,33.70,33.70,33.70,0.00
22/11/2019,33.70,TTP,33.70,33.70,33.70,0.00
21/11/2019,33.70,TTP,33.70,33.70,33.70,0.00
20/11/2019,33.70,TTP,33.70,33.70,33.70,0.00
19/11/2019,33.70,TTP,33.70,33.70,33.70,0.00
18/11/2019,33.70,TTP,33.70,33.70,33.70,0.00
15/11/2019,33.70,TTP,33.70,33.70,33.70,0.00
14/11/2019,33.50,TTP,33.70,33.70,33.50,400.00
13/11/2019,29.90,TTP,29.90,29.90,29.90,0.00
12/11/2019,29.90,TTP,29.90,29.90,29.90,0.00
11/11/2019,29.90,TTP,29.90,29.90,29.90,0.00
08/11/2019,29.90,TTP,29.90,29.90,29.90,0.00
07/11/2019,29.90,TTP,29.90,29.90,29.90,0.00
06/11/2019,29.90,TTP,29.90,29.90,29.90,100.00
05/11/2019,26.00,TTP,26.00,26.00,26.00,100.00
04/11/2019,28.00,TTP,28.00,28.00,28.00,0.00
